,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6600,25.0,84.0,0.0,0.0,35.54,27.45,3.0
22,6900,27.5,83.5,0.0,0.0,35.54,27.45,3.0
23,7200,23.0,83.25,0.0,0.0,35.55,27.45,4.0
24,7500,31.333333333333332,85.33333333333333,0.0,0.0,35.553333333333335,27.456666666666667,4.666666666666667
25,7800,22.6,85.4,0.0,0.0,35.56,27.46,5.0
26,8100,24.0,85.5,0.0,0.0,35.565,27.46,6.25
27,8400,43.666666666666664,86.33333333333333,0.0,0.0,35.57,27.47,4.333333333333333
28,8700,27.333333333333332,84.66666666666667,0.0,0.0,35.57666666666667,27.47,3.0
29,9000,23.333333333333332,84.33333333333333,0.0,0.0,35.58,27.47,2.6666666666666665
30,9300,23.4,83.6,0.0,0.0,35.59,27.478,2.8
31,9600,24.666666666666668,83.0,0.0,0.0,35.59,27.48,3.6666666666666665
32,9900,23.5,81.5,0.0,0.0,35.595,27.48,3.5
33,10200,25.0,82.66666666666667,0.0,0.0,35.6,27.48,3.0
34,10500,27.0,83.5,0.0,0.0,35.605000000000004,27.485,3.5
35,10800,25.0,83.75,0.0,0.0,35.61,27.49,3.5
36,11100,27.75,84.75,0.0,0.0,35.61,27.49,3.5
37,11400,18.5,85.33333333333333,0.0,0.0,35.62,27.49,3.0
38,11700,20.5,82.5,0.0,0.0,35.62,27.494999999999997,3.5
39,12000,18.0,80.66666666666667,0.0,0.0,35.63,27.5,4.0
40,12300,24.2,83.0,0.0,0.0,35.63,27.5,3.6
41,12600,29.0,86.6,0.0,0.0,35.638,27.5,4.8
42,12900,21.666666666666668,82.66666666666667,0.0,0.0,35.64,27.5,4.0
43,13200,21.666666666666668,82.66666666666667,0.0,0.0,35.64,27.5,4.0
44,13500,21.666666666666668,82.66666666666667,0.0,0.0,35.64,27.5,4.0
45,13800,27.333333333333332,85.66666666666667,0.0,0.0,35.656666666666666,27.51,4.0
46,14100,27.333333333333332,85.66666666666667,0.0,0.0,35.656666666666666,27.51,4.0
47,14400,30.666666666666668,88.66666666666667,0.0,0.0,35.67,27.516666666666666,3.6666666666666665
48,14700,23.666666666666668,85.0,0.0,0.0,35.67666666666667,27.52,7.666666666666667
49,15000,25.25,86.0,0.0,0.0,35.68,27.52,7.75
50,15300,33.0,89.0,0.0,0.0,35.69,27.53,3.0
51,15600,26.0,86.5,0.0,0.0,35.69,27.53,4.5
52,15900,30.428571428571427,88.14285714285714,0.0,0.0,35.692857142857136,27.53,5.428571428571429
53,16200,21.0,85.0,0.0,0.0,35.7,27.54,7.0
54,16500,28.0,87.0,0.0,0.0,35.71,27.54,3.0
55,16800,24.0,85.5,0.0,0.0,35.71,27.54,4.0
56,17100,25.5,86.5,0.0,0.0,35.71,27.54,2.5
57,17400,38.5,88.75,0.0,0.0,35.7175,27.55,5.0
58,17700,31.0,88.0,0.0,0.0,35.72,27.55,5.0
59,18000,29.2,86.8,0.0,0.0,35.727999999999994,27.55,6.2
60,18300,27.0,86.0,0.0,0.0,35.73,27.56,7.0
61,18600,28.4,88.4,0.0,0.0,35.734,27.559999999999995,4.6
62,18900,28.75,88.5,0.0,0.0,35.74,27.56,4.0
63,19200,25.5,89.0,0.0,0.0,35.75,27.56,2.0
64,19500,22.666666666666668,87.66666666666667,0.0,0.0,35.75,27.569999999999997,2.6666666666666665
65,19800,40.5,90.5,0.0,0.0,35.76,27.57,6.5
66,20100,40.5,90.5,0.0,0.0,35.76,27.57,6.5
67,20400,40.5,90.5,0.0,0.0,35.76,27.57,6.5
68,20700,40.5,90.5,0.0,0.0,35.76,27.57,6.5
69,21000,40.5,90.5,0.0,0.0,35.76,27.57,6.5
70,21300,40.5,90.5,0.0,0.0,35.76,27.57,6.5
71,21600,40.5,90.5,0.0,0.0,35.76,27.57,6.5
72,21900,40.5,90.5,0.0,0.0,35.76,27.57,6.5
73,22200,40.5,90.5,0.0,0.0,35.76,27.57,6.5
74,22500,40.5,90.5,0.0,0.0,35.76,27.57,6.5
75,22800,40.5,90.5,0.0,0.0,35.76,27.57,6.5
76,23100,40.5,90.5,0.0,0.0,35.76,27.57,6.5
77,23400,40.5,90.5,0.0,0.0,35.76,27.57,6.5
78,23700,40.5,90.5,0.0,0.0,35.76,27.57,6.5
79,24000,40.5,90.5,0.0,0.0,35.76,27.57,6.5
80,24300,40.5,90.5,0.0,0.0,35.76,27.57,6.5
81,24600,40.5,90.5,0.0,0.0,35.76,27.57,6.5
82,24900,40.5,90.5,0.0,0.0,35.76,27.57,6.5
83,25200,40.5,90.5,0.0,0.0,35.76,27.57,6.5
84,25500,40.5,90.5,0.0,0.0,35.76,27.57,6.5
85,25800,40.5,90.5,0.0,0.0,35.76,27.57,6.5
86,26100,38.0,84.25,0.0,0.0,35.9225,27.66,7.0
87,26400,38.0,84.25,0.0,0.0,35.9225,27.66,7.0
88,26700,38.0,84.25,0.0,0.0,35.9225,27.66,7.0
89,27000,38.0,84.25,0.0,0.0,35.9225,27.66,7.0
90,27300,38.0,84.25,0.0,0.0,35.9225,27.66,7.0
91,27600,38.0,84.25,0.0,0.0,35.9225,27.66,7.0
92,27900,38.0,84.25,0.0,0.0,35.9225,27.66,7.0
93,28200,38.0,84.25,0.0,0.0,35.9225,27.66,7.0
94,28500,38.0,84.25,0.0,0.0,35.9225,27.66,7.0
95,28800,36.5,90.5,0.0,0.0,35.96,27.69,5.0
96,29100,48.8,92.0,0.0,0.0,35.97,27.698,6.2
97,29400,48.0,91.0,0.0,0.0,35.99,27.713333333333335,6.666666666666667
98,29700,34.6,88.2,0.0,0.0,36.012,27.736,3.0
99,30000,57.0,87.5,0.0,0.0,36.035,27.765,5.0
100,30300,32.0,85.5,0.0,0.0,36.05,27.78,2.5
101,30600,43.666666666666664,88.0,0.0,0.0,36.07,27.8,3.0
102,30900,43.8,85.2,0.0,0.0,36.07,27.806,3.4
103,31200,40.0,86.5,0.0,0.0,36.075,27.81,3.0
