,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6600,27.2,82.6,0.0,0.0,35.54,27.45,3.0
22,6900,29.0,84.0,0.0,0.0,35.54,27.45,3.0
23,7200,22.0,83.5,0.0,0.0,35.55,27.45,8.75
24,7500,34.0,86.0,0.0,0.0,35.55,27.46,5.0
25,7800,25.0,85.0,0.0,0.0,35.56,27.459999999999997,3.6666666666666665
26,8100,35.6,86.8,0.0,0.0,35.565999999999995,27.462,6.4
27,8400,41.8,85.4,0.0,0.0,35.57,27.47,4.0
28,8700,23.25,85.0,0.0,0.0,35.58,27.47,3.5
29,9000,24.8,84.8,0.0,0.0,35.58,27.47,3.6
30,9300,27.0,84.0,0.0,0.0,35.59,27.48,2.0
31,9600,26.333333333333332,83.0,0.0,0.0,35.59,27.48,2.3333333333333335
32,9900,26.0,81.66666666666667,0.0,0.0,35.59,27.48,4.333333333333333
33,10200,26.5,82.5,0.0,0.0,35.6,27.48,3.0
34,10500,27.833333333333332,83.16666666666667,0.0,0.0,35.6,27.486666666666668,3.6666666666666665
35,10800,24.8,83.4,0.0,0.0,35.61,27.49,3.2
36,11100,24.0,85.0,0.0,0.0,35.61,27.49,2.0
37,11400,15.0,84.33333333333333,0.0,0.0,35.62,27.49,2.0
38,11700,18.75,82.25,0.0,0.0,35.622499999999995,27.4925,2.75
39,12000,21.6,81.8,0.0,0.0,35.63,27.5,4.6
40,12300,18.5,82.0,0.0,0.0,35.63,27.5,12.0
41,12600,29.0,87.0,0.0,0.0,35.64,27.5,4.0
42,12900,29.0,85.0,0.0,0.0,35.64,27.5,4.0
43,13200,29.0,85.0,0.0,0.0,35.64,27.5,4.0
44,13500,29.0,85.0,0.0,0.0,35.64,27.5,4.0
45,13800,28.0,85.5,0.0,0.0,35.66,27.51,3.5
46,14100,25.2,86.0,0.0,0.0,35.66,27.51,4.8
47,14400,26.0,88.33333333333333,0.0,0.0,35.666666666666664,27.513333333333335,5.0
48,14700,25.0,86.0,0.0,0.0,35.67,27.52,4.0
49,15000,30.0,86.16666666666667,0.0,0.0,35.68,27.52,6.666666666666667
50,15300,31.0,87.2,0.0,0.0,35.682,27.526,6.2
51,15600,27.25,87.25,0.0,0.0,35.69,27.53,3.5
52,15900,27.25,87.25,0.0,0.0,35.69,27.53,3.5
53,16200,20.0,85.0,0.0,0.0,35.7,27.535,5.0
54,16500,29.75,85.5,0.0,0.0,35.7,27.54,4.5
55,16800,23.125,86.125,0.0,0.0,35.71,27.539999999999996,3.75
56,17100,23.0,85.5,0.0,0.0,35.71,27.54,3.0
57,17400,45.333333333333336,88.66666666666667,0.0,0.0,35.72,27.55,4.666666666666667
58,17700,32.5,89.5,0.0,0.0,35.72,27.55,4.0
59,18000,31.2,87.6,0.0,0.0,35.727999999999994,27.55,7.0
60,18300,30.0,88.2,0.0,0.0,35.73,27.55,5.0
61,18600,28.25,87.75,0.0,0.0,35.73,27.56,3.5
62,18900,32.75,89.25,0.0,0.0,35.74,27.56,3.0
63,19200,26.857142857142858,90.85714285714286,0.0,0.0,35.75,27.56,2.2857142857142856
64,19500,21.0,87.66666666666667,0.0,0.0,35.75,27.570000000000004,2.6666666666666665
65,19800,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
66,20100,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
67,20400,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
68,20700,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
69,21000,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
70,21300,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
71,21600,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
72,21900,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
73,22200,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
74,22500,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
75,22800,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
76,23100,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
77,23400,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
78,23700,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
79,24000,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
80,24300,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
81,24600,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
82,24900,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
83,25200,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
84,25500,43.0,90.5,0.0,0.0,35.75749999999999,27.57,4.5
85,25800,43.0,82.0,0.0,0.0,35.92,27.66,11.0
86,26100,41.0,85.6,0.0,0.0,35.922000000000004,27.660000000000004,6.2
87,26400,41.0,85.6,0.0,0.0,35.922000000000004,27.660000000000004,6.2
88,26700,41.0,85.6,0.0,0.0,35.922000000000004,27.660000000000004,6.2
89,27000,41.0,85.6,0.0,0.0,35.922000000000004,27.660000000000004,6.2
90,27300,41.0,85.6,0.0,0.0,35.922000000000004,27.660000000000004,6.2
91,27600,41.0,85.6,0.0,0.0,35.922000000000004,27.660000000000004,6.2
92,27900,41.0,85.6,0.0,0.0,35.922000000000004,27.660000000000004,6.2
93,28200,41.0,85.6,0.0,0.0,35.922000000000004,27.660000000000004,6.2
94,28500,41.0,85.6,0.0,0.0,35.922000000000004,27.660000000000004,6.2
95,28800,41.0,85.6,0.0,0.0,35.922000000000004,27.660000000000004,6.2
96,29100,49.666666666666664,91.66666666666667,0.0,0.0,35.97,27.69666666666667,5.0
97,29400,45.5,90.75,0.0,0.0,35.99,27.715,5.75
98,29700,32.666666666666664,88.0,0.0,0.0,36.01,27.736666666666665,3.3333333333333335
99,30000,41.25,87.0,0.0,0.0,36.0275,27.755000000000003,3.25
100,30300,40.0,85.0,0.0,0.0,36.05,27.78,3.0
101,30600,34.75,87.75,0.0,0.0,36.065,27.794999999999998,7.5
