,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,32.0,91.0,0.0,0.0,40.05,33.62,4.0
2,900,30.0,89.0,0.0,0.0,40.05,33.62,7.0
3,1200,36.8,91.0,0.0,0.0,40.053999999999995,33.63,2.8
4,1500,29.5,89.0,0.0,0.0,40.06,33.63,2.5
5,1800,30.166666666666668,90.16666666666667,0.0,0.0,40.065,33.63833333333333,2.8333333333333335
6,2100,25.666666666666668,88.33333333333333,0.0,0.0,40.07,33.64,2.3333333333333335
7,2400,23.0,86.0,0.0,0.0,40.07,33.64,2.0
8,2700,41.5,89.5,0.0,0.0,40.08,33.65,2.5
9,3000,37.42857142857143,88.85714285714286,0.0,0.0,40.07999999999999,33.65,2.5714285714285716
10,3300,27.75,89.5,0.0,0.0,40.09,33.652499999999996,2.0
11,3600,22.333333333333332,89.66666666666667,0.0,0.0,40.09,33.66,2.3333333333333335
12,3900,27.0,91.0,0.0,0.0,40.09,33.66,2.5
13,4200,22.0,91.5,0.0,0.0,40.1,33.66,2.0
14,4500,16.5,87.0,0.0,0.0,40.1,33.67,2.0
15,4800,16.5,87.0,0.0,0.0,40.1,33.67,2.0
16,5100,34.166666666666664,86.0,0.0,0.0,40.11000000000001,33.675000000000004,2.8333333333333335
17,5400,35.25,83.0,0.0,0.0,40.1125,33.68,3.25
18,5700,39.75,83.25,0.0,0.0,40.12,33.68,2.5
19,6000,34.2,83.6,0.0,0.0,40.12,33.69,2.6
20,6300,22.0,81.5,0.0,0.0,40.13,33.69,2.0
21,6600,27.25,82.75,0.0,0.0,40.13250000000001,33.692499999999995,1.75
22,6900,30.333333333333332,84.0,0.0,0.0,40.14,33.7,2.6666666666666665
23,7200,23.6,83.8,0.0,0.0,40.142,33.7,5.2
24,7500,29.5,85.25,0.0,0.0,40.15,33.71,3.25
25,7800,23.5,85.0,0.0,0.0,40.16,33.71,2.5
26,8100,33.5,86.0,0.0,0.0,40.16,33.72,2.75
27,8400,30.666666666666668,86.0,0.0,0.0,40.163333333333334,33.72,2.0
28,8700,25.333333333333332,83.66666666666667,0.0,0.0,40.17,33.72666666666666,2.3333333333333335
29,9000,20.333333333333332,83.0,0.0,0.0,40.18,33.73,2.3333333333333335
30,9300,36.888888888888886,82.77777777777777,0.0,0.0,40.18,33.73,2.4444444444444446
31,9600,33.2,82.0,0.0,0.0,40.184,33.734,2.2
32,9900,25.0,81.5,0.0,0.0,40.19,33.74,5.0
33,10200,28.0,80.5,0.0,0.0,40.2,33.74,1.5
34,10500,35.0,80.0,0.0,0.0,40.2,33.74,2.0
35,10800,22.333333333333332,82.0,0.0,0.0,40.2,33.75,2.3333333333333335
36,11100,30.333333333333332,83.83333333333333,0.0,0.0,40.21333333333333,33.75,2.8333333333333335
37,11400,22.8,84.2,0.0,0.0,40.22,33.75,2.4
38,11700,24.666666666666668,82.33333333333333,0.0,0.0,40.22,33.75666666666666,2.3333333333333335
39,12000,26.833333333333332,82.0,0.0,0.0,40.23,33.76,2.1666666666666665
40,12300,26.0,82.0,0.0,0.0,40.23,33.76,3.0
41,12600,30.5,86.0,0.0,0.0,40.24,33.77,4.5
42,12900,26.5,83.5,0.0,0.0,40.24333333333333,33.77,4.333333333333333
43,13200,28.5,84.5,0.0,0.0,40.25,33.77,2.5
44,13500,33.0,85.33333333333333,0.0,0.0,40.25,33.77,5.666666666666667
45,13800,28.0,85.0,0.0,0.0,40.26,33.78,3.3333333333333335
46,14100,29.5,85.25,0.0,0.0,40.26,33.78,2.75
47,14400,29.5,85.25,0.0,0.0,40.26,33.78,2.75
48,14700,29.5,85.25,0.0,0.0,40.26,33.78,2.75
49,15000,29.5,85.25,0.0,0.0,40.26,33.78,2.75
50,15300,29.5,85.25,0.0,0.0,40.26,33.78,2.75
51,15600,29.5,85.25,0.0,0.0,40.26,33.78,2.75
52,15900,29.833333333333332,87.0,0.0,0.0,40.30833333333334,33.81,5.333333333333333
53,16200,28.666666666666668,87.0,0.0,0.0,40.31,33.81,3.3333333333333335
54,16500,26.5,86.5,0.0,0.0,40.315,33.815,3.0
55,16800,25.0,86.5,0.0,0.0,40.32,33.82,3.0
56,17100,23.75,85.75,0.0,0.0,40.32,33.82,3.0
57,17400,34.666666666666664,88.0,0.0,0.0,40.32333333333333,33.82,3.6666666666666665
58,17700,35.0,92.0,0.0,0.0,40.33,33.83,6.0
59,18000,36.0,92.0,0.0,0.0,40.34,33.83,3.0
60,18300,26.0,86.5,0.0,0.0,40.34,33.84,4.5
61,18600,27.333333333333332,86.33333333333333,0.0,0.0,40.34,33.84,3.0
62,18900,26.6,84.2,0.0,0.0,40.35,33.842,3.0
63,19200,22.0,83.5,0.0,0.0,40.355000000000004,33.85,2.0
64,19500,20.333333333333332,83.33333333333333,0.0,0.0,40.36,33.85,2.0
65,19800,40.0,85.5,0.0,0.0,40.36,33.85,5.0
66,20100,39.0,87.33333333333333,0.0,0.0,40.376666666666665,33.86,7.666666666666667
67,20400,39.0,87.33333333333333,0.0,0.0,40.376666666666665,33.86,7.666666666666667
68,20700,41.0,83.5,0.0,0.0,40.39,33.87,9.5
69,21000,55.0,85.0,0.0,0.0,40.4,33.87,6.0
70,21300,32.857142857142854,81.57142857142857,0.0,0.0,40.40428571428571,33.88,4.285714285714286
71,21600,32.5,82.25,0.0,0.0,40.41,33.8875,3.25
72,21900,48.0,84.0,0.0,0.0,40.41,33.89,3.0
73,22200,43.0,84.5,0.0,0.0,40.42,33.89,10.0
74,22500,67.0,88.0,0.0,0.0,40.43,33.9,5.0
75,22800,77.66666666666667,88.0,0.0,0.0,40.45,33.906666666666666,5.0
76,23100,64.0,88.0,0.0,0.0,40.46,33.91,3.0
77,23400,56.666666666666664,86.66666666666667,0.0,0.0,40.46666666666667,33.91,4.666666666666667
78,23700,52.333333333333336,86.66666666666667,0.0,0.0,40.47333333333333,33.92,6.666666666666667
79,24000,55.5,89.0,0.0,0.0,40.48,33.92,7.0
80,24300,52.0,86.0,0.0,0.0,40.49,33.93,6.0
81,24600,46.333333333333336,83.66666666666667,0.0,0.0,40.49666666666667,33.93,10.0
82,24900,35.0,82.0,0.0,0.0,40.51,33.94,7.0
83,25200,32.5,80.16666666666667,0.0,0.0,40.51,33.94,4.0
84,25500,37.0,80.0,0.0,0.0,40.51,33.95,5.0
85,25800,37.0,80.0,0.0,0.0,40.51,33.95,5.0
86,26100,37.0,80.0,0.0,0.0,40.51,33.95,5.0
87,26400,37.0,80.0,0.0,0.0,40.51,33.95,5.0
88,26700,37.0,80.0,0.0,0.0,40.51,33.95,5.0
89,27000,37.0,80.0,0.0,0.0,40.51,33.95,5.0
90,27300,37.0,80.0,0.0,0.0,40.51,33.95,5.0
91,27600,37.0,80.0,0.0,0.0,40.51,33.95,5.0
92,27900,37.0,80.0,0.0,0.0,40.51,33.95,5.0
93,28200,37.0,80.0,0.0,0.0,40.51,33.95,5.0
94,28500,37.0,80.0,0.0,0.0,40.51,33.95,5.0
95,28800,37.0,80.0,0.0,0.0,40.51,33.95,5.0
96,29100,37.0,80.0,0.0,0.0,40.51,33.95,5.0
97,29400,34.0,89.16666666666667,0.0,0.0,40.60500000000001,34.03333333333333,2.8333333333333335
98,29700,28.666666666666668,86.33333333333333,0.0,0.0,40.62,34.053333333333335,2.6666666666666665
99,30000,34.0,88.75,0.0,0.0,40.6475,34.0825,2.5
100,30300,30.5,89.0,0.0,0.0,40.675,34.114999999999995,2.0
101,30600,34.666666666666664,89.33333333333333,0.0,0.0,40.699999999999996,34.13333333333333,9.333333333333334
