,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,24.75,90.75,0.0,0.0,37.83,31.39,4.75
1,600,34.25,92.5,0.0,0.0,37.835,31.3925,7.5
2,900,30.333333333333332,91.0,0.0,0.0,37.84,31.399999999999995,7.666666666666667
3,1200,34.0,94.0,0.0,0.0,37.85,31.41,11.0
4,1500,41.5,95.0,0.0,0.0,37.85,31.41,6.5
5,1800,35.75,95.0,0.0,0.0,37.86,31.41,5.75
6,2100,32.0,90.25,0.0,0.0,37.86,31.42,8.5
7,2400,23.75,88.0,0.0,0.0,37.87,31.42,6.75
8,2700,41.0,91.0,0.0,0.0,37.87,31.42,3.0
9,3000,42.0,90.0,0.0,0.0,37.88,31.43,4.0
10,3300,40.0,93.0,0.0,0.0,37.88,31.43,6.0
11,3600,25.666666666666668,91.5,0.0,0.0,37.88,31.430000000000003,4.166666666666667
12,3900,35.666666666666664,95.0,0.0,0.0,37.89,31.44,4.333333333333333
13,4200,28.2,91.6,0.0,0.0,37.89,31.440000000000005,5.4
14,4500,23.5,90.0,0.0,0.0,37.894999999999996,31.445,4.0
15,4800,43.666666666666664,94.33333333333333,0.0,0.0,37.9,31.45,6.333333333333333
16,5100,44.5,93.5,0.0,0.0,37.9,31.45,6.5
17,5400,40.5,88.0,0.0,0.0,37.91,31.455,7.0
18,5700,44.333333333333336,88.66666666666667,0.0,0.0,37.92,31.459999999999997,6.0
19,6000,43.333333333333336,87.33333333333333,0.0,0.0,37.92,31.46666666666667,4.666666666666667
20,6300,37.0,85.66666666666667,0.0,0.0,37.93,31.47,4.0
21,6600,35.333333333333336,86.66666666666667,0.0,0.0,37.93,31.47666666666667,6.333333333333333
22,6900,40.166666666666664,88.16666666666667,0.0,0.0,37.93833333333333,31.48,5.833333333333333
23,7200,34.75,87.25,0.0,0.0,37.94,31.48,10.5
24,7500,43.0,87.5,0.0,0.0,37.95,31.49,7.0
25,7800,45.333333333333336,89.33333333333333,0.0,0.0,37.95,31.49,6.666666666666667
26,8100,50.25,92.75,0.0,0.0,37.96,31.494999999999997,11.0
27,8400,45.5,93.0,0.0,0.0,37.96,31.5,6.0
28,8700,42.5,86.5,0.0,0.0,37.97,31.5,6.0
29,9000,35.0,86.5,0.0,0.0,37.97,31.51,7.5
30,9300,35.0,86.5,0.0,0.0,37.97,31.51,7.5
31,9600,35.0,86.5,0.0,0.0,37.97,31.51,7.5
32,9900,35.0,86.5,0.0,0.0,37.97,31.51,7.5
33,10200,29.5,83.0,0.0,0.0,37.995000000000005,31.52,5.0
34,10500,30.0,86.0,0.0,0.0,38.0,31.52,3.0
35,10800,25.5,85.0,0.0,0.0,38.0,31.52,6.5
36,11100,33.0,87.0,0.0,0.0,38.004999999999995,31.53,4.0
37,11400,28.0,89.0,0.0,0.0,38.015,31.53,8.0
38,11700,31.5,86.5,0.0,0.0,38.02,31.53,4.5
39,12000,30.0,85.5,0.0,0.0,38.025000000000006,31.54,6.5
40,12300,34.0,86.0,0.0,0.0,38.03,31.54,4.0
41,12600,31.0,88.5,0.0,0.0,38.035,31.54,6.5
42,12900,28.833333333333332,86.5,0.0,0.0,38.04,31.548333333333336,6.333333333333333
43,13200,37.5,85.5,0.0,0.0,38.04,31.55,5.0
44,13500,34.0,86.5,0.0,0.0,38.05,31.55,4.0
45,13800,33.0,88.16666666666667,0.0,0.0,38.055,31.555000000000003,5.0
46,14100,38.0,88.5,0.0,0.0,38.06,31.56,5.5
47,14400,38.333333333333336,90.66666666666667,0.0,0.0,38.06,31.56,4.666666666666667
48,14700,36.0,90.5,0.0,0.0,38.07,31.57,6.0
49,15000,44.0,91.0,0.0,0.0,38.08,31.570000000000004,7.666666666666667
50,15300,41.333333333333336,93.44444444444444,0.0,0.0,38.08666666666667,31.57222222222222,10.666666666666666
51,15600,38.142857142857146,92.85714285714286,0.0,0.0,38.089999999999996,31.57999999999999,10.571428571428571
52,15900,33.25,92.5,0.0,0.0,38.0975,31.58,12.25
53,16200,27.0,91.0,0.0,0.0,38.1,31.58,8.0
