,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,37.333333333333336,91.0,0.0,0.0,37.67,29.05,2.0
1,600,26.2,92.4,0.0,0.0,37.67,29.052,2.0
2,900,24.5,93.5,0.0,0.0,37.68,29.06,2.0
3,1200,18.5,92.0,0.0,0.0,37.68,29.06,2.0
4,1500,24.0,93.0,0.0,0.0,37.68,29.06,2.0
5,1800,24.8,93.0,0.0,0.0,37.69,29.07,2.0
6,2100,30.333333333333332,91.66666666666667,0.0,0.0,37.69,29.070000000000004,2.6666666666666665
7,2400,10.0,89.0,0.0,0.0,37.69,29.07,16.0
8,2700,37.5,93.66666666666667,0.0,0.0,37.699999999999996,29.079999999999995,2.3333333333333335
9,3000,37.5,93.66666666666667,0.0,0.0,37.699999999999996,29.079999999999995,2.3333333333333335
10,3300,37.5,93.66666666666667,0.0,0.0,37.699999999999996,29.079999999999995,2.3333333333333335
11,3600,30.5,94.0,0.0,0.0,37.71,29.09,2.0
12,3900,21.666666666666668,94.0,0.0,0.0,37.71,29.09,2.0
13,4200,40.5,93.0,0.0,0.0,37.71,29.09,2.0
14,4500,31.666666666666668,92.33333333333333,0.0,0.0,37.72,29.096666666666664,2.0
15,4800,37.25,94.25,0.0,0.0,37.72,29.1,2.25
16,5100,27.0,87.0,0.0,0.0,37.73,29.1,2.0
17,5400,30.666666666666668,87.33333333333333,0.0,0.0,37.73,29.106666666666666,2.0
18,5700,29.75,88.0,0.0,0.0,37.73,29.11,2.0
19,6000,37.0,87.2,0.0,0.0,37.74,29.113999999999997,3.2
20,6300,29.333333333333332,85.88888888888889,0.0,0.0,37.74,29.119999999999997,2.3333333333333335
21,6600,24.333333333333332,86.33333333333333,0.0,0.0,37.74666666666667,29.12,3.0
22,6900,31.833333333333332,87.83333333333333,0.0,0.0,37.75,29.125,2.1666666666666665
23,7200,25.5,87.5,0.0,0.0,37.75,29.13,3.0
24,7500,53.666666666666664,88.33333333333333,0.0,0.0,37.76,29.13,3.0
25,7800,28.0,88.66666666666667,0.0,0.0,37.76333333333333,29.14,3.3333333333333335
26,8100,31.333333333333332,88.66666666666667,0.0,0.0,37.77,29.14,2.6666666666666665
27,8400,31.0,88.0,0.0,0.0,37.77,29.14,2.0
28,8700,26.25,87.25,0.0,0.0,37.78,29.15,8.25
29,9000,31.666666666666668,87.0,0.0,0.0,37.78666666666666,29.149999999999995,2.6666666666666665
30,9300,29.0,87.0,0.0,0.0,37.79,29.15,2.0
31,9600,29.0,87.0,0.0,0.0,37.79,29.15,2.0
32,9900,29.0,87.0,0.0,0.0,37.79,29.15,2.0
33,10200,29.0,87.0,0.0,0.0,37.79,29.15,2.0
34,10500,29.0,87.0,0.0,0.0,37.79,29.15,2.0
35,10800,29.0,87.0,0.0,0.0,37.79,29.15,2.0
36,11100,29.0,87.0,0.0,0.0,37.79,29.15,2.0
37,11400,36.0,88.33333333333333,0.0,0.0,37.82,29.179999999999996,2.0
38,11700,27.666666666666668,87.66666666666667,0.0,0.0,37.82,29.179999999999996,1.3333333333333333
39,12000,21.333333333333332,86.33333333333333,0.0,0.0,37.82666666666667,29.179999999999996,2.0
40,12300,32.5,86.0,0.0,0.0,37.83,29.18,1.0
41,12600,37.0,90.0,0.0,0.0,37.83,29.19,2.0
42,12900,22.25,87.5,0.0,0.0,37.84,29.19,2.0
43,13200,19.5,86.5,0.0,0.0,37.84,29.19,1.5
44,13500,18.0,87.0,0.0,0.0,37.84,29.19,3.0
45,13800,18.0,87.0,0.0,0.0,37.84,29.19,3.0
46,14100,18.0,87.0,0.0,0.0,37.84,29.19,3.0
47,14400,18.0,87.0,0.0,0.0,37.84,29.19,3.0
