,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,23.5,91.0,0.0,0.0,37.67,29.05,2.5
1,600,24.8,93.2,0.0,0.0,37.672000000000004,29.054000000000002,2.2
2,900,26.25,92.0,0.0,0.0,37.68,29.06,2.75
3,1200,19.5,92.0,0.0,0.0,37.68,29.06,2.0
4,1500,34.0,92.0,0.0,0.0,37.684999999999995,29.066666666666663,2.0
5,1800,17.5,92.5,0.0,0.0,37.69,29.07,2.0
6,2100,22.142857142857142,91.14285714285714,0.0,0.0,37.69,29.069999999999997,2.4285714285714284
7,2400,28.5,91.16666666666667,0.0,0.0,37.69166666666666,29.073333333333334,4.666666666666667
8,2700,32.0,92.5,0.0,0.0,37.7,29.08,2.0
9,3000,60.0,92.0,0.0,0.0,37.7,29.08,2.0
10,3300,60.0,92.0,0.0,0.0,37.7,29.08,2.0
11,3600,32.75,94.0,0.0,0.0,37.71,29.09,2.0
12,3900,25.0,95.0,0.0,0.0,37.71,29.09,2.0
13,4200,21.0,93.0,0.0,0.0,37.71,29.09,1.5
14,4500,18.0,92.16666666666667,0.0,0.0,37.72,29.099999999999998,2.0
15,4800,18.666666666666668,92.66666666666667,0.0,0.0,37.72,29.100000000000005,2.0
16,5100,46.5,87.0,0.0,0.0,37.724999999999994,29.1,2.0
17,5400,20.666666666666668,87.33333333333333,0.0,0.0,37.73,29.11,2.3333333333333335
18,5700,43.75,88.0,0.0,0.0,37.73,29.11,2.0
19,6000,32.75,87.5,0.0,0.0,37.74,29.115000000000002,2.75
20,6300,21.75,86.0,0.0,0.0,37.74,29.12,3.0
21,6600,28.0,87.0,0.0,0.0,37.745000000000005,29.12,2.5
22,6900,43.8,87.8,0.0,0.0,37.75,29.125999999999998,2.0
23,7200,29.0,88.0,0.0,0.0,37.75,29.13,3.0
24,7500,37.5,88.0,0.0,0.0,37.76,29.13,2.5
25,7800,43.5,88.5,0.0,0.0,37.767500000000005,29.14,3.0
26,8100,35.75,89.75,0.0,0.0,37.77,29.14,4.5
27,8400,29.4,88.6,0.0,0.0,37.78,29.144,2.4
28,8700,32.0,88.0,0.0,0.0,37.78,29.15,2.0
29,9000,32.0,88.0,0.0,0.0,37.78,29.15,2.0
30,9300,32.0,88.0,0.0,0.0,37.78,29.15,2.0
31,9600,32.0,88.0,0.0,0.0,37.78,29.15,2.0
32,9900,32.0,88.0,0.0,0.0,37.78,29.15,2.0
33,10200,32.0,88.0,0.0,0.0,37.78,29.15,2.0
34,10500,32.0,88.0,0.0,0.0,37.78,29.15,2.0
35,10800,32.0,88.0,0.0,0.0,37.78,29.15,2.0
36,11100,35.0,87.5,0.0,0.0,37.82,29.17,2.5
37,11400,23.8,88.2,0.0,0.0,37.82,29.176000000000005,2.6
38,11700,22.0,89.0,0.0,0.0,37.82,29.18,2.0
39,12000,24.0,86.5,0.0,0.0,37.825,29.18,2.0
40,12300,27.2,87.2,0.0,0.0,37.83,29.182,1.6
41,12600,36.0,91.0,0.0,0.0,37.83,29.19,2.0
42,12900,24.0,87.0,0.0,0.0,37.84,29.19,2.0
43,13200,23.333333333333332,86.66666666666667,0.0,0.0,37.84,29.19,2.6666666666666665
44,13500,34.0,87.0,0.0,0.0,37.84,29.2,3.0
45,13800,34.0,87.0,0.0,0.0,37.84,29.2,3.0
46,14100,34.0,87.0,0.0,0.0,37.84,29.2,3.0
47,14400,34.0,87.0,0.0,0.0,37.84,29.2,3.0
48,14700,34.0,87.0,0.0,0.0,37.84,29.2,3.0
49,15000,34.0,87.0,0.0,0.0,37.84,29.2,3.0
50,15300,25.333333333333332,88.33333333333333,0.0,0.0,37.87,29.213333333333335,2.0
51,15600,21.666666666666668,88.33333333333333,0.0,0.0,37.876666666666665,29.22,2.0
52,15900,21.666666666666668,88.33333333333333,0.0,0.0,37.876666666666665,29.22,2.0
53,16200,21.666666666666668,88.33333333333333,0.0,0.0,37.876666666666665,29.22,2.0
54,16500,21.666666666666668,88.33333333333333,0.0,0.0,37.876666666666665,29.22,2.0
55,16800,21.666666666666668,88.33333333333333,0.0,0.0,37.876666666666665,29.22,2.0
56,17100,21.666666666666668,88.33333333333333,0.0,0.0,37.876666666666665,29.22,2.0
57,17400,21.666666666666668,88.33333333333333,0.0,0.0,37.876666666666665,29.22,2.0
58,17700,21.666666666666668,88.33333333333333,0.0,0.0,37.876666666666665,29.22,2.0
59,18000,21.666666666666668,88.33333333333333,0.0,0.0,37.876666666666665,29.22,2.0
60,18300,21.666666666666668,88.33333333333333,0.0,0.0,37.876666666666665,29.22,2.0
61,18600,21.666666666666668,88.33333333333333,0.0,0.0,37.876666666666665,29.22,2.0
62,18900,21.666666666666668,88.33333333333333,0.0,0.0,37.876666666666665,29.22,2.0
63,19200,21.6,89.2,0.0,0.0,37.92,29.26,1.8
64,19500,28.6,89.0,0.0,0.0,37.92,29.26,1.6
65,19800,35.0,92.0,0.0,0.0,37.93,29.27,7.0
66,20100,41.333333333333336,93.66666666666667,0.0,0.0,37.94,29.27,10.0
67,20400,48.666666666666664,92.33333333333333,0.0,0.0,37.946666666666665,29.276666666666667,20.0
68,20700,39.0,95.0,0.0,0.0,37.95,29.28,7.0
69,21000,45.0,94.0,0.0,0.0,37.96,29.28,4.0
70,21300,45.0,94.0,0.0,0.0,37.96,29.28,4.0
71,21600,45.0,94.0,0.0,0.0,37.96,29.28,4.0
72,21900,45.0,94.0,0.0,0.0,37.96,29.28,4.0
73,22200,45.0,94.0,0.0,0.0,37.96,29.28,4.0
74,22500,75.33333333333333,93.66666666666667,0.0,0.0,37.99,29.30333333333333,6.333333333333333
