,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,14.5,91.0,0.0,0.0,37.89,31.72,7.0
1,600,20.5,93.0,0.0,0.0,37.89,31.73,5.5
2,900,20.5,93.0,0.0,0.0,37.89,31.73,5.5
3,1200,30.0,93.33333333333333,0.0,0.0,37.9,31.74,6.0
4,1500,30.0,93.33333333333333,0.0,0.0,37.9,31.74,6.0
5,1800,22.5,97.0,0.0,0.0,37.905,31.74,5.0
6,2100,22.0,93.5,0.0,0.0,37.91,31.75,5.0
7,2400,13.0,92.0,0.0,0.0,37.91,31.75,7.5
8,2700,18.333333333333332,93.66666666666667,0.0,0.0,37.913333333333334,31.75,5.333333333333333
9,3000,21.0,93.33333333333333,0.0,0.0,37.92,31.75,4.333333333333333
10,3300,17.25,93.0,0.0,0.0,37.92,31.76,5.5
11,3600,16.666666666666668,93.66666666666667,0.0,0.0,37.92,31.76,5.0
12,3900,23.333333333333332,96.66666666666667,0.0,0.0,37.93,31.76,5.0
13,4200,20.2,95.4,0.0,0.0,37.93,31.76,5.0
14,4500,15.333333333333334,93.0,0.0,0.0,37.93,31.77,4.666666666666667
15,4800,37.333333333333336,92.33333333333333,0.0,0.0,37.93666666666667,31.77,5.666666666666667
16,5100,30.2,90.2,0.0,0.0,37.94,31.77,7.0
17,5400,32.0,88.0,0.0,0.0,37.94,31.78,5.0
18,5700,32.0,90.0,0.0,0.0,37.95,31.78,7.0
19,6000,32.0,90.0,0.0,0.0,37.95,31.78,7.0
20,6300,32.0,87.0,0.0,0.0,37.96,31.79,4.0
21,6600,29.75,89.25,0.0,0.0,37.96,31.79,7.25
22,6900,34.25,89.0,0.0,0.0,37.9675,31.8,5.75
23,7200,26.0,87.0,0.0,0.0,37.97,31.8,6.0
24,7500,35.75,87.0,0.0,0.0,37.974999999999994,31.805,6.75
25,7800,37.0,87.33333333333333,0.0,0.0,37.98,31.81,6.833333333333333
26,8100,37.0,88.0,0.0,0.0,37.985,31.81,6.0
27,8400,34.666666666666664,88.16666666666667,0.0,0.0,37.99,31.819999999999997,5.666666666666667
28,8700,22.75,84.75,0.0,0.0,37.9975,31.82,5.25
29,9000,22.5,84.5,0.0,0.0,38.0,31.82,5.0
30,9300,22.0,84.5,0.0,0.0,38.0,31.82,5.5
31,9600,25.5,85.25,0.0,0.0,38.0,31.83,5.5
32,9900,19.0,86.0,0.0,0.0,38.01,31.83,4.0
33,10200,21.0,85.5,0.0,0.0,38.01,31.83,5.0
34,10500,30.5,84.5,0.0,0.0,38.01,31.83,5.0
