,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,17.666666666666668,83.0,0.0,0.0,26.600000000000005,19.21,80.66666666666667
12,3900,20.0,84.0,0.0,0.0,26.6,19.21,80.0
13,4200,21.6,84.6,0.0,0.0,26.610000000000003,19.21,80.6
14,4500,16.5,82.5,0.0,0.0,26.61,19.22,89.0
15,4800,26.5,83.5,0.0,0.0,26.61,19.22,81.5
16,5100,33.4,78.2,0.0,0.0,26.619999999999997,19.22,83.8
17,5400,40.333333333333336,76.0,0.0,0.0,26.62,19.223333333333333,85.66666666666667
18,5700,39.5,77.5,0.0,0.0,26.627499999999998,19.23,82.0
19,6000,26.5,76.25,0.0,0.0,26.63,19.23,78.5
20,6300,22.0,73.0,0.0,0.0,26.64,19.23,78.0
21,6600,27.666666666666668,77.33333333333333,0.0,0.0,26.64,19.24,80.66666666666667
22,6900,31.5,79.0,0.0,0.0,26.65,19.24,77.5
23,7200,31.5,79.0,0.0,0.0,26.65,19.24,77.5
24,7500,34.2,79.0,0.0,0.0,26.660000000000004,19.25,84.8
25,7800,30.333333333333332,79.33333333333333,0.0,0.0,26.666666666666668,19.25,82.33333333333333
26,8100,37.0,79.0,0.0,0.0,26.67,19.26,84.0
27,8400,43.42857142857143,78.71428571428571,0.0,0.0,26.67714285714286,19.26,82.0
28,8700,25.833333333333332,76.5,0.0,0.0,26.680000000000003,19.26,92.16666666666667
29,9000,25.833333333333332,76.5,0.0,0.0,26.680000000000003,19.26,92.16666666666667
30,9300,25.666666666666668,76.66666666666667,0.0,0.0,26.69,19.27,83.33333333333333
31,9600,25.666666666666668,76.66666666666667,0.0,0.0,26.69,19.27,83.33333333333333
32,9900,25.666666666666668,76.66666666666667,0.0,0.0,26.69,19.27,83.33333333333333
33,10200,25.666666666666668,76.66666666666667,0.0,0.0,26.69,19.27,83.33333333333333
34,10500,28.0,76.83333333333333,0.0,0.0,26.710000000000004,19.28,88.0
35,10800,21.666666666666668,77.0,0.0,0.0,26.709999999999997,19.28,83.66666666666667
36,11100,31.8,78.5,0.0,0.0,26.717999999999996,19.28,85.6
37,11400,19.4,78.6,0.0,0.0,26.726,19.288,85.2
38,11700,24.5,76.0,0.0,0.0,26.73,19.29,85.5
39,12000,21.5,75.0,0.0,0.0,26.73,19.29,83.0
40,12300,28.0,77.0,0.0,0.0,26.74,19.29,93.0
41,12600,41.714285714285715,82.14285714285714,0.0,0.0,26.74142857142857,19.298571428571428,83.28571428571429
42,12900,25.5,78.0,0.0,0.0,26.75,19.3,81.0
43,13200,17.333333333333332,74.66666666666667,0.0,0.0,26.75,19.3,78.0
44,13500,29.0,78.0,0.0,0.0,26.76,19.3,81.5
45,13800,27.5,79.5,0.0,0.0,26.7625,19.31,86.75
46,14100,26.75,79.5,0.0,0.0,26.77,19.31,82.25
47,14400,29.0,81.0,0.0,0.0,26.776666666666667,19.31,81.66666666666667
48,14700,26.0,80.0,0.0,0.0,26.78,19.32,80.0
49,15000,35.0,82.5,0.0,0.0,26.785,19.32,90.5
50,15300,47.0,82.0,0.0,0.0,26.79,19.32,87.0
51,15600,47.0,82.0,0.0,0.0,26.79,19.32,87.0
52,15900,33.0,82.5,0.0,0.0,26.81,19.33,79.5
53,16200,21.666666666666668,80.66666666666667,0.0,0.0,26.81,19.33666666666667,76.66666666666667
54,16500,21.666666666666668,80.66666666666667,0.0,0.0,26.81,19.33666666666667,76.66666666666667
55,16800,21.666666666666668,80.66666666666667,0.0,0.0,26.81,19.33666666666667,76.66666666666667
56,17100,21.666666666666668,80.66666666666667,0.0,0.0,26.81,19.33666666666667,76.66666666666667
57,17400,21.666666666666668,80.66666666666667,0.0,0.0,26.81,19.33666666666667,76.66666666666667
58,17700,21.666666666666668,80.66666666666667,0.0,0.0,26.81,19.33666666666667,76.66666666666667
59,18000,21.666666666666668,80.66666666666667,0.0,0.0,26.81,19.33666666666667,76.66666666666667
60,18300,23.666666666666668,79.66666666666667,0.0,0.0,26.84,19.36,60.666666666666664
61,18600,22.5,78.5,0.0,0.0,26.845,19.36,47.0
62,18900,26.4,80.4,0.0,0.0,26.85,19.362000000000002,59.8
63,19200,26.0,80.5,0.0,0.0,26.852500000000003,19.37,62.5
64,19500,26.0,80.5,0.0,0.0,26.852500000000003,19.37,62.5
65,19800,26.0,80.5,0.0,0.0,26.852500000000003,19.37,62.5
66,20100,26.0,80.5,0.0,0.0,26.852500000000003,19.37,62.5
67,20400,26.0,80.5,0.0,0.0,26.852500000000003,19.37,62.5
68,20700,26.0,80.5,0.0,0.0,26.852500000000003,19.37,62.5
69,21000,26.0,80.5,0.0,0.0,26.852500000000003,19.37,62.5
70,21300,42.333333333333336,79.66666666666667,0.0,0.0,26.899999999999995,19.396666666666665,74.66666666666667
71,21600,42.333333333333336,79.66666666666667,0.0,0.0,26.899999999999995,19.396666666666665,74.66666666666667
72,21900,54.5,81.0,0.0,0.0,26.915,19.4,60.5
73,22200,41.5,80.5,0.0,0.0,26.92,19.41,67.0
74,22500,51.0,83.0,0.0,0.0,26.933333333333334,19.413333333333334,77.33333333333333
75,22800,51.0,83.0,0.0,0.0,26.933333333333334,19.413333333333334,77.33333333333333
76,23100,64.0,85.0,0.0,0.0,26.97,19.43,62.0
77,23400,54.333333333333336,81.0,0.0,0.0,26.97,19.43,67.66666666666667
78,23700,54.333333333333336,81.0,0.0,0.0,26.97,19.43,67.66666666666667
79,24000,61.0,83.4,0.0,0.0,26.99,19.44,72.4
80,24300,59.5,86.5,0.0,0.0,27.0,19.44,71.0
81,24600,51.0,86.66666666666667,0.0,0.0,27.00666666666667,19.45,66.33333333333333
82,24900,56.6,86.6,0.0,0.0,27.014,19.451999999999998,70.4
83,25200,43.4,80.8,0.0,0.0,27.024,19.46,66.2
84,25500,41.0,80.0,0.0,0.0,27.03,19.47,63.0
85,25800,48.8,80.0,0.0,0.0,27.038,19.47,68.6
86,26100,56.5,79.5,0.0,0.0,27.05,19.48,71.5
87,26400,56.5,79.5,0.0,0.0,27.05,19.48,71.5
88,26700,44.0,79.0,0.0,0.0,27.06,19.49,71.5
89,27000,48.0,84.0,0.0,0.0,27.06,19.49,59.0
90,27300,39.25,82.5,0.0,0.0,27.07,19.5,61.75
91,27600,38.0,82.0,0.0,0.0,27.08,19.5,63.0
92,27900,38.333333333333336,82.33333333333333,0.0,0.0,27.08,19.503333333333334,64.33333333333333
93,28200,35.0,78.0,0.0,0.0,27.08,19.51,67.0
94,28500,35.0,78.5,0.0,0.0,27.09,19.515,71.5
95,28800,32.0,80.0,0.0,0.0,27.1,19.52,71.0
