,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,7200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,7500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,8400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,9000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,9300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,9600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,9900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,10200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,10500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,10800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,11100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,11400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,11700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,12000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,12300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,12600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,13200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,13500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,13800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,14100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,14400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,14700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,15000,30.25,94.0,0.0,0.0,39.96,31.84,8.0
50,15300,35.5,91.75,0.0,0.0,39.965,31.84,6.5
51,15600,29.333333333333332,92.66666666666667,0.0,0.0,39.971666666666664,31.849999999999998,5.333333333333333
52,15900,26.666666666666668,93.0,0.0,0.0,39.98,31.850000000000005,5.0
53,16200,22.8,90.4,0.0,0.0,39.98,31.85,3.0
54,16500,23.6,91.4,0.0,0.0,39.99,31.857999999999997,3.4
55,16800,23.666666666666668,91.66666666666667,0.0,0.0,39.99,31.86,2.0
56,17100,23.666666666666668,91.66666666666667,0.0,0.0,39.99,31.86,2.0
57,17400,41.5,94.0,0.0,0.0,40.0,31.86,3.0
58,17700,28.0,93.5,0.0,0.0,40.01,31.87,2.5
59,18000,30.75,94.5,0.0,0.0,40.01,31.87,4.75
60,18300,32.666666666666664,93.66666666666667,0.0,0.0,40.01,31.87,6.333333333333333
61,18600,21.333333333333332,91.33333333333333,0.0,0.0,40.02,31.88,2.3333333333333335
62,18900,25.285714285714285,91.85714285714286,0.0,0.0,40.02,31.88,2.7142857142857144
63,19200,20.666666666666668,90.33333333333333,0.0,0.0,40.03,31.88,9.0
64,19500,19.0,87.5,0.0,0.0,40.03,31.89,43.0
65,19800,39.0,92.75,0.0,0.0,40.037499999999994,31.89,5.5
66,20100,52.666666666666664,94.0,0.0,0.0,40.04666666666667,31.89,9.333333333333334
67,20400,49.0,94.25,0.0,0.0,40.055,31.9,17.75
68,20700,54.0,96.0,0.0,0.0,40.06,31.9,14.0
69,21000,49.0,94.5,0.0,0.0,40.07,31.91,29.0
70,21300,55.0,95.0,0.0,0.0,40.08,31.91,7.0
71,21600,29.0,85.5,0.0,0.0,40.08,31.92,10.0
72,21900,45.2,87.8,0.0,0.0,40.09,31.920000000000005,4.6
73,22200,45.666666666666664,90.33333333333333,0.0,0.0,40.1,31.92,11.0
74,22500,64.0,92.0,0.0,0.0,40.11,31.93,11.0
75,22800,64.0,92.0,0.0,0.0,40.11,31.93,11.0
76,23100,76.5,94.0,0.0,0.0,40.144999999999996,31.94,8.5
77,23400,61.5,92.5,0.0,0.0,40.155,31.95,6.0
78,23700,61.5,92.5,0.0,0.0,40.155,31.95,6.0
79,24000,62.5,93.5,0.0,0.0,40.17,31.96,14.5
80,24300,55.0,94.0,0.0,0.0,40.17666666666667,31.959999999999997,7.666666666666667
81,24600,55.0,96.5,0.0,0.0,40.18,31.96,9.0
82,24900,51.0,93.0,0.0,0.0,40.19,31.97,16.0
83,25200,51.0,93.0,0.0,0.0,40.19,31.97,16.0
84,25500,50.0,90.0,0.0,0.0,40.21,31.99,11.0
85,25800,44.666666666666664,90.0,0.0,0.0,40.21,31.99,16.0
86,26100,43.0,90.0,0.0,0.0,40.22,31.99,11.0
87,26400,43.0,90.0,0.0,0.0,40.22,31.99,11.0
88,26700,43.0,90.0,0.0,0.0,40.22,31.99,11.0
89,27000,43.0,90.0,0.0,0.0,40.22,31.99,11.0
90,27300,43.0,90.0,0.0,0.0,40.22,31.99,11.0
91,27600,40.666666666666664,92.0,0.0,0.0,40.24666666666667,32.02,7.0
92,27900,32.0,93.0,0.0,0.0,40.25,32.03,7.0
93,28200,36.714285714285715,90.42857142857143,0.0,0.0,40.25857142857142,32.03,6.428571428571429
94,28500,37.0,91.0,0.0,0.0,40.265,32.035,6.5
95,28800,40.0,93.0,0.0,0.0,40.27,32.04,8.5
96,29100,55.2,93.4,0.0,0.0,40.28,32.044000000000004,9.8
97,29400,45.25,92.5,0.0,0.0,40.29,32.05,9.0
98,29700,44.0,93.0,0.0,0.0,40.29,32.06,6.0
99,30000,45.0,94.0,0.0,0.0,40.3,32.06,9.0
100,30300,45.4,94.2,0.0,0.0,40.302,32.065999999999995,6.4
101,30600,46.5,92.0,0.0,0.0,40.31,32.08,12.5
102,30900,54.833333333333336,92.33333333333333,0.0,0.0,40.31833333333333,32.07999999999999,8.666666666666666
103,31200,50.4,89.4,0.0,0.0,40.322,32.086,6.4
104,31500,31.75,86.75,0.0,0.0,40.33,32.09,6.25
