,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,9.142857142857142,91.28571428571429,0.0,0.0,37.99,27.57999999999999,1.1428571428571428
1,600,27.5,93.5,0.0,0.0,37.99,27.58,2.0
2,900,21.5,89.5,0.0,0.0,38.0,27.585,4.0
3,1200,19.0,89.0,0.0,0.0,38.0,27.59,1.0
4,1500,22.0,91.0,0.0,0.0,38.01,27.59,1.0
5,1800,22.666666666666668,92.66666666666667,0.0,0.0,38.02,27.600000000000005,2.3333333333333335
6,2100,23.0,90.5,0.0,0.0,38.02,27.6,2.0
7,2400,13.4,87.8,0.0,0.0,38.022000000000006,27.6,1.0
8,2700,21.5,91.0,0.0,0.0,38.03,27.61,1.0
9,3000,17.0,89.33333333333333,0.0,0.0,38.03,27.61,1.0
10,3300,20.4,90.8,0.0,0.0,38.04,27.610000000000003,1.0
11,3600,15.0,89.0,0.0,0.0,38.04,27.61,1.6666666666666667
12,3900,23.4,92.4,0.0,0.0,38.05,27.619999999999997,1.6
13,4200,20.0,91.0,0.0,0.0,38.05,27.62,1.3333333333333333
14,4500,17.6,88.0,0.0,0.0,38.053999999999995,27.624000000000002,1.0
15,4800,42.0,92.25,0.0,0.0,38.0625,27.63,3.5
16,5100,38.0,92.0,0.0,0.0,38.07,27.63,8.0
17,5400,39.8,85.6,0.0,0.0,38.07,27.637999999999998,3.0
18,5700,41.5,86.75,0.0,0.0,38.08,27.64,1.5
19,6000,33.5,84.0,0.0,0.0,38.09,27.65,3.0
20,6300,24.0,81.5,0.0,0.0,38.09,27.65,1.5
21,6600,26.8,85.0,0.0,0.0,38.1,27.651999999999997,2.6
22,6900,32.2,85.6,0.0,0.0,38.10600000000001,27.660000000000004,2.4
23,7200,25.25,85.5,0.0,0.0,38.11,27.66,1.75
24,7500,29.0,85.25,0.0,0.0,38.12,27.6675,3.0
25,7800,26.5,86.5,0.0,0.0,38.13,27.67,4.0
26,8100,25.2,86.6,0.0,0.0,38.132000000000005,27.672000000000004,2.2
27,8400,48.25,85.75,0.0,0.0,38.14,27.68,2.75
28,8700,22.833333333333332,85.16666666666667,0.0,0.0,38.14666666666667,27.680000000000003,2.1666666666666665
29,9000,24.666666666666668,86.0,0.0,0.0,38.15,27.688333333333333,1.8333333333333333
30,9300,28.5,84.5,0.0,0.0,38.16,27.69,1.0
31,9600,21.5,83.0,0.0,0.0,38.16,27.69,3.0
32,9900,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
33,10200,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
34,10500,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
35,10800,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
36,11100,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
37,11400,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
38,11700,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
39,12000,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
40,12300,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
41,12600,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
42,12900,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
43,13200,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
44,13500,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
45,13800,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
46,14100,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
47,14400,22.0,81.66666666666667,0.0,0.0,38.17,27.69666666666667,2.0
48,14700,29.166666666666668,88.0,0.0,0.0,38.27166666666667,27.75,3.6666666666666665
49,15000,36.666666666666664,89.0,0.0,0.0,38.28,27.75,6.0
50,15300,30.0,89.0,0.0,0.0,38.29,27.757500000000004,2.25
