,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,26.0,82.66666666666667,0.0,0.0,35.48,26.61,1.6666666666666667
21,6600,22.666666666666668,83.0,0.0,0.0,35.48,26.61,2.0
22,6900,29.5,83.0,0.0,0.0,35.485,26.615000000000002,1.5
23,7200,20.0,81.6,0.0,0.0,35.49,26.619999999999997,2.6
24,7500,30.0,85.0,0.0,0.0,35.495000000000005,26.62,3.5
25,7800,44.75,84.75,0.0,0.0,35.5,26.63,3.5
26,8100,32.333333333333336,85.0,0.0,0.0,35.51,26.63,6.333333333333333
27,8400,39.25,83.5,0.0,0.0,35.517500000000005,26.6375,3.25
28,8700,29.166666666666668,83.33333333333333,0.0,0.0,35.52,26.639999999999997,11.5
29,9000,23.0,81.5,0.0,0.0,35.525000000000006,26.64,3.5
30,9300,43.6,82.0,0.0,0.0,35.53,26.644,1.0
31,9600,43.6,82.0,0.0,0.0,35.53,26.644,1.0
32,9900,43.6,82.0,0.0,0.0,35.53,26.644,1.0
33,10200,43.6,82.0,0.0,0.0,35.53,26.644,1.0
34,10500,43.6,82.0,0.0,0.0,35.53,26.644,1.0
35,10800,43.6,82.0,0.0,0.0,35.53,26.644,1.0
36,11100,43.6,82.0,0.0,0.0,35.53,26.644,1.0
37,11400,43.6,82.0,0.0,0.0,35.53,26.644,1.0
38,11700,43.6,82.0,0.0,0.0,35.53,26.644,1.0
39,12000,43.6,82.0,0.0,0.0,35.53,26.644,1.0
40,12300,43.6,82.0,0.0,0.0,35.53,26.644,1.0
41,12600,43.6,82.0,0.0,0.0,35.53,26.644,1.0
42,12900,43.6,82.0,0.0,0.0,35.53,26.644,1.0
43,13200,43.6,82.0,0.0,0.0,35.53,26.644,1.0
44,13500,43.6,82.0,0.0,0.0,35.53,26.644,1.0
45,13800,28.333333333333332,85.66666666666667,0.0,0.0,35.61333333333334,26.69,2.3333333333333335
46,14100,32.333333333333336,85.66666666666667,0.0,0.0,35.62,26.69,3.3333333333333335
47,14400,34.333333333333336,88.33333333333333,0.0,0.0,35.626666666666665,26.7,2.0
48,14700,33.0,89.0,0.0,0.0,35.63,26.7,2.0
49,15000,43.0,88.0,0.0,0.0,35.64,26.7,9.0
50,15300,29.5,87.5,0.0,0.0,35.65,26.71,4.5
51,15600,30.666666666666668,87.83333333333333,0.0,0.0,35.65,26.710000000000004,4.666666666666667
52,15900,32.75,90.375,0.0,0.0,35.65625,26.715,4.875
53,16200,31.0,89.33333333333333,0.0,0.0,35.66,26.72,3.3333333333333335
54,16500,25.0,88.0,0.0,0.0,35.67,26.72,2.0
55,16800,24.0,88.0,0.0,0.0,35.67,26.73,1.0
56,17100,21.5,86.75,0.0,0.0,35.67,26.73,1.75
57,17400,36.0,88.66666666666667,0.0,0.0,35.67666666666667,26.73,2.0
58,17700,33.0,90.83333333333333,0.0,0.0,35.68,26.73,2.8333333333333335
59,18000,32.0,93.0,0.0,0.0,35.69,26.74,3.0
60,18300,20.0,88.66666666666667,0.0,0.0,35.69,26.74,3.6666666666666665
61,18600,19.333333333333332,87.33333333333333,0.0,0.0,35.693333333333335,26.74,1.6666666666666667
62,18900,25.333333333333332,86.66666666666667,0.0,0.0,35.7,26.74,1.0
63,19200,23.0,85.5,0.0,0.0,35.705,26.75,3.0
64,19500,14.4,84.2,0.0,0.0,35.71,26.75,1.0
65,19800,39.0,91.0,0.0,0.0,35.72,26.75,7.0
66,20100,36.0,89.0,0.0,0.0,35.72,26.76,6.166666666666667
67,20400,36.0,89.0,0.0,0.0,35.72,26.76,6.166666666666667
68,20700,49.0,94.0,0.0,0.0,35.74,26.77,17.0
69,21000,44.0,91.5,0.0,0.0,35.75,26.77,14.0
70,21300,39.5,89.5,0.0,0.0,35.75,26.78,8.5
71,21600,39.5,89.5,0.0,0.0,35.75,26.78,8.5
72,21900,47.5,91.0,0.0,0.0,35.77,26.79,8.5
73,22200,39.0,88.5,0.0,0.0,35.77,26.79,5.5
74,22500,75.66666666666667,94.66666666666667,0.0,0.0,35.78,26.790000000000003,8.0
75,22800,77.0,92.0,0.0,0.0,35.8,26.8,5.0
76,23100,72.33333333333333,93.0,0.0,0.0,35.81,26.8,5.0
77,23400,56.25,91.0,0.0,0.0,35.82,26.81,5.0
78,23700,47.0,88.5,0.0,0.0,35.83,26.81,4.25
79,24000,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
80,24300,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
81,24600,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
82,24900,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
83,25200,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
84,25500,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
85,25800,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
86,26100,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
87,26400,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
88,26700,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
89,27000,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
90,27300,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
91,27600,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
92,27900,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
93,28200,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
94,28500,55.666666666666664,92.33333333333333,0.0,0.0,35.84,26.816666666666663,7.0
95,28800,29.2,89.8,0.0,0.0,35.94,26.9,4.2
96,29100,56.666666666666664,92.0,0.0,0.0,35.949999999999996,26.91,6.0
97,29400,51.75,87.0,0.0,0.0,35.9675,26.927500000000002,5.25
98,29700,34.25,83.5,0.0,0.0,35.985,26.942500000000003,3.5
