,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,20.0,82.0,0.0,0.0,35.48,26.61,1.0
21,6600,21.75,82.5,0.0,0.0,35.48,26.61,3.0
22,6900,23.5,82.0,0.0,0.0,35.485,26.615000000000002,2.0
23,7200,23.5,83.5,0.0,0.0,35.49,26.62,8.5
24,7500,25.833333333333332,83.66666666666667,0.0,0.0,35.49666666666667,26.62,3.1666666666666665
25,7800,22.5,85.0,0.0,0.0,35.5,26.63,3.0
26,8100,31.75,84.5,0.0,0.0,35.51,26.63,3.75
27,8400,47.0,84.75,0.0,0.0,35.515,26.63,4.25
28,8700,25.0,83.0,0.0,0.0,35.52,26.64,14.0
29,9000,24.75,81.25,0.0,0.0,35.5275,26.64,1.75
30,9300,24.75,81.25,0.0,0.0,35.5275,26.64,1.75
31,9600,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
32,9900,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
33,10200,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
34,10500,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
35,10800,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
36,11100,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
37,11400,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
38,11700,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
39,12000,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
40,12300,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
41,12600,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
42,12900,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
43,13200,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
44,13500,22.666666666666668,80.33333333333333,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
45,13800,30.0,87.0,0.0,0.0,35.62,26.69,2.0
46,14100,30.0,87.0,0.0,0.0,35.62,26.69,2.0
47,14400,33.5,87.0,0.0,0.0,35.625,26.695,2.5
48,14700,33.333333333333336,88.33333333333333,0.0,0.0,35.63,26.7,3.0
49,15000,40.0,89.0,0.0,0.0,35.64,26.7,5.0
50,15300,27.0,88.0,0.0,0.0,35.65,26.71,3.0
51,15600,29.333333333333332,88.0,0.0,0.0,35.65,26.709999999999997,5.0
52,15900,31.0,89.0,0.0,0.0,35.655,26.715,3.5
53,16200,26.8,88.6,0.0,0.0,35.66,26.72,2.8
54,16500,26.125,88.0,0.0,0.0,35.666250000000005,26.72,2.875
55,16800,24.25,88.0,0.0,0.0,35.67,26.73,1.0
56,17100,25.25,87.0,0.0,0.0,35.67,26.73,2.0
57,17400,35.5,89.5,0.0,0.0,35.68,26.73,1.5
58,17700,36.0,91.0,0.0,0.0,35.68,26.73,3.0
59,18000,28.75,91.25,0.0,0.0,35.69,26.735,4.0
60,18300,23.0,89.2,0.0,0.0,35.69,26.74,3.2
61,18600,22.0,89.0,0.0,0.0,35.69,26.74,9.0
62,18900,26.5,87.0,0.0,0.0,35.7,26.74,1.0
63,19200,22.75,85.0,0.0,0.0,35.7075,26.75,1.75
64,19500,17.8,85.2,0.0,0.0,35.71,26.75,1.4
65,19800,17.8,85.2,0.0,0.0,35.71,26.75,1.4
66,20100,17.8,85.2,0.0,0.0,35.71,26.75,1.4
67,20400,50.0,89.0,0.0,0.0,35.73,26.76,14.0
68,20700,43.0,91.5,0.0,0.0,35.74,26.77,13.0
69,21000,43.0,91.5,0.0,0.0,35.74,26.77,13.0
70,21300,38.666666666666664,90.0,0.0,0.0,35.75,26.78,8.333333333333334
71,21600,32.0,88.0,0.0,0.0,35.76,26.78,5.0
72,21900,42.5,89.25,0.0,0.0,35.7625,26.7825,5.5
73,22200,44.0,89.4,0.0,0.0,35.772000000000006,26.79,6.8
74,22500,64.25,92.25,0.0,0.0,35.785,26.794999999999998,7.5
75,22800,81.8,93.4,0.0,0.0,35.798,26.8,10.4
76,23100,76.0,94.0,0.0,0.0,35.81,26.8,5.0
77,23400,57.0,91.85714285714286,0.0,0.0,35.82,26.81,4.428571428571429
78,23700,49.666666666666664,89.0,0.0,0.0,35.83,26.81,2.6666666666666665
79,24000,56.6,91.8,0.0,0.0,35.84,26.817999999999994,6.4
80,24300,59.0,93.0,0.0,0.0,35.85,26.82,5.0
81,24600,59.0,93.0,0.0,0.0,35.85,26.82,5.0
82,24900,59.0,93.0,0.0,0.0,35.85,26.82,5.0
83,25200,59.0,93.0,0.0,0.0,35.85,26.82,5.0
84,25500,59.0,93.0,0.0,0.0,35.85,26.82,5.0
85,25800,59.0,93.0,0.0,0.0,35.85,26.82,5.0
86,26100,59.0,93.0,0.0,0.0,35.85,26.82,5.0
87,26400,59.0,93.0,0.0,0.0,35.85,26.82,5.0
88,26700,59.0,93.0,0.0,0.0,35.85,26.82,5.0
89,27000,59.0,93.0,0.0,0.0,35.85,26.82,5.0
90,27300,59.0,93.0,0.0,0.0,35.85,26.82,5.0
91,27600,59.0,93.0,0.0,0.0,35.85,26.82,5.0
92,27900,59.0,93.0,0.0,0.0,35.85,26.82,5.0
93,28200,59.0,93.0,0.0,0.0,35.85,26.82,5.0
94,28500,59.0,93.0,0.0,0.0,35.85,26.82,5.0
95,28800,33.0,91.0,0.0,0.0,35.94,26.9,3.0
96,29100,57.0,92.25,0.0,0.0,35.9525,26.91,5.0
97,29400,57.0,92.25,0.0,0.0,35.9525,26.91,5.0
98,29700,33.5,82.5,0.0,0.0,35.985,26.945,4.0
99,30000,55.75,88.25,0.0,0.0,36.0025,26.9675,8.5
100,30300,41.5,85.5,0.0,0.0,36.025000000000006,26.990000000000002,5.0
