,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,21.0,81.0,0.0,0.0,35.48,26.61,1.0
21,6600,23.4,82.4,0.0,0.0,35.48,26.610000000000003,2.8
22,6900,28.0,82.0,0.0,0.0,35.49,26.62,1.0
23,7200,23.75,81.75,0.0,0.0,35.49,26.62,2.0
24,7500,27.6,84.0,0.0,0.0,35.498000000000005,26.619999999999997,3.8
25,7800,24.666666666666668,85.66666666666667,0.0,0.0,35.5,26.63,2.6666666666666665
26,8100,28.0,85.0,0.0,0.0,35.51,26.63,5.0
27,8400,38.5,84.25,0.0,0.0,35.515,26.63,4.25
28,8700,28.666666666666668,83.0,0.0,0.0,35.52,26.64,5.333333333333333
29,9000,22.333333333333332,81.33333333333333,0.0,0.0,35.53,26.64,2.3333333333333335
30,9300,26.25,81.75,0.0,0.0,35.5325,26.6475,1.0
31,9600,21.0,80.0,0.0,0.0,35.54,26.65,2.0
32,9900,21.0,80.0,0.0,0.0,35.54,26.65,2.0
33,10200,21.0,80.0,0.0,0.0,35.54,26.65,2.0
34,10500,21.0,80.0,0.0,0.0,35.54,26.65,2.0
35,10800,21.0,80.0,0.0,0.0,35.54,26.65,2.0
36,11100,21.0,80.0,0.0,0.0,35.54,26.65,2.0
37,11400,21.0,80.0,0.0,0.0,35.54,26.65,2.0
38,11700,21.0,80.0,0.0,0.0,35.54,26.65,2.0
39,12000,21.0,80.0,0.0,0.0,35.54,26.65,2.0
40,12300,21.0,80.0,0.0,0.0,35.54,26.65,2.0
41,12600,21.0,80.0,0.0,0.0,35.54,26.65,2.0
42,12900,21.0,80.0,0.0,0.0,35.54,26.65,2.0
43,13200,21.0,80.0,0.0,0.0,35.54,26.65,2.0
44,13500,21.0,80.0,0.0,0.0,35.54,26.65,2.0
45,13800,29.0,86.0,0.0,0.0,35.614999999999995,26.69,2.0
46,14100,28.0,85.66666666666667,0.0,0.0,35.62,26.69,2.6666666666666665
47,14400,28.75,87.5,0.0,0.0,35.6275,26.7,2.5
48,14700,31.5,88.5,0.0,0.0,35.63250000000001,26.7,2.75
49,15000,39.0,87.5,0.0,0.0,35.64,26.7,4.5
50,15300,30.333333333333332,88.66666666666667,0.0,0.0,35.64666666666667,26.709999999999997,5.333333333333333
51,15600,33.5,87.5,0.0,0.0,35.65,26.71,4.0
52,15900,28.0,89.0,0.0,0.0,35.66,26.715,4.0
53,16200,26.75,88.0,0.0,0.0,35.66,26.72,3.0
54,16500,24.0,87.0,0.0,0.0,35.66,26.72,9.0
55,16800,22.0,88.0,0.0,0.0,35.67,26.73,1.0
56,17100,22.25,86.75,0.0,0.0,35.67,26.73,2.0
57,17400,35.666666666666664,89.66666666666667,0.0,0.0,35.68,26.73,1.6666666666666667
58,17700,36.5,91.0,0.0,0.0,35.68,26.73,3.0
59,18000,28.666666666666668,92.0,0.0,0.0,35.69,26.74,3.0
60,18300,23.0,89.5,0.0,0.0,35.69,26.74,2.75
61,18600,22.75,89.5,0.0,0.0,35.69,26.74,2.5
62,18900,26.375,87.625,0.0,0.0,35.699999999999996,26.74375,1.25
63,19200,19.666666666666668,85.33333333333333,0.0,0.0,35.70333333333334,26.75,1.6666666666666667
64,19500,16.5,85.5,0.0,0.0,35.71,26.75,1.5
65,19800,37.5,89.5,0.0,0.0,35.715,26.75,5.5
66,20100,51.0,92.0,0.0,0.0,35.72,26.76,14.0
67,20400,50.666666666666664,92.33333333333333,0.0,0.0,35.73,26.76,12.333333333333334
68,20700,40.0,91.0,0.0,0.0,35.74,26.77,22.0
69,21000,51.875,91.5,0.0,0.0,35.74625,26.770000000000003,10.5
70,21300,38.8,89.4,0.0,0.0,35.75,26.78,7.8
71,21600,35.333333333333336,88.33333333333333,0.0,0.0,35.76,26.78,4.666666666666667
72,21900,46.333333333333336,90.66666666666667,0.0,0.0,35.76666666666667,26.786666666666665,4.333333333333333
73,22200,46.333333333333336,90.66666666666667,0.0,0.0,35.76666666666667,26.786666666666665,4.333333333333333
74,22500,63.0,93.75,0.0,0.0,35.78,26.79,8.0
75,22800,81.66666666666667,93.66666666666667,0.0,0.0,35.79,26.8,9.333333333333334
76,23100,73.5,94.0,0.0,0.0,35.81,26.8,5.0
77,23400,59.0,93.0,0.0,0.0,35.82,26.81,3.0
78,23700,48.333333333333336,91.66666666666667,0.0,0.0,35.82,26.81,6.0
79,24000,52.0,91.0,0.0,0.0,35.84,26.82,8.0
80,24300,52.0,91.0,0.0,0.0,35.84,26.82,8.0
81,24600,52.0,91.0,0.0,0.0,35.84,26.82,8.0
82,24900,52.0,91.0,0.0,0.0,35.84,26.82,8.0
83,25200,52.0,91.0,0.0,0.0,35.84,26.82,8.0
84,25500,52.0,91.0,0.0,0.0,35.84,26.82,8.0
85,25800,52.0,91.0,0.0,0.0,35.84,26.82,8.0
86,26100,52.0,91.0,0.0,0.0,35.84,26.82,8.0
87,26400,52.0,91.0,0.0,0.0,35.84,26.82,8.0
88,26700,52.0,91.0,0.0,0.0,35.84,26.82,8.0
89,27000,52.0,91.0,0.0,0.0,35.84,26.82,8.0
90,27300,52.0,91.0,0.0,0.0,35.84,26.82,8.0
91,27600,52.0,91.0,0.0,0.0,35.84,26.82,8.0
92,27900,52.0,91.0,0.0,0.0,35.84,26.82,8.0
93,28200,52.0,91.0,0.0,0.0,35.84,26.82,8.0
94,28500,26.0,88.0,0.0,0.0,35.93,26.89,6.0
95,28800,21.0,87.33333333333333,0.0,0.0,35.93666666666667,26.896666666666665,4.0
96,29100,55.2,92.6,0.0,0.0,35.948,26.907999999999998,3.6
97,29400,44.8,87.2,0.0,0.0,35.971999999999994,26.93,4.0
98,29700,43.8,83.0,0.0,0.0,35.992000000000004,26.952000000000005,3.2
99,30000,45.333333333333336,86.66666666666667,0.0,0.0,36.00666666666666,26.973333333333333,11.333333333333334
100,30300,40.333333333333336,85.66666666666667,0.0,0.0,36.02666666666667,26.99,4.333333333333333
101,30600,49.0,85.5,0.0,0.0,36.035,27.005000000000003,11.5
102,30900,40.666666666666664,81.33333333333333,0.0,0.0,36.05,27.02,3.0
