,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,26.0,82.5,0.0,0.0,35.48,26.61,1.5
21,6600,24.857142857142858,82.42857142857143,0.0,0.0,35.48,26.610000000000007,3.142857142857143
22,6900,24.4,81.4,0.0,0.0,35.48800000000001,26.618000000000002,1.2
23,7200,21.5,82.5,0.0,0.0,35.49,26.62,4.0
24,7500,25.5,83.5,0.0,0.0,35.5,26.62,3.5
25,7800,38.4,84.0,0.0,0.0,35.5,26.630000000000003,4.6
26,8100,31.0,84.0,0.0,0.0,35.51,26.63,3.0
27,8400,38.75,83.75,0.0,0.0,35.517500000000005,26.6325,3.5
28,8700,23.0,84.0,0.0,0.0,35.52,26.64,15.0
29,9000,24.0,81.0,0.0,0.0,35.53,26.64,2.0
30,9300,26.0,81.6,0.0,0.0,35.538,26.65,1.0
31,9600,26.0,81.6,0.0,0.0,35.538,26.65,1.0
32,9900,26.0,81.6,0.0,0.0,35.538,26.65,1.0
33,10200,26.0,81.6,0.0,0.0,35.538,26.65,1.0
34,10500,26.0,81.6,0.0,0.0,35.538,26.65,1.0
35,10800,26.0,81.6,0.0,0.0,35.538,26.65,1.0
36,11100,26.0,81.6,0.0,0.0,35.538,26.65,1.0
37,11400,26.0,81.6,0.0,0.0,35.538,26.65,1.0
38,11700,26.0,81.6,0.0,0.0,35.538,26.65,1.0
39,12000,26.0,81.6,0.0,0.0,35.538,26.65,1.0
40,12300,26.0,81.6,0.0,0.0,35.538,26.65,1.0
41,12600,26.0,81.6,0.0,0.0,35.538,26.65,1.0
42,12900,26.0,81.6,0.0,0.0,35.538,26.65,1.0
43,13200,26.0,81.6,0.0,0.0,35.538,26.65,1.0
44,13500,26.0,81.6,0.0,0.0,35.538,26.65,1.0
45,13800,26.0,81.6,0.0,0.0,35.538,26.65,1.0
46,14100,27.2,85.8,0.0,0.0,35.62,26.690000000000005,2.4
47,14400,35.0,87.75,0.0,0.0,35.625,26.7,2.5
48,14700,33.0,88.66666666666667,0.0,0.0,35.63,26.7,3.3333333333333335
49,15000,32.0,86.0,0.0,0.0,35.64,26.7,6.0
50,15300,34.0,89.0,0.0,0.0,35.645,26.71,3.75
51,15600,31.0,87.66666666666667,0.0,0.0,35.65,26.709999999999997,4.0
52,15900,27.0,89.66666666666667,0.0,0.0,35.66,26.71666666666667,3.6666666666666665
53,16200,23.4,87.4,0.0,0.0,35.66,26.72,3.0
54,16500,26.666666666666668,87.83333333333333,0.0,0.0,35.663333333333334,26.72,2.5
55,16800,22.0,87.5,0.0,0.0,35.67,26.727500000000003,1.0
56,17100,21.8,87.4,0.0,0.0,35.67,26.73,1.6
57,17400,40.0,90.0,0.0,0.0,35.68,26.73,1.5
58,17700,31.5,92.0,0.0,0.0,35.68,26.73,2.0
59,18000,28.333333333333332,90.33333333333333,0.0,0.0,35.69,26.74,6.0
60,18300,22.0,88.5,0.0,0.0,35.69,26.74,4.0
61,18600,24.0,90.0,0.0,0.0,35.69,26.74,2.6666666666666665
62,18900,23.25,87.0,0.0,0.0,35.7,26.744999999999997,1.5
63,19200,23.333333333333332,85.66666666666667,0.0,0.0,35.70333333333334,26.75,2.0
64,19500,17.75,84.5,0.0,0.0,35.71,26.75,1.5
65,19800,36.333333333333336,89.66666666666667,0.0,0.0,35.71333333333333,26.75,6.0
66,20100,45.0,91.0,0.0,0.0,35.72,26.76,8.0
67,20400,53.0,92.0,0.0,0.0,35.734,26.762,14.0
68,20700,49.5,92.5,0.0,0.0,35.74,26.77,13.5
69,21000,49.5,91.5,0.0,0.0,35.745000000000005,26.77,8.5
70,21300,37.5,88.5,0.0,0.0,35.75,26.78,7.5
71,21600,33.666666666666664,87.33333333333333,0.0,0.0,35.76,26.78,2.6666666666666665
72,21900,47.57142857142857,90.71428571428571,0.0,0.0,35.768571428571434,26.789999999999996,6.857142857142857
73,22200,38.0,89.0,0.0,0.0,35.77,26.79,8.0
74,22500,59.333333333333336,92.33333333333333,0.0,0.0,35.78333333333333,26.793333333333333,7.666666666666667
75,22800,77.0,93.0,0.0,0.0,35.795,26.8,8.0
76,23100,69.5,93.5,0.0,0.0,35.81,26.8,5.0
77,23400,55.0,91.0,0.0,0.0,35.82,26.81,6.0
78,23700,47.5,90.0,0.0,0.0,35.825,26.81,4.0
79,24000,47.5,90.0,0.0,0.0,35.825,26.81,4.0
80,24300,55.0,94.0,0.0,0.0,35.84,26.82,7.0
81,24600,55.0,94.0,0.0,0.0,35.84,26.82,7.0
82,24900,55.0,94.0,0.0,0.0,35.84,26.82,7.0
83,25200,55.0,94.0,0.0,0.0,35.84,26.82,7.0
84,25500,55.0,94.0,0.0,0.0,35.84,26.82,7.0
85,25800,55.0,94.0,0.0,0.0,35.84,26.82,7.0
86,26100,55.0,94.0,0.0,0.0,35.84,26.82,7.0
87,26400,55.0,94.0,0.0,0.0,35.84,26.82,7.0
88,26700,55.0,94.0,0.0,0.0,35.84,26.82,7.0
89,27000,55.0,94.0,0.0,0.0,35.84,26.82,7.0
90,27300,55.0,94.0,0.0,0.0,35.84,26.82,7.0
91,27600,55.0,94.0,0.0,0.0,35.84,26.82,7.0
92,27900,55.0,94.0,0.0,0.0,35.84,26.82,7.0
93,28200,55.0,94.0,0.0,0.0,35.84,26.82,7.0
94,28500,55.0,94.0,0.0,0.0,35.84,26.82,7.0
95,28800,34.5,91.5,0.0,0.0,35.94,26.9,4.5
96,29100,50.2,90.2,0.0,0.0,35.954,26.912,5.2
97,29400,49.5,87.0,0.0,0.0,35.9675,26.927500000000002,4.5
98,29700,28.0,82.0,0.0,0.0,35.99,26.95,2.0
99,30000,36.666666666666664,83.0,0.0,0.0,36.01,26.97666666666667,13.333333333333334
100,30300,37.5,84.0,0.0,0.0,36.025000000000006,26.99,3.5
101,30600,41.25,84.75,0.0,0.0,36.045,27.0125,7.5
102,30900,41.0,82.0,0.0,0.0,36.05,27.02,4.0
103,31200,35.0,82.0,0.0,0.0,36.055,27.02,3.5
104,31500,39.5,81.5,0.0,0.0,36.06,27.03,5.5
