,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,32.0,83.0,0.0,0.0,35.48,26.61,2.0
21,6600,24.0,82.5,0.0,0.0,35.48,26.61,3.0
22,6900,26.0,81.33333333333333,0.0,0.0,35.49,26.62,1.0
23,7200,23.0,82.0,0.0,0.0,35.49,26.62,4.0
24,7500,29.4,84.0,0.0,0.0,35.498000000000005,26.619999999999997,3.4
25,7800,22.0,85.0,0.0,0.0,35.5,26.63,3.0
26,8100,34.75,84.5,0.0,0.0,35.51,26.63,4.75
27,8400,38.5,83.0,0.0,0.0,35.52,26.634999999999998,4.5
28,8700,29.0,82.5,0.0,0.0,35.52,26.64,5.5
29,9000,26.0,82.33333333333333,0.0,0.0,35.53,26.64,3.6666666666666665
30,9300,38.333333333333336,82.0,0.0,0.0,35.53,26.646666666666665,1.0
31,9600,23.0,80.5,0.0,0.0,35.54,26.65,1.25
32,9900,23.0,80.5,0.0,0.0,35.54,26.65,1.25
33,10200,23.0,80.5,0.0,0.0,35.54,26.65,1.25
34,10500,23.0,80.5,0.0,0.0,35.54,26.65,1.25
35,10800,23.0,80.5,0.0,0.0,35.54,26.65,1.25
36,11100,23.0,80.5,0.0,0.0,35.54,26.65,1.25
37,11400,23.0,80.5,0.0,0.0,35.54,26.65,1.25
38,11700,23.0,80.5,0.0,0.0,35.54,26.65,1.25
39,12000,23.0,80.5,0.0,0.0,35.54,26.65,1.25
40,12300,23.0,80.5,0.0,0.0,35.54,26.65,1.25
41,12600,23.0,80.5,0.0,0.0,35.54,26.65,1.25
42,12900,23.0,80.5,0.0,0.0,35.54,26.65,1.25
43,13200,23.0,80.5,0.0,0.0,35.54,26.65,1.25
44,13500,23.0,80.5,0.0,0.0,35.54,26.65,1.25
45,13800,27.0,85.0,0.0,0.0,35.61,26.69,3.3333333333333335
46,14100,30.0,86.0,0.0,0.0,35.62,26.69,2.5
47,14400,34.0,87.33333333333333,0.0,0.0,35.626666666666665,26.7,2.6666666666666665
48,14700,32.0,88.5,0.0,0.0,35.63,26.7,3.0
49,15000,35.5,87.25,0.0,0.0,35.64,26.7,6.75
50,15300,36.25,88.5,0.0,0.0,35.6425,26.71,5.25
51,15600,31.5,87.5,0.0,0.0,35.65,26.71,6.0
52,15900,30.75,89.75,0.0,0.0,35.6575,26.715,5.5
53,16200,24.0,87.5,0.0,0.0,35.66,26.72,3.25
54,16500,29.5,87.25,0.0,0.0,35.667500000000004,26.72,3.75
55,16800,23.2,87.2,0.0,0.0,35.67,26.728,1.0
56,17100,24.333333333333332,86.83333333333333,0.0,0.0,35.67000000000001,26.73,2.5
57,17400,33.4,89.2,0.0,0.0,35.678000000000004,26.73,1.8
58,17700,28.0,90.0,0.0,0.0,35.68,26.73,3.0
59,18000,25.666666666666668,90.0,0.0,0.0,35.69,26.736666666666665,4.666666666666667
60,18300,23.5,89.5,0.0,0.0,35.69,26.74,2.5
61,18600,22.333333333333332,89.0,0.0,0.0,35.69,26.74,2.0
62,18900,27.5,87.0,0.0,0.0,35.7,26.74,1.0
63,19200,22.333333333333332,86.33333333333333,0.0,0.0,35.7,26.75,1.6666666666666667
64,19500,17.0,84.25,0.0,0.0,35.71,26.75,1.75
65,19800,17.0,84.25,0.0,0.0,35.71,26.75,1.75
66,20100,30.5,89.0,0.0,0.0,35.72,26.76,7.0
67,20400,51.0,90.5,0.0,0.0,35.73,26.76,14.0
68,20700,46.0,92.0,0.0,0.0,35.74,26.77,15.0
69,21000,50.5,91.5,0.0,0.0,35.75,26.77,8.5
70,21300,29.0,87.0,0.0,0.0,35.75,26.78,8.0
71,21600,31.25,87.5,0.0,0.0,35.76,26.78,3.25
72,21900,44.5,90.5,0.0,0.0,35.765,26.785,5.0
73,22200,38.4,88.4,0.0,0.0,35.77,26.79,6.2
74,22500,69.5,93.5,0.0,0.0,35.79,26.8,7.5
75,22800,82.5,93.0,0.0,0.0,35.8,26.8,8.0
76,23100,71.25,93.5,0.0,0.0,35.8125,26.802500000000002,4.5
77,23400,57.0,90.5,0.0,0.0,35.82,26.81,4.0
78,23700,42.5,88.0,0.0,0.0,35.83,26.81,6.0
79,24000,54.75,92.0,0.0,0.0,35.84,26.817499999999995,6.5
80,24300,54.5,94.5,0.0,0.0,35.84,26.82,7.0
81,24600,54.5,94.5,0.0,0.0,35.84,26.82,7.0
82,24900,54.5,94.5,0.0,0.0,35.84,26.82,7.0
83,25200,54.5,94.5,0.0,0.0,35.84,26.82,7.0
84,25500,54.5,94.5,0.0,0.0,35.84,26.82,7.0
85,25800,54.5,94.5,0.0,0.0,35.84,26.82,7.0
86,26100,54.5,94.5,0.0,0.0,35.84,26.82,7.0
87,26400,54.5,94.5,0.0,0.0,35.84,26.82,7.0
88,26700,54.5,94.5,0.0,0.0,35.84,26.82,7.0
89,27000,54.5,94.5,0.0,0.0,35.84,26.82,7.0
90,27300,54.5,94.5,0.0,0.0,35.84,26.82,7.0
91,27600,54.5,94.5,0.0,0.0,35.84,26.82,7.0
92,27900,54.5,94.5,0.0,0.0,35.84,26.82,7.0
93,28200,54.5,94.5,0.0,0.0,35.84,26.82,7.0
94,28500,54.5,94.5,0.0,0.0,35.84,26.82,7.0
95,28800,28.0,90.0,0.0,0.0,35.94,26.9,4.0
96,29100,45.666666666666664,90.33333333333333,0.0,0.0,35.95333333333334,26.913333333333338,6.0
97,29400,43.666666666666664,87.66666666666667,0.0,0.0,35.97,26.929999999999996,3.0
98,29700,39.4,82.0,0.0,0.0,35.99,26.95,3.0
99,30000,47.666666666666664,86.66666666666667,0.0,0.0,36.00666666666666,26.96666666666667,7.333333333333333
100,30300,36.0,84.5,0.0,0.0,36.025000000000006,26.99,3.5
101,30600,36.0,84.5,0.0,0.0,36.025000000000006,26.99,3.5
102,30900,39.75,81.25,0.0,0.0,36.05,27.02,3.25
103,31200,43.0,82.66666666666667,0.0,0.0,36.06,27.02333333333333,4.666666666666667
104,31500,43.0,82.66666666666667,0.0,0.0,36.06,27.02333333333333,4.666666666666667
