,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,24.75,94.0,0.0,0.0,41.94,31.64,3.5
7,2400,22.0,91.0,0.0,0.0,41.943333333333335,31.64,4.0
8,2700,21.2,93.4,0.0,0.0,41.95,31.65,7.4
9,3000,21.2,93.4,0.0,0.0,41.95,31.65,7.4
10,3300,23.0,93.66666666666667,0.0,0.0,41.96,31.653333333333332,6.0
11,3600,23.0,94.14285714285714,0.0,0.0,41.96,31.66,3.142857142857143
12,3900,25.0,96.25,0.0,0.0,41.96,31.66,2.75
13,4200,25.0,96.25,0.0,0.0,41.96,31.66,2.75
14,4500,15.666666666666666,90.66666666666667,0.0,0.0,41.97,31.67,3.0
15,4800,30.0,97.0,0.0,0.0,41.98,31.67,3.0
16,5100,36.0,85.0,0.0,0.0,41.98,31.68,4.0
17,5400,32.333333333333336,84.33333333333333,0.0,0.0,41.99,31.679999999999996,5.0
18,5700,38.5,87.0,0.0,0.0,41.99,31.68,3.5
19,6000,34.4,85.4,0.0,0.0,42.0,31.690000000000005,3.2
20,6300,30.0,83.5,0.0,0.0,42.0,31.69,3.0
21,6600,30.5,85.0,0.0,0.0,42.01,31.695,3.0
22,6900,38.0,88.0,0.0,0.0,42.01,31.7,3.0
23,7200,24.75,84.25,0.0,0.0,42.02,31.7025,5.0
24,7500,37.666666666666664,87.66666666666667,0.0,0.0,42.02666666666667,31.709999999999997,3.6666666666666665
25,7800,28.333333333333332,87.0,0.0,0.0,42.03,31.713333333333335,5.0
26,8100,36.0,86.83333333333333,0.0,0.0,42.03833333333333,31.72,6.5
27,8400,43.0,85.33333333333333,0.0,0.0,42.04,31.72,3.6666666666666665
28,8700,43.0,85.33333333333333,0.0,0.0,42.04,31.72,3.6666666666666665
29,9000,43.0,85.33333333333333,0.0,0.0,42.04,31.72,3.6666666666666665
30,9300,43.0,85.33333333333333,0.0,0.0,42.04,31.72,3.6666666666666665
31,9600,27.0,83.0,0.0,0.0,42.06,31.733333333333334,3.3333333333333335
32,9900,27.75,83.5,0.0,0.0,42.065,31.74,4.5
33,10200,16.5,80.5,0.0,0.0,42.07,31.74,3.5
34,10500,16.5,80.5,0.0,0.0,42.07,31.74,3.5
35,10800,16.5,80.5,0.0,0.0,42.07,31.74,3.5
36,11100,16.5,80.5,0.0,0.0,42.07,31.74,3.5
37,11400,16.5,80.5,0.0,0.0,42.07,31.74,3.5
38,11700,16.5,80.5,0.0,0.0,42.07,31.74,3.5
39,12000,16.5,80.5,0.0,0.0,42.07,31.74,3.5
40,12300,16.5,80.5,0.0,0.0,42.07,31.74,3.5
41,12600,16.5,80.5,0.0,0.0,42.07,31.74,3.5
42,12900,16.5,80.5,0.0,0.0,42.07,31.74,3.5
43,13200,16.5,80.5,0.0,0.0,42.07,31.74,3.5
44,13500,16.5,80.5,0.0,0.0,42.07,31.74,3.5
45,13800,27.5,86.0,0.0,0.0,42.14,31.78,2.75
46,14100,30.333333333333332,87.0,0.0,0.0,42.15,31.78,6.0
47,14400,35.333333333333336,90.66666666666667,0.0,0.0,42.15,31.78,3.0
48,14700,39.5,88.0,0.0,0.0,42.16,31.79,6.5
49,15000,47.0,89.0,0.0,0.0,42.16,31.79,8.0
50,15300,39.0,90.0,0.0,0.0,42.18,31.8,13.0
51,15600,35.666666666666664,89.33333333333333,0.0,0.0,42.18,31.8,5.666666666666667
52,15900,31.5,89.0,0.0,0.0,42.19,31.8,4.75
53,16200,29.666666666666668,89.33333333333333,0.0,0.0,42.193333333333335,31.81,4.0
54,16500,32.0,90.0,0.0,0.0,42.2,31.81,5.0
55,16800,23.5,89.5,0.0,0.0,42.2,31.814999999999998,3.0
56,17100,23.5,89.5,0.0,0.0,42.2,31.814999999999998,3.0
57,17400,37.666666666666664,91.66666666666667,0.0,0.0,42.21666666666667,31.820000000000004,4.333333333333333
58,17700,37.666666666666664,91.66666666666667,0.0,0.0,42.21666666666667,31.820000000000004,4.333333333333333
59,18000,37.666666666666664,91.66666666666667,0.0,0.0,42.21666666666667,31.820000000000004,4.333333333333333
60,18300,37.666666666666664,91.66666666666667,0.0,0.0,42.21666666666667,31.820000000000004,4.333333333333333
61,18600,37.666666666666664,91.66666666666667,0.0,0.0,42.21666666666667,31.820000000000004,4.333333333333333
62,18900,37.666666666666664,91.66666666666667,0.0,0.0,42.21666666666667,31.820000000000004,4.333333333333333
63,19200,37.666666666666664,91.66666666666667,0.0,0.0,42.21666666666667,31.820000000000004,4.333333333333333
64,19500,37.666666666666664,91.66666666666667,0.0,0.0,42.21666666666667,31.820000000000004,4.333333333333333
65,19800,37.666666666666664,91.66666666666667,0.0,0.0,42.21666666666667,31.820000000000004,4.333333333333333
66,20100,37.666666666666664,91.66666666666667,0.0,0.0,42.21666666666667,31.820000000000004,4.333333333333333
67,20400,37.666666666666664,91.66666666666667,0.0,0.0,42.21666666666667,31.820000000000004,4.333333333333333
68,20700,55.0,94.2,0.0,0.0,42.29600000000001,31.874000000000002,13.2
69,21000,50.333333333333336,93.66666666666667,0.0,0.0,42.3,31.88,14.666666666666666
70,21300,41.5,90.5,0.0,0.0,42.31,31.89,4.0
71,21600,37.0,91.0,0.0,0.0,42.31,31.89,4.0
72,21900,49.0,88.0,0.0,0.0,42.32,31.89,4.0
73,22200,44.4,89.8,0.0,0.0,42.326,31.9,7.6
74,22500,74.0,95.0,0.0,0.0,42.34,31.91,6.0
75,22800,79.0,95.5,0.0,0.0,42.355000000000004,31.91,9.0
76,23100,52.0,90.0,0.0,0.0,42.38,31.92,5.0
77,23400,56.0,93.0,0.0,0.0,42.38,31.92,10.5
78,23700,55.0,95.0,0.0,0.0,42.39,31.93,7.0
79,24000,57.25,94.5,0.0,0.0,42.4,31.93,8.25
80,24300,58.0,92.5,0.0,0.0,42.41,31.9375,10.5
81,24600,49.666666666666664,92.0,0.0,0.0,42.413333333333334,31.94,8.0
82,24900,48.0,91.0,0.0,0.0,42.43,31.95,7.0
83,25200,45.0,90.0,0.0,0.0,42.44,31.953333333333333,13.0
84,25500,46.0,89.0,0.0,0.0,42.44,31.96,13.5
85,25800,56.25,89.5,0.0,0.0,42.45,31.965,18.0
86,26100,55.666666666666664,92.0,0.0,0.0,42.46,31.97666666666667,17.0
87,26400,52.333333333333336,93.0,0.0,0.0,42.47,31.98,10.666666666666666
88,26700,37.25,90.5,0.0,0.0,42.4725,31.982499999999998,9.75
89,27000,43.5,93.0,0.0,0.0,42.48,31.99,10.0
90,27300,43.5,93.0,0.0,0.0,42.48,31.99,10.0
91,27600,42.75,91.5,0.0,0.0,42.49,32.0,4.25
92,27900,32.333333333333336,92.0,0.0,0.0,42.5,32.00666666666666,4.333333333333333
93,28200,32.333333333333336,92.0,0.0,0.0,42.5,32.00666666666666,4.333333333333333
94,28500,32.333333333333336,92.0,0.0,0.0,42.5,32.00666666666666,4.333333333333333
95,28800,32.333333333333336,92.0,0.0,0.0,42.5,32.00666666666666,4.333333333333333
