,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,19.4,92.2,0.0,0.0,41.94,31.639999999999997,3.4
7,2400,19.75,91.0,0.0,0.0,41.94,31.64,3.75
8,2700,24.2,94.2,0.0,0.0,41.95,31.65,7.4
9,3000,21.0,91.5,0.0,0.0,41.95,31.65,16.0
10,3300,37.0,95.0,0.0,0.0,41.955,31.65,10.0
11,3600,20.0,95.0,0.0,0.0,41.96,31.66,3.0
12,3900,26.0,95.5,0.0,0.0,41.965,31.66,2.5
13,4200,22.0,93.5,0.0,0.0,41.97,31.665,3.0
14,4500,15.5,90.5,0.0,0.0,41.97,31.67,3.0
15,4800,39.0,95.0,0.0,0.0,41.97857142857142,31.67000000000001,3.4285714285714284
16,5100,34.0,89.0,0.0,0.0,41.98,31.67,5.0
17,5400,39.666666666666664,85.0,0.0,0.0,41.98666666666667,31.679999999999996,5.666666666666667
18,5700,39.25,86.5,0.0,0.0,41.99,31.68,5.0
19,6000,32.8,85.2,0.0,0.0,42.0,31.690000000000005,3.6
20,6300,23.5,82.5,0.0,0.0,42.004999999999995,31.69,3.0
21,6600,29.5,87.5,0.0,0.0,42.01,31.7,4.25
22,6900,30.333333333333332,86.0,0.0,0.0,42.01333333333333,31.7,3.0
23,7200,28.333333333333332,84.0,0.0,0.0,42.02,31.703333333333333,6.666666666666667
24,7500,31.0,88.0,0.0,0.0,42.02666666666667,31.709999999999997,3.3333333333333335
25,7800,18.0,84.5,0.0,0.0,42.03,31.715,3.0
26,8100,18.0,84.5,0.0,0.0,42.03,31.715,3.0
27,8400,18.0,84.5,0.0,0.0,42.03,31.715,3.0
28,8700,18.0,84.5,0.0,0.0,42.03,31.715,3.0
29,9000,18.0,84.5,0.0,0.0,42.03,31.715,3.0
30,9300,18.0,84.5,0.0,0.0,42.03,31.715,3.0
31,9600,25.4,82.4,0.0,0.0,42.06,31.732,3.8
32,9900,23.0,82.33333333333333,0.0,0.0,42.06666666666666,31.74,4.0
33,10200,21.0,81.2,0.0,0.0,42.07,31.74,3.4
34,10500,21.0,81.2,0.0,0.0,42.07,31.74,3.4
35,10800,21.0,81.2,0.0,0.0,42.07,31.74,3.4
36,11100,21.0,81.2,0.0,0.0,42.07,31.74,3.4
37,11400,21.0,81.2,0.0,0.0,42.07,31.74,3.4
38,11700,21.0,81.2,0.0,0.0,42.07,31.74,3.4
39,12000,21.0,81.2,0.0,0.0,42.07,31.74,3.4
40,12300,21.0,81.2,0.0,0.0,42.07,31.74,3.4
41,12600,21.0,81.2,0.0,0.0,42.07,31.74,3.4
42,12900,21.0,81.2,0.0,0.0,42.07,31.74,3.4
43,13200,21.0,81.2,0.0,0.0,42.07,31.74,3.4
44,13500,21.0,81.2,0.0,0.0,42.07,31.74,3.4
45,13800,27.0,85.5,0.0,0.0,42.13999999999999,31.78,3.0
46,14100,28.0,88.0,0.0,0.0,42.15,31.78,3.0
47,14400,38.333333333333336,90.0,0.0,0.0,42.156666666666666,31.78333333333333,3.0
48,14700,43.666666666666664,88.66666666666667,0.0,0.0,42.16,31.790000000000003,8.0
49,15000,37.0,88.2,0.0,0.0,42.17,31.79,5.8
50,15300,37.0,88.2,0.0,0.0,42.17,31.79,5.8
51,15600,34.0,89.2,0.0,0.0,42.182,31.8,4.8
52,15900,28.5,89.0,0.0,0.0,42.19,31.8,4.5
53,16200,26.0,89.5,0.0,0.0,42.19,31.81,4.0
54,16500,28.333333333333332,89.33333333333333,0.0,0.0,42.2,31.81,4.333333333333333
55,16800,27.2,90.2,0.0,0.0,42.204,31.817999999999994,3.2
56,17100,25.0,90.0,0.0,0.0,42.21,31.820000000000004,3.3333333333333335
57,17400,41.8,92.4,0.0,0.0,42.212,31.82,3.2
58,17700,41.8,92.4,0.0,0.0,42.212,31.82,3.2
59,18000,41.8,92.4,0.0,0.0,42.212,31.82,3.2
60,18300,41.8,92.4,0.0,0.0,42.212,31.82,3.2
61,18600,41.8,92.4,0.0,0.0,42.212,31.82,3.2
62,18900,41.8,92.4,0.0,0.0,42.212,31.82,3.2
63,19200,41.8,92.4,0.0,0.0,42.212,31.82,3.2
64,19500,41.8,92.4,0.0,0.0,42.212,31.82,3.2
65,19800,41.8,92.4,0.0,0.0,42.212,31.82,3.2
66,20100,41.8,92.4,0.0,0.0,42.212,31.82,3.2
67,20400,41.8,92.4,0.0,0.0,42.212,31.82,3.2
68,20700,52.4,93.8,0.0,0.0,42.298,31.877999999999997,14.0
69,21000,53.333333333333336,93.0,0.0,0.0,42.3,31.88,9.333333333333334
70,21300,37.5,91.0,0.0,0.0,42.31,31.89,3.5
71,21600,36.666666666666664,89.66666666666667,0.0,0.0,42.31,31.89,4.0
72,21900,48.25,89.5,0.0,0.0,42.32,31.89,4.5
73,22200,44.666666666666664,89.66666666666667,0.0,0.0,42.33,31.899999999999995,5.666666666666667
74,22500,65.5,94.0,0.0,0.0,42.34,31.9,10.0
75,22800,79.0,96.0,0.0,0.0,42.355000000000004,31.91,10.5
76,23100,68.6,94.2,0.0,0.0,42.372,31.916000000000004,6.2
77,23400,66.0,95.4,0.0,0.0,42.384,31.920000000000005,9.8
78,23700,49.0,94.5,0.0,0.0,42.394999999999996,31.93,9.0
79,24000,53.0,92.33333333333333,0.0,0.0,42.4,31.929999999999996,8.666666666666666
80,24300,54.42857142857143,92.28571428571429,0.0,0.0,42.410000000000004,31.937142857142856,8.285714285714286
81,24600,45.666666666666664,91.66666666666667,0.0,0.0,42.413333333333334,31.94,7.666666666666667
82,24900,57.0,93.8,0.0,0.0,42.428000000000004,31.948,6.6
83,25200,45.2,90.2,0.0,0.0,42.434,31.951999999999998,16.6
84,25500,50.5,88.5,0.0,0.0,42.445,31.96,11.0
85,25800,55.0,90.0,0.0,0.0,42.449999999999996,31.968333333333334,17.833333333333332
86,26100,61.0,90.0,0.0,0.0,42.46,31.98,18.0
87,26400,58.0,93.0,0.0,0.0,42.47,31.98,8.0
88,26700,39.0,89.66666666666667,0.0,0.0,42.48,31.99,8.0
89,27000,48.0,94.75,0.0,0.0,42.48,31.99,9.0
90,27300,44.8,93.8,0.0,0.0,42.484,31.994,5.0
91,27600,40.0,94.0,0.0,0.0,42.49,32.0,4.0
92,27900,38.5,93.25,0.0,0.0,42.5,32.0025,3.75
93,28200,38.5,93.25,0.0,0.0,42.5,32.0025,3.75
94,28500,38.5,93.25,0.0,0.0,42.5,32.0025,3.75
95,28800,38.5,93.25,0.0,0.0,42.5,32.0025,3.75
96,29100,38.5,93.25,0.0,0.0,42.5,32.0025,3.75
97,29400,38.5,93.25,0.0,0.0,42.5,32.0025,3.75
98,29700,38.5,93.25,0.0,0.0,42.5,32.0025,3.75
99,30000,38.5,93.25,0.0,0.0,42.5,32.0025,3.75
100,30300,38.5,93.25,0.0,0.0,42.5,32.0025,3.75
101,30600,38.5,93.25,0.0,0.0,42.5,32.0025,3.75
102,30900,38.5,93.25,0.0,0.0,42.5,32.0025,3.75
