,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,27.0,80.5,0.0,0.0,38.84,31.49,4.0
13,4200,21.75,79.25,0.0,0.0,38.84,31.4975,3.0
14,4500,17.0,77.0,0.0,0.0,38.84,31.5,4.0
15,4800,39.666666666666664,82.0,0.0,0.0,38.85,31.5,4.666666666666667
16,5100,40.0,86.33333333333333,0.0,0.0,38.85,31.5,7.0
17,5400,29.333333333333332,80.66666666666667,0.0,0.0,38.86,31.503333333333334,4.333333333333333
18,5700,40.5,82.5,0.0,0.0,38.86,31.51,4.5
19,6000,27.333333333333332,80.0,0.0,0.0,38.87,31.51,3.3333333333333335
20,6300,28.8,79.2,0.0,0.0,38.87,31.52,3.2
21,6600,22.0,79.0,0.0,0.0,38.88,31.52,4.0
22,6900,30.333333333333332,82.66666666666667,0.0,0.0,38.88,31.52,3.6666666666666665
23,7200,33.333333333333336,83.33333333333333,0.0,0.0,38.88,31.52333333333333,5.333333333333333
24,7500,33.666666666666664,84.0,0.0,0.0,38.89,31.53,4.666666666666667
25,7800,23.4,84.4,0.0,0.0,38.896,31.53,3.4
26,8100,28.0,87.0,0.0,0.0,38.9,31.54,8.0
27,8400,36.5,82.75,0.0,0.0,38.902499999999996,31.54,5.5
28,8700,28.4,83.0,0.0,0.0,38.91,31.54,20.6
29,9000,24.8,81.2,0.0,0.0,38.912,31.55,6.2
30,9300,35.0,80.5,0.0,0.0,38.92,31.55,4.0
31,9600,28.5,81.0,0.0,0.0,38.92,31.55,4.0
32,9900,28.5,81.0,0.0,0.0,38.92,31.55,4.0
33,10200,28.5,81.0,0.0,0.0,38.92,31.55,4.0
34,10500,28.5,81.0,0.0,0.0,38.92,31.55,4.0
35,10800,28.5,81.0,0.0,0.0,38.92,31.55,4.0
36,11100,36.0,87.0,0.0,0.0,38.95,31.57,3.0
37,11400,21.5,84.5,0.0,0.0,38.96,31.57,3.5
38,11700,25.833333333333332,83.5,0.0,0.0,38.96,31.569999999999997,4.333333333333333
39,12000,23.5,81.0,0.0,0.0,38.96,31.57,5.0
40,12300,27.25,81.5,0.0,0.0,38.97,31.575,5.25
41,12600,34.333333333333336,86.66666666666667,0.0,0.0,38.97,31.58,5.666666666666667
42,12900,26.0,82.0,0.0,0.0,38.98,31.58,5.0
43,13200,32.0,83.0,0.0,0.0,38.98,31.58,6.0
44,13500,32.0,84.0,0.0,0.0,38.99,31.59,4.0
45,13800,32.0,84.0,0.0,0.0,38.99,31.59,4.0
46,14100,32.0,84.0,0.0,0.0,38.99,31.59,4.0
47,14400,32.0,84.0,0.0,0.0,38.99,31.59,4.0
48,14700,32.0,84.0,0.0,0.0,38.99,31.59,4.0
49,15000,32.0,84.0,0.0,0.0,38.99,31.59,4.0
50,15300,32.0,84.0,0.0,0.0,38.99,31.59,4.0
51,15600,32.0,84.0,0.0,0.0,38.99,31.59,4.0
52,15900,32.0,84.0,0.0,0.0,38.99,31.59,4.0
53,16200,32.0,84.0,0.0,0.0,38.99,31.59,4.0
54,16500,32.0,84.0,0.0,0.0,38.99,31.59,4.0
55,16800,32.0,84.0,0.0,0.0,38.99,31.59,4.0
56,17100,32.0,84.0,0.0,0.0,38.99,31.59,4.0
57,17400,32.0,84.0,0.0,0.0,38.99,31.59,4.0
58,17700,32.0,84.0,0.0,0.0,38.99,31.59,4.0
59,18000,32.0,84.0,0.0,0.0,38.99,31.59,4.0
60,18300,32.0,84.0,0.0,0.0,38.99,31.59,4.0
61,18600,32.0,84.0,0.0,0.0,38.99,31.59,4.0
62,18900,32.0,84.0,0.0,0.0,38.99,31.59,4.0
63,19200,32.0,84.0,0.0,0.0,38.99,31.59,4.0
64,19500,24.0,86.5,0.0,0.0,39.08,31.65,3.75
65,19800,44.4,88.0,0.0,0.0,39.083999999999996,31.65,10.4
66,20100,51.0,96.0,0.0,0.0,39.09,31.654999999999998,7.0
67,20400,58.0,90.75,0.0,0.0,39.1,31.66,13.0
68,20700,52.25,86.75,0.0,0.0,39.11,31.6625,15.0
69,21000,51.666666666666664,88.33333333333333,0.0,0.0,39.11666666666667,31.67,14.333333333333334
70,21300,52.0,90.0,0.0,0.0,39.12,31.67,7.5
71,21600,37.0,84.625,0.0,0.0,39.12625,31.680000000000003,8.5
72,21900,47.5,86.75,0.0,0.0,39.13250000000001,31.68,4.75
73,22200,49.5,89.0,0.0,0.0,39.14,31.68,8.0
74,22500,69.0,91.5,0.0,0.0,39.15,31.69,8.5
75,22800,81.6,92.4,0.0,0.0,39.166,31.7,8.8
76,23100,84.0,91.0,0.0,0.0,39.17,31.7,9.0
77,23400,84.0,91.0,0.0,0.0,39.17,31.7,9.0
78,23700,84.0,91.0,0.0,0.0,39.17,31.7,9.0
79,24000,84.0,91.0,0.0,0.0,39.17,31.7,9.0
80,24300,84.0,91.0,0.0,0.0,39.17,31.7,9.0
81,24600,84.0,91.0,0.0,0.0,39.17,31.7,9.0
82,24900,84.0,91.0,0.0,0.0,39.17,31.7,9.0
83,25200,84.0,91.0,0.0,0.0,39.17,31.7,9.0
84,25500,84.0,91.0,0.0,0.0,39.17,31.7,9.0
85,25800,84.0,91.0,0.0,0.0,39.17,31.7,9.0
86,26100,84.0,91.0,0.0,0.0,39.17,31.7,9.0
87,26400,84.0,91.0,0.0,0.0,39.17,31.7,9.0
88,26700,84.0,91.0,0.0,0.0,39.17,31.7,9.0
89,27000,47.5,95.5,0.0,0.0,39.26,31.76,4.0
90,27300,28.0,87.0,0.0,0.0,39.26,31.76,7.0
91,27600,39.0,88.8,0.0,0.0,39.264,31.768,6.8
92,27900,34.0,91.0,0.0,0.0,39.27,31.77,3.0
93,28200,32.666666666666664,87.66666666666667,0.0,0.0,39.28,31.78,8.333333333333334
94,28500,35.166666666666664,86.66666666666667,0.0,0.0,39.28,31.78,9.833333333333334
95,28800,46.0,93.0,0.0,0.0,39.29,31.79,5.0
96,29100,54.0,91.0,0.0,0.0,39.29333333333333,31.790000000000003,10.333333333333334
97,29400,39.0,87.0,0.0,0.0,39.3,31.79,8.0
98,29700,51.0,88.0,0.0,0.0,39.3,31.8,5.0
99,30000,57.5,87.5,0.0,0.0,39.31,31.805,7.0
100,30300,49.75,87.25,0.0,0.0,39.317499999999995,31.81,11.0
101,30600,59.0,91.0,0.0,0.0,39.33,31.82,7.0
102,30900,51.333333333333336,86.0,0.0,0.0,39.33,31.820000000000004,7.666666666666667
103,31200,50.666666666666664,88.66666666666667,0.0,0.0,39.333333333333336,31.826666666666664,9.333333333333334
104,31500,54.2,89.0,0.0,0.0,39.34,31.829999999999995,9.0
