,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,28.0,81.0,0.0,0.0,38.84,31.49,3.0
13,4200,24.666666666666668,80.33333333333333,0.0,0.0,38.84,31.49333333333333,3.0
14,4500,16.4,76.8,0.0,0.0,38.846,31.5,3.2
15,4800,42.666666666666664,85.33333333333333,0.0,0.0,38.85,31.5,6.0
16,5100,28.714285714285715,81.85714285714286,0.0,0.0,38.85142857142857,31.5,4.857142857142857
17,5400,36.0,80.66666666666667,0.0,0.0,38.86,31.503333333333334,6.0
18,5700,39.75,83.25,0.0,0.0,38.865,31.51,3.75
19,6000,33.0,80.33333333333333,0.0,0.0,38.87,31.51,4.333333333333333
20,6300,31.5,79.0,0.0,0.0,38.87,31.5125,3.5
21,6600,26.5,79.5,0.0,0.0,38.87,31.52,9.0
22,6900,29.0,81.8,0.0,0.0,38.88,31.52,4.0
23,7200,27.0,83.5,0.0,0.0,38.885000000000005,31.525,5.75
24,7500,29.5,84.0,0.0,0.0,38.89,31.53,5.0
25,7800,28.0,84.66666666666667,0.0,0.0,38.89666666666667,31.53,3.0
26,8100,32.0,86.33333333333333,0.0,0.0,38.9,31.540000000000003,11.333333333333334
27,8400,35.0,82.5,0.0,0.0,38.9,31.54,5.0
28,8700,28.666666666666668,82.0,0.0,0.0,38.91,31.540000000000003,5.666666666666667
29,9000,25.666666666666668,81.66666666666667,0.0,0.0,38.91,31.55,7.0
30,9300,32.833333333333336,81.16666666666667,0.0,0.0,38.92000000000001,31.55,3.6666666666666665
31,9600,32.833333333333336,81.16666666666667,0.0,0.0,38.92000000000001,31.55,3.6666666666666665
32,9900,32.833333333333336,81.16666666666667,0.0,0.0,38.92000000000001,31.55,3.6666666666666665
33,10200,32.833333333333336,81.16666666666667,0.0,0.0,38.92000000000001,31.55,3.6666666666666665
34,10500,32.833333333333336,81.16666666666667,0.0,0.0,38.92000000000001,31.55,3.6666666666666665
35,10800,32.833333333333336,81.16666666666667,0.0,0.0,38.92000000000001,31.55,3.6666666666666665
36,11100,32.833333333333336,81.16666666666667,0.0,0.0,38.92000000000001,31.55,3.6666666666666665
37,11400,24.0,85.25,0.0,0.0,38.955000000000005,31.57,3.75
38,11700,28.5,84.5,0.0,0.0,38.96,31.57,4.0
39,12000,20.75,80.5,0.0,0.0,38.9625,31.57,3.75
40,12300,33.666666666666664,83.33333333333333,0.0,0.0,38.97,31.58,4.0
41,12600,33.666666666666664,86.0,0.0,0.0,38.97,31.58,5.0
42,12900,40.0,86.0,0.0,0.0,38.97,31.58,7.0
43,13200,27.0,82.0,0.0,0.0,38.98,31.58,5.333333333333333
44,13500,36.75,85.25,0.0,0.0,38.99,31.59,4.25
45,13800,36.75,85.25,0.0,0.0,38.99,31.59,4.25
46,14100,36.75,85.25,0.0,0.0,38.99,31.59,4.25
47,14400,36.75,85.25,0.0,0.0,38.99,31.59,4.25
48,14700,36.75,85.25,0.0,0.0,38.99,31.59,4.25
49,15000,36.75,85.25,0.0,0.0,38.99,31.59,4.25
50,15300,36.75,85.25,0.0,0.0,38.99,31.59,4.25
51,15600,36.75,85.25,0.0,0.0,38.99,31.59,4.25
52,15900,36.75,85.25,0.0,0.0,38.99,31.59,4.25
53,16200,36.75,85.25,0.0,0.0,38.99,31.59,4.25
54,16500,36.75,85.25,0.0,0.0,38.99,31.59,4.25
55,16800,36.75,85.25,0.0,0.0,38.99,31.59,4.25
56,17100,36.75,85.25,0.0,0.0,38.99,31.59,4.25
57,17400,36.75,85.25,0.0,0.0,38.99,31.59,4.25
58,17700,36.75,85.25,0.0,0.0,38.99,31.59,4.25
59,18000,36.75,85.25,0.0,0.0,38.99,31.59,4.25
60,18300,36.75,85.25,0.0,0.0,38.99,31.59,4.25
61,18600,36.75,85.25,0.0,0.0,38.99,31.59,4.25
62,18900,36.75,85.25,0.0,0.0,38.99,31.59,4.25
63,19200,26.0,88.0,0.0,0.0,39.08,31.65,3.0
64,19500,22.0,85.5,0.0,0.0,39.08,31.65,4.0
65,19800,42.4,89.2,0.0,0.0,39.086,31.65,8.6
66,20100,53.25,94.25,0.0,0.0,39.09,31.65,6.0
67,20400,57.0,94.0,0.0,0.0,39.1,31.66,22.0
68,20700,48.5,87.0,0.0,0.0,39.11,31.665,14.0
69,21000,55.25,88.375,0.0,0.0,39.1175,31.67000000000001,13.625
70,21300,49.5,88.5,0.0,0.0,39.12,31.67,7.25
71,21600,49.5,88.5,0.0,0.0,39.12,31.67,7.25
72,21900,53.0,89.0,0.0,0.0,39.13,31.68,4.0
73,22200,44.0,88.75,0.0,0.0,39.14,31.685,8.0
74,22500,73.0,91.0,0.0,0.0,39.15,31.69,8.5
75,22800,80.75,91.5,0.0,0.0,39.17,31.7,11.5
76,23100,75.0,92.0,0.0,0.0,39.18,31.7,8.0
77,23400,75.0,92.0,0.0,0.0,39.18,31.7,8.0
78,23700,75.0,92.0,0.0,0.0,39.18,31.7,8.0
79,24000,75.0,92.0,0.0,0.0,39.18,31.7,8.0
80,24300,75.0,92.0,0.0,0.0,39.18,31.7,8.0
81,24600,75.0,92.0,0.0,0.0,39.18,31.7,8.0
82,24900,75.0,92.0,0.0,0.0,39.18,31.7,8.0
83,25200,75.0,92.0,0.0,0.0,39.18,31.7,8.0
84,25500,75.0,92.0,0.0,0.0,39.18,31.7,8.0
85,25800,75.0,92.0,0.0,0.0,39.18,31.7,8.0
86,26100,75.0,92.0,0.0,0.0,39.18,31.7,8.0
87,26400,75.0,92.0,0.0,0.0,39.18,31.7,8.0
88,26700,75.0,92.0,0.0,0.0,39.18,31.7,8.0
89,27000,75.0,92.0,0.0,0.0,39.18,31.7,8.0
90,27300,40.0,90.2,0.0,0.0,39.26,31.76,6.0
91,27600,36.666666666666664,89.0,0.0,0.0,39.26333333333333,31.766666666666666,7.666666666666667
92,27900,37.0,90.33333333333333,0.0,0.0,39.27,31.77,4.0
93,28200,36.333333333333336,87.66666666666667,0.0,0.0,39.27,31.77,4.0
94,28500,40.0,88.0,0.0,0.0,39.28,31.78,9.0
95,28800,40.0,89.75,0.0,0.0,39.287499999999994,31.7825,5.75
96,29100,53.333333333333336,93.0,0.0,0.0,39.29,31.790000000000003,11.0
97,29400,39.5,87.5,0.0,0.0,39.3,31.79,7.25
98,29700,48.75,88.125,0.0,0.0,39.30375,31.798750000000005,7.125
99,30000,56.666666666666664,87.5,0.0,0.0,39.31,31.801666666666666,8.166666666666666
100,30300,48.0,87.5,0.0,0.0,39.32,31.81,7.5
101,30600,53.0,88.0,0.0,0.0,39.32,31.814999999999998,13.0
