,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,17.0,90.0,0.0,0.0,37.36,29.42,3.0
1,600,22.5,93.5,0.0,0.0,37.37,29.425,5.0
2,900,21.0,91.5,0.0,0.0,37.37,29.43,5.0
3,1200,23.5,92.0,0.0,0.0,37.372499999999995,29.43,5.25
4,1500,19.75,94.25,0.0,0.0,37.38,29.4375,4.0
5,1800,16.0,95.0,0.0,0.0,37.38,29.44,3.0
6,2100,27.333333333333332,92.0,0.0,0.0,37.39,29.44,4.0
7,2400,25.333333333333332,92.0,0.0,0.0,37.39,29.44,3.3333333333333335
8,2700,26.666666666666668,95.0,0.0,0.0,37.38999999999999,29.447777777777773,3.2222222222222223
9,3000,13.666666666666666,93.0,0.0,0.0,37.39333333333334,29.45,3.0
10,3300,17.0,93.2,0.0,0.0,37.4,29.45,3.4
11,3600,15.0,95.0,0.0,0.0,37.4,29.45,3.0
12,3900,38.333333333333336,96.0,0.0,0.0,37.4,29.45,3.0
13,4200,27.2,93.4,0.0,0.0,37.41,29.46,3.0
14,4500,12.75,91.25,0.0,0.0,37.41,29.46,3.0
15,4800,30.0,95.66666666666667,0.0,0.0,37.41,29.459999999999997,3.0
16,5100,25.0,83.5,0.0,0.0,37.42,29.47,4.0
17,5400,25.5,82.0,0.0,0.0,37.42,29.47,3.5
18,5700,33.333333333333336,83.33333333333333,0.0,0.0,37.42333333333334,29.47,3.3333333333333335
19,6000,25.142857142857142,82.28571428571429,0.0,0.0,37.43,29.477142857142855,3.5714285714285716
20,6300,25.142857142857142,82.28571428571429,0.0,0.0,37.43,29.477142857142855,3.5714285714285716
21,6600,23.0,83.0,0.0,0.0,37.44,29.48,5.0
22,6900,32.333333333333336,83.0,0.0,0.0,37.446666666666665,29.486666666666665,4.333333333333333
23,7200,80.0,82.0,0.0,0.0,37.45,29.49,14.0
24,7500,29.0,86.0,0.0,0.0,37.45,29.49,5.0
25,7800,42.4,83.0,0.0,0.0,37.46,29.5,6.8
26,8100,42.0,84.5,0.0,0.0,37.47,29.5,4.5
27,8400,39.333333333333336,83.33333333333333,0.0,0.0,37.47,29.5,6.666666666666667
28,8700,29.4,80.6,0.0,0.0,37.48,29.51,11.0
29,9000,26.0,82.0,0.0,0.0,37.48,29.51,3.0
