,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,33.25,90.0,0.0,0.0,37.36,29.42,3.0
1,600,24.0,92.75,0.0,0.0,37.3675,29.425000000000004,5.0
2,900,36.5,92.0,0.0,0.0,37.37,29.43,5.75
3,1200,38.0,91.75,0.0,0.0,37.372499999999995,29.43,4.0
4,1500,15.333333333333334,93.0,0.0,0.0,37.38,29.436666666666667,3.6666666666666665
5,1800,28.2,95.2,0.0,0.0,37.38,29.440000000000005,3.4
6,2100,24.5,93.5,0.0,0.0,37.385,29.44,3.25
7,2400,24.5,93.5,0.0,0.0,37.385,29.44,3.25
8,2700,25.0,95.0,0.0,0.0,37.39,29.45,3.0
9,3000,13.0,93.0,0.0,0.0,37.4,29.45,3.0
10,3300,17.666666666666668,93.0,0.0,0.0,37.4,29.45,4.0
11,3600,15.25,94.5,0.0,0.0,37.4,29.45,3.5
12,3900,25.666666666666668,95.33333333333333,0.0,0.0,37.4,29.45,3.3333333333333335
13,4200,20.5,94.5,0.0,0.0,37.41,29.46,3.0
14,4500,33.666666666666664,91.66666666666667,0.0,0.0,37.41,29.459999999999997,3.0
15,4800,38.333333333333336,91.0,0.0,0.0,37.41,29.459999999999997,3.6666666666666665
16,5100,24.5,83.0,0.0,0.0,37.42,29.465,4.5
17,5400,31.0,83.6,0.0,0.0,37.42,29.47,4.0
18,5700,32.0,84.0,0.0,0.0,37.43,29.47,3.5
19,6000,20.0,81.0,0.0,0.0,37.43,29.48,5.0
20,6300,19.0,80.0,0.0,0.0,37.44,29.48,4.0
21,6600,26.25,83.0,0.0,0.0,37.44,29.48,6.25
22,6900,30.0,83.25,0.0,0.0,37.442499999999995,29.485,5.0
23,7200,24.333333333333332,82.33333333333333,0.0,0.0,37.45,29.49,4.333333333333333
24,7500,22.0,83.0,0.0,0.0,37.46,29.49,4.0
25,7800,40.0,83.25,0.0,0.0,37.46,29.494999999999997,4.25
26,8100,54.0,84.4,0.0,0.0,37.468,29.5,4.8
27,8400,42.0,86.0,0.0,0.0,37.47,29.5,8.0
28,8700,34.0,81.0,0.0,0.0,37.48,29.51,17.0
29,9000,23.5,81.0,0.0,0.0,37.48,29.51,4.5
30,9300,25.0,80.25,0.0,0.0,37.49,29.51,3.25
31,9600,41.0,80.0,0.0,0.0,37.49,29.51,3.5
32,9900,26.166666666666668,79.66666666666667,0.0,0.0,37.49,29.518333333333334,3.6666666666666665
33,10200,18.75,79.0,0.0,0.0,37.5,29.52,3.0
34,10500,16.5,79.5,0.0,0.0,37.5,29.52,3.5
35,10800,19.0,80.0,0.0,0.0,37.5,29.52,8.0
36,11100,23.5,82.5,0.0,0.0,37.51,29.52,3.0
37,11400,22.8,82.2,0.0,0.0,37.52,29.53,3.2
38,11700,39.5,80.0,0.0,0.0,37.52,29.53,3.5
39,12000,33.0,80.33333333333333,0.0,0.0,37.52666666666667,29.53,4.333333333333333
40,12300,31.0,81.25,0.0,0.0,37.53,29.5325,6.25
41,12600,34.75,83.5,0.0,0.0,37.53,29.54,4.75
42,12900,24.0,82.2,0.0,0.0,37.54,29.54,5.0
43,13200,15.333333333333334,79.66666666666667,0.0,0.0,37.54,29.540000000000003,3.6666666666666665
44,13500,25.0,81.66666666666667,0.0,0.0,37.54666666666667,29.543333333333333,4.0
45,13800,27.571428571428573,82.57142857142857,0.0,0.0,37.550000000000004,29.550000000000004,4.714285714285714
