,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,14.0,89.0,0.0,0.0,33.41,25.83,2.5
1,600,84.0,93.0,0.0,0.0,33.41,25.84,3.0
2,900,83.25,93.5,0.0,0.0,33.417500000000004,25.84,4.75
3,1200,25.0,74.0,0.0,0.0,33.43,25.85,4.0
4,1500,25.666666666666668,75.83333333333333,0.0,0.0,33.43,25.849999999999998,2.3333333333333335
5,1800,24.0,77.5,0.0,0.0,33.43,25.85,2.5
6,2100,24.0,77.5,0.0,0.0,33.43,25.85,2.5
7,2400,24.0,77.5,0.0,0.0,33.43,25.85,2.5
8,2700,24.0,77.5,0.0,0.0,33.43,25.85,2.5
9,3000,24.0,77.5,0.0,0.0,33.43,25.85,2.5
10,3300,24.0,77.5,0.0,0.0,33.43,25.85,2.5
11,3600,24.0,77.5,0.0,0.0,33.43,25.85,2.5
12,3900,24.0,77.5,0.0,0.0,33.43,25.85,2.5
13,4200,24.0,77.5,0.0,0.0,33.43,25.85,2.5
14,4500,24.0,77.5,0.0,0.0,33.43,25.85,2.5
15,4800,24.0,77.5,0.0,0.0,33.43,25.85,2.5
16,5100,24.0,77.5,0.0,0.0,33.43,25.85,2.5
17,5400,24.0,77.5,0.0,0.0,33.43,25.85,2.5
18,5700,33.8,80.2,0.0,0.0,33.48,25.889999999999997,3.0
19,6000,26.666666666666668,77.33333333333333,0.0,0.0,33.48666666666667,25.89,3.3333333333333335
20,6300,21.0,75.5,0.0,0.0,33.49,25.9,3.0
21,6600,24.4,77.8,0.0,0.0,33.494,25.9,3.4
22,6900,21.5,77.5,0.0,0.0,33.5,25.9,4.5
23,7200,27.0,82.0,0.0,0.0,33.5,25.91,12.0
24,7500,33.0,83.0,0.0,0.0,33.51,25.91,4.0
25,7800,26.5,83.0,0.0,0.0,33.515,25.91,4.5
26,8100,31.0,82.8,0.0,0.0,33.52,25.920000000000005,3.8
27,8400,36.8,80.8,0.0,0.0,33.524,25.920000000000005,4.0
28,8700,25.6,79.2,0.0,0.0,33.53,25.926000000000005,7.0
29,9000,21.0,78.0,0.0,0.0,33.54,25.93,3.5
30,9300,31.5,78.0,0.0,0.0,33.54,25.93,3.0
