,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,14.0,89.33333333333333,0.0,0.0,33.41,25.829999999999995,5.0
1,600,83.66666666666667,94.0,0.0,0.0,33.41,25.84,3.0
2,900,71.6,89.2,0.0,0.0,33.42,25.839999999999996,4.4
3,1200,23.5,73.5,0.0,0.0,33.425,25.845,20.0
4,1500,24.5,75.5,0.0,0.0,33.43,25.85,2.0
5,1800,24.5,75.5,0.0,0.0,33.43,25.85,2.0
6,2100,24.5,75.5,0.0,0.0,33.43,25.85,2.0
7,2400,24.5,75.5,0.0,0.0,33.43,25.85,2.0
8,2700,24.5,75.5,0.0,0.0,33.43,25.85,2.0
9,3000,24.5,75.5,0.0,0.0,33.43,25.85,2.0
10,3300,24.5,75.5,0.0,0.0,33.43,25.85,2.0
11,3600,24.5,75.5,0.0,0.0,33.43,25.85,2.0
12,3900,24.5,75.5,0.0,0.0,33.43,25.85,2.0
13,4200,24.5,75.5,0.0,0.0,33.43,25.85,2.0
14,4500,24.5,75.5,0.0,0.0,33.43,25.85,2.0
15,4800,24.5,75.5,0.0,0.0,33.43,25.85,2.0
16,5100,24.5,75.5,0.0,0.0,33.43,25.85,2.0
17,5400,24.5,75.5,0.0,0.0,33.43,25.85,2.0
18,5700,31.0,80.0,0.0,0.0,33.48,25.89,3.0
19,6000,25.5,77.5,0.0,0.0,33.49,25.89,2.75
20,6300,21.5,76.0,0.0,0.0,33.49,25.895,4.0
21,6600,25.0,78.0,0.0,0.0,33.49,25.9,3.0
22,6900,20.4,78.4,0.0,0.0,33.5,25.9,4.4
23,7200,25.0,80.25,0.0,0.0,33.5,25.9075,5.75
24,7500,29.5,82.83333333333333,0.0,0.0,33.51,25.91,4.833333333333333
25,7800,28.5,82.5,0.0,0.0,33.51,25.91,3.5
26,8100,24.75,82.25,0.0,0.0,33.52,25.92,3.75
27,8400,28.2,80.0,0.0,0.0,33.528000000000006,25.920000000000005,4.0
28,8700,25.25,78.5,0.0,0.0,33.53,25.9225,7.25
29,9000,22.0,79.0,0.0,0.0,33.53,25.93,2.0
30,9300,29.8,78.2,0.0,0.0,33.54,25.93,3.2
31,9600,34.666666666666664,78.5,0.0,0.0,33.541666666666664,25.930000000000003,3.0
32,9900,20.0,77.0,0.0,0.0,33.55,25.93,2.0
33,10200,21.5,79.0,0.0,0.0,33.55,25.94,3.5
34,10500,21.5,79.0,0.0,0.0,33.55,25.94,3.5
35,10800,25.0,79.5,0.0,0.0,33.56,25.94,5.25
36,11100,27.5,82.25,0.0,0.0,33.567499999999995,25.94,3.25
37,11400,14.0,81.0,0.0,0.0,33.58,25.95,2.0
38,11700,22.4,81.8,0.0,0.0,33.58,25.95,3.4
39,12000,20.333333333333332,79.33333333333333,0.0,0.0,33.583333333333336,25.95,3.6666666666666665
40,12300,21.75,79.0,0.0,0.0,33.59,25.95,2.75
41,12600,27.4,83.4,0.0,0.0,33.598,25.96,2.8
42,12900,23.8,81.2,0.0,0.0,33.6,25.96,3.2
43,13200,19.333333333333332,79.0,0.0,0.0,33.6,25.959999999999997,2.6666666666666665
44,13500,24.5,81.0,0.0,0.0,33.61,25.96,4.5
45,13800,24.0,82.2,0.0,0.0,33.612,25.965999999999998,3.4
46,14100,27.333333333333332,83.33333333333333,0.0,0.0,33.62,25.97,3.0
47,14400,26.5,86.5,0.0,0.0,33.63,25.97,4.0
48,14700,26.5,86.5,0.0,0.0,33.63,25.97,4.0
49,15000,26.5,86.5,0.0,0.0,33.63,25.97,4.0
50,15300,26.5,86.5,0.0,0.0,33.63,25.97,4.0
51,15600,26.5,86.5,0.0,0.0,33.63,25.97,4.0
52,15900,26.5,86.5,0.0,0.0,33.63,25.97,4.0
53,16200,26.5,86.5,0.0,0.0,33.63,25.97,4.0
54,16500,27.0,84.5,0.0,0.0,33.66,25.99,4.5
55,16800,20.0,83.5,0.0,0.0,33.66,25.994999999999997,2.5
56,17100,23.666666666666668,85.33333333333333,0.0,0.0,33.663333333333334,26.0,2.3333333333333335
57,17400,23.666666666666668,85.33333333333333,0.0,0.0,33.663333333333334,26.0,2.3333333333333335
58,17700,32.5,89.0,0.0,0.0,33.6775,26.005000000000003,8.0
59,18000,27.666666666666668,88.33333333333333,0.0,0.0,33.68,26.01,14.666666666666666
60,18300,32.5,87.5,0.0,0.0,33.68,26.01,7.5
61,18600,30.5,86.0,0.0,0.0,33.69,26.015,3.5
62,18900,34.0,87.0,0.0,0.0,33.69,26.02,4.0
63,19200,24.0,83.0,0.0,0.0,33.7,26.03,4.0
64,19500,21.2,83.6,0.0,0.0,33.7,26.03,12.4
65,19800,38.333333333333336,86.0,0.0,0.0,33.71,26.03,8.333333333333334
66,20100,21.5,84.0,0.0,0.0,33.71,26.03,6.0
67,20400,49.0,90.0,0.0,0.0,33.73,26.040000000000003,14.333333333333334
68,20700,42.5,91.0,0.0,0.0,33.735,26.04,15.5
69,21000,46.0,93.33333333333333,0.0,0.0,33.74,26.05,10.0
70,21300,36.5,90.0,0.0,0.0,33.75,26.05,8.5
71,21600,39.0,90.0,0.0,0.0,33.75,26.06,6.0
72,21900,56.5,90.5,0.0,0.0,33.76,26.06,10.0
73,22200,43.0,88.5,0.0,0.0,33.77,26.07,3.5
74,22500,59.5,93.0,0.0,0.0,33.77,26.07,6.0
75,22800,73.5,94.0,0.0,0.0,33.785,26.07,6.0
76,23100,73.5,94.0,0.0,0.0,33.785,26.07,6.0
77,23400,73.5,94.0,0.0,0.0,33.785,26.07,6.0
78,23700,73.5,94.0,0.0,0.0,33.785,26.07,6.0
79,24000,67.0,95.0,0.0,0.0,33.835,26.09,15.5
80,24300,54.0,95.66666666666667,0.0,0.0,33.84,26.100000000000005,5.666666666666667
81,24600,44.666666666666664,93.66666666666667,0.0,0.0,33.85,26.100000000000005,8.666666666666666
82,24900,55.25,94.5,0.0,0.0,33.855000000000004,26.11,5.5
83,25200,55.25,94.5,0.0,0.0,33.855000000000004,26.11,5.5
84,25500,43.0,86.0,0.0,0.0,33.87,26.12,7.0
85,25800,43.0,86.0,0.0,0.0,33.87,26.12,7.0
86,26100,47.75,87.75,0.0,0.0,33.88,26.127499999999998,5.25
87,26400,43.666666666666664,86.66666666666667,0.0,0.0,33.89,26.13,5.666666666666667
88,26700,40.0,86.0,0.0,0.0,33.89,26.14,7.5
89,27000,46.0,90.5,0.0,0.0,33.9,26.14,6.0
90,27300,33.0,88.0,0.0,0.0,33.9,26.15,4.0
91,27600,34.0,90.0,0.0,0.0,33.91,26.15,7.0
92,27900,35.0,91.0,0.0,0.0,33.91,26.15,3.0
93,28200,29.5,87.25,0.0,0.0,33.92,26.16,7.0
94,28500,32.6,88.0,0.0,0.0,33.92,26.160000000000004,12.2
95,28800,35.2,90.8,0.0,0.0,33.93,26.170000000000005,7.0
96,29100,35.2,90.8,0.0,0.0,33.93,26.170000000000005,7.0
97,29400,48.0,90.8,0.0,0.0,33.943999999999996,26.178000000000004,5.4
98,29700,33.4,88.8,0.0,0.0,33.95,26.18,9.0
99,30000,40.5,90.0,0.0,0.0,33.95,26.19,14.0
100,30300,47.5,91.5,0.0,0.0,33.96,26.19,6.0
101,30600,45.666666666666664,91.33333333333333,0.0,0.0,33.96,26.2,7.833333333333333
102,30900,44.666666666666664,90.0,0.0,0.0,33.97,26.2,6.333333333333333
103,31200,40.4,90.4,0.0,0.0,33.97,26.21,5.4
104,31500,52.0,90.42857142857143,0.0,0.0,33.98,26.212857142857143,5.0
105,31800,47.666666666666664,91.66666666666667,0.0,0.0,33.98,26.22,5.0
106,32100,43.5,93.0,0.0,0.0,33.99,26.225,8.0
107,32400,35.0,88.0,0.0,0.0,33.99,26.23,4.0
108,32700,38.5,89.0,0.0,0.0,34.0,26.237499999999997,4.5
109,33000,41.0,91.16666666666667,0.0,0.0,34.00666666666666,26.246666666666666,5.833333333333333
110,33300,44.25,91.25,0.0,0.0,34.01,26.25,4.25
111,33600,44.2,90.6,0.0,0.0,34.016000000000005,26.256,4.4
112,33900,41.333333333333336,91.66666666666667,0.0,0.0,34.02,26.26,4.0
113,34200,37.25,89.0,0.0,0.0,34.03,26.27,5.0
114,34500,34.5,88.0,0.0,0.0,34.035,26.27,3.25
115,34800,29.0,87.0,0.0,0.0,34.04,26.28,4.0
116,35100,36.8,88.0,0.0,0.0,34.04,26.28,3.8
117,35400,34.333333333333336,89.0,0.0,0.0,34.05,26.28333333333333,2.6666666666666665
118,35700,36.0,90.0,0.0,0.0,34.055,26.29,3.75
119,36000,36.0,90.0,0.0,0.0,34.055,26.29,3.75
120,36300,34.75,91.25,0.0,0.0,34.0625,26.3,5.0
121,36600,34.0,88.2,0.0,0.0,34.07,26.3,3.6
122,36900,39.5,91.0,0.0,0.0,34.075,26.3075,5.5
123,37200,39.5,91.0,0.0,0.0,34.075,26.3075,5.5
124,37500,46.0,89.5,0.0,0.0,34.09,26.32,7.5
125,37800,33.75,85.5,0.0,0.0,34.0925,26.3225,4.25
126,38100,29.666666666666668,84.5,0.0,0.0,34.1,26.329999999999995,3.0
127,38400,29.75,84.0,0.0,0.0,34.1,26.33,22.75
128,38700,33.2,84.8,0.0,0.0,34.11,26.339999999999996,4.4
129,39000,35.333333333333336,85.0,0.0,0.0,34.11333333333334,26.343333333333334,3.6666666666666665
130,39300,27.6,83.0,0.0,0.0,34.12,26.35,4.8
131,39600,23.5,83.16666666666667,0.0,0.0,34.12,26.349999999999998,3.0
132,39900,29.857142857142858,86.0,0.0,0.0,34.13,26.358571428571427,3.5714285714285716
133,40200,35.0,87.0,0.0,0.0,34.13,26.36,4.25
134,40500,35.0,86.5,0.0,0.0,34.14,26.37,5.5
135,40800,31.5,87.25,0.0,0.0,34.1425,26.375,3.5
136,41100,39.8,88.8,0.0,0.0,34.15,26.380000000000003,4.0
137,41400,36.25,89.75,0.0,0.0,34.155,26.385,3.5
138,41700,40.6,89.2,0.0,0.0,34.16,26.389999999999997,3.6
139,42000,32.333333333333336,88.0,0.0,0.0,34.163333333333334,26.396666666666665,2.6666666666666665
140,42300,25.0,87.5,0.0,0.0,34.17,26.4,3.0
141,42600,31.0,88.0,0.0,0.0,34.17,26.4,3.25
142,42900,35.333333333333336,88.66666666666667,0.0,0.0,34.18,26.41,4.666666666666667
143,43200,33.75,88.5,0.0,0.0,34.18,26.41,3.25
144,43500,33.0,88.0,0.0,0.0,34.19,26.42,8.0
145,43800,26.0,86.0,0.0,0.0,34.19,26.42,3.0
146,44100,27.333333333333332,87.66666666666667,0.0,0.0,34.193333333333335,26.423333333333336,3.0
147,44400,27.333333333333332,87.66666666666667,0.0,0.0,34.193333333333335,26.423333333333336,3.0
148,44700,27.333333333333332,87.66666666666667,0.0,0.0,34.193333333333335,26.423333333333336,3.0
149,45000,23.5,84.75,0.0,0.0,34.21,26.44,5.0
150,45300,24.0,85.5,0.0,0.0,34.21,26.44,6.0
151,45600,24.5,86.5,0.0,0.0,34.22,26.45,3.0
152,45900,42.6,86.0,0.0,0.0,34.22,26.45,5.2
153,46200,34.25,88.75,0.0,0.0,34.22749999999999,26.45,3.5
154,46500,34.25,88.75,0.0,0.0,34.22749999999999,26.45,3.5
155,46800,34.25,88.75,0.0,0.0,34.22749999999999,26.45,3.5
156,47100,34.25,88.75,0.0,0.0,34.22749999999999,26.45,3.5
157,47400,34.25,88.75,0.0,0.0,34.22749999999999,26.45,3.5
158,47700,37.714285714285715,92.71428571428571,0.0,0.0,34.25,26.47428571428571,3.2857142857142856
159,48000,36.0,94.0,0.0,0.0,34.26,26.48,4.0
160,48300,36.0,94.0,0.0,0.0,34.26,26.48,4.0
161,48600,36.0,94.0,0.0,0.0,34.26,26.48,4.0
162,48900,36.0,94.0,0.0,0.0,34.26,26.48,4.0
163,49200,36.0,94.0,0.0,0.0,34.26,26.48,4.0
164,49500,36.0,94.0,0.0,0.0,34.26,26.48,4.0
165,49800,36.0,94.0,0.0,0.0,34.26,26.48,4.0
166,50100,36.0,94.0,0.0,0.0,34.26,26.48,4.0
167,50400,36.0,94.0,0.0,0.0,34.26,26.48,4.0
168,50700,36.0,94.0,0.0,0.0,34.26,26.48,4.0
169,51000,36.0,94.0,0.0,0.0,34.26,26.48,4.0
170,51300,36.0,94.0,0.0,0.0,34.26,26.48,4.0
171,51600,36.0,94.0,0.0,0.0,34.26,26.48,4.0
172,51900,36.0,94.0,0.0,0.0,34.26,26.48,4.0
173,52200,24.666666666666668,86.33333333333333,0.0,0.0,34.34,26.55,3.0
174,52500,33.666666666666664,89.0,0.0,0.0,34.34,26.55666666666667,4.333333333333333
175,52800,40.5,90.0,0.0,0.0,34.35,26.56,3.0
176,53100,32.75,88.5,0.0,0.0,34.352500000000006,26.564999999999998,4.25
177,53400,34.0,89.2,0.0,0.0,34.36,26.57,3.6
178,53700,34.0,89.2,0.0,0.0,34.36,26.57,3.6
179,54000,34.0,89.2,0.0,0.0,34.36,26.57,3.6
180,54300,34.0,89.2,0.0,0.0,34.36,26.57,3.6
181,54600,34.0,89.2,0.0,0.0,34.36,26.57,3.6
182,54900,34.0,89.2,0.0,0.0,34.36,26.57,3.6
183,55200,34.0,89.2,0.0,0.0,34.36,26.57,3.6
184,55500,34.0,89.2,0.0,0.0,34.36,26.57,3.6
185,55800,34.0,89.2,0.0,0.0,34.36,26.57,3.6
186,56100,34.0,89.2,0.0,0.0,34.36,26.57,3.6
187,56400,34.0,89.2,0.0,0.0,34.36,26.57,3.6
188,56700,34.0,89.2,0.0,0.0,34.36,26.57,3.6
189,57000,34.0,89.2,0.0,0.0,34.36,26.57,3.6
190,57300,34.0,89.2,0.0,0.0,34.36,26.57,3.6
191,57600,34.0,89.2,0.0,0.0,34.36,26.57,3.6
192,57900,34.0,89.2,0.0,0.0,34.36,26.57,3.6
193,58200,34.0,89.2,0.0,0.0,34.36,26.57,3.6
194,58500,34.0,89.2,0.0,0.0,34.36,26.57,3.6
195,58800,34.0,89.2,0.0,0.0,34.36,26.57,3.6
196,59100,34.0,89.2,0.0,0.0,34.36,26.57,3.6
197,59400,34.0,89.2,0.0,0.0,34.36,26.57,3.6
198,59700,34.0,89.2,0.0,0.0,34.36,26.57,3.6
199,60000,34.0,89.2,0.0,0.0,34.36,26.57,3.6
200,60300,34.0,89.2,0.0,0.0,34.36,26.57,3.6
201,60600,22.0,88.0,0.0,0.0,34.49,26.690000000000005,3.2
202,60900,29.333333333333332,88.66666666666667,0.0,0.0,34.49,26.69,8.666666666666666
203,61200,35.6,90.6,0.0,0.0,34.5,26.7,4.0
204,61500,33.333333333333336,91.66666666666667,0.0,0.0,34.50666666666666,26.703333333333333,4.333333333333333
205,61800,37.0,91.5,0.0,0.0,34.51,26.71,4.0
206,62100,40.0,91.66666666666667,0.0,0.0,34.52,26.72,4.0
207,62400,29.0,91.0,0.0,0.0,34.53,26.72,4.0
208,62700,35.0,91.66666666666667,0.0,0.0,34.53333333333333,26.73,5.666666666666667
209,63000,29.0,91.0,0.0,0.0,34.54,26.73,6.0
210,63300,32.5,91.0,0.0,0.0,34.545,26.74,6.0
211,63600,38.75,92.75,0.0,0.0,34.552499999999995,26.744999999999997,5.75
212,63900,40.5,94.5,0.0,0.0,34.56,26.75,6.75
213,64200,48.666666666666664,93.16666666666667,0.0,0.0,34.56333333333333,26.751666666666665,15.5
214,64500,27.5,93.0,0.0,0.0,34.57,26.76,5.5
215,64800,27.5,93.0,0.0,0.0,34.575,26.76,4.5
216,65100,28.0,95.0,0.0,0.0,34.58,26.77,3.0
217,65400,37.4,93.6,0.0,0.0,34.583999999999996,26.77,4.2
218,65700,41.0,95.0,0.0,0.0,34.59,26.78,3.0
219,66000,32.75,90.5,0.0,0.0,34.6,26.78,4.25
220,66300,23.0,88.75,0.0,0.0,34.602500000000006,26.79,5.0
221,66600,23.0,89.0,0.0,0.0,34.61,26.79,4.0
222,66900,27.666666666666668,89.0,0.0,0.0,34.61666666666667,26.8,3.3333333333333335
223,67200,23.75,88.625,0.0,0.0,34.62,26.800000000000004,7.5
224,67500,23.333333333333332,89.0,0.0,0.0,34.626666666666665,26.80666666666667,6.0
225,67800,24.5,89.0,0.0,0.0,34.63,26.81,4.5
226,68100,24.666666666666668,90.33333333333333,0.0,0.0,34.63,26.81,3.0
227,68400,26.0,93.0,0.0,0.0,34.64,26.82,3.0
228,68700,22.333333333333332,90.66666666666667,0.0,0.0,34.64,26.820000000000004,3.6666666666666665
229,69000,29.857142857142858,92.85714285714286,0.0,0.0,34.65,26.82999999999999,3.4285714285714284
230,69300,27.0,91.5,0.0,0.0,34.652499999999996,26.83,5.0
231,69600,32.0,92.25,0.0,0.0,34.66,26.83,3.25
232,69900,30.0,94.0,0.0,0.0,34.67,26.84,4.0
233,70200,22.333333333333332,93.0,0.0,0.0,34.67,26.84,3.0
234,70500,22.333333333333332,91.33333333333333,0.0,0.0,34.68,26.846666666666664,4.166666666666667
235,70800,21.0,91.0,0.0,0.0,34.68,26.85,2.5
236,71100,29.0,91.25,0.0,0.0,34.68,26.85,4.25
237,71400,22.5,91.25,0.0,0.0,34.69,26.86,3.0
238,71700,29.666666666666668,92.33333333333333,0.0,0.0,34.69,26.86,4.0
239,72000,29.25,94.0,0.0,0.0,34.695,26.86,3.5
240,72300,27.5,92.75,0.0,0.0,34.7,26.87,3.0
241,72600,29.0,93.0,0.0,0.0,34.7,26.87,3.0
242,72900,29.0,93.0,0.0,0.0,34.7,26.87,3.0
243,73200,29.666666666666668,94.0,0.0,0.0,34.71666666666667,26.88,3.3333333333333335
244,73500,23.0,95.0,0.0,0.0,34.72,26.88,4.0
245,73800,23.5,94.0,0.0,0.0,34.73,26.89,3.0
246,74100,26.0,94.5,0.0,0.0,34.73,26.89,4.0
247,74400,35.0,93.33333333333333,0.0,0.0,34.74,26.89,3.6666666666666665
248,74700,29.6,94.6,0.0,0.0,34.748000000000005,26.898000000000003,3.4
249,75000,26.666666666666668,94.33333333333333,0.0,0.0,34.75,26.899999999999995,1.6666666666666667
250,75300,34.42857142857143,96.0,0.0,0.0,34.755714285714284,26.90142857142857,4.714285714285714
251,75600,32.166666666666664,96.5,0.0,0.0,34.76,26.91,8.5
252,75900,26.5,95.5,0.0,0.0,34.76,26.91,9.0
253,76200,33.5,95.75,0.0,0.0,34.77,26.9175,7.0
254,76500,25.0,91.66666666666667,0.0,0.0,34.78,26.92,4.0
255,76800,30.0,92.33333333333333,0.0,0.0,34.78,26.923333333333336,4.0
256,77100,29.0,93.4,0.0,0.0,34.785999999999994,26.93,3.6
257,77400,26.333333333333332,94.0,0.0,0.0,34.79,26.936666666666667,3.0
258,77700,27.0,94.0,0.0,0.0,34.8,26.94,4.0
259,78000,27.0,95.0,0.0,0.0,34.8,26.940000000000005,3.2
260,78300,25.333333333333332,94.33333333333333,0.0,0.0,34.806666666666665,26.95,4.0
261,78600,29.0,95.0,0.0,0.0,34.81,26.95,3.5
262,78900,27.0,95.5,0.0,0.0,34.81,26.95,3.0
263,79200,28.0,95.33333333333333,0.0,0.0,34.82,26.960000000000004,3.3333333333333335
264,79500,32.0,95.0,0.0,0.0,34.82,26.96,7.0
265,79800,46.0,94.5,0.0,0.0,34.835,26.965,6.0
266,80100,26.25,92.5,0.0,0.0,34.84,26.97,4.5
267,80400,29.0,92.83333333333333,0.0,0.0,34.84,26.97,3.6666666666666665
268,80700,25.333333333333332,91.66666666666667,0.0,0.0,34.846666666666664,26.97666666666667,5.333333333333333
269,81000,25.333333333333332,91.66666666666667,0.0,0.0,34.846666666666664,26.97666666666667,5.333333333333333
270,81300,20.75,92.75,0.0,0.0,34.8575,26.98,3.25
271,81600,19.0,93.0,0.0,0.0,34.86,26.99,4.0
272,81900,20.25,92.75,0.0,0.0,34.86,26.99,3.0
273,82200,19.0,92.66666666666667,0.0,0.0,34.87,26.99,3.0
274,82500,20.25,92.25,0.0,0.0,34.87,26.9975,3.25
275,82800,27.2,96.2,0.0,0.0,34.87,27.0,3.0
276,83100,26.666666666666668,92.0,0.0,0.0,34.88,27.0,4.0
277,83400,24.5,91.5,0.0,0.0,34.88,27.005000000000003,3.0
278,83700,25.333333333333332,89.66666666666667,0.0,0.0,34.88666666666667,27.01,3.0
279,84000,27.6,89.6,0.0,0.0,34.89,27.01,5.8
280,84300,24.0,90.0,0.0,0.0,34.89,27.015,4.0
281,84600,65.5,95.0,0.0,0.0,34.9,27.02,22.0
282,84900,69.0,88.5,0.0,0.0,34.9,27.02,16.5
283,85200,37.0,82.0,0.0,0.0,34.91,27.03,13.0
284,85500,44.0,77.0,0.0,0.0,34.913333333333334,27.03333333333333,54.333333333333336
285,85800,39.333333333333336,75.66666666666667,0.0,0.0,34.92,27.040000000000003,52.0
286,86100,24.666666666666668,71.33333333333333,0.0,0.0,34.92,27.043333333333333,5.0
287,86400,19.5,72.5,0.0,0.0,34.93,27.05,2.5
288,86700,16.0,72.0,0.0,0.0,34.93,27.05,2.0
289,87000,37.833333333333336,82.66666666666667,0.0,0.0,34.931666666666665,27.051666666666666,3.5
290,87300,37.833333333333336,82.66666666666667,0.0,0.0,34.931666666666665,27.051666666666666,3.5
291,87600,56.75,83.5,0.0,0.0,34.95,27.07,4.0
292,87900,51.4,86.8,0.0,0.0,34.95,27.072000000000003,10.4
293,88200,29.75,76.5,0.0,0.0,34.9575,27.08,59.5
294,88500,32.0,77.0,0.0,0.0,34.96,27.08,5.0
295,88800,32.0,77.0,0.0,0.0,34.96,27.08,5.0
296,89100,32.0,77.0,0.0,0.0,34.96,27.08,5.0
297,89400,32.0,77.0,0.0,0.0,34.96,27.08,5.0
298,89700,32.0,77.0,0.0,0.0,34.96,27.08,5.0
299,90000,32.0,77.0,0.0,0.0,34.96,27.08,5.0
300,90300,32.0,77.0,0.0,0.0,34.96,27.08,5.0
301,90600,32.0,77.0,0.0,0.0,34.96,27.08,5.0
302,90900,32.0,77.0,0.0,0.0,34.96,27.08,5.0
303,91200,32.0,77.0,0.0,0.0,34.96,27.08,5.0
304,91500,32.0,77.0,0.0,0.0,34.96,27.08,5.0
305,91800,32.0,77.0,0.0,0.0,34.96,27.08,5.0
306,92100,32.0,77.0,0.0,0.0,34.96,27.08,5.0
307,92400,32.0,77.0,0.0,0.0,34.96,27.08,5.0
308,92700,32.0,77.0,0.0,0.0,34.96,27.08,5.0
309,93000,32.0,77.0,0.0,0.0,34.96,27.08,5.0
310,93300,32.0,77.0,0.0,0.0,34.96,27.08,5.0
311,93600,34.0,82.0,0.0,0.0,35.03,27.13,3.0
312,93900,24.0,81.0,0.0,0.0,35.03,27.14,3.3333333333333335
313,94200,23.5,79.0,0.0,0.0,35.04,27.14,4.25
314,94500,23.5,79.0,0.0,0.0,35.04,27.14,4.25
315,94800,26.5,79.5,0.0,0.0,35.05,27.15,3.5
316,95100,25.666666666666668,78.66666666666667,0.0,0.0,35.05,27.153333333333332,5.666666666666667
317,95400,30.0,81.0,0.0,0.0,35.06,27.16,3.0
318,95700,34.666666666666664,81.33333333333333,0.0,0.0,35.06,27.16,4.666666666666667
319,96000,35.5,81.5,0.0,0.0,35.07,27.16,5.0
320,96300,32.333333333333336,82.33333333333333,0.0,0.0,35.07,27.166666666666668,8.333333333333334
321,96600,35.6,82.0,0.0,0.0,35.08,27.170000000000005,12.0
322,96900,29.0,82.0,0.0,0.0,35.08,27.17,4.0
323,97200,30.5,81.33333333333333,0.0,0.0,35.09,27.175,4.0
324,97500,30.0,84.0,0.0,0.0,35.09,27.18,4.0
325,97800,41.0,85.0,0.0,0.0,35.1,27.18,7.0
326,98100,41.666666666666664,83.66666666666667,0.0,0.0,35.10833333333334,27.19,3.3333333333333335
327,98400,35.666666666666664,80.66666666666667,0.0,0.0,35.11333333333334,27.19,4.666666666666667
328,98700,30.5,81.0,0.0,0.0,35.13,27.19,3.0
329,99000,44.0,87.0,0.0,0.0,35.13666666666667,27.19666666666667,4.666666666666667
330,99300,31.75,85.75,0.0,0.0,35.14,27.2,7.0
331,99600,26.6,83.8,0.0,0.0,35.146,27.2,9.2
332,99900,29.0,83.0,0.0,0.0,35.15,27.2,8.0
333,100200,31.285714285714285,82.28571428571429,0.0,0.0,35.15857142857143,27.210000000000004,15.0
334,100500,34.666666666666664,84.33333333333333,0.0,0.0,35.16,27.209999999999997,5.333333333333333
335,100800,31.857142857142858,82.85714285714286,0.0,0.0,35.16857142857144,27.210000000000004,3.857142857142857
336,101100,32.0,84.5,0.0,0.0,35.175,27.22,4.0
337,101400,43.75,84.75,0.0,0.0,35.1825,27.22,9.0
338,101700,37.0,85.0,0.0,0.0,35.19,27.225,10.5
339,102000,28.0,84.0,0.0,0.0,35.2,27.23,6.0
340,102300,26.0,84.66666666666667,0.0,0.0,35.2,27.23,4.666666666666667
341,102600,26.0,84.66666666666667,0.0,0.0,35.2,27.23,4.666666666666667
342,102900,28.5,83.5,0.0,0.0,35.215,27.24,5.5
343,103200,28.5,83.5,0.0,0.0,35.215,27.24,5.5
344,103500,37.8,86.0,0.0,0.0,35.221999999999994,27.241999999999997,14.4
345,103800,51.333333333333336,88.33333333333333,0.0,0.0,35.23,27.25,7.333333333333333
346,104100,52.0,93.0,0.0,0.0,35.24,27.253333333333334,29.0
347,104400,48.666666666666664,89.5,0.0,0.0,35.24666666666667,27.26,11.666666666666666
348,104700,44.6,86.6,0.0,0.0,35.25,27.262,17.2
349,105000,42.25,89.0,0.0,0.0,35.2525,27.27,7.0
350,105300,48.0,93.0,0.0,0.0,35.26,27.275,4.5
351,105600,47.5,86.0,0.0,0.0,35.2775,27.28,7.0
352,105900,47.5,86.0,0.0,0.0,35.2775,27.28,7.0
353,106200,37.0,85.0,0.0,0.0,35.28,27.29,4.0
354,106500,31.0,86.0,0.0,0.0,35.29,27.3,8.0
355,106800,44.5,87.5,0.0,0.0,35.3,27.3,7.5
356,107100,45.0,89.4,0.0,0.0,35.31,27.308,18.2
357,107400,53.0,92.0,0.0,0.0,35.32,27.32,10.0
358,107700,53.333333333333336,92.33333333333333,0.0,0.0,35.32,27.320000000000004,5.666666666666667
359,108000,67.0,85.0,0.0,0.0,35.33,27.32,10.0
360,108300,69.0,92.66666666666667,0.0,0.0,35.34833333333333,27.329999999999995,8.166666666666666
361,108600,80.4,94.0,0.0,0.0,35.364,27.333999999999996,7.6
362,108900,67.66666666666667,91.33333333333333,0.0,0.0,35.376666666666665,27.34,10.0
363,109200,65.0,92.16666666666667,0.0,0.0,35.38333333333333,27.34,17.333333333333332
364,109500,48.4,89.4,0.0,0.0,35.398,27.35,10.0
365,109800,57.75,91.5,0.0,0.0,35.402499999999996,27.352500000000003,7.25
366,110100,61.5,93.5,0.0,0.0,35.41,27.36,11.5
367,110400,57.5,91.5,0.0,0.0,35.42,27.365000000000002,7.5
368,110700,44.0,91.0,0.0,0.0,35.43,27.37,6.0
369,111000,52.0,93.0,0.0,0.0,35.43,27.38,9.0
370,111300,58.25,94.5,0.0,0.0,35.445,27.38,10.25
371,111600,52.0,89.0,0.0,0.0,35.45,27.39,13.0
372,111900,61.666666666666664,93.33333333333333,0.0,0.0,35.46,27.39,10.666666666666666
373,112200,55.0,96.0,0.0,0.0,35.47,27.399999999999995,7.666666666666667
374,112500,55.0,96.0,0.0,0.0,35.47,27.399999999999995,7.666666666666667
