,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,82.5,93.0,0.0,0.0,33.41,25.84,7.0
2,900,81.25,94.75,0.0,0.0,33.417500000000004,25.84,5.25
3,1200,29.0,74.33333333333333,0.0,0.0,33.42,25.850000000000005,4.0
4,1500,30.6,76.6,0.0,0.0,33.43,25.85,3.0
5,1800,26.0,76.0,0.0,0.0,33.43,25.85,3.0
6,2100,26.0,76.0,0.0,0.0,33.43,25.85,3.0
7,2400,26.0,76.0,0.0,0.0,33.43,25.85,3.0
8,2700,26.0,76.0,0.0,0.0,33.43,25.85,3.0
9,3000,26.0,76.0,0.0,0.0,33.43,25.85,3.0
10,3300,26.0,76.0,0.0,0.0,33.43,25.85,3.0
11,3600,26.0,76.0,0.0,0.0,33.43,25.85,3.0
12,3900,26.0,76.0,0.0,0.0,33.43,25.85,3.0
13,4200,26.0,76.0,0.0,0.0,33.43,25.85,3.0
14,4500,26.0,76.0,0.0,0.0,33.43,25.85,3.0
15,4800,26.0,76.0,0.0,0.0,33.43,25.85,3.0
16,5100,26.0,76.0,0.0,0.0,33.43,25.85,3.0
17,5400,41.0,78.5,0.0,0.0,33.48,25.89,3.0
18,5700,43.0,78.0,0.0,0.0,33.48,25.89,3.0
19,6000,24.333333333333332,77.0,0.0,0.0,33.49,25.89,2.6666666666666665
20,6300,21.166666666666668,76.16666666666667,0.0,0.0,33.49,25.895,3.6666666666666665
21,6600,26.5,77.5,0.0,0.0,33.49,25.9,4.0
22,6900,22.0,78.0,0.0,0.0,33.5,25.9,4.0
23,7200,24.333333333333332,80.33333333333333,0.0,0.0,33.5,25.91,6.333333333333333
24,7500,27.714285714285715,82.42857142857143,0.0,0.0,33.51,25.91,4.714285714285714
25,7800,27.0,81.66666666666667,0.0,0.0,33.51333333333333,25.913333333333338,3.6666666666666665
26,8100,29.75,82.0,0.0,0.0,33.52,25.92,3.75
27,8400,23.0,79.66666666666667,0.0,0.0,33.53,25.92,4.0
28,8700,22.5,77.5,0.0,0.0,33.53,25.925,11.5
29,9000,19.333333333333332,77.66666666666667,0.0,0.0,33.53666666666666,25.929999999999996,4.666666666666667
30,9300,32.0,78.0,0.0,0.0,33.54,25.93,2.0
31,9600,32.25,78.75,0.0,0.0,33.542500000000004,25.93,3.0
32,9900,21.0,78.0,0.0,0.0,33.55,25.929999999999996,2.0
33,10200,23.0,78.2,0.0,0.0,33.55,25.940000000000005,3.4
34,10500,24.5,78.5,0.0,0.0,33.55,25.94,4.0
35,10800,25.5,80.0,0.0,0.0,33.56,25.94,3.25
36,11100,27.0,81.83333333333333,0.0,0.0,33.565,25.941666666666666,4.166666666666667
37,11400,22.0,82.6,0.0,0.0,33.576,25.95,4.4
38,11700,24.0,81.4,0.0,0.0,33.58,25.95,2.8
39,12000,19.8,79.4,0.0,0.0,33.586,25.95,3.4
40,12300,24.285714285714285,79.85714285714286,0.0,0.0,33.59,25.949999999999996,3.0
41,12600,27.0,82.75,0.0,0.0,33.5975,25.957500000000003,3.25
42,12900,23.5,82.0,0.0,0.0,33.6,25.96,3.5
43,13200,19.5,79.5,0.0,0.0,33.6,25.96,2.5
44,13500,25.857142857142858,80.71428571428571,0.0,0.0,33.60571428571429,25.960000000000004,3.2857142857142856
45,13800,24.5,81.0,0.0,0.0,33.61,25.965,5.0
46,14100,28.25,83.25,0.0,0.0,33.62,25.97,4.25
47,14400,36.333333333333336,87.33333333333333,0.0,0.0,33.63,25.97,4.0
48,14700,36.333333333333336,87.33333333333333,0.0,0.0,33.63,25.97,4.0
49,15000,36.333333333333336,87.33333333333333,0.0,0.0,33.63,25.97,4.0
50,15300,36.333333333333336,87.33333333333333,0.0,0.0,33.63,25.97,4.0
51,15600,36.333333333333336,87.33333333333333,0.0,0.0,33.63,25.97,4.0
52,15900,36.333333333333336,87.33333333333333,0.0,0.0,33.63,25.97,4.0
53,16200,36.333333333333336,87.33333333333333,0.0,0.0,33.63,25.97,4.0
54,16500,33.5,85.5,0.0,0.0,33.66,25.99,3.5
55,16800,25.0,85.0,0.0,0.0,33.66,26.0,5.0
56,17100,22.857142857142858,85.71428571428571,0.0,0.0,33.66428571428572,26.0,2.5714285714285716
57,17400,33.0,87.5,0.0,0.0,33.67,26.0,4.75
58,17700,45.333333333333336,91.0,0.0,0.0,33.67333333333334,26.0,5.0
59,18000,31.0,88.75,0.0,0.0,33.68,26.01,11.75
60,18300,31.0,87.0,0.0,0.0,33.68,26.01,7.333333333333333
61,18600,31.0,86.33333333333333,0.0,0.0,33.69,26.013333333333335,3.6666666666666665
62,18900,35.0,86.75,0.0,0.0,33.69,26.02,4.0
63,19200,35.0,86.75,0.0,0.0,33.69,26.02,4.0
64,19500,20.333333333333332,83.33333333333333,0.0,0.0,33.7,26.03,8.333333333333334
65,19800,40.75,87.5,0.0,0.0,33.71,26.03,7.5
66,20100,46.0,89.0,0.0,0.0,33.715,26.03,10.0
67,20400,48.25,89.0,0.0,0.0,33.72749999999999,26.04,13.5
68,20700,49.75,92.25,0.0,0.0,33.735,26.0425,14.25
