,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,39.0,86.6,0.0,0.0,39.906,35.443999999999996,3.4
4,1500,35.333333333333336,89.0,0.0,0.0,39.91,35.45,3.6666666666666665
5,1800,38.125,91.125,0.0,0.0,39.92000000000001,35.45375,4.0
6,2100,36.75,89.25,0.0,0.0,39.92,35.46,5.25
7,2400,26.0,87.0,0.0,0.0,39.924,35.462,3.8
8,2700,36.666666666666664,85.0,0.0,0.0,39.93,35.47,7.0
9,3000,44.666666666666664,86.66666666666667,0.0,0.0,39.94,35.47333333333333,12.666666666666666
10,3300,47.0,85.0,0.0,0.0,39.94,35.48,12.0
11,3600,27.75,85.0,0.0,0.0,39.94,35.48,3.25
12,3900,33.0,88.5,0.0,0.0,39.95,35.49,3.5
13,4200,34.0,91.33333333333333,0.0,0.0,39.95,35.49,3.0
14,4500,26.0,87.0,0.0,0.0,39.96,35.5,3.5
15,4800,44.75,91.5,0.0,0.0,39.9625,35.5,3.25
16,5100,41.666666666666664,89.66666666666667,0.0,0.0,39.97,35.50666666666666,4.666666666666667
17,5400,41.25,84.5,0.0,0.0,39.97,35.51,5.5
18,5700,47.25,85.75,0.0,0.0,39.98,35.515,4.0
19,6000,37.0,83.66666666666667,0.0,0.0,39.98333333333333,35.52,4.333333333333333
20,6300,31.0,82.0,0.0,0.0,39.99,35.53,3.0
21,6600,33.666666666666664,83.0,0.0,0.0,39.99333333333333,35.53,4.666666666666667
22,6900,42.0,86.4,0.0,0.0,40.0,35.538,4.0
23,7200,35.5,86.0,0.0,0.0,40.004999999999995,35.545,4.5
24,7500,43.5,85.75,0.0,0.0,40.0125,35.55,4.25
25,7800,38.0,86.5,0.0,0.0,40.02,35.552499999999995,4.5
26,8100,38.0,86.5,0.0,0.0,40.02,35.552499999999995,4.5
27,8400,32.0,82.0,0.0,0.0,40.03,35.56,6.0
28,8700,32.0,82.0,0.0,0.0,40.03,35.56,6.0
29,9000,35.0,84.0,0.0,0.0,40.04,35.57,4.0
30,9300,33.5,81.0,0.0,0.0,40.045,35.575,5.0
31,9600,34.0,82.5,0.0,0.0,40.05,35.58,7.5
32,9900,27.0,81.0,0.0,0.0,40.06,35.58,6.333333333333333
33,10200,28.0,81.4,0.0,0.0,40.06,35.59,4.2
34,10500,33.0,81.5,0.0,0.0,40.07,35.59,5.0
35,10800,28.571428571428573,83.0,0.0,0.0,40.07,35.597142857142856,4.428571428571429
36,11100,39.0,84.66666666666667,0.0,0.0,40.07666666666667,35.6,3.0
37,11400,27.5,85.5,0.0,0.0,40.09,35.6,4.0
38,11700,28.5,84.5,0.0,0.0,40.09,35.61,3.0
39,12000,34.25,82.25,0.0,0.0,40.1,35.61,4.25
40,12300,35.285714285714285,83.28571428571429,0.0,0.0,40.10142857142857,35.611428571428576,4.142857142857143
41,12600,40.25,87.5,0.0,0.0,40.11,35.62,4.0
42,12900,32.333333333333336,84.0,0.0,0.0,40.11666666666667,35.62,4.666666666666667
43,13200,29.0,83.5,0.0,0.0,40.12,35.625,4.5
44,13500,42.75,85.25,0.0,0.0,40.1275,35.63,7.0
45,13800,30.25,86.0,0.0,0.0,40.13,35.63250000000001,3.5
46,14100,32.125,86.25,0.0,0.0,40.13625,35.63999999999999,4.25
47,14400,34.0,86.66666666666667,0.0,0.0,40.14,35.64,3.3333333333333335
48,14700,34.166666666666664,85.5,0.0,0.0,40.15,35.65,10.833333333333334
49,15000,38.0,85.0,0.0,0.0,40.15,35.65,10.0
50,15300,37.0,84.66666666666667,0.0,0.0,40.16,35.656666666666666,7.333333333333333
51,15600,33.0,84.0,0.0,0.0,40.16,35.66,5.0
52,15900,33.4,85.8,0.0,0.0,40.17,35.666,6.4
53,16200,33.4,85.8,0.0,0.0,40.17,35.666,6.4
54,16500,27.0,83.5,0.0,0.0,40.18,35.67,6.0
55,16800,24.0,84.0,0.0,0.0,40.18,35.68,3.0
56,17100,28.666666666666668,86.0,0.0,0.0,40.19,35.68,4.333333333333333
57,17400,40.5,88.0,0.0,0.0,40.19,35.68,4.5
58,17700,40.5,88.0,0.0,0.0,40.19,35.68,4.5
59,18000,30.5,79.5,0.0,0.0,40.21,35.705000000000005,4.75
60,18300,29.0,80.33333333333333,0.0,0.0,40.21666666666667,35.71,4.333333333333333
61,18600,29.0,79.5,0.0,0.0,40.22,35.715,3.0
62,18900,35.0,82.0,0.0,0.0,40.23,35.72,5.0
63,19200,29.0,79.2,0.0,0.0,40.234,35.724,3.6
64,19500,23.0,80.0,0.0,0.0,40.24,35.73,3.0
65,19800,23.0,80.0,0.0,0.0,40.24,35.73,3.0
66,20100,32.0,81.0,0.0,0.0,40.25,35.74,4.0
67,20400,32.0,81.0,0.0,0.0,40.25,35.74,4.0
68,20700,58.5,87.0,0.0,0.0,40.275000000000006,35.75,27.5
69,21000,52.5,88.5,0.0,0.0,40.28,35.76,13.0
70,21300,39.666666666666664,86.33333333333333,0.0,0.0,40.29,35.76,4.666666666666667
71,21600,39.666666666666664,86.33333333333333,0.0,0.0,40.29,35.76,4.666666666666667
72,21900,39.666666666666664,86.33333333333333,0.0,0.0,40.29,35.76,4.666666666666667
73,22200,46.333333333333336,86.33333333333333,0.0,0.0,40.30833333333334,35.78,9.166666666666666
74,22500,74.5,91.0,0.0,0.0,40.325,35.79,8.5
75,22800,77.0,91.0,0.0,0.0,40.33,35.79,6.0
76,23100,77.0,91.0,0.0,0.0,40.33,35.79,6.0
77,23400,77.0,91.0,0.0,0.0,40.33,35.79,6.0
78,23700,77.0,91.0,0.0,0.0,40.33,35.79,6.0
79,24000,77.0,91.0,0.0,0.0,40.33,35.79,6.0
80,24300,77.0,91.0,0.0,0.0,40.33,35.79,6.0
81,24600,77.0,91.0,0.0,0.0,40.33,35.79,6.0
82,24900,77.0,91.0,0.0,0.0,40.33,35.79,6.0
83,25200,77.0,91.0,0.0,0.0,40.33,35.79,6.0
84,25500,77.0,91.0,0.0,0.0,40.33,35.79,6.0
85,25800,77.0,91.0,0.0,0.0,40.33,35.79,6.0
86,26100,77.0,91.0,0.0,0.0,40.33,35.79,6.0
87,26400,47.0,93.0,0.0,0.0,40.43,35.87,6.0
88,26700,52.0,94.0,0.0,0.0,40.44,35.87,6.0
89,27000,52.0,94.0,0.0,0.0,40.44,35.87,6.0
90,27300,43.5,95.5,0.0,0.0,40.45,35.89,6.5
91,27600,45.5,94.0,0.0,0.0,40.455,35.89,5.5
92,27900,51.0,95.0,0.0,0.0,40.46,35.9,5.0
93,28200,42.0,90.5,0.0,0.0,40.47,35.91,5.0
94,28500,43.0,93.0,0.0,0.0,40.48,35.91,6.0
95,28800,43.333333333333336,91.0,0.0,0.0,40.48,35.92,8.333333333333334
96,29100,61.333333333333336,94.66666666666667,0.0,0.0,40.49,35.92333333333334,9.666666666666666
97,29400,52.0,95.0,0.0,0.0,40.49666666666667,35.93333333333333,8.333333333333334
98,29700,55.0,88.66666666666667,0.0,0.0,40.50333333333333,35.943333333333335,8.333333333333334
99,30000,61.833333333333336,88.83333333333333,0.0,0.0,40.51,35.949999999999996,6.166666666666667
100,30300,60.8,86.8,0.0,0.0,40.52,35.958000000000006,7.8
