,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,37.5,86.5,0.0,0.0,39.905,35.445,4.0
4,1500,35.5,90.25,0.0,0.0,39.91,35.45,3.25
5,1800,38.75,91.5,0.0,0.0,39.92,35.45,3.75
6,2100,33.0,89.0,0.0,0.0,39.92,35.46,6.0
7,2400,26.0,87.5,0.0,0.0,39.92,35.46,3.5
8,2700,33.0,85.0,0.0,0.0,39.93,35.47,3.0
9,3000,39.0,85.66666666666667,0.0,0.0,39.93666666666667,35.47333333333333,13.666666666666666
10,3300,31.333333333333332,85.33333333333333,0.0,0.0,39.94,35.48,4.333333333333333
11,3600,26.0,86.0,0.0,0.0,39.945,35.48,3.5
12,3900,32.333333333333336,87.66666666666667,0.0,0.0,39.95,35.49,3.0
13,4200,31.0,91.0,0.0,0.0,39.95,35.49,3.0
14,4500,26.0,87.0,0.0,0.0,39.96,35.5,3.25
15,4800,40.5,88.25,0.0,0.0,39.96,35.5,3.25
16,5100,40.0,88.5,0.0,0.0,39.97,35.50749999999999,4.0
17,5400,43.2,84.2,0.0,0.0,39.97,35.51,4.2
18,5700,44.5,87.0,0.0,0.0,39.98,35.52,4.0
19,6000,40.0,83.5,0.0,0.0,39.985,35.52,4.0
20,6300,33.0,83.0,0.0,0.0,39.99,35.53,3.0
21,6600,37.4,83.0,0.0,0.0,39.99,35.53,5.0
22,6900,40.75,86.75,0.0,0.0,40.0,35.54,4.0
23,7200,34.0,86.0,0.0,0.0,40.01,35.54,4.0
24,7500,41.8,85.4,0.0,0.0,40.01,35.55,4.4
25,7800,38.25,86.0,0.0,0.0,40.02,35.55,6.0
26,8100,30.0,83.0,0.0,0.0,40.026,35.56,7.6
27,8400,43.0,82.0,0.0,0.0,40.03,35.56,6.0
28,8700,30.5,82.0,0.0,0.0,40.03,35.57,6.0
29,9000,33.2,82.2,0.0,0.0,40.04,35.57,8.0
30,9300,30.0,81.0,0.0,0.0,40.05,35.58,5.0
31,9600,33.57142857142857,82.0,0.0,0.0,40.050000000000004,35.57999999999999,7.285714285714286
32,9900,28.0,81.0,0.0,0.0,40.05,35.58,8.0
33,10200,31.5,81.5,0.0,0.0,40.06,35.59,3.5
34,10500,34.6,81.6,0.0,0.0,40.064,35.59,4.8
35,10800,34.0,83.0,0.0,0.0,40.07,35.59,4.0
36,11100,31.0,84.0,0.0,0.0,40.07,35.6,4.0
37,11400,31.142857142857142,86.0,0.0,0.0,40.089999999999996,35.60142857142857,3.7142857142857144
38,11700,30.0,83.0,0.0,0.0,40.1,35.61,3.0
39,12000,33.5,83.0,0.0,0.0,40.1,35.61,4.0
40,12300,32.0,83.0,0.0,0.0,40.1,35.61,3.0
41,12600,42.0,87.0,0.0,0.0,40.11,35.62,4.0
42,12900,32.0,83.66666666666667,0.0,0.0,40.11666666666667,35.62,5.0
43,13200,31.0,83.25,0.0,0.0,40.12,35.63,5.0
44,13500,34.0,85.33333333333333,0.0,0.0,40.123333333333335,35.63,6.0
45,13800,32.25,86.0,0.0,0.0,40.13,35.635000000000005,4.75
46,14100,33.0,85.0,0.0,0.0,40.13,35.64,3.0
47,14400,33.0,85.0,0.0,0.0,40.14,35.64,4.0
48,14700,36.333333333333336,87.66666666666667,0.0,0.0,40.15,35.64833333333333,5.333333333333333
49,15000,35.5,84.5,0.0,0.0,40.152499999999996,35.65,7.0
50,15300,38.0,85.0,0.0,0.0,40.16,35.656666666666666,7.0
51,15600,32.5,85.0,0.0,0.0,40.168333333333344,35.66,7.5
52,15900,32.333333333333336,86.0,0.0,0.0,40.17,35.66,6.0
53,16200,26.5,84.0,0.0,0.0,40.175000000000004,35.67,6.0
54,16500,32.666666666666664,84.33333333333333,0.0,0.0,40.18,35.67,5.0
55,16800,27.0,85.0,0.0,0.0,40.19,35.68,4.0
56,17100,27.25,86.25,0.0,0.0,40.19,35.68,3.5
57,17400,38.0,87.5,0.0,0.0,40.19,35.68,4.5
58,17700,21.0,78.0,0.0,0.0,40.21,35.7,4.0
59,18000,35.0,80.66666666666667,0.0,0.0,40.21,35.7,9.0
60,18300,35.0,80.66666666666667,0.0,0.0,40.21,35.7,9.0
61,18600,31.5,80.5,0.0,0.0,40.22,35.7125,3.0
62,18900,34.333333333333336,81.33333333333333,0.0,0.0,40.22333333333333,35.72,3.6666666666666665
63,19200,27.428571428571427,79.14285714285714,0.0,0.0,40.23428571428571,35.72571428571428,3.4285714285714284
64,19500,23.0,78.85714285714286,0.0,0.0,40.24,35.73,3.0
65,19800,44.2,83.4,0.0,0.0,40.248000000000005,35.734,6.6
66,20100,52.75,84.0,0.0,0.0,40.25,35.74,4.0
67,20400,73.0,87.0,0.0,0.0,40.265,35.75,31.0
68,20700,53.0,88.0,0.0,0.0,40.28,35.75,20.0
69,21000,58.0,88.0,0.0,0.0,40.28,35.76,11.0
70,21300,58.0,88.0,0.0,0.0,40.28,35.76,11.0
71,21600,35.5,83.0,0.0,0.0,40.29,35.77,5.0
72,21900,52.0,88.0,0.0,0.0,40.3,35.77,4.0
73,22200,50.333333333333336,86.66666666666667,0.0,0.0,40.31,35.78,10.666666666666666
74,22500,71.5,90.5,0.0,0.0,40.32,35.79,10.5
75,22800,78.0,93.5,0.0,0.0,40.33,35.795,8.0
76,23100,78.0,93.5,0.0,0.0,40.33,35.795,8.0
77,23400,78.0,93.5,0.0,0.0,40.33,35.795,8.0
78,23700,78.0,93.5,0.0,0.0,40.33,35.795,8.0
79,24000,78.0,93.5,0.0,0.0,40.33,35.795,8.0
80,24300,78.0,93.5,0.0,0.0,40.33,35.795,8.0
81,24600,78.0,93.5,0.0,0.0,40.33,35.795,8.0
82,24900,78.0,93.5,0.0,0.0,40.33,35.795,8.0
83,25200,78.0,93.5,0.0,0.0,40.33,35.795,8.0
84,25500,78.0,93.5,0.0,0.0,40.33,35.795,8.0
85,25800,78.0,93.5,0.0,0.0,40.33,35.795,8.0
86,26100,45.0,88.0,0.0,0.0,40.43,35.87,10.0
87,26400,46.57142857142857,92.42857142857143,0.0,0.0,40.43142857142857,35.87,6.857142857142857
88,26700,46.57142857142857,92.42857142857143,0.0,0.0,40.43142857142857,35.87,6.857142857142857
89,27000,46.57142857142857,92.42857142857143,0.0,0.0,40.43142857142857,35.87,6.857142857142857
90,27300,41.0,95.0,0.0,0.0,40.45,35.89,8.0
91,27600,52.0,94.0,0.0,0.0,40.46,35.9,5.0
92,27900,40.0,92.66666666666667,0.0,0.0,40.46,35.9,4.0
93,28200,42.333333333333336,90.66666666666667,0.0,0.0,40.47,35.906666666666666,5.0
94,28500,43.333333333333336,92.0,0.0,0.0,40.47666666666666,35.916666666666664,6.333333333333333
95,28800,42.4,91.6,0.0,0.0,40.48,35.92,9.2
96,29100,55.666666666666664,94.0,0.0,0.0,40.49,35.92666666666667,9.666666666666666
97,29400,56.0,93.0,0.0,0.0,40.5,35.94,10.0
98,29700,55.5,88.0,0.0,0.0,40.51,35.945,6.5
99,30000,57.4,88.2,0.0,0.0,40.51,35.95,5.2
100,30300,61.0,87.25,0.0,0.0,40.52,35.9575,8.25
101,30600,62.5,89.5,0.0,0.0,40.525000000000006,35.965,16.0
