,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,42.5,86.5,0.0,0.0,39.905,35.445,4.5
4,1500,41.666666666666664,91.66666666666667,0.0,0.0,39.91,35.45,4.666666666666667
5,1800,36.5,90.5,0.0,0.0,39.92,35.46,3.5
6,2100,36.5,90.5,0.0,0.0,39.92,35.46,3.5
7,2400,26.333333333333332,85.0,0.0,0.0,39.92666666666667,35.46333333333333,3.6666666666666665
8,2700,37.0,86.2,0.0,0.0,39.93,35.47,9.0
9,3000,41.0,86.0,0.0,0.0,39.93,35.47,14.0
10,3300,34.6,85.8,0.0,0.0,39.94,35.48,4.2
11,3600,26.0,85.25,0.0,0.0,39.94125,35.48,3.375
12,3900,31.333333333333332,88.66666666666667,0.0,0.0,39.95,35.49,4.0
13,4200,31.0,89.75,0.0,0.0,39.9525,35.4925,3.0
14,4500,25.5,86.0,0.0,0.0,39.96,35.5,3.5
15,4800,50.0,91.0,0.0,0.0,39.96,35.5,3.5
16,5100,43.5,90.0,0.0,0.0,39.97,35.504999999999995,6.0
17,5400,50.0,84.0,0.0,0.0,39.97,35.51,5.0
18,5700,43.0,85.0,0.0,0.0,39.98,35.52,5.0
19,6000,43.0,85.0,0.0,0.0,39.98,35.52,5.0
20,6300,37.0,83.0,0.0,0.0,39.99,35.53,6.0
21,6600,38.375,84.125,0.0,0.0,39.995000000000005,35.53,4.0
22,6900,42.0,86.0,0.0,0.0,40.0,35.54,4.0
23,7200,36.333333333333336,85.33333333333333,0.0,0.0,40.0,35.54,3.6666666666666665
24,7500,42.166666666666664,85.66666666666667,0.0,0.0,40.01,35.550000000000004,3.8333333333333335
25,7800,39.333333333333336,86.66666666666667,0.0,0.0,40.02,35.553333333333335,5.333333333333333
26,8100,32.6,83.8,0.0,0.0,40.024,35.56,8.0
27,8400,30.0,82.0,0.0,0.0,40.03,35.565,4.25
28,8700,32.8,81.4,0.0,0.0,40.038,35.57,5.6
29,9000,33.5,83.0,0.0,0.0,40.04,35.57,7.5
30,9300,36.0,81.0,0.0,0.0,40.05,35.58,10.5
31,9600,34.75,81.75,0.0,0.0,40.05,35.58,8.0
32,9900,28.75,80.5,0.0,0.0,40.057500000000005,35.58,5.5
33,10200,32.5,82.0,0.0,0.0,40.06,35.59,3.5
34,10500,35.6,81.0,0.0,0.0,40.062,35.59,4.8
35,10800,34.0,83.0,0.0,0.0,40.07,35.59,4.0
36,11100,36.0,84.66666666666667,0.0,0.0,40.07666666666667,35.6,3.6666666666666665
37,11400,28.0,85.33333333333333,0.0,0.0,40.09,35.6,5.666666666666667
38,11700,33.0,84.75,0.0,0.0,40.1,35.61,3.0
39,12000,31.666666666666668,82.33333333333333,0.0,0.0,40.1,35.61,4.666666666666667
40,12300,42.5,83.0,0.0,0.0,40.11,35.615,5.0
41,12600,42.2,88.0,0.0,0.0,40.11,35.62,3.6
42,12900,29.666666666666668,84.0,0.0,0.0,40.11333333333334,35.62,5.333333333333333
43,13200,32.0,83.5,0.0,0.0,40.12,35.625,5.0
44,13500,37.75,84.75,0.0,0.0,40.122499999999995,35.63,4.75
45,13800,30.0,86.0,0.0,0.0,40.13,35.63,6.0
46,14100,36.5,85.5,0.0,0.0,40.135000000000005,35.64,3.0
47,14400,33.333333333333336,88.0,0.0,0.0,40.14333333333334,35.64,3.6666666666666665
48,14700,28.0,85.0,0.0,0.0,40.15,35.65,13.0
49,15000,35.5,84.5,0.0,0.0,40.15,35.65,9.0
50,15300,36.5,85.0,0.0,0.0,40.16,35.655,7.5
51,15600,36.0,85.0,0.0,0.0,40.166,35.66,7.0
52,15900,36.5,86.25,0.0,0.0,40.17,35.662499999999994,5.5
53,16200,25.0,84.0,0.0,0.0,40.18,35.67,4.5
54,16500,29.2,83.6,0.0,0.0,40.18,35.67,5.4
55,16800,26.75,84.5,0.0,0.0,40.185,35.6775,3.25
56,17100,29.0,86.0,0.0,0.0,40.19,35.68,3.3333333333333335
57,17400,29.0,86.0,0.0,0.0,40.19,35.68,3.3333333333333335
58,17700,29.0,86.0,0.0,0.0,40.19,35.68,3.3333333333333335
59,18000,29.0,86.0,0.0,0.0,40.19,35.68,3.3333333333333335
60,18300,30.0,80.0,0.0,0.0,40.22,35.71,6.0
61,18600,32.5,80.0,0.0,0.0,40.22,35.72,4.0
62,18900,33.0,81.0,0.0,0.0,40.23,35.72,6.0
63,19200,26.0,79.0,0.0,0.0,40.24,35.73,4.0
64,19500,23.5,80.0,0.0,0.0,40.24,35.73,3.0
65,19800,48.8,83.4,0.0,0.0,40.242000000000004,35.73,4.0
66,20100,45.0,83.5,0.0,0.0,40.254999999999995,35.74,7.5
67,20400,67.33333333333333,84.33333333333333,0.0,0.0,40.26333333333333,35.74333333333333,18.333333333333332
68,20700,58.25,88.25,0.0,0.0,40.2775,35.7525,23.25
69,21000,49.5,86.5,0.0,0.0,40.28,35.76,17.0
70,21300,39.0,86.0,0.0,0.0,40.29,35.7625,5.0
71,21600,39.333333333333336,82.66666666666667,0.0,0.0,40.29,35.77,5.666666666666667
72,21900,39.333333333333336,82.66666666666667,0.0,0.0,40.29,35.77,5.666666666666667
73,22200,44.0,85.5,0.0,0.0,40.31,35.78,6.5
74,22500,65.33333333333333,90.0,0.0,0.0,40.31666666666666,35.78666666666666,9.666666666666666
75,22800,80.0,93.5,0.0,0.0,40.335,35.795,10.0
76,23100,80.0,93.5,0.0,0.0,40.335,35.795,10.0
77,23400,80.0,93.5,0.0,0.0,40.335,35.795,10.0
78,23700,80.0,93.5,0.0,0.0,40.335,35.795,10.0
79,24000,80.0,93.5,0.0,0.0,40.335,35.795,10.0
80,24300,80.0,93.5,0.0,0.0,40.335,35.795,10.0
81,24600,80.0,93.5,0.0,0.0,40.335,35.795,10.0
82,24900,80.0,93.5,0.0,0.0,40.335,35.795,10.0
83,25200,80.0,93.5,0.0,0.0,40.335,35.795,10.0
84,25500,80.0,93.5,0.0,0.0,40.335,35.795,10.0
85,25800,80.0,93.5,0.0,0.0,40.335,35.795,10.0
86,26100,80.0,93.5,0.0,0.0,40.335,35.795,10.0
87,26400,80.0,93.5,0.0,0.0,40.335,35.795,10.0
88,26700,80.0,93.5,0.0,0.0,40.335,35.795,10.0
89,27000,80.0,93.5,0.0,0.0,40.335,35.795,10.0
90,27300,36.0,92.0,0.0,0.0,40.45,35.89,5.0
91,27600,48.0,95.0,0.0,0.0,40.46,35.9,4.5
92,27900,39.333333333333336,92.0,0.0,0.0,40.46333333333333,35.9,4.333333333333333
93,28200,42.333333333333336,90.5,0.0,0.0,40.47,35.91,5.666666666666667
94,28500,43.0,91.0,0.0,0.0,40.47666666666666,35.91,7.333333333333333
95,28800,42.5,91.5,0.0,0.0,40.48,35.92,12.0
96,29100,62.0,95.66666666666667,0.0,0.0,40.49,35.92666666666667,9.666666666666666
97,29400,49.5,96.0,0.0,0.0,40.5,35.93,6.0
98,29700,50.5,85.5,0.0,0.0,40.504999999999995,35.945,7.5
99,30000,55.333333333333336,87.66666666666667,0.0,0.0,40.51333333333333,35.95,7.0
100,30300,55.0,87.33333333333333,0.0,0.0,40.52,35.96,7.0
101,30600,59.75,90.0,0.0,0.0,40.5275,35.9675,14.0
