,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,37.0,90.0,0.0,0.0,43.41,34.6,8.0
18,5700,38.25,90.0,0.0,0.0,43.42,34.602500000000006,2.0
19,6000,31.666666666666668,87.0,0.0,0.0,43.42333333333334,34.61,2.6666666666666665
20,6300,27.2,85.6,0.0,0.0,43.43,34.61,2.4
21,6600,27.25,86.75,0.0,0.0,43.43,34.615,3.25
22,6900,25.25,86.75,0.0,0.0,43.44,34.62,2.5
23,7200,21.666666666666668,85.66666666666667,0.0,0.0,43.44,34.62,4.0
24,7500,31.25,88.0,0.0,0.0,43.447500000000005,34.6275,3.75
25,7800,28.0,87.0,0.0,0.0,43.45,34.63,4.0
26,8100,25.0,87.0,0.0,0.0,43.46,34.63333333333333,5.666666666666667
27,8400,21.666666666666668,84.33333333333333,0.0,0.0,43.46333333333333,34.64,3.3333333333333335
28,8700,26.0,86.0,0.0,0.0,43.47,34.64,5.0
29,9000,27.0,86.0,0.0,0.0,43.47,34.64,5.5
30,9300,34.75,85.0,0.0,0.0,43.48,34.65,4.5
31,9600,24.0,85.0,0.0,0.0,43.48,34.65,5.0
32,9900,24.0,85.0,0.0,0.0,43.48,34.65,5.0
33,10200,24.0,85.0,0.0,0.0,43.48,34.65,5.0
34,10500,24.0,85.0,0.0,0.0,43.48,34.65,5.0
35,10800,24.0,85.0,0.0,0.0,43.48,34.65,5.0
36,11100,24.0,85.0,0.0,0.0,43.48,34.65,5.0
37,11400,24.0,85.0,0.0,0.0,43.48,34.65,5.0
38,11700,24.0,85.0,0.0,0.0,43.48,34.65,5.0
39,12000,24.0,85.0,0.0,0.0,43.48,34.65,5.0
40,12300,24.0,85.0,0.0,0.0,43.48,34.65,5.0
41,12600,24.0,85.0,0.0,0.0,43.48,34.65,5.0
42,12900,24.0,85.0,0.0,0.0,43.48,34.65,5.0
43,13200,24.0,85.0,0.0,0.0,43.48,34.65,5.0
44,13500,24.0,85.0,0.0,0.0,43.48,34.65,5.0
45,13800,26.333333333333332,75.66666666666667,0.0,0.0,43.57,34.69,6.666666666666667
46,14100,33.0,75.0,0.0,0.0,43.58,34.7,4.0
47,14400,32.166666666666664,78.66666666666667,0.0,0.0,43.58166666666667,34.699999999999996,3.3333333333333335
48,14700,26.25,78.75,0.0,0.0,43.59,34.7,4.5
49,15000,32.6,78.2,0.0,0.0,43.594,34.708000000000006,9.0
50,15300,32.6,78.2,0.0,0.0,43.594,34.708000000000006,9.0
51,15600,32.6,78.2,0.0,0.0,43.594,34.708000000000006,9.0
52,15900,32.6,78.2,0.0,0.0,43.594,34.708000000000006,9.0
53,16200,32.6,78.2,0.0,0.0,43.594,34.708000000000006,9.0
54,16500,27.333333333333332,78.0,0.0,0.0,43.62,34.72333333333333,3.6666666666666665
55,16800,23.6,76.4,0.0,0.0,43.628,34.73,3.4
56,17100,25.4,76.6,0.0,0.0,43.63,34.73,2.8
57,17400,36.0,80.0,0.0,0.0,43.63333333333333,34.73,3.3333333333333335
58,17700,37.0,81.0,0.0,0.0,43.64,34.74,4.0
59,18000,38.0,81.0,0.0,0.0,43.64,34.74,2.0
60,18300,32.5,80.5,0.0,0.0,43.65,34.74,4.0
61,18600,29.333333333333332,82.0,0.0,0.0,43.65,34.74666666666667,4.333333333333333
62,18900,30.0,80.33333333333333,0.0,0.0,43.66,34.75,4.666666666666667
63,19200,37.0,82.0,0.0,0.0,43.666666666666664,34.75,7.666666666666667
64,19500,19.0,79.0,0.0,0.0,43.67,34.76,26.0
65,19800,19.0,79.0,0.0,0.0,43.67,34.76,26.0
66,20100,19.0,79.0,0.0,0.0,43.67,34.76,26.0
67,20400,19.0,79.0,0.0,0.0,43.67,34.76,26.0
68,20700,19.0,79.0,0.0,0.0,43.67,34.76,26.0
69,21000,19.0,79.0,0.0,0.0,43.67,34.76,26.0
70,21300,45.666666666666664,86.66666666666667,0.0,0.0,43.72,34.78666666666666,7.666666666666667
71,21600,71.0,92.0,0.0,0.0,43.73,34.79,10.0
72,21900,47.0,85.5,0.0,0.0,43.735,34.8,8.5
73,22200,47.0,85.5,0.0,0.0,43.735,34.8,8.5
74,22500,47.0,85.5,0.0,0.0,43.735,34.8,8.5
75,22800,47.0,85.5,0.0,0.0,43.735,34.8,8.5
76,23100,47.0,85.5,0.0,0.0,43.735,34.8,8.5
77,23400,47.0,85.5,0.0,0.0,43.735,34.8,8.5
78,23700,48.5,88.0,0.0,0.0,43.81,34.83,7.0
79,24000,61.166666666666664,89.0,0.0,0.0,43.81333333333333,34.82999999999999,9.833333333333334
80,24300,61.75,90.5,0.0,0.0,43.822500000000005,34.84,8.0
81,24600,53.5,89.75,0.0,0.0,43.83,34.84,7.75
82,24900,60.0,93.5,0.0,0.0,43.84,34.845,8.5
83,25200,41.4,83.6,0.0,0.0,43.848,34.85,6.6
84,25500,42.0,81.5,0.0,0.0,43.85,34.86,11.0
85,25800,47.5,82.5,0.0,0.0,43.86,34.86,10.0
86,26100,43.5,84.0,0.0,0.0,43.87,34.87,8.0
87,26400,45.0,85.0,0.0,0.0,43.88,34.87,4.0
88,26700,35.5,83.0,0.0,0.0,43.88,34.875,5.0
89,27000,48.0,88.33333333333333,0.0,0.0,43.88333333333333,34.88,7.666666666666667
90,27300,45.333333333333336,89.33333333333333,0.0,0.0,43.89000000000001,34.88,3.6666666666666665
91,27600,42.0,89.33333333333333,0.0,0.0,43.89666666666667,34.89,4.666666666666667
92,27900,42.0,89.8,0.0,0.0,43.9,34.892,5.0
93,28200,33.0,85.0,0.0,0.0,43.91,34.9,9.0
94,28500,36.0,85.0,0.0,0.0,43.91,34.91,10.0
95,28800,43.0,88.75,0.0,0.0,43.92,34.91,8.5
96,29100,43.0,88.75,0.0,0.0,43.92,34.91,8.5
97,29400,43.0,88.75,0.0,0.0,43.92,34.91,8.5
98,29700,43.0,88.75,0.0,0.0,43.92,34.91,8.5
99,30000,43.0,88.75,0.0,0.0,43.92,34.91,8.5
100,30300,43.0,88.75,0.0,0.0,43.92,34.91,8.5
101,30600,43.0,88.75,0.0,0.0,43.92,34.91,8.5
102,30900,31.8,82.4,0.0,0.0,43.96,34.94199999999999,4.4
103,31200,32.333333333333336,80.66666666666667,0.0,0.0,43.97,34.95,2.6666666666666665
