,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,39.75,89.75,0.0,0.0,43.417500000000004,34.605000000000004,3.5
19,6000,55.0,88.5,0.0,0.0,43.42,34.61,2.5
20,6300,26.666666666666668,85.66666666666667,0.0,0.0,43.43,34.61,2.3333333333333335
21,6600,22.333333333333332,87.0,0.0,0.0,43.43,34.62,2.0
22,6900,26.333333333333332,86.66666666666667,0.0,0.0,43.44,34.62,2.3333333333333335
23,7200,23.0,85.66666666666667,0.0,0.0,43.44,34.62,3.3333333333333335
24,7500,31.0,88.0,0.0,0.0,43.45,34.63,4.0
25,7800,30.5,88.75,0.0,0.0,43.45250000000001,34.63,6.0
26,8100,22.0,85.0,0.0,0.0,43.46,34.63,8.0
27,8400,21.5,83.5,0.0,0.0,43.465,34.64,4.0
28,8700,24.5,84.5,0.0,0.0,43.47,34.64,12.25
29,9000,27.6,86.0,0.0,0.0,43.474,34.642,5.2
30,9300,36.5,84.5,0.0,0.0,43.48,34.65,4.0
31,9600,33.0,85.0,0.0,0.0,43.48,34.65,4.0
32,9900,33.0,85.0,0.0,0.0,43.48,34.65,4.0
33,10200,33.0,85.0,0.0,0.0,43.48,34.65,4.0
34,10500,33.0,85.0,0.0,0.0,43.48,34.65,4.0
35,10800,33.0,85.0,0.0,0.0,43.48,34.65,4.0
36,11100,33.0,85.0,0.0,0.0,43.48,34.65,4.0
37,11400,33.0,85.0,0.0,0.0,43.48,34.65,4.0
38,11700,33.0,85.0,0.0,0.0,43.48,34.65,4.0
39,12000,33.0,85.0,0.0,0.0,43.48,34.65,4.0
40,12300,33.0,85.0,0.0,0.0,43.48,34.65,4.0
41,12600,33.0,85.0,0.0,0.0,43.48,34.65,4.0
42,12900,33.0,85.0,0.0,0.0,43.48,34.65,4.0
43,13200,33.0,85.0,0.0,0.0,43.48,34.65,4.0
44,13500,33.0,85.0,0.0,0.0,43.48,34.65,4.0
45,13800,27.666666666666668,77.0,0.0,0.0,43.57,34.69,4.333333333333333
46,14100,29.8,76.8,0.0,0.0,43.576,34.696000000000005,3.8
47,14400,35.75,78.75,0.0,0.0,43.58,34.7,4.0
48,14700,32.0,80.0,0.0,0.0,43.59,34.7,7.0
49,15000,31.0,78.0,0.0,0.0,43.595,34.71,6.5
50,15300,31.0,78.0,0.0,0.0,43.595,34.71,6.5
51,15600,31.0,78.0,0.0,0.0,43.595,34.71,6.5
52,15900,31.0,78.0,0.0,0.0,43.595,34.71,6.5
53,16200,31.0,78.0,0.0,0.0,43.595,34.71,6.5
54,16500,23.5,76.5,0.0,0.0,43.62,34.72,4.5
55,16800,23.5,76.5,0.0,0.0,43.62,34.72,4.5
56,17100,27.0,77.0,0.0,0.0,43.63,34.73,3.0
57,17400,39.285714285714285,81.28571428571429,0.0,0.0,43.635714285714286,34.73,3.4285714285714284
58,17700,37.666666666666664,80.33333333333333,0.0,0.0,43.64000000000001,34.74,4.333333333333333
59,18000,28.666666666666668,78.66666666666667,0.0,0.0,43.64333333333334,34.74,5.0
60,18300,32.0,80.4,0.0,0.0,43.65,34.74,4.2
61,18600,38.0,82.0,0.0,0.0,43.65,34.746,5.0
62,18900,38.0,82.0,0.0,0.0,43.65,34.746,5.0
63,19200,25.5,80.5,0.0,0.0,43.665,34.754999999999995,4.0
64,19500,25.5,80.5,0.0,0.0,43.665,34.754999999999995,4.0
65,19800,25.5,80.5,0.0,0.0,43.665,34.754999999999995,4.0
66,20100,25.5,80.5,0.0,0.0,43.665,34.754999999999995,4.0
67,20400,25.5,80.5,0.0,0.0,43.665,34.754999999999995,4.0
68,20700,25.5,80.5,0.0,0.0,43.665,34.754999999999995,4.0
69,21000,25.5,80.5,0.0,0.0,43.665,34.754999999999995,4.0
70,21300,42.5,86.0,0.0,0.0,43.72,34.785,8.0
71,21600,33.0,81.5,0.0,0.0,43.73,34.795,7.5
72,21900,33.0,81.5,0.0,0.0,43.73,34.795,7.5
73,22200,50.5,88.5,0.0,0.0,43.74,34.8,10.0
74,22500,50.5,88.5,0.0,0.0,43.74,34.8,10.0
75,22800,50.5,88.5,0.0,0.0,43.74,34.8,10.0
76,23100,50.5,88.5,0.0,0.0,43.74,34.8,10.0
77,23400,50.5,88.5,0.0,0.0,43.74,34.8,10.0
78,23700,53.75,88.25,0.0,0.0,43.805,34.8275,9.0
79,24000,65.0,89.0,0.0,0.0,43.81,34.83,14.0
80,24300,55.666666666666664,90.33333333333333,0.0,0.0,43.82,34.836666666666666,7.666666666666667
81,24600,54.0,87.0,0.0,0.0,43.83,34.84,9.0
82,24900,55.0,91.0,0.0,0.0,43.84,34.84,10.0
83,25200,47.0,84.75,0.0,0.0,43.8475,34.85,6.5
84,25500,46.8,82.6,0.0,0.0,43.85,34.852,6.0
85,25800,57.625,82.0,0.0,0.0,43.86000000000001,34.86000000000001,9.625
86,26100,50.2,84.6,0.0,0.0,43.87,34.87,7.0
87,26400,43.666666666666664,85.66666666666667,0.0,0.0,43.876666666666665,34.87,6.666666666666667
88,26700,43.666666666666664,85.66666666666667,0.0,0.0,43.876666666666665,34.87,6.666666666666667
89,27000,43.666666666666664,85.66666666666667,0.0,0.0,43.876666666666665,34.87,6.666666666666667
90,27300,31.0,84.0,0.0,0.0,43.89,34.89,5.0
91,27600,45.0,87.66666666666667,0.0,0.0,43.89333333333334,34.89,5.666666666666667
92,27900,31.0,87.0,0.0,0.0,43.9,34.9,3.0
93,28200,34.6,85.0,0.0,0.0,43.90599999999999,34.9,6.2
94,28500,37.0,85.0,0.0,0.0,43.91,34.905,9.0
95,28800,45.0,88.0,0.0,0.0,43.92,34.91,11.0
96,29100,60.5,93.0,0.0,0.0,43.925,34.915,8.0
97,29400,60.5,93.0,0.0,0.0,43.925,34.915,8.0
98,29700,60.5,93.0,0.0,0.0,43.925,34.915,8.0
99,30000,60.5,93.0,0.0,0.0,43.925,34.915,8.0
100,30300,60.5,93.0,0.0,0.0,43.925,34.915,8.0
101,30600,60.5,93.0,0.0,0.0,43.925,34.915,8.0
102,30900,33.2,83.4,0.0,0.0,43.96,34.943999999999996,4.2
103,31200,30.0,80.0,0.0,0.0,43.97,34.95,4.0
