,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,38.666666666666664,89.33333333333333,0.0,0.0,43.416666666666664,34.6,4.666666666666667
19,6000,31.333333333333332,87.0,0.0,0.0,43.42333333333334,34.61000000000001,3.6666666666666665
20,6300,30.666666666666668,85.66666666666667,0.0,0.0,43.43,34.61,2.6666666666666665
21,6600,28.2,86.0,0.0,0.0,43.43,34.612,4.6
22,6900,24.0,86.0,0.0,0.0,43.44,34.62,3.5
23,7200,22.0,86.5,0.0,0.0,43.44,34.62,10.5
24,7500,33.0,88.0,0.0,0.0,43.45000000000001,34.626666666666665,4.0
25,7800,30.333333333333332,89.33333333333333,0.0,0.0,43.46,34.63,8.666666666666666
26,8100,26.0,89.2,0.0,0.0,43.46,34.632000000000005,5.8
27,8400,26.0,89.2,0.0,0.0,43.46,34.632000000000005,5.8
28,8700,25.333333333333332,84.33333333333333,0.0,0.0,43.47,34.64,9.0
29,9000,29.333333333333332,85.0,0.0,0.0,43.48,34.64333333333334,4.333333333333333
30,9300,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
31,9600,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
32,9900,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
33,10200,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
34,10500,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
35,10800,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
36,11100,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
37,11400,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
38,11700,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
39,12000,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
40,12300,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
41,12600,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
42,12900,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
43,13200,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
44,13500,40.5,85.5,0.0,0.0,43.480000000000004,34.65,4.5
45,13800,29.666666666666668,76.0,0.0,0.0,43.57,34.69,3.3333333333333335
46,14100,30.666666666666668,76.0,0.0,0.0,43.576666666666675,34.696666666666665,4.0
47,14400,33.5,79.0,0.0,0.0,43.58,34.7,2.5
48,14700,26.5,79.5,0.0,0.0,43.59,34.7,5.5
49,15000,28.8,76.8,0.0,0.0,43.596,34.71,7.8
50,15300,28.8,76.8,0.0,0.0,43.596,34.71,7.8
51,15600,28.8,76.8,0.0,0.0,43.596,34.71,7.8
52,15900,28.8,76.8,0.0,0.0,43.596,34.71,7.8
53,16200,28.8,76.8,0.0,0.0,43.596,34.71,7.8
54,16500,28.666666666666668,77.33333333333333,0.0,0.0,43.62,34.72333333333333,4.0
55,16800,24.5,76.5,0.0,0.0,43.63,34.73,4.0
56,17100,26.75,76.5,0.0,0.0,43.63,34.73,2.75
57,17400,40.5,80.5,0.0,0.0,43.64,34.73,6.0
58,17700,31.5,79.66666666666667,0.0,0.0,43.63999999999999,34.74,4.5
59,18000,27.0,79.25,0.0,0.0,43.6475,34.74,5.75
60,18300,31.25,80.5,0.0,0.0,43.65,34.74,4.75
61,18600,28.0,83.0,0.0,0.0,43.65,34.75,6.0
62,18900,31.0,80.25,0.0,0.0,43.66,34.75,4.5
63,19200,28.0,79.0,0.0,0.0,43.66,34.75,3.0
64,19500,18.0,78.75,0.0,0.0,43.67,34.76,28.75
65,19800,18.0,78.75,0.0,0.0,43.67,34.76,28.75
66,20100,18.0,78.75,0.0,0.0,43.67,34.76,28.75
67,20400,18.0,78.75,0.0,0.0,43.67,34.76,28.75
68,20700,18.0,78.75,0.0,0.0,43.67,34.76,28.75
69,21000,18.0,78.75,0.0,0.0,43.67,34.76,28.75
70,21300,39.75,85.25,0.0,0.0,43.72,34.79,9.5
71,21600,39.5,84.125,0.0,0.0,43.72875,34.79375,10.875
72,21900,52.333333333333336,87.33333333333333,0.0,0.0,43.74,34.8,9.0
73,22200,49.5,87.5,0.0,0.0,43.74,34.8,7.0
74,22500,49.5,87.5,0.0,0.0,43.74,34.8,7.0
75,22800,49.5,87.5,0.0,0.0,43.74,34.8,7.0
76,23100,49.5,87.5,0.0,0.0,43.74,34.8,7.0
77,23400,49.5,87.5,0.0,0.0,43.74,34.8,7.0
78,23700,50.5,87.25,0.0,0.0,43.802499999999995,34.8275,9.0
79,24000,56.0,89.0,0.0,0.0,43.82,34.83,8.0
80,24300,58.0,90.33333333333333,0.0,0.0,43.82333333333333,34.84,7.666666666666667
81,24600,58.0,90.33333333333333,0.0,0.0,43.82333333333333,34.84,7.666666666666667
82,24900,51.333333333333336,92.0,0.0,0.0,43.84,34.85,6.333333333333333
83,25200,45.0,82.75,0.0,0.0,43.85,34.85,7.25
84,25500,52.0,84.0,0.0,0.0,43.855000000000004,34.86,11.0
85,25800,53.5,82.5,0.0,0.0,43.86,34.86,12.5
86,26100,51.0,85.0,0.0,0.0,43.87,34.87,7.0
87,26400,45.5,85.5,0.0,0.0,43.875,34.87,6.75
88,26700,39.5,83.75,0.0,0.0,43.88,34.8775,6.5
89,27000,43.5,85.5,0.0,0.0,43.88,34.88,10.0
90,27300,43.5,85.5,0.0,0.0,43.88,34.88,10.0
91,27600,47.0,88.5,0.0,0.0,43.894999999999996,34.89,4.5
92,27900,30.0,86.5,0.0,0.0,43.9,34.9,3.5
93,28200,34.75,85.5,0.0,0.0,43.904999999999994,34.9,5.25
94,28500,37.333333333333336,86.0,0.0,0.0,43.91,34.906666666666666,10.0
95,28800,44.0,89.5,0.0,0.0,43.92,34.91,8.0
96,29100,64.0,90.66666666666667,0.0,0.0,43.92333333333334,34.913333333333334,8.333333333333334
97,29400,64.0,90.66666666666667,0.0,0.0,43.92333333333334,34.913333333333334,8.333333333333334
98,29700,64.0,90.66666666666667,0.0,0.0,43.92333333333334,34.913333333333334,8.333333333333334
99,30000,64.0,90.66666666666667,0.0,0.0,43.92333333333334,34.913333333333334,8.333333333333334
100,30300,64.0,90.66666666666667,0.0,0.0,43.92333333333334,34.913333333333334,8.333333333333334
