,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,37.22222222222222,89.77777777777777,0.0,0.0,43.4188888888889,34.604444444444454,3.3333333333333335
19,6000,50.8,87.6,0.0,0.0,43.422000000000004,34.61,4.2
20,6300,25.0,85.5,0.0,0.0,43.43,34.61,3.0
21,6600,25.5,88.0,0.0,0.0,43.43,34.62,2.0
22,6900,23.0,86.0,0.0,0.0,43.44,34.62,3.0
23,7200,22.8,86.0,0.0,0.0,43.44,34.62,5.8
24,7500,37.0,88.0,0.0,0.0,43.45,34.625,4.0
25,7800,29.0,88.2,0.0,0.0,43.452000000000005,34.63,5.6
26,8100,26.0,88.66666666666667,0.0,0.0,43.46,34.63333333333333,5.333333333333333
27,8400,23.428571428571427,83.85714285714286,0.0,0.0,43.464285714285715,34.63999999999999,3.4285714285714284
28,8700,25.0,85.5,0.0,0.0,43.47,34.64,6.0
29,9000,30.25,86.25,0.0,0.0,43.474999999999994,34.6425,4.25
30,9300,41.0,85.0,0.0,0.0,43.48,34.65,3.0
31,9600,29.0,86.0,0.0,0.0,43.48,34.65,5.0
32,9900,29.0,86.0,0.0,0.0,43.48,34.65,5.0
33,10200,29.0,86.0,0.0,0.0,43.48,34.65,5.0
34,10500,29.0,86.0,0.0,0.0,43.48,34.65,5.0
35,10800,29.0,86.0,0.0,0.0,43.48,34.65,5.0
36,11100,29.0,86.0,0.0,0.0,43.48,34.65,5.0
37,11400,29.0,86.0,0.0,0.0,43.48,34.65,5.0
38,11700,29.0,86.0,0.0,0.0,43.48,34.65,5.0
39,12000,29.0,86.0,0.0,0.0,43.48,34.65,5.0
40,12300,29.0,86.0,0.0,0.0,43.48,34.65,5.0
41,12600,29.0,86.0,0.0,0.0,43.48,34.65,5.0
42,12900,29.0,86.0,0.0,0.0,43.48,34.65,5.0
43,13200,29.0,86.0,0.0,0.0,43.48,34.65,5.0
44,13500,29.0,86.0,0.0,0.0,43.48,34.65,5.0
45,13800,29.0,76.0,0.0,0.0,43.57,34.69,3.6666666666666665
46,14100,28.5,76.0,0.0,0.0,43.575,34.69,3.0
47,14400,32.0,79.5,0.0,0.0,43.58,34.7,2.5
48,14700,31.75,79.0,0.0,0.0,43.59,34.7,4.75
49,15000,30.0,77.33333333333333,0.0,0.0,43.596666666666664,34.71,7.0
50,15300,30.0,77.33333333333333,0.0,0.0,43.596666666666664,34.71,7.0
51,15600,30.0,77.33333333333333,0.0,0.0,43.596666666666664,34.71,7.0
52,15900,30.0,77.33333333333333,0.0,0.0,43.596666666666664,34.71,7.0
53,16200,30.0,77.33333333333333,0.0,0.0,43.596666666666664,34.71,7.0
54,16500,26.0,78.5,0.0,0.0,43.62,34.73,3.5
55,16800,25.333333333333332,76.83333333333333,0.0,0.0,43.63,34.73,3.1666666666666665
56,17100,27.0,76.5,0.0,0.0,43.63,34.73,2.5
57,17400,39.666666666666664,80.0,0.0,0.0,43.64000000000001,34.73,4.333333333333333
58,17700,35.333333333333336,80.0,0.0,0.0,43.64000000000001,34.74,3.6666666666666665
59,18000,26.0,80.0,0.0,0.0,43.65,34.74,9.0
60,18300,30.666666666666668,81.0,0.0,0.0,43.65,34.74,5.0
61,18600,32.333333333333336,82.66666666666667,0.0,0.0,43.65,34.75,5.666666666666667
62,18900,32.333333333333336,82.66666666666667,0.0,0.0,43.65,34.75,5.666666666666667
63,19200,25.75,80.25,0.0,0.0,43.665000000000006,34.7525,7.25
64,19500,19.0,77.5,0.0,0.0,43.67,34.76,42.0
65,19800,19.0,77.5,0.0,0.0,43.67,34.76,42.0
66,20100,19.0,77.5,0.0,0.0,43.67,34.76,42.0
67,20400,19.0,77.5,0.0,0.0,43.67,34.76,42.0
68,20700,19.0,77.5,0.0,0.0,43.67,34.76,42.0
69,21000,19.0,77.5,0.0,0.0,43.67,34.76,42.0
70,21300,46.166666666666664,85.83333333333333,0.0,0.0,43.72,34.785,7.166666666666667
71,21600,33.666666666666664,83.33333333333333,0.0,0.0,43.73,34.79333333333333,9.0
72,21900,47.6,86.0,0.0,0.0,43.736000000000004,34.8,6.4
73,22200,47.5,88.0,0.0,0.0,43.74,34.8,8.5
74,22500,47.5,88.0,0.0,0.0,43.74,34.8,8.5
75,22800,47.5,88.0,0.0,0.0,43.74,34.8,8.5
76,23100,47.5,88.0,0.0,0.0,43.74,34.8,8.5
77,23400,47.5,88.0,0.0,0.0,43.74,34.8,8.5
78,23700,52.75,87.75,0.0,0.0,43.805,34.825,9.5
79,24000,59.333333333333336,88.66666666666667,0.0,0.0,43.81,34.83,7.666666666666667
80,24300,57.5,90.0,0.0,0.0,43.825,34.835,9.0
81,24600,48.0,88.0,0.0,0.0,43.830000000000005,34.84,8.0
82,24900,55.4,92.8,0.0,0.0,43.84,34.85,5.2
83,25200,41.0,83.0,0.0,0.0,43.8475,34.85,7.25
84,25500,50.0,81.5,0.0,0.0,43.85,34.85,7.0
85,25800,48.0,82.0,0.0,0.0,43.86,34.86,9.5
86,26100,42.0,83.66666666666667,0.0,0.0,43.86666666666667,34.86666666666667,8.333333333333334
87,26400,42.25,85.25,0.0,0.0,43.875,34.87,7.0
88,26700,34.0,82.0,0.0,0.0,43.88,34.88,4.0
89,27000,46.0,89.0,0.0,0.0,43.88,34.88,7.0
90,27300,46.0,89.0,0.0,0.0,43.88,34.88,7.0
91,27600,43.666666666666664,87.33333333333333,0.0,0.0,43.89666666666667,34.89,6.0
92,27900,34.75,87.25,0.0,0.0,43.9,34.8975,4.25
93,28200,38.111111111111114,86.55555555555556,0.0,0.0,43.90555555555554,34.9,4.0
94,28500,42.0,87.0,0.0,0.0,43.92,34.91,8.0
95,28800,45.5,89.66666666666667,0.0,0.0,43.92000000000001,34.91,7.666666666666667
96,29100,53.5,91.0,0.0,0.0,43.925,34.915,8.5
97,29400,53.5,91.0,0.0,0.0,43.925,34.915,8.5
98,29700,53.5,91.0,0.0,0.0,43.925,34.915,8.5
99,30000,53.5,91.0,0.0,0.0,43.925,34.915,8.5
100,30300,53.5,91.0,0.0,0.0,43.925,34.915,8.5
101,30600,42.0,85.0,0.0,0.0,43.96,34.94,5.0
102,30900,32.0,82.25,0.0,0.0,43.96,34.94,4.0
