,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,7200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,7500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,8400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,9000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,9300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,9600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,9900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,10200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,10500,32.666666666666664,84.0,0.0,0.0,34.72,27.899999999999995,4.0
35,10800,22.0,84.0,0.0,0.0,34.72,27.9,3.0
36,11100,46.8,86.4,0.0,0.0,34.727999999999994,27.9,4.8
37,11400,24.666666666666668,87.5,0.0,0.0,34.73833333333334,27.90833333333333,3.5
38,11700,24.333333333333332,86.0,0.0,0.0,34.74,27.91,2.6666666666666665
39,12000,18.666666666666668,84.0,0.0,0.0,34.74,27.91,2.0
40,12300,22.5,84.75,0.0,0.0,34.745000000000005,27.91,6.0
41,12600,31.714285714285715,88.57142857142857,0.0,0.0,34.75,27.91,4.142857142857143
42,12900,30.0,86.66666666666667,0.0,0.0,34.75,27.92,7.333333333333333
43,13200,17.0,85.0,0.0,0.0,34.75,27.92,3.0
44,13500,17.0,85.0,0.0,0.0,34.75,27.92,3.0
45,13800,17.0,85.0,0.0,0.0,34.75,27.92,3.0
46,14100,17.0,85.0,0.0,0.0,34.75,27.92,3.0
47,14400,17.0,85.0,0.0,0.0,34.75,27.92,3.0
48,14700,17.0,85.0,0.0,0.0,34.75,27.92,3.0
49,15000,17.0,85.0,0.0,0.0,34.75,27.92,3.0
50,15300,17.0,85.0,0.0,0.0,34.75,27.92,3.0
51,15600,17.0,85.0,0.0,0.0,34.75,27.92,3.0
52,15900,17.0,85.0,0.0,0.0,34.75,27.92,3.0
53,16200,17.0,85.0,0.0,0.0,34.75,27.92,3.0
54,16500,17.0,85.0,0.0,0.0,34.75,27.92,3.0
55,16800,17.0,85.0,0.0,0.0,34.75,27.92,3.0
56,17100,17.0,85.0,0.0,0.0,34.75,27.92,3.0
57,17400,17.0,85.0,0.0,0.0,34.75,27.92,3.0
58,17700,29.0,89.0,0.0,0.0,34.81,27.95,4.0
59,18000,38.75,89.0,0.0,0.0,34.81,27.955,3.5
60,18300,38.75,89.0,0.0,0.0,34.81,27.955,3.5
61,18600,38.75,89.0,0.0,0.0,34.81,27.955,3.5
62,18900,38.75,89.0,0.0,0.0,34.81,27.955,3.5
63,19200,38.75,89.0,0.0,0.0,34.81,27.955,3.5
64,19500,38.75,89.0,0.0,0.0,34.81,27.955,3.5
65,19800,38.75,89.0,0.0,0.0,34.81,27.955,3.5
66,20100,38.75,89.0,0.0,0.0,34.81,27.955,3.5
67,20400,38.75,89.0,0.0,0.0,34.81,27.955,3.5
68,20700,38.75,89.0,0.0,0.0,34.81,27.955,3.5
69,21000,38.75,89.0,0.0,0.0,34.81,27.955,3.5
70,21300,38.75,89.0,0.0,0.0,34.81,27.955,3.5
71,21600,38.75,89.0,0.0,0.0,34.81,27.955,3.5
72,21900,38.75,89.0,0.0,0.0,34.81,27.955,3.5
73,22200,38.75,89.0,0.0,0.0,34.81,27.955,3.5
74,22500,38.75,89.0,0.0,0.0,34.81,27.955,3.5
75,22800,38.75,89.0,0.0,0.0,34.81,27.955,3.5
76,23100,38.75,89.0,0.0,0.0,34.81,27.955,3.5
77,23400,38.75,89.0,0.0,0.0,34.81,27.955,3.5
78,23700,38.75,89.0,0.0,0.0,34.81,27.955,3.5
79,24000,38.75,89.0,0.0,0.0,34.81,27.955,3.5
80,24300,38.75,89.0,0.0,0.0,34.81,27.955,3.5
81,24600,38.75,89.0,0.0,0.0,34.81,27.955,3.5
82,24900,38.75,89.0,0.0,0.0,34.81,27.955,3.5
83,25200,38.75,89.0,0.0,0.0,34.81,27.955,3.5
84,25500,38.75,89.0,0.0,0.0,34.81,27.955,3.5
85,25800,38.75,89.0,0.0,0.0,34.81,27.955,3.5
86,26100,38.75,89.0,0.0,0.0,34.81,27.955,3.5
87,26400,37.0,93.0,0.0,0.0,35.0,28.06,5.0
88,26700,39.666666666666664,91.83333333333333,0.0,0.0,35.00333333333333,28.06,3.8333333333333335
89,27000,47.75,94.5,0.0,0.0,35.01,28.06,4.5
90,27300,29.0,86.0,0.0,0.0,35.01,28.07,5.0
91,27600,41.5,89.5,0.0,0.0,35.02,28.07,5.5
92,27900,32.0,88.0,0.0,0.0,35.02,28.08,5.0
93,28200,34.25,86.5,0.0,0.0,35.03,28.08,4.75
94,28500,30.0,88.0,0.0,0.0,35.03,28.08,7.0
95,28800,42.5,90.5,0.0,0.0,35.04,28.09,11.5
96,29100,53.75,92.75,0.0,0.0,35.045,28.0925,9.5
97,29400,61.6,89.6,0.0,0.0,35.05,28.1,7.6
98,29700,44.0,88.0,0.0,0.0,35.06,28.1,7.2
99,30000,51.0,90.66666666666667,0.0,0.0,35.06,28.11,8.0
100,30300,65.0,90.0,0.0,0.0,35.07,28.11,8.0
101,30600,54.8,91.8,0.0,0.0,35.07,28.113999999999997,14.8
102,30900,47.0,89.2,0.0,0.0,35.077999999999996,28.119999999999997,6.6
103,31200,59.5,86.0,0.0,0.0,35.08,28.12,6.0
104,31500,59.5,86.0,0.0,0.0,35.08,28.12,6.0
105,31800,59.5,86.0,0.0,0.0,35.08,28.12,6.0
106,32100,59.5,86.0,0.0,0.0,35.08,28.12,6.0
107,32400,59.5,86.0,0.0,0.0,35.08,28.12,6.0
