,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,7200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,7500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,8400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,9000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,9300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,9600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,9900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,10200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,10500,26.333333333333332,85.0,0.0,0.0,34.72,27.899999999999995,3.3333333333333335
35,10800,24.333333333333332,84.0,0.0,0.0,34.72,27.899999999999995,3.3333333333333335
36,11100,56.0,86.0,0.0,0.0,34.724999999999994,27.9,3.5
37,11400,36.0,88.25,0.0,0.0,34.74,27.91,6.0
38,11700,36.0,85.5,0.0,0.0,34.74,27.91,3.0
39,12000,24.75,83.75,0.0,0.0,34.74,27.91,4.5
40,12300,37.5,87.0,0.0,0.0,34.75,27.91,3.5
41,12600,80.0,88.0,0.0,0.0,34.75,27.91,3.0
42,12900,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
43,13200,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
44,13500,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
45,13800,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
46,14100,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
47,14400,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
48,14700,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
49,15000,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
50,15300,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
51,15600,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
52,15900,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
53,16200,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
54,16500,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
55,16800,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
56,17100,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
57,17400,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
58,17700,28.6,87.0,0.0,0.0,34.75,27.920000000000005,6.2
59,18000,24.0,89.0,0.0,0.0,34.81,27.96,3.0
60,18300,24.0,89.0,0.0,0.0,34.81,27.96,3.0
61,18600,24.0,89.0,0.0,0.0,34.81,27.96,3.0
62,18900,24.0,89.0,0.0,0.0,34.81,27.96,3.0
63,19200,24.0,89.0,0.0,0.0,34.81,27.96,3.0
64,19500,24.0,89.0,0.0,0.0,34.81,27.96,3.0
65,19800,24.0,89.0,0.0,0.0,34.81,27.96,3.0
66,20100,24.0,89.0,0.0,0.0,34.81,27.96,3.0
67,20400,24.0,89.0,0.0,0.0,34.81,27.96,3.0
68,20700,24.0,89.0,0.0,0.0,34.81,27.96,3.0
69,21000,24.0,89.0,0.0,0.0,34.81,27.96,3.0
70,21300,24.0,89.0,0.0,0.0,34.81,27.96,3.0
71,21600,24.0,89.0,0.0,0.0,34.81,27.96,3.0
72,21900,24.0,89.0,0.0,0.0,34.81,27.96,3.0
73,22200,24.0,89.0,0.0,0.0,34.81,27.96,3.0
74,22500,24.0,89.0,0.0,0.0,34.81,27.96,3.0
75,22800,24.0,89.0,0.0,0.0,34.81,27.96,3.0
76,23100,24.0,89.0,0.0,0.0,34.81,27.96,3.0
77,23400,24.0,89.0,0.0,0.0,34.81,27.96,3.0
78,23700,24.0,89.0,0.0,0.0,34.81,27.96,3.0
79,24000,24.0,89.0,0.0,0.0,34.81,27.96,3.0
80,24300,24.0,89.0,0.0,0.0,34.81,27.96,3.0
81,24600,24.0,89.0,0.0,0.0,34.81,27.96,3.0
82,24900,24.0,89.0,0.0,0.0,34.81,27.96,3.0
83,25200,34.0,88.0,0.0,0.0,34.98,28.04,7.0
84,25500,43.888888888888886,89.66666666666667,0.0,0.0,34.98333333333333,28.039999999999996,10.555555555555555
85,25800,43.888888888888886,89.66666666666667,0.0,0.0,34.98333333333333,28.039999999999996,10.555555555555555
86,26100,43.888888888888886,89.66666666666667,0.0,0.0,34.98333333333333,28.039999999999996,10.555555555555555
87,26400,38.0,93.0,0.0,0.0,35.0,28.055,4.0
88,26700,30.0,92.0,0.0,0.0,35.0,28.06,3.0
89,27000,45.0,92.0,0.0,0.0,35.01,28.07,4.0
90,27300,36.666666666666664,89.0,0.0,0.0,35.01333333333333,28.070000000000004,4.0
91,27600,39.333333333333336,90.0,0.0,0.0,35.02,28.070000000000004,7.0
92,27900,35.75,89.0,0.0,0.0,35.0225,28.077499999999997,5.5
93,28200,38.4,86.8,0.0,0.0,35.03,28.079999999999995,4.6
94,28500,36.0,88.0,0.0,0.0,35.03333333333333,28.083333333333332,8.0
95,28800,38.0,90.5,0.0,0.0,35.04,28.09,11.5
96,29100,49.666666666666664,92.66666666666667,0.0,0.0,35.04666666666667,28.093333333333334,9.0
97,29400,60.0,90.0,0.0,0.0,35.050000000000004,28.099999999999998,10.0
98,29700,52.8,88.0,0.0,0.0,35.06,28.1,5.8
99,30000,53.0,90.5,0.0,0.0,35.06,28.11,8.5
100,30300,47.857142857142854,90.85714285714286,0.0,0.0,35.07,28.110000000000007,7.285714285714286
101,30600,60.0,93.0,0.0,0.0,35.07,28.12,11.5
102,30900,54.25,89.0,0.0,0.0,35.0775,28.12,7.75
103,31200,42.0,86.33333333333333,0.0,0.0,35.08,28.12,5.333333333333333
