,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6600,26.0,83.0,0.0,0.0,35.54,27.44666666666667,3.6666666666666665
22,6900,28.8,84.4,0.0,0.0,35.54,27.45,3.4
23,7200,21.428571428571427,83.14285714285714,0.0,0.0,35.550000000000004,27.449999999999996,6.714285714285714
24,7500,31.0,85.0,0.0,0.0,35.55,27.45,4.0
25,7800,24.5,85.0,0.0,0.0,35.56,27.46,6.0
26,8100,33.0,87.0,0.0,0.0,35.565,27.465,5.0
27,8400,33.0,87.0,0.0,0.0,35.565,27.465,5.0
28,8700,27.5,85.0,0.0,0.0,35.58,27.47,4.5
29,9000,25.0,84.5,0.0,0.0,35.58,27.47,3.5
30,9300,22.0,84.0,0.0,0.0,35.59,27.48,2.0
31,9600,26.5,80.75,0.0,0.0,35.59,27.48,5.0
32,9900,26.5,83.5,0.0,0.0,35.6,27.48,4.0
33,10200,21.333333333333332,83.0,0.0,0.0,35.6,27.48,3.0
34,10500,25.666666666666668,84.0,0.0,0.0,35.60666666666667,27.486666666666665,3.0
35,10800,24.0,83.66666666666667,0.0,0.0,35.61,27.49,3.0
36,11100,25.0,84.33333333333333,0.0,0.0,35.61666666666667,27.49,3.3333333333333335
37,11400,23.0,86.33333333333333,0.0,0.0,35.62,27.49,5.333333333333333
38,11700,23.0,86.33333333333333,0.0,0.0,35.62,27.49,5.333333333333333
39,12000,20.25,81.75,0.0,0.0,35.63,27.5,4.0
40,12300,22.6,81.6,0.0,0.0,35.63,27.5,6.8
41,12600,31.0,87.0,0.0,0.0,35.64,27.5,4.0
42,12900,24.0,83.0,0.0,0.0,35.64,27.5,3.3333333333333335
43,13200,24.0,83.0,0.0,0.0,35.64,27.5,3.3333333333333335
44,13500,35.0,87.0,0.0,0.0,35.65,27.51,5.0
45,13800,29.0,86.0,0.0,0.0,35.656666666666666,27.51,4.0
46,14100,28.0,86.0,0.0,0.0,35.66,27.51,7.25
47,14400,26.666666666666668,89.33333333333333,0.0,0.0,35.666666666666664,27.516666666666666,4.0
48,14700,19.0,85.0,0.0,0.0,35.67,27.52,7.0
49,15000,28.5,86.75,0.0,0.0,35.68,27.52,6.75
50,15300,33.25,87.5,0.0,0.0,35.68,27.5225,7.0
51,15600,33.25,87.5,0.0,0.0,35.68,27.5225,7.0
52,15900,29.5,87.25,0.0,0.0,35.695,27.53,7.0
53,16200,21.8,84.6,0.0,0.0,35.7,27.532,6.6
54,16500,30.0,86.8,0.0,0.0,35.706,27.54,6.6
55,16800,21.5,85.5,0.0,0.0,35.71,27.54,5.0
56,17100,24.5,86.0,0.0,0.0,35.71,27.54,2.0
57,17400,34.5,87.5,0.0,0.0,35.71666666666667,27.548333333333336,5.333333333333333
58,17700,33.2,89.8,0.0,0.0,35.72,27.55,4.2
59,18000,29.0,87.5,0.0,0.0,35.73,27.55,7.5
60,18300,31.5,89.0,0.0,0.0,35.73,27.55,4.5
61,18600,28.0,88.0,0.0,0.0,35.73,27.56,4.666666666666667
62,18900,32.666666666666664,90.0,0.0,0.0,35.74,27.56,3.3333333333333335
63,19200,24.333333333333332,89.33333333333333,0.0,0.0,35.74666666666667,27.56,2.3333333333333335
64,19500,21.5,87.75,0.0,0.0,35.75,27.57,2.5
65,19800,36.5,91.0,0.0,0.0,35.76,27.57,6.0
66,20100,36.5,91.0,0.0,0.0,35.76,27.57,6.0
67,20400,36.5,91.0,0.0,0.0,35.76,27.57,6.0
68,20700,36.5,91.0,0.0,0.0,35.76,27.57,6.0
69,21000,36.5,91.0,0.0,0.0,35.76,27.57,6.0
70,21300,36.5,91.0,0.0,0.0,35.76,27.57,6.0
71,21600,36.5,91.0,0.0,0.0,35.76,27.57,6.0
72,21900,36.5,91.0,0.0,0.0,35.76,27.57,6.0
73,22200,36.5,91.0,0.0,0.0,35.76,27.57,6.0
74,22500,36.5,91.0,0.0,0.0,35.76,27.57,6.0
75,22800,36.5,91.0,0.0,0.0,35.76,27.57,6.0
76,23100,36.5,91.0,0.0,0.0,35.76,27.57,6.0
77,23400,36.5,91.0,0.0,0.0,35.76,27.57,6.0
78,23700,36.5,91.0,0.0,0.0,35.76,27.57,6.0
79,24000,36.5,91.0,0.0,0.0,35.76,27.57,6.0
80,24300,36.5,91.0,0.0,0.0,35.76,27.57,6.0
81,24600,36.5,91.0,0.0,0.0,35.76,27.57,6.0
82,24900,36.5,91.0,0.0,0.0,35.76,27.57,6.0
83,25200,36.5,91.0,0.0,0.0,35.76,27.57,6.0
84,25500,36.5,91.0,0.0,0.0,35.76,27.57,6.0
85,25800,73.0,84.0,0.0,0.0,35.92,27.66,15.0
86,26100,46.0,83.0,0.0,0.0,35.92,27.66,11.0
87,26400,46.0,83.0,0.0,0.0,35.92,27.66,11.0
88,26700,46.0,83.0,0.0,0.0,35.92,27.66,11.0
89,27000,46.0,83.0,0.0,0.0,35.92,27.66,11.0
90,27300,46.0,83.0,0.0,0.0,35.92,27.66,11.0
91,27600,46.0,83.0,0.0,0.0,35.92,27.66,11.0
92,27900,46.0,83.0,0.0,0.0,35.92,27.66,11.0
93,28200,46.0,83.0,0.0,0.0,35.92,27.66,11.0
94,28500,46.0,83.0,0.0,0.0,35.92,27.66,11.0
95,28800,46.0,83.0,0.0,0.0,35.92,27.66,11.0
96,29100,45.2,91.4,0.0,0.0,35.977999999999994,27.702000000000005,5.6
97,29400,42.0,93.0,0.0,0.0,36.0,27.72,5.0
98,29700,55.0,88.0,0.0,0.0,36.015,27.744999999999997,2.0
99,30000,41.333333333333336,87.33333333333333,0.0,0.0,36.03,27.75666666666667,3.3333333333333335
100,30300,34.4,87.0,0.0,0.0,36.04600000000001,27.776,4.8
101,30600,45.0,87.66666666666667,0.0,0.0,36.06,27.790000000000003,15.0
102,30900,38.333333333333336,84.66666666666667,0.0,0.0,36.07,27.81,4.333333333333333
103,31200,33.142857142857146,85.0,0.0,0.0,36.07285714285714,27.81,3.2857142857142856
