,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,21.0,90.0,0.0,0.0,40.04,33.61,1.0
1,600,29.0,91.0,0.0,0.0,40.05,33.62,4.0
2,900,32.0,90.0,0.0,0.0,40.05,33.622499999999995,3.0
3,1200,33.5,90.0,0.0,0.0,40.06,33.63,2.75
4,1500,29.5,88.75,0.0,0.0,40.06,33.63,2.625
5,1800,29.142857142857142,90.71428571428571,0.0,0.0,40.067142857142855,33.63999999999999,2.5714285714285716
6,2100,27.0,89.0,0.0,0.0,40.07,33.63999999999999,3.1666666666666665
7,2400,22.0,87.0,0.0,0.0,40.07,33.64,2.0
8,2700,40.0,88.5,0.0,0.0,40.08,33.65,3.5
9,3000,37.666666666666664,88.33333333333333,0.0,0.0,40.08,33.65,2.3333333333333335
10,3300,24.0,88.66666666666667,0.0,0.0,40.09,33.656666666666666,2.0
11,3600,21.0,89.0,0.0,0.0,40.09,33.66,1.5
12,3900,26.0,91.0,0.0,0.0,40.09,33.66,2.5
13,4200,19.0,87.5,0.0,0.0,40.1,33.665,2.0
14,4500,19.0,88.0,0.0,0.0,40.1,33.67,2.0
15,4800,38.75,90.5,0.0,0.0,40.1075,33.67,2.25
16,5100,34.0,86.5,0.0,0.0,40.11,33.675,3.0
17,5400,34.0,83.25,0.0,0.0,40.1125,33.68,2.75
18,5700,39.0,83.0,0.0,0.0,40.12,33.68,3.0
19,6000,37.0,83.0,0.0,0.0,40.12,33.69,3.0
20,6300,22.0,80.0,0.0,0.0,40.13,33.69,2.0
21,6600,31.5,85.0,0.0,0.0,40.14,33.7,2.5
22,6900,34.5,86.0,0.0,0.0,40.14,33.7,2.5
23,7200,27.333333333333332,84.33333333333333,0.0,0.0,40.14666666666667,33.70666666666667,7.333333333333333
24,7500,31.0,86.0,0.0,0.0,40.15,33.71,4.0
25,7800,46.0,87.0,0.0,0.0,40.15,33.71,3.0
26,8100,33.42857142857143,85.85714285714286,0.0,0.0,40.160000000000004,33.72,2.4285714285714284
27,8400,31.0,86.0,0.0,0.0,40.17,33.72,2.6
28,8700,27.333333333333332,84.33333333333333,0.0,0.0,40.17,33.72666666666666,3.0
29,9000,26.5,84.5,0.0,0.0,40.18,33.73,2.0
30,9300,39.0,82.0,0.0,0.0,40.18,33.73,3.0
31,9600,31.25,82.25,0.0,0.0,40.1875,33.7325,2.25
32,9900,25.0,81.5,0.0,0.0,40.19,33.74,1.5
33,10200,28.0,80.66666666666667,0.0,0.0,40.196666666666665,33.74,2.3333333333333335
34,10500,27.5,81.5,0.0,0.0,40.2,33.745000000000005,2.0
35,10800,24.6,82.4,0.0,0.0,40.2,33.75,2.2
36,11100,28.666666666666668,83.66666666666667,0.0,0.0,40.21,33.75,2.6666666666666665
37,11400,22.0,83.75,0.0,0.0,40.22,33.75,8.0
38,11700,25.0,83.0,0.0,0.0,40.22,33.75,2.0
39,12000,25.2,81.6,0.0,0.0,40.23,33.76,2.2
40,12300,28.333333333333332,82.33333333333333,0.0,0.0,40.23333333333333,33.76,2.6666666666666665
41,12600,35.4,87.6,0.0,0.0,40.24,33.764,2.6
42,12900,35.4,87.6,0.0,0.0,40.24,33.764,2.6
43,13200,27.75,84.0,0.0,0.0,40.25,33.77,5.25
44,13500,33.5,84.0,0.0,0.0,40.25,33.77,4.0
45,13800,29.0,85.0,0.0,0.0,40.26,33.78,4.0
46,14100,30.333333333333332,85.66666666666667,0.0,0.0,40.26333333333333,33.78,2.0
47,14400,30.333333333333332,85.66666666666667,0.0,0.0,40.26333333333333,33.78,2.0
48,14700,30.333333333333332,85.66666666666667,0.0,0.0,40.26333333333333,33.78,2.0
49,15000,30.333333333333332,85.66666666666667,0.0,0.0,40.26333333333333,33.78,2.0
50,15300,30.333333333333332,85.66666666666667,0.0,0.0,40.26333333333333,33.78,2.0
51,15600,30.333333333333332,85.66666666666667,0.0,0.0,40.26333333333333,33.78,2.0
52,15900,25.0,86.5,0.0,0.0,40.31,33.81,3.0
53,16200,23.0,85.5,0.0,0.0,40.31,33.81,2.5
54,16500,26.0,87.25,0.0,0.0,40.315,33.8125,3.0
55,16800,23.25,86.0,0.0,0.0,40.32,33.82,3.5
56,17100,23.0,85.66666666666667,0.0,0.0,40.32,33.82,2.6666666666666665
57,17400,41.0,90.0,0.0,0.0,40.33,33.82,4.0
58,17700,36.0,91.0,0.0,0.0,40.33,33.83,4.5
59,18000,34.0,90.2,0.0,0.0,40.336,33.83,4.4
60,18300,23.8,85.8,0.0,0.0,40.34,33.83800000000001,4.4
61,18600,26.0,85.5,0.0,0.0,40.35,33.84,5.0
62,18900,30.6,84.2,0.0,0.0,40.35,33.844,4.0
63,19200,17.5,82.0,0.0,0.0,40.36,33.85,1.5
64,19500,17.5,83.5,0.0,0.0,40.36,33.85,2.0
65,19800,39.0,86.0,0.0,0.0,40.37,33.85,7.0
66,20100,29.666666666666668,86.33333333333333,0.0,0.0,40.373333333333335,33.86,4.666666666666667
67,20400,41.0,82.0,0.0,0.0,40.38,33.87,10.0
68,20700,41.0,82.0,0.0,0.0,40.38,33.87,10.0
69,21000,44.5,83.0,0.0,0.0,40.4,33.88,6.5
70,21300,41.0,82.25,0.0,0.0,40.4,33.88,4.5
71,21600,31.0,82.5,0.0,0.0,40.41,33.88,3.5
72,21900,52.0,84.25,0.0,0.0,40.415,33.89,3.25
73,22200,48.666666666666664,85.66666666666667,0.0,0.0,40.42,33.89,10.666666666666666
74,22500,60.0,87.0,0.0,0.0,40.43333333333333,33.9,5.0
75,22800,78.5,88.5,0.0,0.0,40.445,33.9,6.5
76,23100,78.0,89.57142857142857,0.0,0.0,40.45428571428572,33.91,4.714285714285714
77,23400,58.4,87.2,0.0,0.0,40.466,33.91,4.0
