,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,31.0,91.0,0.0,0.0,40.05,33.62,4.0
2,900,32.4,89.2,0.0,0.0,40.05,33.622,5.4
3,1200,35.0,91.2,0.0,0.0,40.052,33.63,3.6
4,1500,31.25,89.75,0.0,0.0,40.06,33.63,2.0
5,1800,32.0,89.0,0.0,0.0,40.06,33.63,3.0
6,2100,28.0,90.0,0.0,0.0,40.07,33.64,3.0
7,2400,22.0,87.0,0.0,0.0,40.07,33.64,2.0
8,2700,44.25,89.25,0.0,0.0,40.08,33.65,3.5
9,3000,39.0,88.0,0.0,0.0,40.08,33.65,2.0
10,3300,25.5,89.5,0.0,0.0,40.085,33.655,2.5
11,3600,22.0,90.5,0.0,0.0,40.09,33.66,3.0
12,3900,27.0,91.5,0.0,0.0,40.095,33.66,2.0
13,4200,22.75,88.75,0.0,0.0,40.1,33.662499999999994,2.0
14,4500,22.75,88.75,0.0,0.0,40.1,33.662499999999994,2.0
15,4800,33.333333333333336,91.0,0.0,0.0,40.106666666666676,33.67000000000001,2.3333333333333335
16,5100,37.5,86.5,0.0,0.0,40.11,33.675,4.0
17,5400,32.0,82.0,0.0,0.0,40.12,33.68,2.0
18,5700,38.4,83.8,0.0,0.0,40.12,33.682,2.2
19,6000,30.0,83.0,0.0,0.0,40.13,33.69,2.0
20,6300,30.0,83.0,0.0,0.0,40.13,33.69,2.0
21,6600,28.5,82.25,0.0,0.0,40.13,33.69,1.75
22,6900,29.2,84.2,0.0,0.0,40.14,33.7,3.2
23,7200,23.0,83.5,0.0,0.0,40.144999999999996,33.7,6.0
24,7500,30.0,85.66666666666667,0.0,0.0,40.15,33.71,2.6666666666666665
25,7800,31.0,86.33333333333333,0.0,0.0,40.16,33.71,2.6666666666666665
26,8100,33.0,85.0,0.0,0.0,40.16,33.715,3.0
27,8400,29.5,84.5,0.0,0.0,40.17,33.72,2.0
28,8700,25.666666666666668,83.33333333333333,0.0,0.0,40.17,33.72,3.6666666666666665
29,9000,24.5,84.0,0.0,0.0,40.18,33.73,2.5
30,9300,37.666666666666664,82.66666666666667,0.0,0.0,40.18,33.73,2.6666666666666665
31,9600,28.666666666666668,82.0,0.0,0.0,40.19,33.73666666666667,4.0
32,9900,30.0,83.0,0.0,0.0,40.19,33.74,1.0
33,10200,21.0,80.0,0.0,0.0,40.2,33.74,3.0
