,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,18.0,90.0,0.0,0.0,40.04,33.61,1.0
1,600,32.0,90.5,0.0,0.0,40.05,33.62,4.0
2,900,34.0,90.0,0.0,0.0,40.05,33.62,3.0
3,1200,36.0,90.0,0.0,0.0,40.05,33.63,2.0
4,1500,31.5,89.5,0.0,0.0,40.06,33.63,2.5
5,1800,27.0,90.0,0.0,0.0,40.067499999999995,33.64,2.25
6,2100,28.0,88.0,0.0,0.0,40.07,33.64,3.0
7,2400,21.0,86.0,0.0,0.0,40.07,33.64,2.0
8,2700,45.75,89.25,0.0,0.0,40.08,33.65,2.25
9,3000,43.0,90.0,0.0,0.0,40.08,33.65,2.5
10,3300,43.0,90.0,0.0,0.0,40.08,33.65,2.5
11,3600,21.875,89.5,0.0,0.0,40.09,33.66,2.5
12,3900,29.75,92.0,0.0,0.0,40.095,33.66,2.5
13,4200,24.5,91.5,0.0,0.0,40.1,33.66,2.0
14,4500,20.5,87.83333333333333,0.0,0.0,40.1,33.67000000000001,2.0
15,4800,27.2,90.2,0.0,0.0,40.104000000000006,33.67,2.4
16,5100,29.0,85.0,0.0,0.0,40.11,33.68,3.0
17,5400,36.5,82.5,0.0,0.0,40.114999999999995,33.68,3.0
18,5700,41.0,84.66666666666667,0.0,0.0,40.12,33.68,2.0
19,6000,31.333333333333332,83.0,0.0,0.0,40.13,33.69,2.0
20,6300,21.0,80.0,0.0,0.0,40.13,33.69,2.0
21,6600,30.5,83.5,0.0,0.0,40.135000000000005,33.695,2.0
22,6900,29.75,84.5,0.0,0.0,40.14,33.7,3.0
23,7200,23.5,84.0,0.0,0.0,40.144999999999996,33.7,7.0
24,7500,32.0,85.5,0.0,0.0,40.15,33.71,4.25
25,7800,27.0,85.66666666666667,0.0,0.0,40.15833333333333,33.71,2.6666666666666665
26,8100,34.5,87.5,0.0,0.0,40.16,33.72,3.0
27,8400,31.0,85.5,0.0,0.0,40.17,33.72,2.75
28,8700,26.25,83.25,0.0,0.0,40.17,33.72749999999999,3.0
29,9000,23.2,83.8,0.0,0.0,40.178000000000004,33.73,2.2
30,9300,36.5,82.0,0.0,0.0,40.18,33.73,3.0
