,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,33.5,90.0,0.0,0.0,40.05,33.62,3.25
3,1200,37.0,90.0,0.0,0.0,40.06,33.63,2.5
4,1500,31.571428571428573,89.42857142857143,0.0,0.0,40.06,33.63,2.2857142857142856
5,1800,30.0,90.0,0.0,0.0,40.06,33.64,2.0
6,2100,23.75,87.75,0.0,0.0,40.07,33.64,2.25
7,2400,20.0,86.0,0.0,0.0,40.07,33.64,2.0
8,2700,48.0,90.0,0.0,0.0,40.08,33.65,2.0
9,3000,36.0,89.25,0.0,0.0,40.08,33.65,2.5
10,3300,31.25,89.5,0.0,0.0,40.087500000000006,33.652499999999996,2.25
11,3600,21.333333333333332,89.33333333333333,0.0,0.0,40.09,33.66,1.6666666666666667
12,3900,29.0,92.2,0.0,0.0,40.094,33.66,2.4
13,4200,23.4,90.2,0.0,0.0,40.1,33.66,2.0
14,4500,22.5,87.75,0.0,0.0,40.1,33.67,2.0
15,4800,26.5,87.5,0.0,0.0,40.1,33.67,2.0
16,5100,43.5,91.5,0.0,0.0,40.11,33.67,3.5
17,5400,33.75,83.25,0.0,0.0,40.1125,33.68,2.75
18,5700,33.75,83.25,0.0,0.0,40.1125,33.68,2.75
19,6000,32.5,83.0,0.0,0.0,40.13,33.69,2.0
20,6300,30.0,83.0,0.0,0.0,40.13,33.69,2.0
21,6600,28.0,83.5,0.0,0.0,40.135000000000005,33.695,3.5
22,6900,31.5,84.0,0.0,0.0,40.14,33.7,2.75
23,7200,24.0,84.0,0.0,0.0,40.15,33.70333333333334,9.0
24,7500,30.75,86.0,0.0,0.0,40.15,33.71,3.25
25,7800,33.5,86.0,0.0,0.0,40.155,33.71,3.0
26,8100,32.333333333333336,86.16666666666667,0.0,0.0,40.16,33.72,2.5
27,8400,35.0,87.0,0.0,0.0,40.17,33.72,3.0
28,8700,24.0,83.0,0.0,0.0,40.17,33.724999999999994,2.5
29,9000,23.666666666666668,83.0,0.0,0.0,40.17333333333334,33.73,2.0
30,9300,33.0,83.5,0.0,0.0,40.18,33.73,2.0
31,9600,33.666666666666664,82.0,0.0,0.0,40.19,33.73666666666667,2.3333333333333335
32,9900,25.4,81.6,0.0,0.0,40.19,33.74,3.0
33,10200,25.25,81.25,0.0,0.0,40.195,33.74,3.0
34,10500,30.333333333333332,81.33333333333333,0.0,0.0,40.2,33.74,2.0
35,10800,23.75,82.0,0.0,0.0,40.2,33.75,2.0
36,11100,28.0,84.0,0.0,0.0,40.21,33.75,2.0
37,11400,22.8,84.0,0.0,0.0,40.22,33.75,2.2
38,11700,25.4,82.8,0.0,0.0,40.22,33.75599999999999,2.2
39,12000,24.0,81.0,0.0,0.0,40.23,33.76,2.0
40,12300,27.0,81.66666666666667,0.0,0.0,40.23,33.76,5.0
41,12600,33.2,87.0,0.0,0.0,40.24,33.766000000000005,2.6
42,12900,29.0,84.0,0.0,0.0,40.245000000000005,33.77,5.0
43,13200,29.0,83.0,0.0,0.0,40.25,33.77,4.25
44,13500,34.0,84.0,0.0,0.0,40.25,33.77,4.0
45,13800,31.333333333333332,86.33333333333333,0.0,0.0,40.26,33.78,3.6666666666666665
46,14100,27.0,85.0,0.0,0.0,40.26,33.78,2.0
47,14400,27.0,85.0,0.0,0.0,40.26,33.78,2.0
48,14700,27.0,85.0,0.0,0.0,40.26,33.78,2.0
49,15000,27.0,85.0,0.0,0.0,40.26,33.78,2.0
50,15300,27.0,85.0,0.0,0.0,40.26,33.78,2.0
51,15600,27.0,85.0,0.0,0.0,40.26,33.78,2.0
52,15900,28.666666666666668,87.33333333333333,0.0,0.0,40.306666666666665,33.81,6.0
53,16200,24.5,86.5,0.0,0.0,40.31,33.81,2.0
54,16500,23.0,86.0,0.0,0.0,40.31,33.81,3.0
55,16800,25.25,86.25,0.0,0.0,40.32,33.82,3.25
56,17100,24.0,85.33333333333333,0.0,0.0,40.32,33.82,2.0
57,17400,33.0,87.0,0.0,0.0,40.32,33.82,3.0
58,17700,36.5,91.5,0.0,0.0,40.33,33.825,5.0
59,18000,30.0,87.75,0.0,0.0,40.337500000000006,33.83,7.75
60,18300,22.75,85.5,0.0,0.0,40.34,33.837500000000006,3.75
61,18600,29.333333333333332,85.66666666666667,0.0,0.0,40.343333333333334,33.84,4.666666666666667
62,18900,28.333333333333332,85.0,0.0,0.0,40.35,33.84,2.0
63,19200,19.666666666666668,83.0,0.0,0.0,40.36000000000001,33.85,2.5
64,19500,23.0,83.25,0.0,0.0,40.36,33.85,2.75
65,19800,23.0,83.25,0.0,0.0,40.36,33.85,2.75
66,20100,40.333333333333336,89.0,0.0,0.0,40.37,33.86,8.333333333333334
67,20400,46.625,81.75,0.0,0.0,40.385,33.87,12.0
68,20700,37.5,83.0,0.0,0.0,40.394999999999996,33.87,7.0
69,21000,49.0,84.66666666666667,0.0,0.0,40.4,33.876666666666665,10.0
70,21300,41.0,82.42857142857143,0.0,0.0,40.401428571428575,33.88,4.571428571428571
71,21600,33.0,82.0,0.0,0.0,40.41,33.88,3.0
72,21900,51.75,85.25,0.0,0.0,40.417500000000004,33.89,3.75
73,22200,51.0,87.0,0.0,0.0,40.42,33.89,17.0
74,22500,60.5,87.0,0.0,0.0,40.435,33.9,4.5
75,22800,60.5,87.0,0.0,0.0,40.435,33.9,4.5
76,23100,73.0,90.5,0.0,0.0,40.46,33.91,6.0
77,23400,61.0,88.5,0.0,0.0,40.47,33.91,3.0
78,23700,55.666666666666664,87.0,0.0,0.0,40.47,33.91,5.666666666666667
79,24000,54.8,89.2,0.0,0.0,40.48,33.92,7.6
80,24300,54.8,89.2,0.0,0.0,40.48,33.92,7.6
81,24600,50.0,85.0,0.0,0.0,40.495000000000005,33.93,8.0
82,24900,40.666666666666664,84.33333333333333,0.0,0.0,40.50333333333333,33.94,8.666666666666666
83,25200,26.0,77.0,0.0,0.0,40.51,33.94,4.0
84,25500,49.0,81.0,0.0,0.0,40.51,33.95,5.0
85,25800,49.0,81.0,0.0,0.0,40.51,33.95,5.0
86,26100,49.0,81.0,0.0,0.0,40.51,33.95,5.0
87,26400,49.0,81.0,0.0,0.0,40.51,33.95,5.0
88,26700,49.0,81.0,0.0,0.0,40.51,33.95,5.0
89,27000,49.0,81.0,0.0,0.0,40.51,33.95,5.0
90,27300,49.0,81.0,0.0,0.0,40.51,33.95,5.0
91,27600,49.0,81.0,0.0,0.0,40.51,33.95,5.0
92,27900,49.0,81.0,0.0,0.0,40.51,33.95,5.0
93,28200,49.0,81.0,0.0,0.0,40.51,33.95,5.0
94,28500,49.0,81.0,0.0,0.0,40.51,33.95,5.0
95,28800,49.0,81.0,0.0,0.0,40.51,33.95,5.0
96,29100,49.0,81.0,0.0,0.0,40.51,33.95,5.0
97,29400,49.0,81.0,0.0,0.0,40.51,33.95,5.0
98,29700,28.0,88.0,0.0,0.0,40.62571428571429,34.05714285714286,2.2857142857142856
99,30000,31.0,89.0,0.0,0.0,40.65,34.08,3.0
100,30300,31.0,89.5,0.0,0.0,40.67666666666667,34.11333333333334,3.1666666666666665
101,30600,39.0,90.0,0.0,0.0,40.695,34.13,13.0
102,30900,39.0,90.0,0.0,0.0,40.695,34.13,13.0
103,31200,39.0,90.0,0.0,0.0,40.695,34.13,13.0
