,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,31.666666666666668,89.33333333333333,0.0,0.0,40.05,33.623333333333335,4.0
3,1200,35.0,91.5,0.0,0.0,40.055,33.63,4.0
4,1500,26.0,88.0,0.0,0.0,40.06,33.63,2.6666666666666665
5,1800,30.25,90.75,0.0,0.0,40.065,33.6375,2.75
6,2100,28.25,89.0,0.0,0.0,40.07,33.64,2.75
7,2400,28.25,89.0,0.0,0.0,40.07,33.64,2.75
8,2700,37.0,89.0,0.0,0.0,40.08,33.65,5.0
9,3000,39.666666666666664,88.33333333333333,0.0,0.0,40.08,33.65,2.3333333333333335
10,3300,28.2,89.8,0.0,0.0,40.09,33.652,2.6
11,3600,21.333333333333332,89.33333333333333,0.0,0.0,40.09,33.66,3.3333333333333335
12,3900,29.0,93.0,0.0,0.0,40.0975,33.66,2.0
13,4200,23.5,90.0,0.0,0.0,40.1,33.66,2.0
14,4500,17.0,87.5,0.0,0.0,40.1,33.67,2.0
15,4800,41.8,92.4,0.0,0.0,40.108000000000004,33.67,2.8
16,5100,36.0,87.0,0.0,0.0,40.11,33.674,3.0
17,5400,36.5,83.5,0.0,0.0,40.115,33.68,3.25
18,5700,37.333333333333336,84.0,0.0,0.0,40.12,33.68,2.5
19,6000,31.333333333333332,83.33333333333333,0.0,0.0,40.126666666666665,33.69,2.0
20,6300,28.285714285714285,82.42857142857143,0.0,0.0,40.13,33.69,2.0
21,6600,28.5,83.0,0.0,0.0,40.135000000000005,33.695,1.5
22,6900,33.333333333333336,85.0,0.0,0.0,40.14,33.7,2.6666666666666665
23,7200,24.2,84.0,0.0,0.0,40.142,33.7,6.8
24,7500,29.5,85.0,0.0,0.0,40.15,33.71,2.0
25,7800,33.75,87.0,0.0,0.0,40.1575,33.71,3.0
26,8100,37.0,86.0,0.0,0.0,40.16,33.72,2.0
27,8400,30.0,85.5,0.0,0.0,40.166666666666664,33.72,2.3333333333333335
28,8700,23.0,83.0,0.0,0.0,40.17,33.72,6.0
29,9000,23.666666666666668,83.33333333333333,0.0,0.0,40.17666666666667,33.73,1.6666666666666667
30,9300,36.0,81.5,0.0,0.0,40.18,33.73,3.0
31,9600,24.5,81.5,0.0,0.0,40.19,33.7325,2.0
32,9900,25.333333333333332,81.33333333333333,0.0,0.0,40.19,33.74,3.6666666666666665
33,10200,26.333333333333332,80.66666666666667,0.0,0.0,40.199999999999996,33.74,1.8333333333333333
34,10500,23.571428571428573,81.14285714285714,0.0,0.0,40.199999999999996,33.74,1.4285714285714286
35,10800,24.2,82.2,0.0,0.0,40.2,33.75,2.4
36,11100,31.333333333333332,84.16666666666667,0.0,0.0,40.211666666666666,33.75,2.6666666666666665
37,11400,19.5,83.5,0.0,0.0,40.22,33.75,2.0
38,11700,26.333333333333332,82.0,0.0,0.0,40.22,33.76,2.8333333333333335
39,12000,22.0,81.25,0.0,0.0,40.23,33.76,2.25
40,12300,33.0,82.5,0.0,0.0,40.235,33.76,3.0
41,12600,33.75,86.25,0.0,0.0,40.24,33.76,3.25
42,12900,27.8,84.8,0.0,0.0,40.24,33.77,3.6
43,13200,26.333333333333332,84.0,0.0,0.0,40.25,33.77,3.0
44,13500,31.25,84.75,0.0,0.0,40.25,33.77,3.75
45,13800,29.5,84.5,0.0,0.0,40.26,33.78,3.5
46,14100,29.0,86.0,0.0,0.0,40.265,33.78,4.5
47,14400,29.0,86.0,0.0,0.0,40.265,33.78,4.5
48,14700,29.0,86.0,0.0,0.0,40.265,33.78,4.5
49,15000,29.0,86.0,0.0,0.0,40.265,33.78,4.5
50,15300,29.0,86.0,0.0,0.0,40.265,33.78,4.5
51,15600,29.0,86.0,0.0,0.0,40.265,33.78,4.5
52,15900,25.0,86.0,0.0,0.0,40.31,33.81,4.0
53,16200,24.666666666666668,86.33333333333333,0.0,0.0,40.31,33.81,2.6666666666666665
54,16500,29.25,87.25,0.0,0.0,40.315,33.81,4.25
55,16800,23.5,85.0,0.0,0.0,40.32,33.82,3.0
56,17100,24.75,85.5,0.0,0.0,40.32,33.82,2.5
57,17400,41.4,90.0,0.0,0.0,40.327999999999996,33.82,4.8
58,17700,34.0,91.0,0.0,0.0,40.33,33.83,4.0
59,18000,23.666666666666668,86.33333333333333,0.0,0.0,40.34,33.83,7.0
60,18300,24.0,85.5,0.0,0.0,40.34,33.84,3.0
61,18600,35.8,86.2,0.0,0.0,40.342,33.84,4.0
62,18900,28.25,83.75,0.0,0.0,40.35,33.845,2.0
63,19200,22.0,82.66666666666667,0.0,0.0,40.36,33.85,2.3333333333333335
64,19500,21.5,83.0,0.0,0.0,40.36,33.85,2.0
65,19800,21.5,83.0,0.0,0.0,40.36,33.85,2.0
66,20100,24.0,85.0,0.0,0.0,40.37,33.86,7.0
67,20400,48.333333333333336,82.0,0.0,0.0,40.38333333333333,33.87,10.666666666666666
68,20700,39.5,83.5,0.0,0.0,40.39,33.87,15.0
69,21000,45.4,82.8,0.0,0.0,40.4,33.88,6.6
70,21300,32.0,81.0,0.0,0.0,40.4,33.88,3.5
71,21600,32.0,82.33333333333333,0.0,0.0,40.41,33.88333333333333,3.3333333333333335
72,21900,44.714285714285715,83.71428571428571,0.0,0.0,40.41428571428572,33.88999999999999,3.0
73,22200,52.0,86.0,0.0,0.0,40.42,33.89,14.5
74,22500,68.0,89.0,0.0,0.0,40.43,33.9,6.0
75,22800,77.0,88.0,0.0,0.0,40.45,33.9,8.0
76,23100,72.5,89.5,0.0,0.0,40.46,33.91,6.0
77,23400,61.5,87.0,0.0,0.0,40.465,33.91,4.5
78,23700,53.5,87.5,0.0,0.0,40.474999999999994,33.92,6.0
79,24000,53.5,87.5,0.0,0.0,40.474999999999994,33.92,6.0
80,24300,55.0,87.0,0.0,0.0,40.48,33.92,6.0
81,24600,46.4,83.6,0.0,0.0,40.498000000000005,33.93,11.0
82,24900,45.0,83.83333333333333,0.0,0.0,40.501666666666665,33.93833333333333,8.833333333333334
83,25200,28.166666666666668,78.0,0.0,0.0,40.51,33.94,3.6666666666666665
84,25500,38.5,79.5,0.0,0.0,40.51,33.945,3.5
85,25800,38.5,79.5,0.0,0.0,40.51,33.945,3.5
86,26100,38.5,79.5,0.0,0.0,40.51,33.945,3.5
87,26400,38.5,79.5,0.0,0.0,40.51,33.945,3.5
88,26700,38.5,79.5,0.0,0.0,40.51,33.945,3.5
89,27000,38.5,79.5,0.0,0.0,40.51,33.945,3.5
90,27300,38.5,79.5,0.0,0.0,40.51,33.945,3.5
91,27600,38.5,79.5,0.0,0.0,40.51,33.945,3.5
92,27900,38.5,79.5,0.0,0.0,40.51,33.945,3.5
93,28200,38.5,79.5,0.0,0.0,40.51,33.945,3.5
94,28500,38.5,79.5,0.0,0.0,40.51,33.945,3.5
95,28800,38.5,79.5,0.0,0.0,40.51,33.945,3.5
96,29100,38.5,79.5,0.0,0.0,40.51,33.945,3.5
97,29400,35.6,89.0,0.0,0.0,40.602,34.032,2.8
98,29700,28.0,88.5,0.0,0.0,40.629999999999995,34.06,2.25
99,30000,34.25,88.25,0.0,0.0,40.6475,34.08,2.75
100,30300,31.8,89.0,0.0,0.0,40.68,34.112,2.6
101,30600,36.4,89.2,0.0,0.0,40.704,34.142,6.0
