,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,27.0,92.0,0.0,0.0,37.83,31.39,6.333333333333333
1,600,33.4,92.4,0.0,0.0,37.832,31.389999999999997,5.0
2,900,33.0,91.33333333333333,0.0,0.0,37.84,31.399999999999995,8.0
3,1200,39.0,95.0,0.0,0.0,37.85,31.4,11.0
4,1500,36.0,93.66666666666667,0.0,0.0,37.85666666666667,31.41,7.333333333333333
5,1800,40.0,95.33333333333333,0.0,0.0,37.86,31.41,5.333333333333333
6,2100,37.0,94.0,0.0,0.0,37.86,31.42,6.0
7,2400,29.0,89.2,0.0,0.0,37.87,31.420000000000005,6.0
8,2700,38.25,91.25,0.0,0.0,37.87,31.42,3.75
9,3000,40.5,91.5,0.0,0.0,37.875,31.43,5.0
10,3300,28.5,91.0,0.0,0.0,37.88,31.43,5.0
11,3600,25.666666666666668,92.16666666666667,0.0,0.0,37.88,31.430000000000003,4.0
12,3900,28.0,94.0,0.0,0.0,37.89,31.44,5.0
13,4200,29.6,92.4,0.0,0.0,37.89,31.440000000000005,4.2
14,4500,31.0,90.6,0.0,0.0,37.89,31.442,4.0
15,4800,50.4,95.0,0.0,0.0,37.9,31.45,6.8
16,5100,37.0,87.75,0.0,0.0,37.902499999999996,31.45,6.5
17,5400,37.0,87.75,0.0,0.0,37.902499999999996,31.45,6.5
18,5700,45.0,87.33333333333333,0.0,0.0,37.913333333333334,31.459999999999997,6.0
19,6000,38.0,87.0,0.0,0.0,37.92,31.47,5.333333333333333
20,6300,36.75,85.75,0.0,0.0,37.9275,31.47,3.5
21,6600,37.5,86.5,0.0,0.0,37.93,31.471666666666664,6.333333333333333
22,6900,38.5,88.5,0.0,0.0,37.935,31.48,6.0
23,7200,33.5,86.5,0.0,0.0,37.94,31.48,5.5
24,7500,39.5,87.5,0.0,0.0,37.95,31.49,6.75
25,7800,42.333333333333336,89.33333333333333,0.0,0.0,37.95,31.49,6.666666666666667
26,8100,52.666666666666664,93.66666666666667,0.0,0.0,37.96,31.5,11.0
27,8400,45.166666666666664,90.16666666666667,0.0,0.0,37.96333333333333,31.5,7.0
28,8700,34.333333333333336,85.33333333333333,0.0,0.0,37.97,31.5,7.5
29,9000,34.0,86.0,0.0,0.0,37.97,31.5,8.0
30,9300,34.0,86.0,0.0,0.0,37.97,31.5,8.0
31,9600,34.0,86.0,0.0,0.0,37.97,31.5,8.0
32,9900,34.0,86.0,0.0,0.0,37.97,31.5,8.0
33,10200,29.0,83.0,0.0,0.0,38.0,31.52,7.0
34,10500,29.0,83.0,0.0,0.0,38.0,31.52,7.0
35,10800,27.333333333333332,85.66666666666667,0.0,0.0,38.0,31.526666666666667,4.666666666666667
36,11100,33.0,87.0,0.0,0.0,38.004999999999995,31.53,4.5
37,11400,34.333333333333336,89.33333333333333,0.0,0.0,38.01666666666667,31.53,6.666666666666667
38,11700,34.0,85.0,0.0,0.0,38.02,31.54,7.0
39,12000,32.75,85.75,0.0,0.0,38.03,31.54,5.25
40,12300,35.0,86.25,0.0,0.0,38.03,31.54,4.75
41,12600,36.5,89.5,0.0,0.0,38.035,31.54,6.0
42,12900,34.0,88.0,0.0,0.0,38.04,31.55,6.0
43,13200,27.666666666666668,85.0,0.0,0.0,38.04333333333333,31.55,3.6666666666666665
44,13500,36.0,85.0,0.0,0.0,38.05,31.55,5.0
45,13800,33.833333333333336,88.16666666666667,0.0,0.0,38.055,31.555000000000003,4.833333333333333
46,14100,33.6,88.6,0.0,0.0,38.06,31.559999999999995,3.8
47,14400,35.333333333333336,90.66666666666667,0.0,0.0,38.06,31.56,5.333333333333333
48,14700,40.0,92.0,0.0,0.0,38.07,31.564999999999998,6.0
49,15000,42.0,90.0,0.0,0.0,38.08,31.57,12.0
50,15300,41.75,93.5,0.0,0.0,38.085,31.57,10.5
51,15600,41.0,93.66666666666667,0.0,0.0,38.09,31.58,11.666666666666666
52,15900,30.6,92.6,0.0,0.0,38.1,31.579999999999995,6.8
53,16200,25.5,91.0,0.0,0.0,38.1,31.58,8.0
54,16500,37.666666666666664,91.33333333333333,0.0,0.0,38.10666666666667,31.59,8.333333333333334
55,16800,28.0,90.0,0.0,0.0,38.11,31.59,5.0
56,17100,25.0,91.0,0.0,0.0,38.11,31.59,5.0
57,17400,43.8,93.0,0.0,0.0,38.118,31.6,4.6
58,17700,38.0,94.66666666666667,0.0,0.0,38.12,31.600000000000005,5.333333333333333
59,18000,39.0,94.0,0.0,0.0,38.12,31.6,5.0
60,18300,39.0,94.0,0.0,0.0,38.12,31.6,5.0
61,18600,39.0,94.0,0.0,0.0,38.12,31.6,5.0
62,18900,39.0,94.0,0.0,0.0,38.12,31.6,5.0
63,19200,39.0,94.0,0.0,0.0,38.12,31.6,5.0
64,19500,29.0,91.4,0.0,0.0,38.15,31.619999999999997,3.6
65,19800,41.0,93.0,0.0,0.0,38.16,31.63,15.0
66,20100,41.0,93.0,0.0,0.0,38.16,31.63,15.0
67,20400,49.5,94.0,0.0,0.0,38.17,31.63,20.0
68,20700,59.0,95.0,0.0,0.0,38.188,31.639999999999997,19.8
69,21000,56.5,92.5,0.0,0.0,38.192499999999995,31.65,18.75
70,21300,51.0,92.0,0.0,0.0,38.2,31.65,13.0
71,21600,46.0,90.5,0.0,0.0,38.21,31.66,11.0
72,21900,62.5,94.0,0.0,0.0,38.22,31.66,14.0
73,22200,50.75,92.75,0.0,0.0,38.22,31.67,13.25
74,22500,68.6,94.8,0.0,0.0,38.232,31.670000000000005,12.6
75,22800,68.6,94.8,0.0,0.0,38.232,31.670000000000005,12.6
76,23100,72.0,94.0,0.0,0.0,38.25666666666666,31.679999999999996,7.333333333333333
77,23400,64.0,93.5,0.0,0.0,38.265,31.69,5.5
78,23700,67.33333333333333,92.66666666666667,0.0,0.0,38.28,31.69,11.333333333333334
79,24000,59.5,90.0,0.0,0.0,38.285,31.7,16.0
80,24300,62.166666666666664,91.66666666666667,0.0,0.0,38.29,31.7,12.166666666666666
81,24600,56.2,91.8,0.0,0.0,38.3,31.71,15.2
82,24900,64.0,96.0,0.0,0.0,38.3,31.71,15.0
83,25200,50.666666666666664,88.66666666666667,0.0,0.0,38.31,31.71666666666667,15.333333333333334
84,25500,54.666666666666664,87.66666666666667,0.0,0.0,38.32,31.72666666666667,9.666666666666666
85,25800,54.666666666666664,87.66666666666667,0.0,0.0,38.32,31.72666666666667,9.666666666666666
86,26100,54.666666666666664,87.66666666666667,0.0,0.0,38.32,31.72666666666667,9.666666666666666
87,26400,36.0,86.0,0.0,0.0,38.34,31.74,8.0
88,26700,36.0,86.0,0.0,0.0,38.34,31.74,8.0
89,27000,58.0,91.5,0.0,0.0,38.35,31.75,6.0
90,27300,50.0,92.25,0.0,0.0,38.352500000000006,31.76,4.25
91,27600,48.333333333333336,92.0,0.0,0.0,38.36,31.76,4.666666666666667
92,27900,59.0,93.0,0.0,0.0,38.36,31.77,9.0
93,28200,46.0,88.33333333333333,0.0,0.0,38.373333333333335,31.77333333333333,7.0
94,28500,47.0,90.0,0.0,0.0,38.38,31.78,10.5
95,28800,47.6,91.0,0.0,0.0,38.39,31.788,10.8
96,29100,62.5,91.5,0.0,0.0,38.394999999999996,31.79,11.5
97,29400,61.5,92.0,0.0,0.0,38.4,31.8,7.5
98,29700,52.666666666666664,88.66666666666667,0.0,0.0,38.41,31.8,8.0
