,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,25.5,91.5,0.0,0.0,37.83,31.39,4.5
1,600,39.0,94.5,0.0,0.0,37.84,31.39,5.5
2,900,29.0,91.0,0.0,0.0,37.84,31.4,8.0
3,1200,39.0,93.0,0.0,0.0,37.85,31.405,8.0
4,1500,35.0,93.0,0.0,0.0,37.85333333333333,31.41,7.333333333333333
5,1800,35.666666666666664,95.33333333333333,0.0,0.0,37.86,31.41,6.0
6,2100,30.5,89.5,0.0,0.0,37.86,31.42,12.0
7,2400,26.75,88.5,0.0,0.0,37.87,31.42,7.25
8,2700,35.0,90.2,0.0,0.0,37.87,31.420000000000005,4.0
9,3000,41.0,91.75,0.0,0.0,37.875,31.427500000000002,4.5
10,3300,36.5,92.5,0.0,0.0,37.88,31.43,5.75
11,3600,25.0,93.0,0.0,0.0,37.88,31.43,4.0
12,3900,32.0,94.5,0.0,0.0,37.89,31.44,4.5
13,4200,30.4,92.0,0.0,0.0,37.89,31.440000000000005,5.0
14,4500,25.0,89.66666666666667,0.0,0.0,37.89333333333334,31.44333333333333,4.666666666666667
15,4800,48.5,94.75,0.0,0.0,37.9,31.45,7.75
16,5100,38.0,89.0,0.0,0.0,37.9075,31.45,5.75
17,5400,38.0,87.0,0.0,0.0,37.91,31.459999999999997,6.0
18,5700,44.0,88.6,0.0,0.0,37.916,31.46,6.6
19,6000,33.5,86.5,0.0,0.0,37.92,31.47,7.5
20,6300,39.75,85.5,0.0,0.0,37.9275,31.47,5.75
21,6600,34.5,85.0,0.0,0.0,37.93,31.47,7.0
22,6900,43.666666666666664,88.66666666666667,0.0,0.0,37.93666666666667,31.48,6.0
23,7200,43.666666666666664,88.66666666666667,0.0,0.0,37.93666666666667,31.48,6.0
24,7500,36.0,87.0,0.0,0.0,37.95,31.49,6.0
25,7800,40.6,88.6,0.0,0.0,37.95,31.49,7.8
26,8100,48.5,92.75,0.0,0.0,37.96,31.5,12.0
27,8400,44.4,90.8,0.0,0.0,37.96,31.5,8.2
28,8700,37.5,86.0,0.0,0.0,37.97,31.5,5.5
29,9000,33.0,86.0,0.0,0.0,37.97,31.51,8.0
30,9300,33.0,86.0,0.0,0.0,37.97,31.51,8.0
31,9600,33.0,86.0,0.0,0.0,37.97,31.51,8.0
32,9900,33.0,86.0,0.0,0.0,37.97,31.51,8.0
33,10200,33.0,86.0,0.0,0.0,37.97,31.51,8.0
34,10500,30.666666666666668,84.33333333333333,0.0,0.0,38.0,31.52,6.0
35,10800,28.166666666666668,85.0,0.0,0.0,38.0,31.523333333333337,5.166666666666667
36,11100,35.0,88.0,0.0,0.0,38.01,31.53,3.0
37,11400,30.571428571428573,88.42857142857143,0.0,0.0,38.018571428571434,31.53,7.142857142857143
38,11700,31.666666666666668,86.33333333333333,0.0,0.0,38.02,31.53333333333333,9.0
39,12000,33.4,85.6,0.0,0.0,38.028000000000006,31.54,5.2
40,12300,33.4,85.6,0.0,0.0,38.028000000000006,31.54,5.2
41,12600,35.0,89.8,0.0,0.0,38.038,31.54,5.4
42,12900,27.666666666666668,85.66666666666667,0.0,0.0,38.04,31.55,7.333333333333333
43,13200,25.5,85.5,0.0,0.0,38.045,31.55,3.5
44,13500,36.5,87.16666666666667,0.0,0.0,38.050000000000004,31.55,4.166666666666667
45,13800,33.5,88.0,0.0,0.0,38.05,31.55,6.25
46,14100,33.666666666666664,89.0,0.0,0.0,38.06,31.56,3.3333333333333335
47,14400,39.0,93.5,0.0,0.0,38.07,31.56,4.25
48,14700,47.0,92.0,0.0,0.0,38.08,31.57,12.0
49,15000,43.0,91.66666666666667,0.0,0.0,38.08,31.570000000000004,8.333333333333334
50,15300,43.666666666666664,92.33333333333333,0.0,0.0,38.083333333333336,31.570000000000004,11.333333333333334
51,15600,38.333333333333336,92.33333333333333,0.0,0.0,38.09,31.58,12.333333333333334
52,15900,35.0,94.0,0.0,0.0,38.1,31.58,9.0
53,16200,29.0,90.5,0.0,0.0,38.1,31.585,8.5
54,16500,33.666666666666664,90.33333333333333,0.0,0.0,38.10333333333333,31.59,5.0
55,16800,28.0,90.0,0.0,0.0,38.11,31.59,5.0
56,17100,29.5,90.75,0.0,0.0,38.11,31.59,4.75
57,17400,49.4,94.4,0.0,0.0,38.118,31.6,4.6
58,17700,36.6,94.6,0.0,0.0,38.12,31.6,5.2
59,18000,41.0,94.0,0.0,0.0,38.13,31.6,6.0
60,18300,41.0,94.0,0.0,0.0,38.13,31.6,6.0
61,18600,41.0,94.0,0.0,0.0,38.13,31.6,6.0
62,18900,41.0,94.0,0.0,0.0,38.13,31.6,6.0
63,19200,41.0,94.0,0.0,0.0,38.13,31.6,6.0
64,19500,32.0,91.33333333333333,0.0,0.0,38.15,31.62,3.6666666666666665
65,19800,46.5,92.83333333333333,0.0,0.0,38.16,31.63,23.666666666666668
66,20100,48.5,94.0,0.0,0.0,38.17,31.63,16.0
67,20400,48.5,94.0,0.0,0.0,38.17,31.63,16.0
68,20700,56.5,95.16666666666667,0.0,0.0,38.18666666666667,31.639999999999997,18.5
69,21000,56.0,92.0,0.0,0.0,38.2,31.65,19.0
70,21300,43.0,90.0,0.0,0.0,38.2,31.65,16.0
71,21600,48.0,92.0,0.0,0.0,38.2,31.66,21.0
72,21900,53.5,92.0,0.0,0.0,38.215,31.665,11.5
73,22200,56.0,94.0,0.0,0.0,38.22,31.67,14.0
74,22500,68.0,93.0,0.0,0.0,38.23,31.67,11.0
75,22800,81.25,94.5,0.0,0.0,38.2475,31.68,11.5
76,23100,73.0,94.0,0.0,0.0,38.26,31.679999999999996,8.333333333333334
77,23400,65.0,94.66666666666667,0.0,0.0,38.27,31.69,5.0
78,23700,68.5,93.5,0.0,0.0,38.275000000000006,31.69,10.5
79,24000,62.0,90.5,0.0,0.0,38.28333333333333,31.7,13.833333333333334
80,24300,59.333333333333336,92.0,0.0,0.0,38.29,31.7,14.833333333333334
81,24600,58.333333333333336,92.0,0.0,0.0,38.3,31.709999999999997,11.0
82,24900,56.0,91.8,0.0,0.0,38.30800000000001,31.71,14.0
83,25200,48.5,89.0,0.0,0.0,38.31,31.72,9.0
84,25500,69.0,91.0,0.0,0.0,38.32,31.72,7.0
85,25800,45.333333333333336,88.0,0.0,0.0,38.33,31.73,10.0
86,26100,45.333333333333336,88.0,0.0,0.0,38.33,31.73,10.0
87,26400,48.0,87.0,0.0,0.0,38.34,31.74,5.0
88,26700,40.0,86.0,0.0,0.0,38.34166666666667,31.746666666666666,7.0
89,27000,52.8,90.8,0.0,0.0,38.35,31.75,7.6
90,27300,46.0,91.66666666666667,0.0,0.0,38.35666666666667,31.76,6.333333333333333
91,27600,53.5,92.25,0.0,0.0,38.36,31.7675,6.25
92,27900,46.0,88.0,0.0,0.0,38.37,31.77,7.5
93,28200,48.0,87.0,0.0,0.0,38.37,31.77,10.333333333333334
94,28500,50.333333333333336,89.5,0.0,0.0,38.38,31.78,10.166666666666666
95,28800,46.5,90.5,0.0,0.0,38.3875,31.7825,14.75
96,29100,64.16666666666667,92.5,0.0,0.0,38.391666666666666,31.789999999999996,9.333333333333334
97,29400,55.5,90.5,0.0,0.0,38.4,31.800000000000004,8.875
98,29700,55.666666666666664,88.33333333333333,0.0,0.0,38.41,31.8,5.333333333333333
99,30000,54.0,90.66666666666667,0.0,0.0,38.41,31.81,7.666666666666667
100,30300,55.0,89.5,0.0,0.0,38.418333333333344,31.81,8.833333333333334
101,30600,47.0,91.0,0.0,0.0,38.42,31.82,10.0
102,30900,49.5,90.0,0.0,0.0,38.425,31.82,10.0
103,31200,48.5,90.5,0.0,0.0,38.43,31.825,9.0
104,31500,48.5,90.5,0.0,0.0,38.43,31.825,9.0
105,31800,48.5,90.5,0.0,0.0,38.43,31.825,9.0
106,32100,48.5,90.5,0.0,0.0,38.43,31.825,9.0
107,32400,48.5,90.5,0.0,0.0,38.43,31.825,9.0
108,32700,48.5,90.5,0.0,0.0,38.43,31.825,9.0
109,33000,48.5,90.5,0.0,0.0,38.43,31.825,9.0
110,33300,48.5,90.5,0.0,0.0,38.43,31.825,9.0
111,33600,48.5,90.5,0.0,0.0,38.43,31.825,9.0
112,33900,48.5,90.5,0.0,0.0,38.43,31.825,9.0
113,34200,48.5,90.5,0.0,0.0,38.43,31.825,9.0
114,34500,48.5,90.5,0.0,0.0,38.43,31.825,9.0
115,34800,37.5,87.25,0.0,0.0,38.49,31.88,6.5
116,35100,54.0,89.0,0.0,0.0,38.49,31.89,7.0
117,35400,50.666666666666664,89.0,0.0,0.0,38.5,31.893333333333334,5.0
