,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,30.0,92.5,0.0,0.0,37.83,31.39,4.5
1,600,34.5,92.25,0.0,0.0,37.832499999999996,31.39,6.75
2,900,32.333333333333336,91.0,0.0,0.0,37.84,31.399999999999995,6.333333333333333
3,1200,39.0,95.0,0.0,0.0,37.85,31.4,7.0
4,1500,39.333333333333336,94.66666666666667,0.0,0.0,37.85,31.41,8.0
5,1800,39.0,96.0,0.0,0.0,37.86,31.41,6.0
6,2100,35.0,91.0,0.0,0.0,37.86333333333334,31.42,10.0
7,2400,29.0,89.0,0.0,0.0,37.87,31.42,5.5
8,2700,41.5,92.0,0.0,0.0,37.87,31.42,3.0
9,3000,40.8,91.0,0.0,0.0,37.876,31.43,4.0
10,3300,34.5,91.5,0.0,0.0,37.88,31.43,5.25
11,3600,23.0,92.0,0.0,0.0,37.88,31.43,4.0
12,3900,31.6,93.2,0.0,0.0,37.886,31.432,4.2
13,4200,32.0,92.0,0.0,0.0,37.89,31.44,4.75
14,4500,29.0,90.5,0.0,0.0,37.894999999999996,31.445,4.0
15,4800,29.0,90.5,0.0,0.0,37.9,31.45,4.0
16,5100,44.5,92.0,0.0,0.0,37.9,31.45,6.5
17,5400,41.5,87.0,0.0,0.0,37.91,31.455,5.5
18,5700,43.0,87.66666666666667,0.0,0.0,37.913333333333334,31.459999999999997,6.333333333333333
19,6000,40.333333333333336,87.0,0.0,0.0,37.92,31.459999999999997,5.0
20,6300,34.0,84.0,0.0,0.0,37.93,31.47,5.0
21,6600,36.5,86.66666666666667,0.0,0.0,37.93,31.471666666666664,5.5
22,6900,43.0,88.33333333333333,0.0,0.0,37.94,31.48,4.333333333333333
23,7200,32.0,86.5,0.0,0.0,37.94,31.48,9.5
24,7500,38.25,88.75,0.0,0.0,37.95,31.49,7.0
25,7800,37.0,91.0,0.0,0.0,37.96,31.49,7.0
26,8100,45.0,92.5,0.0,0.0,37.96,31.494999999999997,10.5
27,8400,44.6,91.8,0.0,0.0,37.96,31.5,6.2
28,8700,35.4,85.6,0.0,0.0,37.97,31.5,5.6
29,9000,34.5,87.125,0.0,0.0,37.97125,31.507499999999997,7.0
30,9300,34.5,87.125,0.0,0.0,37.97125,31.507499999999997,7.0
31,9600,34.5,87.125,0.0,0.0,37.97125,31.507499999999997,7.0
32,9900,34.5,87.125,0.0,0.0,37.97125,31.507499999999997,7.0
33,10200,34.5,87.125,0.0,0.0,37.97125,31.507499999999997,7.0
34,10500,25.75,85.0,0.0,0.0,38.0,31.52,4.25
35,10800,25.0,85.0,0.0,0.0,38.0,31.52,6.5
36,11100,31.0,87.0,0.0,0.0,38.01,31.53,4.666666666666667
37,11400,26.0,88.0,0.0,0.0,38.02,31.53,3.0
38,11700,36.5,87.0,0.0,0.0,38.02,31.535,10.5
39,12000,29.2,85.4,0.0,0.0,38.03,31.54,5.4
40,12300,32.25,85.75,0.0,0.0,38.03,31.54,4.5
41,12600,36.666666666666664,89.33333333333333,0.0,0.0,38.03666666666666,31.540000000000003,6.0
42,12900,27.666666666666668,85.5,0.0,0.0,38.04,31.55,6.333333333333333
43,13200,31.714285714285715,85.57142857142857,0.0,0.0,38.044285714285714,31.550000000000004,4.571428571428571
44,13500,37.666666666666664,87.0,0.0,0.0,38.05,31.55,4.333333333333333
45,13800,46.0,89.0,0.0,0.0,38.06,31.56,4.0
46,14100,35.25,88.75,0.0,0.0,38.06,31.56,4.75
47,14400,36.4,92.8,0.0,0.0,38.07,31.559999999999995,4.4
48,14700,36.666666666666664,91.33333333333333,0.0,0.0,38.07,31.563333333333333,4.666666666666667
49,15000,49.0,92.0,0.0,0.0,38.08,31.57,12.0
50,15300,41.5,94.5,0.0,0.0,38.09,31.57,9.0
51,15600,38.5,94.0,0.0,0.0,38.09,31.58,12.0
52,15900,34.0,92.66666666666667,0.0,0.0,38.093333333333334,31.58,13.0
53,16200,25.333333333333332,90.33333333333333,0.0,0.0,38.1,31.583333333333332,8.333333333333334
54,16500,34.8,90.4,0.0,0.0,38.102,31.589999999999996,8.0
55,16800,27.0,91.0,0.0,0.0,38.11,31.59,4.0
56,17100,28.833333333333332,90.0,0.0,0.0,38.11000000000001,31.59,5.0
57,17400,41.5,92.0,0.0,0.0,38.114999999999995,31.595,4.0
58,17700,34.666666666666664,93.33333333333333,0.0,0.0,38.12,31.600000000000005,6.0
59,18000,37.0,93.5,0.0,0.0,38.12,31.6,5.5
60,18300,37.0,93.5,0.0,0.0,38.12,31.6,5.5
61,18600,37.0,93.5,0.0,0.0,38.12,31.6,5.5
62,18900,37.0,93.5,0.0,0.0,38.12,31.6,5.5
63,19200,37.0,93.5,0.0,0.0,38.12,31.6,5.5
64,19500,32.0,92.0,0.0,0.0,38.15,31.62,5.0
65,19800,46.5,92.75,0.0,0.0,38.16,31.63,19.75
66,20100,49.0,93.0,0.0,0.0,38.17,31.63,17.0
67,20400,55.333333333333336,96.0,0.0,0.0,38.17666666666667,31.636666666666667,16.0
68,20700,57.0,94.0,0.0,0.0,38.19,31.64,17.0
