,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,24.666666666666668,91.33333333333333,0.0,0.0,37.83,31.39,4.666666666666667
1,600,37.5,94.5,0.0,0.0,37.835,31.39,4.5
2,900,33.8,91.6,0.0,0.0,37.84,31.4,7.2
3,1200,42.0,93.66666666666667,0.0,0.0,37.846666666666664,31.399999999999995,10.0
4,1500,37.0,94.33333333333333,0.0,0.0,37.85,31.41,7.333333333333333
5,1800,38.0,96.0,0.0,0.0,37.86,31.41,5.0
6,2100,34.125,92.125,0.0,0.0,37.862500000000004,31.42000000000001,7.25
7,2400,25.333333333333332,88.66666666666667,0.0,0.0,37.87,31.42,6.666666666666667
8,2700,36.8,91.2,0.0,0.0,37.87,31.420000000000005,3.4
9,3000,43.4,91.8,0.0,0.0,37.878,31.428000000000004,5.2
10,3300,29.166666666666668,90.83333333333333,0.0,0.0,37.88,31.430000000000003,4.666666666666667
11,3600,29.166666666666668,90.83333333333333,0.0,0.0,37.88,31.430000000000003,4.666666666666667
12,3900,31.0,95.0,0.0,0.0,37.89,31.44,5.0
13,4200,31.5,93.5,0.0,0.0,37.89,31.44,4.0
14,4500,24.75,90.0,0.0,0.0,37.89,31.44,5.0
15,4800,32.333333333333336,92.0,0.0,0.0,37.9,31.45,4.333333333333333
16,5100,36.75,88.0,0.0,0.0,37.905,31.45,6.5
17,5400,44.0,88.0,0.0,0.0,37.91,31.45,5.0
18,5700,42.0,88.0,0.0,0.0,37.915,31.46,5.0
19,6000,38.0,86.4,0.0,0.0,37.92,31.465999999999998,5.4
20,6300,38.333333333333336,85.33333333333333,0.0,0.0,37.92666666666667,31.47,4.666666666666667
21,6600,34.0,88.0,0.0,0.0,37.93,31.48,6.0
22,6900,43.0,88.0,0.0,0.0,37.938,31.48,5.0
23,7200,32.2,87.0,0.0,0.0,37.94,31.48,11.0
24,7500,39.0,88.0,0.0,0.0,37.947500000000005,31.49,7.0
25,7800,41.5,90.0,0.0,0.0,37.95,31.49,6.0
26,8100,51.0,92.0,0.0,0.0,37.96,31.5,11.0
27,8400,42.0,92.33333333333333,0.0,0.0,37.96,31.5,7.0
28,8700,27.0,84.0,0.0,0.0,37.97,31.5,8.0
29,9000,33.333333333333336,87.33333333333333,0.0,0.0,37.97333333333333,31.51,7.0
30,9300,33.333333333333336,87.33333333333333,0.0,0.0,37.97333333333333,31.51,7.0
31,9600,33.333333333333336,87.33333333333333,0.0,0.0,37.97333333333333,31.51,7.0
32,9900,33.333333333333336,87.33333333333333,0.0,0.0,37.97333333333333,31.51,7.0
33,10200,33.333333333333336,87.33333333333333,0.0,0.0,37.97333333333333,31.51,7.0
34,10500,26.0,84.5,0.0,0.0,38.0,31.52,5.0
35,10800,25.6,84.8,0.0,0.0,38.0,31.52,5.0
36,11100,34.333333333333336,86.66666666666667,0.0,0.0,38.00666666666666,31.53,4.0
37,11400,27.333333333333332,88.0,0.0,0.0,38.02,31.53,3.6666666666666665
38,11700,32.6,86.2,0.0,0.0,38.02,31.534,4.0
39,12000,31.6,85.4,0.0,0.0,38.026,31.54,6.4
40,12300,32.75,86.25,0.0,0.0,38.03,31.54,5.25
41,12600,37.0,90.0,0.0,0.0,38.04,31.54,4.5
42,12900,29.666666666666668,86.33333333333333,0.0,0.0,38.04,31.546666666666667,5.666666666666667
43,13200,32.0,85.0,0.0,0.0,38.05,31.55,4.0
44,13500,34.666666666666664,87.0,0.0,0.0,38.05,31.55,4.0
45,13800,35.0,88.0,0.0,0.0,38.06,31.56,4.0
46,14100,36.333333333333336,88.0,0.0,0.0,38.06,31.56,3.6666666666666665
47,14400,36.0,94.5,0.0,0.0,38.07,31.56,5.0
48,14700,41.5,91.5,0.0,0.0,38.07,31.564999999999998,6.5
49,15000,43.666666666666664,92.66666666666667,0.0,0.0,38.08,31.570000000000004,7.666666666666667
50,15300,41.666666666666664,93.0,0.0,0.0,38.086666666666666,31.570000000000004,9.333333333333334
51,15600,38.0,93.0,0.0,0.0,38.09,31.58,12.0
52,15900,35.5,92.66666666666667,0.0,0.0,38.096666666666664,31.579999999999995,10.166666666666666
53,16200,28.0,89.0,0.0,0.0,38.1,31.59,7.0
54,16500,31.5,91.25,0.0,0.0,38.1075,31.59,4.75
55,16800,30.5,90.5,0.0,0.0,38.11,31.59,6.0
56,17100,30.0,91.25,0.0,0.0,38.11,31.59,5.5
57,17400,35.0,92.0,0.0,0.0,38.114999999999995,31.595,6.0
58,17700,34.5,94.0,0.0,0.0,38.12,31.6,5.5
59,18000,37.333333333333336,93.66666666666667,0.0,0.0,38.123333333333335,31.600000000000005,5.666666666666667
60,18300,37.333333333333336,93.66666666666667,0.0,0.0,38.123333333333335,31.600000000000005,5.666666666666667
61,18600,37.333333333333336,93.66666666666667,0.0,0.0,38.123333333333335,31.600000000000005,5.666666666666667
62,18900,37.333333333333336,93.66666666666667,0.0,0.0,38.123333333333335,31.600000000000005,5.666666666666667
63,19200,37.333333333333336,93.66666666666667,0.0,0.0,38.123333333333335,31.600000000000005,5.666666666666667
64,19500,35.5,91.5,0.0,0.0,38.155,31.625,5.0
65,19800,49.333333333333336,93.0,0.0,0.0,38.16,31.63,70.0
66,20100,49.0,93.0,0.0,0.0,38.17,31.63,17.0
