,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,22.0,91.0,0.0,0.0,37.67,29.05,2.4
1,600,38.0,92.0,0.0,0.0,37.67,29.05,2.0
2,900,35.6,92.6,0.0,0.0,37.68,29.059999999999995,3.2
3,1200,21.75,91.0,0.0,0.0,37.68,29.06,2.0
4,1500,34.0,91.25,0.0,0.0,37.6825,29.07,2.0
5,1800,29.75,92.5,0.0,0.0,37.69,29.07,2.0
6,2100,15.0,91.0,0.0,0.0,37.69,29.070000000000004,2.6666666666666665
7,2400,24.666666666666668,89.66666666666667,0.0,0.0,37.69,29.073333333333334,10.0
8,2700,20.4,92.8,0.0,0.0,37.7,29.079999999999995,2.2
9,3000,20.4,92.8,0.0,0.0,37.7,29.079999999999995,2.2
10,3300,20.4,92.8,0.0,0.0,37.7,29.079999999999995,2.2
11,3600,20.4,92.8,0.0,0.0,37.7,29.079999999999995,2.2
12,3900,28.0,94.0,0.0,0.0,37.71,29.09,2.0
13,4200,26.666666666666668,93.0,0.0,0.0,37.71,29.09,2.0
14,4500,24.75,92.5,0.0,0.0,37.7175,29.095,1.5
15,4800,31.333333333333332,95.0,0.0,0.0,37.72,29.100000000000005,2.3333333333333335
16,5100,38.6,88.8,0.0,0.0,37.72,29.1,4.6
17,5400,30.0,87.0,0.0,0.0,37.73,29.105,2.0
18,5700,30.0,87.0,0.0,0.0,37.73,29.11,2.0
19,6000,24.333333333333332,87.0,0.0,0.0,37.74,29.113333333333333,3.3333333333333335
20,6300,24.333333333333332,87.0,0.0,0.0,37.74,29.113333333333333,3.3333333333333335
21,6600,28.5,88.0,0.0,0.0,37.75,29.12,2.0
22,6900,29.75,87.75,0.0,0.0,37.75,29.125,2.75
23,7200,35.142857142857146,88.0,0.0,0.0,37.75142857142857,29.13,2.5714285714285716
24,7500,36.25,87.5,0.0,0.0,37.76,29.13,2.75
25,7800,33.2,89.0,0.0,0.0,37.764,29.139999999999997,3.6
26,8100,27.571428571428573,88.71428571428571,0.0,0.0,37.77,29.139999999999993,2.4285714285714284
27,8400,28.5,88.0,0.0,0.0,37.7725,29.1425,3.0
28,8700,28.0,87.33333333333333,0.0,0.0,37.78,29.149999999999995,10.666666666666666
29,9000,33.333333333333336,87.83333333333333,0.0,0.0,37.78333333333333,29.150000000000002,2.1666666666666665
30,9300,42.0,87.0,0.0,0.0,37.79,29.15,2.0
31,9600,42.0,87.0,0.0,0.0,37.79,29.15,2.0
32,9900,42.0,87.0,0.0,0.0,37.79,29.15,2.0
33,10200,42.0,87.0,0.0,0.0,37.79,29.15,2.0
34,10500,42.0,87.0,0.0,0.0,37.79,29.15,2.0
35,10800,42.0,87.0,0.0,0.0,37.79,29.15,2.0
36,11100,42.0,87.0,0.0,0.0,37.79,29.15,2.0
37,11400,25.0,88.0,0.0,0.0,37.82,29.17,5.0
38,11700,44.0,89.0,0.0,0.0,37.82,29.18,2.0
39,12000,29.0,86.0,0.0,0.0,37.83,29.18,2.0
40,12300,26.0,86.0,0.0,0.0,37.83,29.18,1.0
41,12600,29.0,89.0,0.0,0.0,37.83,29.19,2.0
42,12900,24.333333333333332,87.0,0.0,0.0,37.84,29.19,2.0
43,13200,20.4,86.2,0.0,0.0,37.84,29.190000000000005,2.2
44,13500,23.5,87.5,0.0,0.0,37.84,29.195,2.0
45,13800,23.5,87.5,0.0,0.0,37.84,29.195,2.0
46,14100,23.5,87.5,0.0,0.0,37.84,29.195,2.0
47,14400,23.5,87.5,0.0,0.0,37.84,29.195,2.0
48,14700,23.5,87.5,0.0,0.0,37.84,29.195,2.0
49,15000,23.5,87.5,0.0,0.0,37.84,29.195,2.0
50,15300,24.0,88.8,0.0,0.0,37.87,29.218,2.0
51,15600,17.0,88.0,0.0,0.0,37.88,29.22,3.0
52,15900,21.5,88.5,0.0,0.0,37.88,29.22,2.0
53,16200,21.5,88.5,0.0,0.0,37.88,29.22,2.0
54,16500,21.5,88.5,0.0,0.0,37.88,29.22,2.0
55,16800,21.5,88.5,0.0,0.0,37.88,29.22,2.0
56,17100,21.5,88.5,0.0,0.0,37.88,29.22,2.0
57,17400,21.5,88.5,0.0,0.0,37.88,29.22,2.0
58,17700,21.5,88.5,0.0,0.0,37.88,29.22,2.0
59,18000,21.5,88.5,0.0,0.0,37.88,29.22,2.0
60,18300,21.5,88.5,0.0,0.0,37.88,29.22,2.0
61,18600,21.5,88.5,0.0,0.0,37.88,29.22,2.0
62,18900,21.5,88.5,0.0,0.0,37.88,29.22,2.0
63,19200,18.5,89.5,0.0,0.0,37.92,29.26,2.0
64,19500,18.0,89.0,0.0,0.0,37.92666666666667,29.26,1.6666666666666667
65,19800,40.5,91.0,0.0,0.0,37.93,29.26,5.5
66,20100,53.0,92.66666666666667,0.0,0.0,37.93666666666667,29.27,14.0
67,20400,51.0,92.66666666666667,0.0,0.0,37.946666666666665,29.276666666666667,14.333333333333334
68,20700,46.0,94.5,0.0,0.0,37.955,29.28,8.0
69,21000,46.0,94.5,0.0,0.0,37.955,29.28,8.0
70,21300,46.0,94.5,0.0,0.0,37.955,29.28,8.0
71,21600,46.0,94.5,0.0,0.0,37.955,29.28,8.0
72,21900,46.0,94.5,0.0,0.0,37.955,29.28,8.0
73,22200,46.0,94.5,0.0,0.0,37.955,29.28,8.0
74,22500,76.0,95.0,0.0,0.0,37.99,29.31,5.0
75,22800,78.0,95.0,0.0,0.0,38.0,29.31,5.0
76,23100,77.66666666666667,94.0,0.0,0.0,38.01,29.31,9.666666666666666
77,23400,60.5,91.75,0.0,0.0,38.02,29.32,6.5
78,23700,58.0,91.28571428571429,0.0,0.0,38.03000000000001,29.319999999999997,7.0
79,24000,58.0,91.28571428571429,0.0,0.0,38.03000000000001,29.319999999999997,7.0
80,24300,65.6,94.8,0.0,0.0,38.044000000000004,29.333999999999996,9.8
81,24600,60.5,93.33333333333333,0.0,0.0,38.050000000000004,29.34,6.333333333333333
82,24900,44.0,94.0,0.0,0.0,38.06,29.35,8.0
83,25200,52.5,91.75,0.0,0.0,38.067499999999995,29.35,7.25
84,25500,36.0,90.5,0.0,0.0,38.07,29.35,4.0
85,25800,43.0,91.0,0.0,0.0,38.08,29.36,6.0
86,26100,43.0,91.0,0.0,0.0,38.08,29.36,6.0
87,26400,43.0,91.0,0.0,0.0,38.08,29.36,6.0
88,26700,43.0,91.0,0.0,0.0,38.08,29.36,6.0
89,27000,43.0,91.0,0.0,0.0,38.08,29.36,6.0
90,27300,43.0,91.0,0.0,0.0,38.08,29.36,6.0
91,27600,43.0,91.0,0.0,0.0,38.08,29.36,6.0
92,27900,43.0,91.0,0.0,0.0,38.08,29.36,6.0
93,28200,43.0,91.0,0.0,0.0,38.08,29.36,6.0
94,28500,43.0,91.0,0.0,0.0,38.08,29.36,6.0
95,28800,43.0,91.0,0.0,0.0,38.08,29.36,6.0
96,29100,43.0,91.0,0.0,0.0,38.08,29.36,6.0
97,29400,43.0,91.0,0.0,0.0,38.08,29.36,6.0
98,29700,43.0,91.0,0.0,0.0,38.08,29.36,6.0
99,30000,43.0,91.0,0.0,0.0,38.08,29.36,6.0
100,30300,43.0,91.0,0.0,0.0,38.08,29.36,6.0
101,30600,43.0,91.0,0.0,0.0,38.08,29.36,6.0
102,30900,43.0,91.0,0.0,0.0,38.08,29.36,6.0
103,31200,43.0,91.0,0.0,0.0,38.08,29.36,6.0
104,31500,43.0,91.0,0.0,0.0,38.08,29.36,6.0
105,31800,43.0,91.0,0.0,0.0,38.08,29.36,6.0
106,32100,43.0,91.0,0.0,0.0,38.08,29.36,6.0
107,32400,44.75,87.75,0.0,0.0,38.2125,29.477500000000003,3.25
108,32700,57.0,89.0,0.0,0.0,38.22,29.48,5.8
109,33000,42.666666666666664,86.5,0.0,0.0,38.22333333333333,29.49,2.6666666666666665
110,33300,50.333333333333336,87.33333333333333,0.0,0.0,38.23,29.496666666666666,3.3333333333333335
111,33600,43.0,86.0,0.0,0.0,38.24,29.5,3.5
112,33900,48.25,86.75,0.0,0.0,38.24,29.507500000000004,2.5
113,34200,36.0,85.0,0.0,0.0,38.25,29.51,3.0
114,34500,40.0,85.0,0.0,0.0,38.25,29.51,3.0
115,34800,37.0,84.66666666666667,0.0,0.0,38.25,29.52,3.6666666666666665
116,35100,40.333333333333336,85.66666666666667,0.0,0.0,38.26,29.52,3.6666666666666665
117,35400,49.857142857142854,89.85714285714286,0.0,0.0,38.26571428571429,29.52857142857143,4.714285714285714
118,35700,41.666666666666664,91.0,0.0,0.0,38.27,29.53,3.0
119,36000,45.75,87.75,0.0,0.0,38.27,29.53,2.5
120,36300,46.0,89.0,0.0,0.0,38.28,29.540000000000003,4.0
121,36600,46.333333333333336,88.0,0.0,0.0,38.28333333333333,29.540000000000003,3.6666666666666665
122,36900,61.0,91.0,0.0,0.0,38.29,29.55,5.0
123,37200,48.0,92.0,0.0,0.0,38.3,29.55,2.0
124,37500,55.666666666666664,89.0,0.0,0.0,38.3,29.56,3.3333333333333335
125,37800,31.666666666666668,87.0,0.0,0.0,38.31,29.56,2.0
126,38100,29.0,86.0,0.0,0.0,38.31,29.56,2.0
127,38400,30.0,86.0,0.0,0.0,38.315,29.57,2.5
128,38700,29.0,86.0,0.0,0.0,38.32,29.57,4.0
129,39000,32.333333333333336,88.0,0.0,0.0,38.32,29.58,2.6666666666666665
130,39300,32.0,87.0,0.0,0.0,38.325,29.58,3.0
131,39600,28.8,86.4,0.0,0.0,38.33,29.579999999999995,3.2
132,39900,43.0,88.0,0.0,0.0,38.33,29.59,2.0
133,40200,35.8,89.4,0.0,0.0,38.33800000000001,29.589999999999996,3.0
134,40500,35.8,89.0,0.0,0.0,38.34,29.595999999999997,3.2
135,40800,41.5,87.5,0.0,0.0,38.345,29.6,5.5
136,41100,39.0,88.0,0.0,0.0,38.35,29.6,3.0
137,41400,40.75,92.0,0.0,0.0,38.36,29.61,3.75
138,41700,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
139,42000,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
140,42300,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
141,42600,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
142,42900,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
143,43200,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
144,43500,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
145,43800,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
146,44100,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
147,44400,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
148,44700,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
149,45000,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
150,45300,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
151,45600,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
152,45900,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
153,46200,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
154,46500,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
155,46800,51.0,88.0,0.0,0.0,38.36,29.61,3.6666666666666665
156,47100,30.0,89.0,0.0,0.0,38.44,29.68,3.0
157,47400,25.75,90.75,0.0,0.0,38.45,29.6875,3.25
158,47700,32.0,93.0,0.0,0.0,38.45,29.69,2.0
159,48000,32.0,93.0,0.0,0.0,38.45,29.69,2.0
160,48300,32.0,93.0,0.0,0.0,38.45,29.69,2.0
161,48600,32.0,93.0,0.0,0.0,38.45,29.69,2.0
162,48900,32.0,93.0,0.0,0.0,38.45,29.69,2.0
163,49200,32.0,93.0,0.0,0.0,38.45,29.69,2.0
164,49500,32.0,93.0,0.0,0.0,38.45,29.69,2.0
165,49800,32.0,93.0,0.0,0.0,38.45,29.69,2.0
166,50100,32.0,93.0,0.0,0.0,38.45,29.69,2.0
167,50400,32.0,93.0,0.0,0.0,38.45,29.69,2.0
168,50700,32.0,93.0,0.0,0.0,38.45,29.69,2.0
169,51000,32.0,93.0,0.0,0.0,38.45,29.69,2.0
170,51300,32.0,93.0,0.0,0.0,38.45,29.69,2.0
171,51600,28.0,88.0,0.0,0.0,38.5,29.74,3.0
172,51900,36.0,89.0,0.0,0.0,38.51,29.74,3.0
173,52200,26.428571428571427,89.0,0.0,0.0,38.512857142857136,29.740000000000002,2.7142857142857144
174,52500,35.6,91.6,0.0,0.0,38.52,29.748,2.8
175,52800,49.0,91.0,0.0,0.0,38.52,29.75,4.0
176,53100,27.5,89.75,0.0,0.0,38.53,29.75,4.25
177,53400,31.5,89.0,0.0,0.0,38.535,29.755000000000003,3.0
178,53700,28.666666666666668,90.0,0.0,0.0,38.54,29.76,2.3333333333333335
179,54000,28.666666666666668,90.0,0.0,0.0,38.54,29.76,2.3333333333333335
180,54300,30.0,93.0,0.0,0.0,38.55,29.77,3.0
181,54600,31.75,94.25,0.0,0.0,38.552499999999995,29.77,3.75
182,54900,33.5,91.25,0.0,0.0,38.56,29.78,3.0
183,55200,30.0,90.0,0.0,0.0,38.565,29.78,2.75
184,55500,48.4,91.8,0.0,0.0,38.57,29.784,4.2
185,55800,33.0,93.0,0.0,0.0,38.58,29.79,3.0
186,56100,32.666666666666664,94.5,0.0,0.0,38.585,29.796666666666667,4.666666666666667
187,56400,37.6,93.0,0.0,0.0,38.59,29.8,3.6
188,56700,36.5,91.5,0.0,0.0,38.59,29.8,4.0
189,57000,36.42857142857143,93.0,0.0,0.0,38.6,29.81,3.7142857142857144
190,57300,43.0,95.5,0.0,0.0,38.61,29.81,5.0
191,57600,32.25,94.75,0.0,0.0,38.61,29.8125,3.0
192,57900,28.666666666666668,94.0,0.0,0.0,38.61,29.820000000000004,3.6666666666666665
193,58200,28.833333333333332,93.33333333333333,0.0,0.0,38.62,29.819999999999997,3.8333333333333335
194,58500,34.5,95.0,0.0,0.0,38.62,29.82,3.0
195,58800,41.0,95.0,0.0,0.0,38.63,29.83,4.333333333333333
196,59100,32.0,96.0,0.0,0.0,38.64,29.83,4.0
197,59400,36.0,94.0,0.0,0.0,38.64,29.84,5.0
198,59700,42.666666666666664,95.66666666666667,0.0,0.0,38.65,29.84,6.0
199,60000,47.333333333333336,94.0,0.0,0.0,38.65,29.84,3.0
200,60300,30.0,87.0,0.0,0.0,38.66,29.85,7.0
201,60600,24.0,87.0,0.0,0.0,38.66,29.85,3.0
202,60900,27.833333333333332,88.16666666666667,0.0,0.0,38.66,29.849999999999998,3.6666666666666665
203,61200,35.333333333333336,88.0,0.0,0.0,38.67,29.86,4.333333333333333
204,61500,33.0,88.5,0.0,0.0,38.6725,29.86,4.75
205,61800,39.166666666666664,87.83333333333333,0.0,0.0,38.68,29.86666666666667,3.8333333333333335
206,62100,39.166666666666664,87.83333333333333,0.0,0.0,38.68,29.86666666666667,3.8333333333333335
207,62400,39.166666666666664,87.83333333333333,0.0,0.0,38.68,29.86666666666667,3.8333333333333335
208,62700,39.166666666666664,87.83333333333333,0.0,0.0,38.68,29.86666666666667,3.8333333333333335
209,63000,31.0,87.75,0.0,0.0,38.697500000000005,29.88,4.5
210,63300,28.5,87.0,0.0,0.0,38.7,29.88,4.5
211,63600,38.0,88.83333333333333,0.0,0.0,38.70666666666667,29.886666666666667,3.8333333333333335
212,63900,38.5,89.5,0.0,0.0,38.71,29.89,5.5
213,64200,49.0,89.5,0.0,0.0,38.72,29.8925,15.75
214,64500,29.4,85.4,0.0,0.0,38.724,29.9,4.4
215,64800,26.333333333333332,84.33333333333333,0.0,0.0,38.73,29.899999999999995,4.0
216,65100,33.0,89.0,0.0,0.0,38.73,29.9,2.0
217,65400,34.333333333333336,86.0,0.0,0.0,38.74,29.91,4.0
218,65700,34.0,86.5,0.0,0.0,38.7425,29.91,3.5
219,66000,34.6,86.0,0.0,0.0,38.75,29.916000000000004,4.2
220,66300,24.75,86.25,0.0,0.0,38.76,29.92,5.25
221,66600,30.0,87.33333333333333,0.0,0.0,38.76,29.926666666666666,3.6666666666666665
222,66900,31.0,87.14285714285714,0.0,0.0,38.76714285714286,29.930000000000003,3.4285714285714284
223,67200,28.4,86.6,0.0,0.0,38.77,29.932,2.8
224,67500,24.4,85.2,0.0,0.0,38.778000000000006,29.940000000000005,3.6
225,67800,22.6,85.6,0.0,0.0,38.78,29.940000000000005,3.2
226,68100,29.0,88.0,0.0,0.0,38.79,29.95,2.6666666666666665
227,68400,28.0,88.25,0.0,0.0,38.79,29.95,3.25
228,68700,29.0,87.0,0.0,0.0,38.795,29.95,3.5
229,69000,27.25,89.75,0.0,0.0,38.8,29.957500000000003,2.5
230,69300,23.666666666666668,88.22222222222223,0.0,0.0,38.800000000000004,29.960000000000004,2.3333333333333335
231,69600,30.666666666666668,88.66666666666667,0.0,0.0,38.806666666666665,29.963333333333335,2.3333333333333335
232,69900,31.0,89.25,0.0,0.0,38.81,29.97,3.75
233,70200,23.333333333333332,88.16666666666667,0.0,0.0,38.81333333333333,29.97,2.8333333333333335
234,70500,23.5,87.5,0.0,0.0,38.82,29.97,3.5
235,70800,26.0,89.0,0.0,0.0,38.82,29.98,2.0
236,71100,33.0,89.5,0.0,0.0,38.83,29.98,2.5
237,71400,26.333333333333332,88.33333333333333,0.0,0.0,38.83,29.99,2.0
238,71700,26.75,87.75,0.0,0.0,38.84,29.99,2.5
239,72000,28.8,89.6,0.0,0.0,38.84,29.99,2.4
240,72300,27.5,88.5,0.0,0.0,38.845,29.99,4.0
241,72600,26.0,90.0,0.0,0.0,38.85,30.0,3.0
242,72900,33.666666666666664,90.0,0.0,0.0,38.86,30.0,2.6666666666666665
