,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,24.666666666666668,91.0,0.0,0.0,37.67,29.05,2.3333333333333335
1,600,19.333333333333332,92.0,0.0,0.0,37.67,29.05,2.0
2,900,34.333333333333336,91.66666666666667,0.0,0.0,37.68,29.06,2.0
3,1200,39.666666666666664,92.66666666666667,0.0,0.0,37.68,29.06,2.0
4,1500,22.666666666666668,91.5,0.0,0.0,37.684999999999995,29.068333333333328,2.0
5,1800,22.666666666666668,91.5,0.0,0.0,37.684999999999995,29.068333333333328,2.0
6,2100,36.75,92.25,0.0,0.0,37.69,29.07,2.25
7,2400,37.5,91.5,0.0,0.0,37.695,29.075,9.0
8,2700,25.5,93.0,0.0,0.0,37.7,29.08,2.0
9,3000,22.0,93.0,0.0,0.0,37.7,29.08,2.0
10,3300,22.0,93.0,0.0,0.0,37.7,29.08,2.0
11,3600,19.666666666666668,94.0,0.0,0.0,37.71,29.09,2.0
12,3900,34.666666666666664,94.33333333333333,0.0,0.0,37.71,29.09,2.0
13,4200,24.0,93.66666666666667,0.0,0.0,37.71,29.09,2.0
14,4500,74.0,93.0,0.0,0.0,37.72,29.09,2.0
15,4800,31.0,94.0,0.0,0.0,37.72,29.100000000000005,2.3333333333333335
16,5100,42.0,90.66666666666667,0.0,0.0,37.72,29.100000000000005,3.6666666666666665
17,5400,24.333333333333332,87.0,0.0,0.0,37.73,29.106666666666666,2.3333333333333335
18,5700,29.25,88.25,0.0,0.0,37.73,29.11,2.0
19,6000,20.5,87.0,0.0,0.0,37.74,29.115000000000002,2.5
20,6300,24.0,86.0,0.0,0.0,37.74,29.12,3.0
21,6600,36.0,85.66666666666667,0.0,0.0,37.74,29.12,2.0
22,6900,30.0,88.0,0.0,0.0,37.75,29.125,3.0
23,7200,27.333333333333332,87.66666666666667,0.0,0.0,37.75333333333333,29.13,3.0
24,7500,40.666666666666664,88.66666666666667,0.0,0.0,37.76,29.133333333333336,2.8333333333333335
25,7800,29.4,88.4,0.0,0.0,37.76800000000001,29.139999999999997,3.2
26,8100,33.5,88.5,0.0,0.0,37.77,29.14,2.5
27,8400,28.6,88.6,0.0,0.0,37.78,29.144,3.0
28,8700,27.571428571428573,87.28571428571429,0.0,0.0,37.78000000000001,29.150000000000002,8.857142857142858
29,9000,23.0,87.14285714285714,0.0,0.0,37.787142857142854,29.150000000000002,2.4285714285714284
30,9300,23.0,87.14285714285714,0.0,0.0,37.787142857142854,29.150000000000002,2.4285714285714284
31,9600,23.0,87.14285714285714,0.0,0.0,37.787142857142854,29.150000000000002,2.4285714285714284
32,9900,23.0,87.14285714285714,0.0,0.0,37.787142857142854,29.150000000000002,2.4285714285714284
33,10200,23.0,87.14285714285714,0.0,0.0,37.787142857142854,29.150000000000002,2.4285714285714284
34,10500,23.0,87.14285714285714,0.0,0.0,37.787142857142854,29.150000000000002,2.4285714285714284
35,10800,23.0,87.14285714285714,0.0,0.0,37.787142857142854,29.150000000000002,2.4285714285714284
36,11100,23.0,87.14285714285714,0.0,0.0,37.787142857142854,29.150000000000002,2.4285714285714284
37,11400,23.0,88.0,0.0,0.0,37.82,29.176666666666666,3.0
38,11700,22.666666666666668,87.0,0.0,0.0,37.82,29.179999999999996,1.0
39,12000,23.0,86.0,0.0,0.0,37.825,29.18,2.0
40,12300,28.0,86.33333333333333,0.0,0.0,37.82999999999999,29.18166666666667,1.1666666666666667
41,12600,27.833333333333332,90.5,0.0,0.0,37.83166666666666,29.19,2.3333333333333335
42,12900,27.0,87.66666666666667,0.0,0.0,37.84,29.19,2.0
