,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,22.0,91.0,0.0,0.0,37.67,29.05,3.0
1,600,30.0,94.0,0.0,0.0,37.67,29.05333333333333,2.6666666666666665
2,900,27.0,92.33333333333333,0.0,0.0,37.68,29.06,2.0
3,1200,27.5,92.0,0.0,0.0,37.68,29.06,2.0
4,1500,27.5,92.0,0.0,0.0,37.685,29.064999999999998,2.0
5,1800,31.285714285714285,93.71428571428571,0.0,0.0,37.69,29.069999999999997,2.0
6,2100,27.75,92.0,0.0,0.0,37.69,29.07,2.0
7,2400,21.333333333333332,91.33333333333333,0.0,0.0,37.693333333333335,29.073333333333334,3.6666666666666665
8,2700,25.333333333333332,93.0,0.0,0.0,37.699999999999996,29.07999999999999,2.0
9,3000,25.333333333333332,93.0,0.0,0.0,37.699999999999996,29.07999999999999,2.0
10,3300,25.333333333333332,93.0,0.0,0.0,37.699999999999996,29.07999999999999,2.0
11,3600,30.0,94.0,0.0,0.0,37.71,29.09,2.0
12,3900,29.8,94.2,0.0,0.0,37.71,29.089999999999996,2.0
13,4200,32.4,93.2,0.0,0.0,37.71,29.089999999999996,2.0
14,4500,23.0,92.5,0.0,0.0,37.72,29.1,2.0
15,4800,39.0,95.0,0.0,0.0,37.72,29.1,2.0
16,5100,32.666666666666664,91.33333333333333,0.0,0.0,37.72,29.100000000000005,3.0
17,5400,24.0,87.0,0.0,0.0,37.73,29.1,3.0
18,5700,31.75,88.0,0.0,0.0,37.73,29.11,2.0
19,6000,27.4,88.0,0.0,0.0,37.74,29.112000000000002,2.4
20,6300,23.6,85.2,0.0,0.0,37.74,29.119999999999997,2.4
21,6600,23.666666666666668,85.66666666666667,0.0,0.0,37.74,29.12,2.0
22,6900,22.5,88.0,0.0,0.0,37.75,29.13,2.5
23,7200,31.4,88.0,0.0,0.0,37.75,29.130000000000003,2.2
24,7500,33.0,88.0,0.0,0.0,37.76,29.13,3.0
25,7800,32.0,89.0,0.0,0.0,37.76,29.14,4.0
26,8100,51.5,88.75,0.0,0.0,37.77,29.14,3.5
27,8400,25.5,88.25,0.0,0.0,37.78,29.1475,2.75
28,8700,28.5,87.5,0.0,0.0,37.78,29.15,5.0
29,9000,28.5,87.5,0.0,0.0,37.78,29.15,5.0
30,9300,28.5,87.5,0.0,0.0,37.78,29.15,5.0
31,9600,28.5,87.5,0.0,0.0,37.78,29.15,5.0
32,9900,28.5,87.5,0.0,0.0,37.78,29.15,5.0
33,10200,28.5,87.5,0.0,0.0,37.78,29.15,5.0
34,10500,28.5,87.5,0.0,0.0,37.78,29.15,5.0
35,10800,28.5,87.5,0.0,0.0,37.78,29.15,5.0
36,11100,28.5,87.5,0.0,0.0,37.78,29.15,5.0
37,11400,23.2,88.2,0.0,0.0,37.82,29.172000000000004,3.6
38,11700,17.5,87.75,0.0,0.0,37.82,29.18,2.0
39,12000,19.0,86.2,0.0,0.0,37.83,29.18,2.0
40,12300,22.5,86.0,0.0,0.0,37.83,29.18,1.0
41,12600,41.5,90.25,0.0,0.0,37.83,29.19,2.25
42,12900,18.0,87.0,0.0,0.0,37.84,29.19,2.0
43,13200,20.5,86.0,0.0,0.0,37.84,29.19,1.5
44,13500,34.5,87.0,0.0,0.0,37.84,29.192500000000003,2.5
45,13800,34.5,87.0,0.0,0.0,37.84,29.192500000000003,2.5
46,14100,34.5,87.0,0.0,0.0,37.84,29.192500000000003,2.5
47,14400,34.5,87.0,0.0,0.0,37.84,29.192500000000003,2.5
48,14700,34.5,87.0,0.0,0.0,37.84,29.192500000000003,2.5
49,15000,34.5,87.0,0.0,0.0,37.84,29.192500000000003,2.5
50,15300,34.0,89.0,0.0,0.0,37.87,29.22,2.0
51,15600,26.0,88.0,0.0,0.0,37.88,29.22,2.0
52,15900,26.0,88.0,0.0,0.0,37.88,29.22,2.0
