,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,23.0,91.0,0.0,0.0,37.67,29.05,2.0
1,600,23.0,91.5,0.0,0.0,37.67,29.052500000000002,2.0
2,900,26.666666666666668,93.0,0.0,0.0,37.68,29.06,3.0
3,1200,38.0,92.66666666666667,0.0,0.0,37.68,29.06,2.0
4,1500,23.0,91.0,0.0,0.0,37.69,29.07,2.0
5,1800,25.0,92.75,0.0,0.0,37.69,29.07,2.0
6,2100,33.666666666666664,91.66666666666667,0.0,0.0,37.69,29.070000000000004,2.6666666666666665
7,2400,25.0,91.0,0.0,0.0,37.69,29.075,4.0
8,2700,25.0,91.0,0.0,0.0,37.69,29.075,4.0
9,3000,25.0,91.0,0.0,0.0,37.69,29.075,4.0
10,3300,25.0,91.0,0.0,0.0,37.69,29.075,4.0
11,3600,23.0,94.0,0.0,0.0,37.71,29.09,2.0
12,3900,23.0,94.0,0.0,0.0,37.71,29.09,2.0
13,4200,21.5,93.0,0.0,0.0,37.71,29.09,2.0
14,4500,23.0,92.0,0.0,0.0,37.72,29.100000000000005,2.0
15,4800,44.666666666666664,95.66666666666667,0.0,0.0,37.72,29.100000000000005,2.6666666666666665
16,5100,23.4,87.8,0.0,0.0,37.724,29.1,3.2
17,5400,40.666666666666664,87.66666666666667,0.0,0.0,37.73,29.103333333333335,2.6666666666666665
18,5700,48.0,88.33333333333333,0.0,0.0,37.73,29.11,2.0
19,6000,35.0,87.0,0.0,0.0,37.74,29.11,2.0
20,6300,17.0,85.0,0.0,0.0,37.74,29.12,2.0
21,6600,27.6,86.0,0.0,0.0,37.742000000000004,29.119999999999997,2.2
22,6900,34.5,88.0,0.0,0.0,37.75,29.13,2.5
23,7200,27.75,88.0,0.0,0.0,37.75,29.13,3.5
24,7500,27.75,88.0,0.0,0.0,37.75,29.13,3.5
25,7800,30.0,89.0,0.0,0.0,37.76,29.14,5.0
26,8100,33.0,89.0,0.0,0.0,37.77,29.14,1.0
27,8400,33.0,89.0,0.0,0.0,37.77,29.14,1.0
28,8700,31.333333333333332,87.0,0.0,0.0,37.78,29.149999999999995,11.333333333333334
29,9000,29.0,87.66666666666667,0.0,0.0,37.78333333333333,29.149999999999995,3.0
