,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,31.333333333333332,91.0,0.0,0.0,37.67000000000001,29.05,2.0
1,600,36.25,93.75,0.0,0.0,37.67,29.055,2.5
2,900,24.0,93.0,0.0,0.0,37.68,29.06,3.5
3,1200,23.142857142857142,91.57142857142857,0.0,0.0,37.68,29.06,2.0
4,1500,27.0,91.0,0.0,0.0,37.68,29.07,2.0
5,1800,27.2,94.0,0.0,0.0,37.69,29.07,2.0
6,2100,24.0,91.66666666666667,0.0,0.0,37.69,29.070000000000004,2.3333333333333335
7,2400,33.666666666666664,90.33333333333333,0.0,0.0,37.69,29.076666666666664,9.333333333333334
8,2700,23.5,94.5,0.0,0.0,37.7,29.08,2.0
9,3000,23.5,94.5,0.0,0.0,37.7,29.08,2.0
10,3300,23.5,94.5,0.0,0.0,37.7,29.08,2.0
11,3600,19.0,94.0,0.0,0.0,37.71,29.09,2.0
12,3900,25.0,94.5,0.0,0.0,37.71,29.09,2.0
13,4200,33.0,93.0,0.0,0.0,37.71,29.089999999999996,2.0
14,4500,21.5,92.0,0.0,0.0,37.72,29.1,2.0
15,4800,36.5,94.0,0.0,0.0,37.72,29.1,2.25
16,5100,32.5,89.0,0.0,0.0,37.7225,29.1,2.5
17,5400,33.6,88.0,0.0,0.0,37.73,29.107999999999997,2.4
18,5700,22.0,89.0,0.0,0.0,37.73,29.11,2.0
19,6000,17.0,86.0,0.0,0.0,37.74,29.12,4.0
20,6300,19.0,85.0,0.0,0.0,37.74,29.12,2.5
21,6600,23.0,86.0,0.0,0.0,37.74333333333333,29.12,2.0
22,6900,31.0,88.0,0.0,0.0,37.75,29.125,3.0
23,7200,26.0,88.0,0.0,0.0,37.754999999999995,29.13,2.0
24,7500,44.8,88.8,0.0,0.0,37.76,29.130000000000003,2.6
25,7800,29.0,88.33333333333333,0.0,0.0,37.76166666666666,29.139999999999997,3.8333333333333335
26,8100,52.5,89.0,0.0,0.0,37.77,29.14,2.0
27,8400,43.666666666666664,88.33333333333333,0.0,0.0,37.77666666666667,29.146666666666665,2.6666666666666665
28,8700,27.0,88.0,0.0,0.0,37.78,29.15,4.0
29,9000,25.0,87.0,0.0,0.0,37.787499999999994,29.15,2.5
30,9300,35.0,87.0,0.0,0.0,37.79,29.15,3.0
31,9600,35.0,87.0,0.0,0.0,37.79,29.15,3.0
32,9900,35.0,87.0,0.0,0.0,37.79,29.15,3.0
33,10200,35.0,87.0,0.0,0.0,37.79,29.15,3.0
34,10500,35.0,87.0,0.0,0.0,37.79,29.15,3.0
35,10800,35.0,87.0,0.0,0.0,37.79,29.15,3.0
36,11100,35.0,87.0,0.0,0.0,37.79,29.15,3.0
37,11400,19.833333333333332,88.0,0.0,0.0,37.82,29.173333333333336,2.3333333333333335
38,11700,31.8,88.2,0.0,0.0,37.82,29.18,1.6
39,12000,30.666666666666668,86.33333333333333,0.0,0.0,37.82666666666667,29.179999999999996,2.0
40,12300,25.4,87.0,0.0,0.0,37.83,29.182,1.4
41,12600,38.75,90.25,0.0,0.0,37.83,29.19,2.25
42,12900,23.5,87.16666666666667,0.0,0.0,37.84,29.19,2.0
43,13200,35.0,86.25,0.0,0.0,37.84,29.19,1.75
44,13500,23.0,87.0,0.0,0.0,37.84,29.19,3.0
45,13800,23.0,87.0,0.0,0.0,37.84,29.19,3.0
46,14100,23.0,87.0,0.0,0.0,37.84,29.19,3.0
47,14400,23.0,87.0,0.0,0.0,37.84,29.19,3.0
48,14700,23.0,87.0,0.0,0.0,37.84,29.19,3.0
49,15000,23.0,87.0,0.0,0.0,37.84,29.19,3.0
50,15300,43.0,88.5,0.0,0.0,37.87,29.22,2.0
51,15600,27.125,88.375,0.0,0.0,37.875,29.22,2.75
52,15900,31.0,88.0,0.0,0.0,37.88,29.22,2.0
53,16200,31.0,88.0,0.0,0.0,37.88,29.22,2.0
54,16500,31.0,88.0,0.0,0.0,37.88,29.22,2.0
55,16800,31.0,88.0,0.0,0.0,37.88,29.22,2.0
56,17100,31.0,88.0,0.0,0.0,37.88,29.22,2.0
57,17400,31.0,88.0,0.0,0.0,37.88,29.22,2.0
58,17700,31.0,88.0,0.0,0.0,37.88,29.22,2.0
59,18000,31.0,88.0,0.0,0.0,37.88,29.22,2.0
60,18300,31.0,88.0,0.0,0.0,37.88,29.22,2.0
61,18600,31.0,88.0,0.0,0.0,37.88,29.22,2.0
62,18900,31.0,88.0,0.0,0.0,37.88,29.22,2.0
63,19200,26.25,89.5,0.0,0.0,37.92,29.26,2.0
64,19500,24.75,88.75,0.0,0.0,37.9225,29.26,1.75
65,19800,43.333333333333336,91.33333333333333,0.0,0.0,37.93,29.263333333333335,4.333333333333333
66,20100,73.0,94.6,0.0,0.0,37.94,29.27,16.0
67,20400,36.0,92.0,0.0,0.0,37.95,29.28,22.333333333333332
68,20700,49.0,94.0,0.0,0.0,37.95,29.28,9.0
