,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,17.333333333333332,83.33333333333333,0.0,0.0,26.600000000000005,19.21,79.0
12,3900,30.0,87.5,0.0,0.0,26.61,19.21,85.5
13,4200,24.0,85.66666666666667,0.0,0.0,26.61,19.21,78.33333333333333
14,4500,15.833333333333334,82.5,0.0,0.0,26.610000000000003,19.22,83.33333333333333
15,4800,47.0,82.0,0.0,0.0,26.62,19.22,89.0
16,5100,37.5,78.0,0.0,0.0,26.62,19.22,80.0
17,5400,34.5,77.5,0.0,0.0,26.62,19.23,85.0
18,5700,39.0,77.25,0.0,0.0,26.63,19.23,80.75
19,6000,27.666666666666668,76.0,0.0,0.0,26.63,19.23,80.0
20,6300,26.666666666666668,75.0,0.0,0.0,26.64,19.233333333333334,87.33333333333333
21,6600,29.0,76.5,0.0,0.0,26.64,19.24,87.0
22,6900,33.0,79.6,0.0,0.0,26.65,19.24,77.8
23,7200,28.0,78.0,0.0,0.0,26.65,19.25,93.0
24,7500,33.0,80.0,0.0,0.0,26.66,19.25,89.0
25,7800,35.0,81.5,0.0,0.0,26.665000000000003,19.25,83.0
26,8100,37.25,80.75,0.0,0.0,26.67,19.26,85.0
27,8400,46.0,78.5,0.0,0.0,26.68,19.26,84.0
28,8700,26.5,76.0,0.0,0.0,26.68,19.26,95.0
29,9000,19.0,75.0,0.0,0.0,26.69,19.27,86.0
30,9300,28.0,76.0,0.0,0.0,26.69,19.27,81.5
31,9600,29.0,78.0,0.0,0.0,26.69,19.27,81.0
32,9900,29.0,78.0,0.0,0.0,26.69,19.27,81.0
33,10200,29.0,78.0,0.0,0.0,26.69,19.27,81.0
34,10500,26.25,77.0,0.0,0.0,26.71,19.28,89.25
35,10800,26.0,78.0,0.0,0.0,26.71,19.28,86.0
36,11100,30.0,79.0,0.0,0.0,26.72,19.28,87.66666666666667
37,11400,26.75,79.5,0.0,0.0,26.72,19.2825,85.75
38,11700,18.666666666666668,75.66666666666667,0.0,0.0,26.73,19.29,82.66666666666667
39,12000,20.0,75.5,0.0,0.0,26.735,19.29,84.0
40,12300,29.0,77.75,0.0,0.0,26.74,19.29,83.5
41,12600,33.0,82.0,0.0,0.0,26.74,19.3,83.0
42,12900,25.5,76.5,0.0,0.0,26.75,19.3,82.5
43,13200,19.25,75.25,0.0,0.0,26.75,19.3,78.75
44,13500,27.0,78.2,0.0,0.0,26.76,19.304000000000002,82.0
45,13800,28.0,79.0,0.0,0.0,26.76,19.31,84.0
46,14100,27.75,80.25,0.0,0.0,26.77,19.31,83.0
47,14400,33.285714285714285,81.0,0.0,0.0,26.775714285714287,19.31,81.42857142857143
48,14700,42.0,81.66666666666667,0.0,0.0,26.78,19.32,83.66666666666667
49,15000,25.0,80.0,0.0,0.0,26.79,19.32,83.0
50,15300,34.0,81.66666666666667,0.0,0.0,26.790000000000003,19.32,86.0
51,15600,34.0,81.66666666666667,0.0,0.0,26.790000000000003,19.32,86.0
52,15900,31.5,82.25,0.0,0.0,26.805,19.33,81.5
53,16200,23.0,81.5,0.0,0.0,26.81,19.335,76.5
54,16500,23.0,81.5,0.0,0.0,26.81,19.335,76.5
55,16800,23.0,81.5,0.0,0.0,26.81,19.335,76.5
56,17100,23.0,81.5,0.0,0.0,26.81,19.335,76.5
57,17400,23.0,81.5,0.0,0.0,26.81,19.335,76.5
58,17700,23.0,81.5,0.0,0.0,26.81,19.335,76.5
59,18000,29.0,81.0,0.0,0.0,26.84,19.36,66.0
60,18300,24.8,79.2,0.0,0.0,26.839999999999996,19.36,61.6
61,18600,22.5,77.5,0.0,0.0,26.84,19.36,60.25
62,18900,27.0,80.4,0.0,0.0,26.85,19.362000000000002,54.8
63,19200,21.333333333333332,80.0,0.0,0.0,26.856666666666666,19.37,65.0
64,19500,21.333333333333332,80.0,0.0,0.0,26.856666666666666,19.37,65.0
65,19800,21.333333333333332,80.0,0.0,0.0,26.856666666666666,19.37,65.0
66,20100,21.333333333333332,80.0,0.0,0.0,26.856666666666666,19.37,65.0
67,20400,21.333333333333332,80.0,0.0,0.0,26.856666666666666,19.37,65.0
68,20700,21.333333333333332,80.0,0.0,0.0,26.856666666666666,19.37,65.0
69,21000,21.333333333333332,80.0,0.0,0.0,26.856666666666666,19.37,65.0
70,21300,42.5,80.0,0.0,0.0,26.9,19.395,71.0
71,21600,35.0,80.0,0.0,0.0,26.91,19.4,68.0
72,21900,51.0,82.0,0.0,0.0,26.91,19.4,59.0
73,22200,43.25,81.0,0.0,0.0,26.9225,19.41,70.25
74,22500,61.333333333333336,84.33333333333333,0.0,0.0,26.936666666666667,19.413333333333334,71.33333333333333
75,22800,61.333333333333336,84.33333333333333,0.0,0.0,26.936666666666667,19.413333333333334,71.33333333333333
76,23100,64.0,84.0,0.0,0.0,26.97,19.43,64.0
77,23400,57.0,82.0,0.0,0.0,26.98,19.43,69.0
78,23700,50.333333333333336,83.33333333333333,0.0,0.0,26.983333333333334,19.433333333333334,67.0
79,24000,64.0,83.0,0.0,0.0,26.99,19.44,61.0
80,24300,58.0,85.0,0.0,0.0,27.0,19.44333333333333,69.0
81,24600,53.25,87.5,0.0,0.0,27.01,19.45,65.25
82,24900,56.75,87.0,0.0,0.0,27.0125,19.45,72.0
83,25200,46.0,80.66666666666667,0.0,0.0,27.02333333333333,19.46,67.0
84,25500,42.0,79.0,0.0,0.0,27.03,19.46,66.0
85,25800,42.0,79.0,0.0,0.0,27.03,19.46,66.0
86,26100,52.0,80.0,0.0,0.0,27.046666666666667,19.48,72.0
87,26400,58.0,79.5,0.0,0.0,27.05,19.48,62.0
88,26700,37.666666666666664,77.33333333333333,0.0,0.0,27.05666666666667,19.49,63.333333333333336
89,27000,49.5,84.0,0.0,0.0,27.06,19.49,68.5
90,27300,47.0,84.0,0.0,0.0,27.07,19.49,66.0
91,27600,38.0,81.5,0.0,0.0,27.075,19.5,62.5
92,27900,41.0,83.33333333333333,0.0,0.0,27.08,19.503333333333334,61.666666666666664
93,28200,34.0,79.33333333333333,0.0,0.0,27.083333333333332,19.51,59.0
94,28500,33.5,77.0,0.0,0.0,27.09,19.515,68.0
95,28800,36.0,80.0,0.0,0.0,27.09,19.52,70.0
96,29100,41.25,81.5,0.0,0.0,27.105,19.525,62.0
97,29400,54.0,83.0,0.0,0.0,27.11,19.53,63.0
98,29700,38.5,80.0,0.0,0.0,27.12,19.53,61.0
99,30000,38.5,80.0,0.0,0.0,27.12,19.53,61.0
100,30300,38.5,80.0,0.0,0.0,27.12,19.53,61.0
101,30600,38.5,80.0,0.0,0.0,27.12,19.53,61.0
102,30900,38.5,80.0,0.0,0.0,27.12,19.53,61.0
