,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,15.5,83.0,0.0,0.0,26.6,19.21,78.5
12,3900,27.0,87.0,0.0,0.0,26.61,19.21,80.0
13,4200,24.0,85.5,0.0,0.0,26.61,19.21,83.5
14,4500,18.5,83.0,0.0,0.0,26.61,19.215,82.5
15,4800,36.2,85.0,0.0,0.0,26.613999999999997,19.22,85.2
16,5100,34.0,79.0,0.0,0.0,26.62,19.22,80.0
17,5400,42.666666666666664,76.66666666666667,0.0,0.0,26.62,19.22,86.0
18,5700,35.0,77.0,0.0,0.0,26.63,19.23,81.0
19,6000,35.0,77.0,0.0,0.0,26.63,19.23,81.0
20,6300,25.833333333333332,74.66666666666667,0.0,0.0,26.639999999999997,19.231666666666666,84.33333333333333
21,6600,27.666666666666668,77.33333333333333,0.0,0.0,26.64,19.24,86.33333333333333
22,6900,31.666666666666668,78.33333333333333,0.0,0.0,26.649999999999995,19.24,80.0
23,7200,32.142857142857146,77.85714285714286,0.0,0.0,26.650000000000002,19.247142857142855,92.85714285714286
24,7500,31.0,78.5,0.0,0.0,26.655,19.25,87.5
25,7800,29.0,80.33333333333333,0.0,0.0,26.67,19.253333333333334,82.66666666666667
26,8100,36.25,79.5,0.0,0.0,26.67,19.26,83.0
27,8400,41.5,78.0,0.0,0.0,26.68,19.26,84.0
28,8700,21.0,75.0,0.0,0.0,26.68,19.26,85.0
29,9000,23.833333333333332,76.5,0.0,0.0,26.69,19.27,88.0
30,9300,23.833333333333332,76.5,0.0,0.0,26.69,19.27,88.0
31,9600,23.833333333333332,76.5,0.0,0.0,26.69,19.27,88.0
32,9900,23.833333333333332,76.5,0.0,0.0,26.69,19.27,88.0
33,10200,27.0,75.0,0.0,0.0,26.71,19.28,86.0
34,10500,28.666666666666668,77.0,0.0,0.0,26.709999999999997,19.28,92.66666666666667
35,10800,22.0,77.33333333333333,0.0,0.0,26.709999999999997,19.28,83.33333333333333
36,11100,40.0,78.0,0.0,0.0,26.71,19.28,82.0
37,11400,18.333333333333332,78.33333333333333,0.0,0.0,26.723333333333333,19.29,85.66666666666667
38,11700,20.0,76.0,0.0,0.0,26.73,19.29,83.0
39,12000,19.25,75.25,0.0,0.0,26.735,19.29,83.25
40,12300,25.555555555555557,76.55555555555556,0.0,0.0,26.740000000000002,19.289999999999996,86.55555555555556
41,12600,38.0,83.0,0.0,0.0,26.744999999999997,19.3,83.25
42,12900,38.0,83.0,0.0,0.0,26.744999999999997,19.3,83.25
43,13200,15.0,75.0,0.0,0.0,26.75,19.3,79.0
44,13500,25.5,78.0,0.0,0.0,26.76,19.3,84.5
45,13800,25.0,78.0,0.0,0.0,26.76,19.31,84.0
46,14100,24.5,79.5,0.0,0.0,26.77,19.31,81.0
47,14400,28.666666666666668,81.0,0.0,0.0,26.77333333333333,19.31,80.66666666666667
48,14700,29.75,80.75,0.0,0.0,26.78,19.32,81.75
49,15000,31.2,82.0,0.0,0.0,26.79,19.32,84.0
50,15300,31.2,82.0,0.0,0.0,26.79,19.32,84.0
51,15600,31.2,82.0,0.0,0.0,26.79,19.32,84.0
52,15900,25.0,84.0,0.0,0.0,26.81,19.33,77.0
53,16200,18.0,80.0,0.0,0.0,26.81,19.34,80.0
54,16500,33.0,84.0,0.0,0.0,26.81,19.34,72.0
55,16800,33.0,84.0,0.0,0.0,26.81,19.34,72.0
56,17100,33.0,84.0,0.0,0.0,26.81,19.34,72.0
57,17400,33.0,84.0,0.0,0.0,26.81,19.34,72.0
58,17700,33.0,84.0,0.0,0.0,26.81,19.34,72.0
59,18000,28.0,81.0,0.0,0.0,26.84,19.36,66.0
60,18300,24.6,80.4,0.0,0.0,26.839999999999996,19.36,60.6
61,18600,25.0,79.0,0.0,0.0,26.84,19.36,64.0
62,18900,25.0,80.0,0.0,0.0,26.85,19.36,56.0
63,19200,22.5,80.5,0.0,0.0,26.855,19.37,65.5
64,19500,22.5,80.5,0.0,0.0,26.855,19.37,65.5
65,19800,22.5,80.5,0.0,0.0,26.855,19.37,65.5
66,20100,22.5,80.5,0.0,0.0,26.855,19.37,65.5
67,20400,22.5,80.5,0.0,0.0,26.855,19.37,65.5
68,20700,22.5,80.5,0.0,0.0,26.855,19.37,65.5
69,21000,22.5,80.5,0.0,0.0,26.855,19.37,65.5
70,21300,44.0,79.33333333333333,0.0,0.0,26.899999999999995,19.396666666666665,72.33333333333333
71,21600,27.0,76.5,0.0,0.0,26.91,19.4,62.0
72,21900,48.0,81.0,0.0,0.0,26.91,19.4,59.0
73,22200,56.5,83.5,0.0,0.0,26.92,19.41,71.0
74,22500,62.8,83.8,0.0,0.0,26.93,19.41,67.2
75,22800,62.8,83.8,0.0,0.0,26.93,19.41,67.2
76,23100,65.0,85.0,0.0,0.0,26.97,19.43,64.0
77,23400,56.0,81.0,0.0,0.0,26.97,19.43,67.0
78,23700,53.0,82.66666666666667,0.0,0.0,26.98,19.43,69.33333333333333
79,24000,53.0,83.0,0.0,0.0,26.99,19.44,63.666666666666664
80,24300,64.0,86.0,0.0,0.0,27.0,19.44333333333333,70.66666666666667
81,24600,53.0,87.5,0.0,0.0,27.01,19.45,65.5
82,24900,52.0,84.6,0.0,0.0,27.018,19.458,71.6
83,25200,49.0,81.0,0.0,0.0,27.02,19.46,71.0
84,25500,43.5,80.5,0.0,0.0,27.03,19.46,66.0
85,25800,44.333333333333336,80.0,0.0,0.0,27.03333333333333,19.47,65.66666666666667
86,26100,44.333333333333336,80.0,0.0,0.0,27.03333333333333,19.47,65.66666666666667
87,26400,41.0,79.0,0.0,0.0,27.05,19.48,71.0
88,26700,36.0,77.5,0.0,0.0,27.06,19.49,64.0
89,27000,47.666666666666664,83.66666666666667,0.0,0.0,27.06,19.49,69.66666666666667
90,27300,33.5,80.5,0.0,0.0,27.07,19.5,58.5
91,27600,38.333333333333336,82.0,0.0,0.0,27.073333333333334,19.5,60.666666666666664
92,27900,37.6,81.8,0.0,0.0,27.079999999999995,19.506000000000004,64.6
93,28200,39.4,80.8,0.0,0.0,27.088,19.51,60.4
94,28500,34.25,77.75,0.0,0.0,27.09,19.515,68.5
95,28800,36.0,81.16666666666667,0.0,0.0,27.096666666666664,19.52,66.16666666666667
96,29100,48.714285714285715,81.85714285714286,0.0,0.0,27.104285714285716,19.524285714285718,62.857142857142854
97,29400,50.0,81.66666666666667,0.0,0.0,27.11,19.53,60.666666666666664
98,29700,34.0,80.0,0.0,0.0,27.12,19.53,61.0
99,30000,34.0,80.0,0.0,0.0,27.12,19.53,61.0
100,30300,34.0,80.0,0.0,0.0,27.12,19.53,61.0
101,30600,34.0,80.0,0.0,0.0,27.12,19.53,61.0
