,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,7200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,7500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,8400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,9000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,9300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,9600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,9900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,10200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,10500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,10800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,11100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,11400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,11700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,12000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,12300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,12600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,13200,18.5,86.0,0.0,0.0,39.93,31.82,5.0
44,13500,18.5,86.0,0.0,0.0,39.93,31.82,5.0
45,13800,18.5,86.0,0.0,0.0,39.93,31.82,5.0
46,14100,18.5,86.0,0.0,0.0,39.93,31.82,5.0
47,14400,18.5,86.0,0.0,0.0,39.93,31.82,5.0
48,14700,18.5,86.0,0.0,0.0,39.93,31.82,5.0
49,15000,34.333333333333336,94.33333333333333,0.0,0.0,39.96,31.84,10.333333333333334
50,15300,34.333333333333336,92.0,0.0,0.0,39.97,31.84,4.0
51,15600,34.333333333333336,92.0,0.0,0.0,39.97,31.84,4.0
52,15900,26.666666666666668,92.33333333333333,0.0,0.0,39.98,31.850000000000005,7.0
53,16200,21.0,90.33333333333333,0.0,0.0,39.98333333333333,31.850000000000005,3.0
54,16500,25.5,92.5,0.0,0.0,39.99,31.85,4.0
55,16800,22.333333333333332,92.0,0.0,0.0,39.99,31.86,2.0
56,17100,23.0,91.5,0.0,0.0,40.0,31.86,2.0
57,17400,42.0,95.0,0.0,0.0,40.0,31.86,3.0
58,17700,42.0,95.0,0.0,0.0,40.0,31.86,3.0
59,18000,32.0,94.0,0.0,0.0,40.01,31.87,9.0
60,18300,31.5,93.0,0.0,0.0,40.01,31.87,7.0
61,18600,21.5,90.5,0.0,0.0,40.02,31.88,4.0
62,18900,26.25,91.0,0.0,0.0,40.025000000000006,31.88,3.25
63,19200,22.0,90.5,0.0,0.0,40.03,31.88,3.5
64,19500,22.0,90.5,0.0,0.0,40.03,31.88,3.5
65,19800,30.0,91.0,0.0,0.0,40.04,31.89,8.0
66,20100,44.666666666666664,92.66666666666667,0.0,0.0,40.046666666666674,31.893333333333334,9.0
67,20400,54.666666666666664,95.16666666666667,0.0,0.0,40.05833333333334,31.900000000000002,13.333333333333334
68,20700,45.0,96.0,0.0,0.0,40.06666666666666,31.899999999999995,16.0
69,21000,52.75,93.875,0.0,0.0,40.07,31.908749999999998,15.75
70,21300,50.0,93.5,0.0,0.0,40.08,31.91,5.5
71,21600,28.166666666666668,84.83333333333333,0.0,0.0,40.08833333333334,31.920000000000005,5.166666666666667
72,21900,49.0,89.33333333333333,0.0,0.0,40.09,31.92,4.666666666666667
73,22200,34.666666666666664,88.0,0.0,0.0,40.1,31.926666666666666,5.333333333333333
74,22500,59.0,90.0,0.0,0.0,40.11,31.93,14.5
75,22800,81.42857142857143,93.71428571428571,0.0,0.0,40.12571428571429,31.935714285714283,12.0
76,23100,80.0,93.8,0.0,0.0,40.142,31.940000000000005,9.0
77,23400,62.25,92.75,0.0,0.0,40.152499999999996,31.9475,6.75
78,23700,51.0,92.0,0.0,0.0,40.16,31.95,10.0
79,24000,58.6,92.8,0.0,0.0,40.17,31.954,10.2
80,24300,56.2,93.8,0.0,0.0,40.172000000000004,31.96,8.4
81,24600,54.666666666666664,97.0,0.0,0.0,40.18,31.959999999999997,7.0
82,24900,48.666666666666664,91.66666666666667,0.0,0.0,40.19,31.97,11.666666666666666
83,25200,48.666666666666664,91.66666666666667,0.0,0.0,40.19,31.97,11.666666666666666
84,25500,45.0,87.0,0.0,0.0,40.2,31.98,11.0
85,25800,48.5,90.0,0.0,0.0,40.21,31.99,15.5
86,26100,50.0,90.0,0.0,0.0,40.215,31.99,16.0
87,26400,50.0,90.0,0.0,0.0,40.215,31.99,16.0
88,26700,50.0,90.0,0.0,0.0,40.215,31.99,16.0
89,27000,50.0,90.0,0.0,0.0,40.215,31.99,16.0
90,27300,50.0,90.0,0.0,0.0,40.215,31.99,16.0
91,27600,44.0,91.5,0.0,0.0,40.25,32.02,7.0
92,27900,40.666666666666664,93.16666666666667,0.0,0.0,40.25,32.02666666666667,6.166666666666667
93,28200,34.5,90.5,0.0,0.0,40.26,32.03,8.0
94,28500,35.75,89.5,0.0,0.0,40.26,32.0325,5.5
95,28800,38.2,93.6,0.0,0.0,40.27,32.04,7.4
96,29100,51.833333333333336,92.0,0.0,0.0,40.28,32.04833333333334,10.5
97,29400,47.0,92.0,0.0,0.0,40.29,32.05,8.0
98,29700,45.666666666666664,93.33333333333333,0.0,0.0,40.29,32.056666666666665,8.0
99,30000,47.25,94.125,0.0,0.0,40.300000000000004,32.06,7.75
100,30300,48.0,95.14285714285714,0.0,0.0,40.30285714285714,32.068571428571424,5.857142857142857
101,30600,49.8,91.4,0.0,0.0,40.31,32.072,10.8
102,30900,35.0,88.5,0.0,0.0,40.32,32.08,7.5
