,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,7200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,7500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,8400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,9000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,9300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,9600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,9900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,10200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,10500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,10800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,11100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,11400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,11700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,12000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,12300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,12600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,13200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,13500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,13800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,14100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,14400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,14700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,15000,41.0,95.0,0.0,0.0,39.96,31.84,4.333333333333333
50,15300,35.25,93.5,0.0,0.0,39.9675,31.84,4.0
51,15600,29.75,92.5,0.0,0.0,39.9725,31.85,5.75
52,15900,29.833333333333332,91.16666666666667,0.0,0.0,39.98,31.849999999999998,6.0
53,16200,23.5,90.75,0.0,0.0,39.9825,31.85,4.0
54,16500,27.0,93.0,0.0,0.0,39.99,31.85,5.0
55,16800,23.666666666666668,92.33333333333333,0.0,0.0,39.99,31.86,2.0
56,17100,21.5,91.5,0.0,0.0,40.0,31.86,2.5
57,17400,49.666666666666664,94.66666666666667,0.0,0.0,40.0,31.86,3.0
58,17700,33.125,94.25,0.0,0.0,40.01,31.87,3.375
59,18000,28.75,93.0,0.0,0.0,40.01,31.87,4.0
60,18300,29.333333333333332,93.83333333333333,0.0,0.0,40.013333333333335,31.87,5.0
61,18600,21.75,92.0,0.0,0.0,40.02,31.877499999999998,2.5
62,18900,25.6,90.6,0.0,0.0,40.024,31.880000000000003,2.8
63,19200,29.166666666666668,91.0,0.0,0.0,40.03,31.88,12.166666666666666
64,19500,17.5,87.375,0.0,0.0,40.03,31.889999999999993,26.875
65,19800,38.0,94.0,0.0,0.0,40.04,31.89,6.0
66,20100,42.0,92.75,0.0,0.0,40.045,31.8925,9.5
67,20400,50.5,94.5,0.0,0.0,40.055,31.9,19.5
68,20700,47.0,95.75,0.0,0.0,40.065,31.9,15.75
69,21000,45.0,92.0,0.0,0.0,40.07,31.91,11.0
70,21300,44.0,91.66666666666667,0.0,0.0,40.08,31.91,7.333333333333333
71,21600,51.666666666666664,93.0,0.0,0.0,40.083333333333336,31.916666666666668,8.0
72,21900,48.0,90.0,0.0,0.0,40.09,31.92,7.5
73,22200,41.0,90.0,0.0,0.0,40.1,31.92,11.0
74,22500,52.0,90.5,0.0,0.0,40.105000000000004,31.93,12.5
75,22800,81.0,93.66666666666667,0.0,0.0,40.126666666666665,31.936666666666667,12.0
76,23100,74.66666666666667,93.33333333333333,0.0,0.0,40.14333333333334,31.94,9.0
77,23400,63.333333333333336,92.66666666666667,0.0,0.0,40.15,31.94,8.0
78,23700,63.333333333333336,92.66666666666667,0.0,0.0,40.15,31.94,8.0
79,24000,59.0,93.66666666666667,0.0,0.0,40.17,31.956666666666667,14.0
80,24300,53.0,94.5,0.0,0.0,40.175,31.96,7.5
81,24600,56.0,97.0,0.0,0.0,40.18,31.96,6.0
82,24900,46.666666666666664,91.0,0.0,0.0,40.19,31.97,11.0
83,25200,41.0,89.0,0.0,0.0,40.195,31.9725,9.75
84,25500,41.0,89.0,0.0,0.0,40.195,31.9725,9.75
85,25800,45.333333333333336,90.66666666666667,0.0,0.0,40.21,31.99,16.833333333333332
86,26100,39.0,89.0,0.0,0.0,40.22,31.99,21.0
87,26400,39.0,89.0,0.0,0.0,40.22,31.99,21.0
88,26700,39.0,89.0,0.0,0.0,40.22,31.99,21.0
89,27000,39.0,89.0,0.0,0.0,40.22,31.99,21.0
90,27300,39.0,89.0,0.0,0.0,40.22,31.99,21.0
91,27600,51.0,92.5,0.0,0.0,40.25,32.02,6.0
92,27900,38.4,92.6,0.0,0.0,40.25,32.028000000000006,6.6
93,28200,41.5,91.0,0.0,0.0,40.26,32.03,6.0
94,28500,40.6,91.6,0.0,0.0,40.264,32.035999999999994,8.0
95,28800,38.666666666666664,93.33333333333333,0.0,0.0,40.27,32.04,8.666666666666666
96,29100,38.666666666666664,93.33333333333333,0.0,0.0,40.27,32.04,8.666666666666666
97,29400,54.0,91.2,0.0,0.0,40.285999999999994,32.05,11.0
98,29700,42.333333333333336,93.0,0.0,0.0,40.29,32.056666666666665,6.666666666666667
99,30000,58.0,95.0,0.0,0.0,40.3,32.06,8.0
100,30300,58.0,95.0,0.0,0.0,40.3,32.06,8.0
101,30600,52.333333333333336,91.33333333333333,0.0,0.0,40.31,32.07,13.333333333333334
102,30900,54.8,92.8,0.0,0.0,40.314,32.08,6.4
103,31200,71.0,91.0,0.0,0.0,40.32,32.08,4.0
104,31500,31.75,86.5,0.0,0.0,40.33,32.09,6.0
