,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,9.857142857142858,91.42857142857143,0.0,0.0,37.99,27.57999999999999,1.0
1,600,27.0,93.0,0.0,0.0,37.99333333333333,27.58,2.0
2,900,20.0,89.66666666666667,0.0,0.0,38.0,27.58666666666667,2.3333333333333335
3,1200,20.0,89.66666666666667,0.0,0.0,38.0,27.58666666666667,2.3333333333333335
4,1500,23.0,90.5,0.0,0.0,38.01,27.59,1.0
5,1800,26.0,92.66666666666667,0.0,0.0,38.01666666666667,27.596666666666664,2.0
6,2100,19.333333333333332,90.0,0.0,0.0,38.02,27.600000000000005,2.0
7,2400,12.0,87.5,0.0,0.0,38.02,27.6,1.0
8,2700,20.333333333333332,90.66666666666667,0.0,0.0,38.03,27.606666666666666,1.0
9,3000,23.5,89.5,0.0,0.0,38.03,27.61,2.0
10,3300,21.0,90.66666666666667,0.0,0.0,38.04,27.61,1.3333333333333333
11,3600,15.333333333333334,89.66666666666667,0.0,0.0,38.04,27.61666666666667,2.0
12,3900,29.0,92.5,0.0,0.0,38.05,27.62,3.0
13,4200,18.5,91.0,0.0,0.0,38.05,27.62,2.0
14,4500,12.333333333333334,87.33333333333333,0.0,0.0,38.06,27.623333333333335,1.3333333333333333
15,4800,21.166666666666668,89.5,0.0,0.0,38.06,27.63,1.3333333333333333
16,5100,31.666666666666668,86.66666666666667,0.0,0.0,38.07,27.63,3.0
17,5400,39.5,85.0,0.0,0.0,38.07,27.639999999999997,6.0
18,5700,37.0,86.0,0.0,0.0,38.08,27.64,2.0
19,6000,35.666666666666664,85.5,0.0,0.0,38.085,27.643333333333334,2.5
20,6300,25.0,82.0,0.0,0.0,38.09,27.649999999999995,1.3333333333333333
21,6600,28.5,86.0,0.0,0.0,38.1,27.65,1.5
22,6900,29.666666666666668,85.66666666666667,0.0,0.0,38.10333333333333,27.66,5.333333333333333
23,7200,24.0,85.33333333333333,0.0,0.0,38.11,27.66,1.6666666666666667
24,7500,26.625,85.125,0.0,0.0,38.12,27.666250000000005,3.0
25,7800,20.2,86.2,0.0,0.0,38.13,27.670000000000005,2.6
26,8100,30.666666666666668,87.0,0.0,0.0,38.13333333333333,27.673333333333336,2.0
27,8400,42.8,85.8,0.0,0.0,38.14,27.68,3.2
28,8700,22.833333333333332,85.66666666666667,0.0,0.0,38.14833333333333,27.680000000000003,2.0
29,9000,26.857142857142858,86.0,0.0,0.0,38.15,27.685714285714283,2.0
30,9300,34.0,84.66666666666667,0.0,0.0,38.16,27.69,1.6666666666666667
31,9600,21.5,82.75,0.0,0.0,38.16,27.69,1.5
32,9900,21.2,81.8,0.0,0.0,38.17,27.692,2.6
33,10200,24.0,82.0,0.0,0.0,38.17,27.7,2.0
34,10500,24.0,82.0,0.0,0.0,38.17,27.7,2.0
35,10800,24.0,82.0,0.0,0.0,38.17,27.7,2.0
36,11100,24.0,82.0,0.0,0.0,38.17,27.7,2.0
37,11400,24.0,82.0,0.0,0.0,38.17,27.7,2.0
38,11700,24.0,82.0,0.0,0.0,38.17,27.7,2.0
39,12000,24.0,82.0,0.0,0.0,38.17,27.7,2.0
40,12300,24.0,82.0,0.0,0.0,38.17,27.7,2.0
41,12600,24.0,82.0,0.0,0.0,38.17,27.7,2.0
42,12900,24.0,82.0,0.0,0.0,38.17,27.7,2.0
43,13200,24.0,82.0,0.0,0.0,38.17,27.7,2.0
44,13500,24.0,82.0,0.0,0.0,38.17,27.7,2.0
45,13800,24.0,82.0,0.0,0.0,38.17,27.7,2.0
46,14100,24.0,82.0,0.0,0.0,38.17,27.7,2.0
47,14400,26.0,87.0,0.0,0.0,38.27,27.74,2.0
48,14700,26.0,87.0,0.0,0.0,38.27,27.74,2.0
49,15000,33.0,89.0,0.0,0.0,38.285,27.75,4.0
50,15300,32.0,90.0,0.0,0.0,38.29,27.76,3.0
51,15600,27.5,88.5,0.0,0.0,38.295,27.76,3.0
52,15900,25.0,90.0,0.0,0.0,38.3,27.765,3.0
53,16200,22.8,87.8,0.0,0.0,38.31,27.77,1.4
54,16500,21.666666666666668,88.0,0.0,0.0,38.31,27.77,3.3333333333333335
55,16800,20.8,87.4,0.0,0.0,38.32,27.778,1.6
56,17100,19.88888888888889,87.11111111111111,0.0,0.0,38.32,27.78,2.5555555555555554
57,17400,35.25,91.0,0.0,0.0,38.3275,27.78,2.0
58,17700,32.5,89.5,0.0,0.0,38.34,27.79,2.5
59,18000,29.2,88.0,0.0,0.0,38.34,27.79,3.2
60,18300,38.0,89.0,0.0,0.0,38.35,27.8,2.0
61,18600,34.0,86.8,0.0,0.0,38.35,27.8,2.8
62,18900,34.0,86.8,0.0,0.0,38.35,27.8,2.8
63,19200,25.4,85.6,0.0,0.0,38.37,27.808,2.6
64,19500,22.0,84.75,0.0,0.0,38.37,27.81,2.5
65,19800,39.0,87.0,0.0,0.0,38.38,27.82,10.0
66,20100,41.666666666666664,89.0,0.0,0.0,38.39,27.820000000000004,27.0
67,20400,42.0,87.5,0.0,0.0,38.4,27.82,26.0
68,20700,42.4,91.0,0.0,0.0,38.41,27.829999999999995,16.0
69,21000,45.0,90.0,0.0,0.0,38.42,27.84,10.0
70,21300,47.0,91.0,0.0,0.0,38.425,27.84,5.0
71,21600,34.0,87.33333333333333,0.0,0.0,38.43333333333333,27.846666666666664,6.333333333333333
72,21900,43.0,89.0,0.0,0.0,38.44,27.850000000000005,5.333333333333333
73,22200,44.57142857142857,89.85714285714286,0.0,0.0,38.449999999999996,27.85571428571429,7.714285714285714
74,22500,59.5,90.5,0.0,0.0,38.46,27.865000000000002,6.5
75,22800,77.0,92.0,0.0,0.0,38.48,27.87,11.0
76,23100,77.0,92.0,0.0,0.0,38.48,27.87,11.0
77,23400,77.0,92.0,0.0,0.0,38.48,27.87,11.0
78,23700,77.0,92.0,0.0,0.0,38.48,27.87,11.0
79,24000,77.0,92.0,0.0,0.0,38.48,27.87,11.0
80,24300,77.0,92.0,0.0,0.0,38.48,27.87,11.0
81,24600,77.0,92.0,0.0,0.0,38.48,27.87,11.0
82,24900,51.0,91.0,0.0,0.0,38.555,27.91,8.0
83,25200,35.4,86.8,0.0,0.0,38.56,27.913999999999998,6.2
84,25500,35.4,86.8,0.0,0.0,38.56,27.913999999999998,6.2
85,25800,45.0,85.0,0.0,0.0,38.58,27.93,9.0
86,26100,43.2,88.4,0.0,0.0,38.583999999999996,27.93,6.8
87,26400,38.0,90.0,0.0,0.0,38.59,27.93,4.0
88,26700,38.0,90.0,0.0,0.0,38.59,27.93,4.0
89,27000,38.0,90.0,0.0,0.0,38.59,27.93,4.0
90,27300,27.5,86.5,0.0,0.0,38.61,27.95,3.0
91,27600,43.0,87.0,0.0,0.0,38.61,27.95,2.0
92,27900,43.0,87.0,0.0,0.0,38.61,27.95,2.0
93,28200,43.0,87.0,0.0,0.0,38.61,27.95,2.0
94,28500,43.0,87.0,0.0,0.0,38.61,27.95,2.0
95,28800,43.0,87.0,0.0,0.0,38.61,27.95,2.0
96,29100,43.0,87.0,0.0,0.0,38.61,27.95,2.0
97,29400,43.0,87.0,0.0,0.0,38.61,27.95,2.0
98,29700,43.0,87.0,0.0,0.0,38.61,27.95,2.0
99,30000,43.0,87.0,0.0,0.0,38.61,27.95,2.0
100,30300,43.0,87.0,0.0,0.0,38.61,27.95,2.0
101,30600,43.0,87.0,0.0,0.0,38.61,27.95,2.0
102,30900,43.0,87.0,0.0,0.0,38.61,27.95,2.0
103,31200,43.0,87.0,0.0,0.0,38.61,27.95,2.0
104,31500,43.0,87.0,0.0,0.0,38.61,27.95,2.0
105,31800,43.0,87.0,0.0,0.0,38.61,27.95,2.0
106,32100,43.0,87.0,0.0,0.0,38.61,27.95,2.0
107,32400,43.0,87.0,0.0,0.0,38.61,27.95,2.0
108,32700,35.0,86.5,0.0,0.0,38.72,28.04,4.0
109,33000,41.0,89.0,0.0,0.0,38.72,28.04,5.0
110,33300,39.166666666666664,89.16666666666667,0.0,0.0,38.73,28.043333333333337,3.3333333333333335
111,33600,33.666666666666664,85.0,0.0,0.0,38.73,28.05,2.6666666666666665
112,33900,43.0,86.0,0.0,0.0,38.74,28.05,1.0
113,34200,28.0,83.0,0.0,0.0,38.74,28.06,2.0
114,34500,24.5,82.5,0.0,0.0,38.75,28.06,7.0
115,34800,27.5,83.0,0.0,0.0,38.75,28.06,2.0
116,35100,27.333333333333332,83.0,0.0,0.0,38.75666666666666,28.066666666666663,3.3333333333333335
117,35400,40.0,86.0,0.0,0.0,38.76,28.07,3.0
118,35700,30.666666666666668,85.66666666666667,0.0,0.0,38.77,28.070000000000004,1.6666666666666667
119,36000,26.25,84.25,0.0,0.0,38.77,28.077499999999997,2.5
120,36300,26.333333333333332,87.0,0.0,0.0,38.78,28.08,2.6666666666666665
121,36600,29.5,85.0,0.0,0.0,38.785,28.08,2.5
122,36900,37.666666666666664,87.0,0.0,0.0,38.79,28.08666666666667,5.333333333333333
123,37200,31.666666666666668,88.66666666666667,0.0,0.0,38.8,28.09,1.6666666666666667
124,37500,28.0,87.0,0.0,0.0,38.8,28.1,1.0
125,37800,30.0,86.0,0.0,0.0,38.81,28.1,4.0
126,38100,31.0,87.57142857142857,0.0,0.0,38.81,28.099999999999998,2.4285714285714284
127,38400,20.25,84.5,0.0,0.0,38.82,28.11,2.0
128,38700,32.0,86.33333333333333,0.0,0.0,38.82,28.11,2.6666666666666665
129,39000,42.0,85.0,0.0,0.0,38.83,28.115000000000002,1.5
130,39300,32.0,85.5,0.0,0.0,38.835,28.12,5.5
131,39600,25.5,86.0,0.0,0.0,38.84,28.13,7.0
132,39900,30.5,87.0,0.0,0.0,38.84,28.13,3.0
133,40200,35.2,89.4,0.0,0.0,38.85,28.134000000000004,3.0
134,40500,50.666666666666664,89.33333333333333,0.0,0.0,38.85333333333333,28.14,3.3333333333333335
135,40800,41.5,85.0,0.0,0.0,38.86,28.15,2.5
136,41100,41.25,86.25,0.0,0.0,38.8625,28.15,2.75
137,41400,41.25,86.25,0.0,0.0,38.8625,28.15,2.75
138,41700,42.5,90.0,0.0,0.0,38.88,28.16,3.0
139,42000,27.8,86.8,0.0,0.0,38.888,28.170000000000005,2.0
140,42300,24.0,86.0,0.0,0.0,38.89,28.17,3.0
141,42600,24.5,86.0,0.0,0.0,38.894999999999996,28.18,2.5
142,42900,29.5,86.5,0.0,0.0,38.9,28.18,4.5
143,43200,30.4,88.4,0.0,0.0,38.91,28.190000000000005,5.0
144,43500,30.0,88.0,0.0,0.0,38.91,28.19,9.0
145,43800,26.6,87.6,0.0,0.0,38.92,28.2,6.2
146,44100,31.8,90.4,0.0,0.0,38.922000000000004,28.2,4.4
147,44400,24.0,88.5,0.0,0.0,38.93,28.2,1.75
148,44700,19.333333333333332,86.83333333333333,0.0,0.0,38.93,28.210000000000004,1.1666666666666667
149,45000,20.0,86.5,0.0,0.0,38.9325,28.21,2.25
150,45300,23.75,87.5,0.0,0.0,38.94,28.21,3.0
151,45600,26.0,87.25,0.0,0.0,38.942499999999995,28.215,3.0
152,45900,31.333333333333332,87.66666666666667,0.0,0.0,38.95,28.22,2.3333333333333335
153,46200,31.333333333333332,87.66666666666667,0.0,0.0,38.95,28.22,2.3333333333333335
154,46500,31.25,91.25,0.0,0.0,38.96,28.225,2.25
155,46800,22.2,87.0,0.0,0.0,38.96,28.23,1.4
156,47100,22.75,89.5,0.0,0.0,38.97,28.23,2.0
157,47400,26.0,91.0,0.0,0.0,38.97,28.24,1.0
158,47700,27.0,89.0,0.0,0.0,38.97,28.24,1.0
159,48000,27.0,89.0,0.0,0.0,38.98,28.24,6.0
160,48300,28.0,90.0,0.0,0.0,38.99,28.25,4.0
161,48600,24.75,89.25,0.0,0.0,38.99,28.25,3.0
162,48900,24.5,89.0,0.0,0.0,38.99,28.25,2.0
163,49200,27.0,87.0,0.0,0.0,39.0,28.26,1.0
164,49500,53.0,88.0,0.0,0.0,39.0,28.26,4.0
165,49800,23.4,87.4,0.0,0.0,39.01,28.264,1.6
166,50100,29.166666666666668,91.0,0.0,0.0,39.01166666666666,28.27,1.8333333333333333
167,50400,22.75,86.75,0.0,0.0,39.02,28.27,1.75
168,50700,28.8,88.6,0.0,0.0,39.02,28.278,2.4
169,51000,26.0,88.55555555555556,0.0,0.0,39.03,28.28,3.0
170,51300,21.333333333333332,86.33333333333333,0.0,0.0,39.03666666666666,28.290000000000003,1.0
171,51600,22.5,86.0,0.0,0.0,39.04,28.29,2.5
172,51900,37.5,89.0,0.0,0.0,39.05,28.29,3.0
173,52200,21.0,87.66666666666667,0.0,0.0,39.05,28.290000000000003,2.0
174,52500,26.0,88.0,0.0,0.0,39.056666666666665,28.3,6.333333333333333
175,52800,26.0,88.0,0.0,0.0,39.056666666666665,28.3,6.333333333333333
176,53100,27.125,88.875,0.0,0.0,39.07,28.30375,4.125
177,53400,23.0,88.0,0.0,0.0,39.072,28.309999999999995,4.2
178,53700,25.0,90.0,0.0,0.0,39.08,28.31,7.0
179,54000,19.5,89.0,0.0,0.0,39.08,28.317499999999995,7.25
180,54300,29.2,89.4,0.0,0.0,39.09,28.32,3.2
181,54600,25.5,91.5,0.0,0.0,39.09,28.32,3.0
182,54900,20.25,89.0,0.0,0.0,39.1,28.3225,5.0
183,55200,32.333333333333336,90.0,0.0,0.0,39.1,28.33,5.666666666666667
184,55500,33.0,90.66666666666667,0.0,0.0,39.10666666666667,28.33,19.666666666666668
185,55800,38.25,92.25,0.0,0.0,39.11,28.34,6.0
186,56100,18.5,91.0,0.0,0.0,39.12,28.34,2.0
187,56400,33.0,91.0,0.0,0.0,39.12,28.34,14.0
188,56700,28.0,91.0,0.0,0.0,39.13,28.35,7.0
189,57000,30.4,91.6,0.0,0.0,39.13,28.35,5.4
190,57300,49.0,94.0,0.0,0.0,39.13,28.35,5.0
191,57600,28.333333333333332,89.66666666666667,0.0,0.0,39.14,28.36,3.3333333333333335
192,57900,26.0,89.2,0.0,0.0,39.146,28.360000000000003,6.0
193,58200,26.0,89.2,0.0,0.0,39.146,28.360000000000003,6.0
194,58500,25.166666666666668,91.0,0.0,0.0,39.16,28.37,8.5
195,58800,35.0,89.66666666666667,0.0,0.0,39.16,28.37,5.333333333333333
196,59100,28.75,90.75,0.0,0.0,39.17,28.37,3.0
197,59400,33.666666666666664,90.66666666666667,0.0,0.0,39.17,28.38,3.6666666666666665
198,59700,33.25,91.25,0.0,0.0,39.18,28.38,5.0
199,60000,34.75,92.5,0.0,0.0,39.1875,28.39,4.0
200,60300,17.333333333333332,90.33333333333333,0.0,0.0,39.19,28.389999999999997,2.1666666666666665
201,60600,18.2,89.2,0.0,0.0,39.198,28.389999999999997,1.8
202,60900,21.428571428571427,90.28571428571429,0.0,0.0,39.199999999999996,28.39142857142857,3.2857142857142856
203,61200,21.428571428571427,90.28571428571429,0.0,0.0,39.199999999999996,28.39142857142857,3.2857142857142856
204,61500,25.0,91.0,0.0,0.0,39.21,28.4,4.0
205,61800,25.0,91.0,0.0,0.0,39.21,28.4,4.0
