,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,16.5,90.0,0.0,0.0,40.23,32.63,2.5
1,600,38.5,95.0,0.0,0.0,40.23,32.63,3.0
2,900,29.0,91.25,0.0,0.0,40.24,32.64,3.0
3,1200,31.0,92.5,0.0,0.0,40.24,32.64,3.0
4,1500,32.0,93.0,0.0,0.0,40.24,32.6475,3.25
5,1800,34.666666666666664,94.66666666666667,0.0,0.0,40.25,32.65,4.0
6,2100,34.666666666666664,94.66666666666667,0.0,0.0,40.25,32.65,4.0
7,2400,20.0,84.0,0.0,0.0,40.254999999999995,32.66,5.0
8,2700,26.0,87.66666666666667,0.0,0.0,40.26,32.66,2.0
9,3000,24.0,86.0,0.0,0.0,40.26,32.66,2.0
10,3300,29.333333333333332,87.33333333333333,0.0,0.0,40.27,32.666666666666664,3.6666666666666665
11,3600,22.0,86.0,0.0,0.0,40.27,32.67,3.0
12,3900,27.25,89.25,0.0,0.0,40.275000000000006,32.67,3.0
13,4200,23.666666666666668,88.66666666666667,0.0,0.0,40.28,32.67666666666667,3.0
14,4500,23.0,87.0,0.0,0.0,40.28,32.68,2.0
15,4800,35.666666666666664,90.33333333333333,0.0,0.0,40.28666666666666,32.68,3.6666666666666665
16,5100,39.0,86.4,0.0,0.0,40.29,32.686,4.6
17,5400,37.0,85.0,0.0,0.0,40.3,32.69,4.5
18,5700,44.5,87.25,0.0,0.0,40.3,32.69,4.25
19,6000,36.0,84.25,0.0,0.0,40.31,32.7,5.5
20,6300,27.0,83.0,0.0,0.0,40.31,32.7,3.6666666666666665
21,6600,36.0,85.66666666666667,0.0,0.0,40.32,32.70333333333334,4.666666666666667
22,6900,35.0,88.0,0.0,0.0,40.32,32.71,3.0
23,7200,32.0,85.0,0.0,0.0,40.33,32.71333333333333,6.666666666666667
24,7500,42.8,88.2,0.0,0.0,40.333999999999996,32.72,4.4
25,7800,38.333333333333336,88.66666666666667,0.0,0.0,40.34,32.72333333333333,4.0
26,8100,29.0,86.66666666666667,0.0,0.0,40.35,32.73,3.6666666666666665
27,8400,36.0,87.0,0.0,0.0,40.35,32.73,3.5
28,8700,29.166666666666668,83.66666666666667,0.0,0.0,40.36000000000001,32.74,16.5
29,9000,26.5,83.5,0.0,0.0,40.364999999999995,32.74,5.0
30,9300,27.666666666666668,83.66666666666667,0.0,0.0,40.37,32.74,3.3333333333333335
31,9600,31.75,83.0,0.0,0.0,40.37,32.75,3.0
32,9900,30.666666666666668,83.0,0.0,0.0,40.38,32.75,3.6666666666666665
33,10200,25.0,82.0,0.0,0.0,40.38,32.75,2.3333333333333335
34,10500,35.0,83.75,0.0,0.0,40.385000000000005,32.76,3.25
35,10800,24.0,83.75,0.0,0.0,40.39,32.76,3.0
36,11100,33.25,84.0,0.0,0.0,40.3975,32.7625,4.5
37,11400,26.666666666666668,85.0,0.0,0.0,40.406666666666666,32.77,2.6666666666666665
38,11700,27.666666666666668,83.33333333333333,0.0,0.0,40.41,32.77,2.6666666666666665
39,12000,30.0,83.25,0.0,0.0,40.417500000000004,32.77,3.0
40,12300,29.666666666666668,84.66666666666667,0.0,0.0,40.42333333333334,32.77333333333333,7.0
41,12600,41.857142857142854,89.85714285714286,0.0,0.0,40.43,32.78,4.857142857142857
42,12900,31.0,86.5,0.0,0.0,40.435,32.78,4.5
43,13200,25.5,83.25,0.0,0.0,40.44,32.79,5.75
44,13500,31.666666666666668,86.0,0.0,0.0,40.443333333333335,32.79,2.6666666666666665
45,13800,34.25,87.5,0.0,0.0,40.45,32.79,3.5
46,14100,34.0,87.6,0.0,0.0,40.454,32.8,4.2
47,14400,33.0,88.0,0.0,0.0,40.465,32.8,4.0
48,14700,31.714285714285715,88.57142857142857,0.0,0.0,40.46999999999999,32.80142857142857,4.285714285714286
49,15000,43.0,91.0,0.0,0.0,40.48,32.81,5.0
50,15300,40.0,89.5,0.0,0.0,40.48,32.81,9.0
