,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,31.0,89.0,0.0,0.0,40.41,33.05,6.0
1,600,25.0,88.5,0.0,0.0,40.42,33.06,6.0
2,900,81.0,91.0,0.0,0.0,40.43,33.06,9.0
3,1200,37.0,71.25,0.0,0.0,40.435,33.07,7.0
4,1500,34.5,73.5,0.0,0.0,40.45,33.08,4.5
5,1800,44.666666666666664,82.0,0.0,0.0,40.45,33.08,4.0
6,2100,30.5,77.0,0.0,0.0,40.46,33.09,5.0
7,2400,42.0,72.0,0.0,0.0,40.46,33.09,4.0
8,2700,32.0,75.6,0.0,0.0,40.47,33.096,3.6
9,3000,30.666666666666668,74.0,0.0,0.0,40.48,33.1,3.3333333333333335
10,3300,30.0,73.6,0.0,0.0,40.484,33.102,4.4
11,3600,26.666666666666668,74.66666666666667,0.0,0.0,40.49,33.11,3.6666666666666665
12,3900,34.2,76.2,0.0,0.0,40.498000000000005,33.11,4.0
13,4200,31.0,75.5,0.0,0.0,40.5,33.12,4.0
14,4500,31.0,75.5,0.0,0.0,40.5,33.12,4.0
15,4800,42.666666666666664,77.0,0.0,0.0,40.51333333333333,33.126666666666665,4.666666666666667
16,5100,41.166666666666664,81.0,0.0,0.0,40.52,33.13,6.666666666666667
17,5400,45.333333333333336,81.0,0.0,0.0,40.52,33.13,7.666666666666667
18,5700,48.0,82.75,0.0,0.0,40.53,33.14,5.5
19,6000,37.666666666666664,79.66666666666667,0.0,0.0,40.53666666666666,33.14,6.333333333333333
20,6300,32.25,78.25,0.0,0.0,40.54,33.1425,5.0
21,6600,33.0,81.0,0.0,0.0,40.54,33.15,4.0
22,6900,38.666666666666664,81.66666666666667,0.0,0.0,40.55,33.15,6.333333333333333
23,7200,39.6,81.8,0.0,0.0,40.552,33.16,5.4
24,7500,45.0,82.33333333333333,0.0,0.0,40.56,33.16,5.0
25,7800,40.2,80.6,0.0,0.0,40.565999999999995,33.17,7.4
26,8100,33.0,79.0,0.0,0.0,40.57,33.17,9.5
27,8400,36.0,78.5,0.0,0.0,40.58,33.1775,4.5
28,8700,37.0,78.0,0.0,0.0,40.59,33.18,5.0
29,9000,32.57142857142857,77.28571428571429,0.0,0.0,40.589999999999996,33.18,4.142857142857143
30,9300,35.2,76.6,0.0,0.0,40.59,33.182,4.0
31,9600,32.25,76.75,0.0,0.0,40.5975,33.19,5.0
32,9900,32.25,77.75,0.0,0.0,40.6,33.19,3.5
33,10200,34.0,78.0,0.0,0.0,40.61,33.19,4.0
34,10500,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
35,10800,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
36,11100,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
37,11400,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
38,11700,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
39,12000,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
40,12300,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
41,12600,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
42,12900,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
43,13200,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
44,13500,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
45,13800,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
46,14100,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
47,14400,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
48,14700,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
49,15000,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
50,15300,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
51,15600,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
52,15900,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
53,16200,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
54,16500,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
55,16800,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
56,17100,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
57,17400,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
58,17700,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
59,18000,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
60,18300,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
61,18600,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
62,18900,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
63,19200,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
64,19500,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
65,19800,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
66,20100,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
67,20400,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
68,20700,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
69,21000,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
70,21300,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
71,21600,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
72,21900,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
73,22200,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
74,22500,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
75,22800,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
76,23100,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
77,23400,35.6,78.8,0.0,0.0,40.61,33.193999999999996,5.8
78,23700,71.25,83.0,0.0,0.0,40.8925,33.36,10.5
79,24000,68.33333333333333,85.0,0.0,0.0,40.90333333333333,33.36333333333334,12.0
80,24300,63.0,86.66666666666667,0.0,0.0,40.91,33.37,18.333333333333332
81,24600,57.666666666666664,87.0,0.0,0.0,40.92,33.376666666666665,15.666666666666666
82,24900,64.5,88.5,0.0,0.0,40.93,33.38,15.0
83,25200,50.4,81.2,0.0,0.0,40.938,33.39,10.2
84,25500,59.5,83.0,0.0,0.0,40.94,33.39,15.5
85,25800,54.8,81.4,0.0,0.0,40.95,33.4,17.0
86,26100,60.57142857142857,83.71428571428571,0.0,0.0,40.95714285714286,33.401428571428575,11.285714285714286
87,26400,49.0,85.0,0.0,0.0,40.96,33.41,13.0
88,26700,54.0,86.0,0.0,0.0,40.97,33.42,8.0
89,27000,57.0,92.0,0.0,0.0,40.974999999999994,33.42,11.0
90,27300,41.0,88.0,0.0,0.0,40.98,33.43,6.0
91,27600,55.666666666666664,89.33333333333333,0.0,0.0,40.99,33.43,6.333333333333333
92,27900,53.0,89.25,0.0,0.0,40.9925,33.44,8.75
93,28200,47.0,87.0,0.0,0.0,41.0,33.44,10.0
94,28500,46.0,87.0,0.0,0.0,41.01,33.45,13.0
95,28800,44.0,88.0,0.0,0.0,41.01,33.45,11.0
96,29100,61.333333333333336,87.66666666666667,0.0,0.0,41.02,33.46,11.666666666666666
97,29400,61.25,88.75,0.0,0.0,41.025000000000006,33.46,12.75
98,29700,51.333333333333336,87.0,0.0,0.0,41.03,33.46666666666667,6.666666666666667
99,30000,48.5,86.5,0.0,0.0,41.04,33.47,9.5
100,30300,42.666666666666664,86.66666666666667,0.0,0.0,41.04,33.47,10.0
101,30600,47.666666666666664,89.66666666666667,0.0,0.0,41.05,33.48,7.0
102,30900,49.333333333333336,85.0,0.0,0.0,41.05,33.48333333333333,7.0
103,31200,44.0,82.0,0.0,0.0,41.06,33.49,7.0
104,31500,42.0,82.25,0.0,0.0,41.06,33.49,9.0
105,31800,40.666666666666664,81.83333333333333,0.0,0.0,41.06333333333333,33.498333333333335,6.833333333333333
106,32100,45.666666666666664,82.33333333333333,0.0,0.0,41.07,33.5,5.0
107,32400,39.5,82.5,0.0,0.0,41.07,33.504999999999995,5.0
108,32700,43.6,81.4,0.0,0.0,41.074,33.51,4.8
109,33000,40.0,79.66666666666667,0.0,0.0,41.07999999999999,33.51166666666666,4.666666666666667
110,33300,43.75,81.25,0.0,0.0,41.082499999999996,33.52,5.25
111,33600,42.0,82.0,0.0,0.0,41.09,33.52,5.0
112,33900,51.75,84.25,0.0,0.0,41.09,33.53,6.0
113,34200,59.5,84.5,0.0,0.0,41.1,33.53,10.5
114,34500,49.333333333333336,82.66666666666667,0.0,0.0,41.11,33.54,13.333333333333334
115,34800,50.0,82.0,0.0,0.0,41.11,33.54,5.0
116,35100,48.333333333333336,81.66666666666667,0.0,0.0,41.12,33.55,7.0
117,35400,52.0,83.0,0.0,0.0,41.12,33.55,5.0
118,35700,45.0,83.0,0.0,0.0,41.13,33.55,7.0
119,36000,51.0,85.0,0.0,0.0,41.13,33.56,7.5
120,36300,56.5,88.0,0.0,0.0,41.14,33.565,9.0
121,36600,48.0,84.5,0.0,0.0,41.14,33.57,9.0
122,36900,65.0,86.0,0.0,0.0,41.15,33.57,15.0
123,37200,60.666666666666664,88.66666666666667,0.0,0.0,41.156666666666666,33.58,7.666666666666667
124,37500,60.5,88.5,0.0,0.0,41.16,33.585,38.0
125,37800,43.0,86.0,0.0,0.0,41.17,33.59,6.5
126,38100,49.8,85.4,0.0,0.0,41.17,33.598,9.0
127,38400,39.0,84.33333333333333,0.0,0.0,41.18,33.6,16.666666666666668
128,38700,44.25,84.25,0.0,0.0,41.18,33.61,9.25
129,39000,56.0,86.0,0.0,0.0,41.19,33.61,7.0
130,39300,45.333333333333336,86.33333333333333,0.0,0.0,41.19,33.61333333333334,5.666666666666667
131,39600,40.0,87.0,0.0,0.0,41.2,33.62,5.0
132,39900,40.0,85.0,0.0,0.0,41.2,33.62,8.0
133,40200,49.5,87.0,0.0,0.0,41.205,33.63,7.5
134,40500,51.833333333333336,87.33333333333333,0.0,0.0,41.21,33.635,8.666666666666666
135,40800,52.0,85.0,0.0,0.0,41.22,33.65,11.0
136,41100,54.333333333333336,88.0,0.0,0.0,41.23,33.656666666666666,9.0
137,41400,57.25,89.0,0.0,0.0,41.23,33.66,7.5
138,41700,57.25,89.0,0.0,0.0,41.23,33.66,7.5
139,42000,45.42857142857143,85.28571428571429,0.0,0.0,41.25,33.67857142857143,9.571428571428571
140,42300,45.5,85.0,0.0,0.0,41.25,33.68,6.0
141,42600,50.0,86.0,0.0,0.0,41.26,33.69,7.0
142,42900,53.6,87.6,0.0,0.0,41.262,33.69199999999999,8.8
143,43200,48.333333333333336,86.0,0.0,0.0,41.27,33.7,6.666666666666667
144,43500,57.5,88.0,0.0,0.0,41.28,33.7075,9.5
145,43800,42.666666666666664,86.66666666666667,0.0,0.0,41.28,33.71,9.0
146,44100,50.0,92.0,0.0,0.0,41.29,33.72,12.5
147,44400,45.0,88.5,0.0,0.0,41.29,33.72,7.75
148,44700,39.0,86.0,0.0,0.0,41.3,33.73,5.0
149,45000,49.333333333333336,87.66666666666667,0.0,0.0,41.3,33.73,5.666666666666667
150,45300,34.0,85.33333333333333,0.0,0.0,41.3,33.73,6.666666666666667
151,45600,37.333333333333336,86.0,0.0,0.0,41.31,33.74,7.0
152,45900,52.25,85.25,0.0,0.0,41.317499999999995,33.74,8.25
153,46200,46.0,87.5,0.0,0.0,41.32,33.75,4.75
154,46500,48.75,90.0,0.0,0.0,41.33,33.7525,7.25
155,46800,43.0,89.5,0.0,0.0,41.33,33.76,6.5
156,47100,43.5,88.5,0.0,0.0,41.34,33.76,5.0
157,47400,47.5,90.5,0.0,0.0,41.34,33.765,5.5
158,47700,45.0,90.0,0.0,0.0,41.35,33.77,7.0
159,48000,52.0,94.33333333333333,0.0,0.0,41.35,33.78,6.333333333333333
160,48300,62.0,90.25,0.0,0.0,41.36,33.7825,12.25
161,48600,62.0,90.25,0.0,0.0,41.36,33.7825,12.25
162,48900,43.666666666666664,75.33333333333333,0.0,0.0,41.373333333333335,33.79666666666667,12.0
163,49200,39.0,74.0,0.0,0.0,41.38,33.8,6.0
164,49500,56.0,76.0,0.0,0.0,41.38333333333333,33.803333333333335,7.0
165,49800,47.5,73.5,0.0,0.0,41.39,33.81,6.5
166,50100,39.125,79.75,0.0,0.0,41.396249999999995,33.8125,5.25
167,50400,38.5,81.5,0.0,0.0,41.4,33.82,6.5
168,50700,34.333333333333336,81.33333333333333,0.0,0.0,41.41,33.82666666666667,17.333333333333332
169,51000,39.57142857142857,79.28571428571429,0.0,0.0,41.417142857142856,33.83428571428571,6.714285714285714
170,51300,34.0,77.0,0.0,0.0,41.42,33.84,6.0
171,51600,42.666666666666664,79.66666666666667,0.0,0.0,41.43,33.85,6.0
172,51900,44.333333333333336,82.0,0.0,0.0,41.43333333333333,33.85,6.0
173,52200,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
174,52500,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
175,52800,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
176,53100,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
177,53400,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
178,53700,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
179,54000,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
180,54300,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
181,54600,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
182,54900,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
183,55200,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
184,55500,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
185,55800,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
186,56100,35.333333333333336,81.0,0.0,0.0,41.44,33.86,5.0
