,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,20.0,81.0,0.0,0.0,35.48,26.61,1.0
21,6600,22.0,83.0,0.0,0.0,35.48,26.61,1.0
22,6900,28.6,82.8,0.0,0.0,35.482,26.612000000000002,1.8
23,7200,24.333333333333332,82.5,0.0,0.0,35.49,26.62,6.333333333333333
24,7500,28.666666666666668,84.0,0.0,0.0,35.49333333333333,26.62,3.0
25,7800,19.0,83.0,0.0,0.0,35.5,26.63,3.0
26,8100,35.5,84.5,0.0,0.0,35.51,26.63,3.0
27,8400,40.4,83.4,0.0,0.0,35.51800000000001,26.634000000000004,3.4
28,8700,23.666666666666668,82.33333333333333,0.0,0.0,35.52,26.64,8.333333333333334
29,9000,28.75,82.0,0.0,0.0,35.53,26.64,3.5
30,9300,32.666666666666664,81.33333333333333,0.0,0.0,35.53333333333333,26.643333333333334,1.0
31,9600,21.0,80.0,0.0,0.0,35.54,26.65,2.0
32,9900,21.0,80.0,0.0,0.0,35.54,26.65,2.0
33,10200,21.0,80.0,0.0,0.0,35.54,26.65,2.0
34,10500,21.0,80.0,0.0,0.0,35.54,26.65,2.0
35,10800,21.0,80.0,0.0,0.0,35.54,26.65,2.0
36,11100,21.0,80.0,0.0,0.0,35.54,26.65,2.0
37,11400,21.0,80.0,0.0,0.0,35.54,26.65,2.0
38,11700,21.0,80.0,0.0,0.0,35.54,26.65,2.0
39,12000,21.0,80.0,0.0,0.0,35.54,26.65,2.0
40,12300,21.0,80.0,0.0,0.0,35.54,26.65,2.0
41,12600,21.0,80.0,0.0,0.0,35.54,26.65,2.0
42,12900,21.0,80.0,0.0,0.0,35.54,26.65,2.0
43,13200,21.0,80.0,0.0,0.0,35.54,26.65,2.0
44,13500,21.0,80.0,0.0,0.0,35.54,26.65,2.0
45,13800,28.75,86.0,0.0,0.0,35.6175,26.69,2.5
46,14100,30.4,85.0,0.0,0.0,35.62,26.690000000000005,2.8
47,14400,34.2,87.8,0.0,0.0,35.628,26.7,2.6
48,14700,34.5,88.16666666666667,0.0,0.0,35.63166666666667,26.7,3.8333333333333335
49,15000,30.5,86.25,0.0,0.0,35.64,26.7025,7.0
50,15300,32.5,88.0,0.0,0.0,35.644999999999996,26.71,4.0
51,15600,29.333333333333332,87.33333333333333,0.0,0.0,35.65,26.709999999999997,4.666666666666667
52,15900,29.0,89.4,0.0,0.0,35.658,26.714,4.2
53,16200,27.0,87.5,0.0,0.0,35.66,26.72,4.0
54,16500,29.5,87.5,0.0,0.0,35.665,26.72,3.0
55,16800,22.0,87.55555555555556,0.0,0.0,35.67000000000001,26.726666666666663,1.0
56,17100,23.5,87.5,0.0,0.0,35.67,26.73,2.0
57,17400,32.666666666666664,89.0,0.0,0.0,35.67666666666667,26.73,2.0
58,17700,31.166666666666668,91.33333333333333,0.0,0.0,35.68,26.73,3.0
59,18000,26.4,90.6,0.0,0.0,35.69,26.74,6.8
60,18300,21.4,88.8,0.0,0.0,35.69,26.74,2.8
61,18600,22.5,88.5,0.0,0.0,35.69,26.74,4.75
62,18900,22.5,87.0,0.0,0.0,35.7,26.74,1.0
63,19200,21.0,86.66666666666667,0.0,0.0,35.71,26.75,2.0
64,19500,16.0,85.0,0.0,0.0,35.71,26.75,1.5
65,19800,41.0,91.0,0.0,0.0,35.72,26.75,7.0
66,20100,39.2,90.0,0.0,0.0,35.72,26.76,7.8
67,20400,52.0,92.2,0.0,0.0,35.732,26.762,14.4
68,20700,43.8,91.8,0.0,0.0,35.74,26.77,17.4
69,21000,47.0,91.0,0.0,0.0,35.75,26.77,8.0
70,21300,33.0,88.0,0.0,0.0,35.75,26.78,8.0
71,21600,33.0,88.0,0.0,0.0,35.75,26.78,8.0
72,21900,43.333333333333336,90.33333333333333,0.0,0.0,35.76333333333333,26.78333333333333,4.333333333333333
73,22200,43.333333333333336,90.33333333333333,0.0,0.0,35.76333333333333,26.78333333333333,4.333333333333333
74,22500,71.66666666666667,93.0,0.0,0.0,35.78333333333333,26.793333333333333,7.666666666666667
75,22800,79.0,93.0,0.0,0.0,35.79666666666667,26.8,7.666666666666667
76,23100,81.0,94.0,0.0,0.0,35.81,26.8,5.0
77,23400,56.0,92.0,0.0,0.0,35.82,26.81,3.6666666666666665
78,23700,49.5,89.5,0.0,0.0,35.8275,26.81,3.5
79,24000,52.0,91.33333333333333,0.0,0.0,35.84,26.820000000000004,8.0
80,24300,53.5,94.0,0.0,0.0,35.84,26.82,5.5
81,24600,53.5,94.0,0.0,0.0,35.84,26.82,5.5
82,24900,53.5,94.0,0.0,0.0,35.84,26.82,5.5
83,25200,53.5,94.0,0.0,0.0,35.84,26.82,5.5
84,25500,53.5,94.0,0.0,0.0,35.84,26.82,5.5
85,25800,53.5,94.0,0.0,0.0,35.84,26.82,5.5
86,26100,53.5,94.0,0.0,0.0,35.84,26.82,5.5
87,26400,53.5,94.0,0.0,0.0,35.84,26.82,5.5
88,26700,53.5,94.0,0.0,0.0,35.84,26.82,5.5
89,27000,53.5,94.0,0.0,0.0,35.84,26.82,5.5
90,27300,53.5,94.0,0.0,0.0,35.84,26.82,5.5
91,27600,53.5,94.0,0.0,0.0,35.84,26.82,5.5
92,27900,53.5,94.0,0.0,0.0,35.84,26.82,5.5
93,28200,53.5,94.0,0.0,0.0,35.84,26.82,5.5
94,28500,53.5,94.0,0.0,0.0,35.84,26.82,5.5
95,28800,27.0,88.66666666666667,0.0,0.0,35.93666666666667,26.895,4.333333333333333
96,29100,57.0,94.0,0.0,0.0,35.95,26.91,4.0
97,29400,47.5,87.0,0.0,0.0,35.97,26.925,4.5
98,29700,44.5,82.0,0.0,0.0,35.995000000000005,26.955,2.0
99,30000,56.333333333333336,89.0,0.0,0.0,36.00333333333333,26.963333333333335,8.0
100,30300,39.333333333333336,86.0,0.0,0.0,36.02666666666667,26.99,4.0
101,30600,44.75,84.0,0.0,0.0,36.042500000000004,27.01,9.5
102,30900,37.5,81.5,0.0,0.0,36.05,27.02,4.0
103,31200,41.0,83.33333333333333,0.0,0.0,36.053333333333335,27.02,5.666666666666667
