,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,21.0,81.0,0.0,0.0,35.48,26.61,1.0
21,6600,21.0,81.0,0.0,0.0,35.48,26.61,1.0
22,6900,25.5,82.0,0.0,0.0,35.48833333333334,26.61666666666667,1.1666666666666667
23,7200,25.25,82.25,0.0,0.0,35.49,26.62,6.5
24,7500,26.25,83.75,0.0,0.0,35.495000000000005,26.62,3.25
25,7800,24.333333333333332,84.0,0.0,0.0,35.50666666666666,26.63,3.0
26,8100,34.4,85.6,0.0,0.0,35.51,26.630000000000003,4.4
27,8400,37.666666666666664,82.0,0.0,0.0,35.52,26.63,4.333333333333333
28,8700,25.142857142857142,82.57142857142857,0.0,0.0,35.52,26.639999999999993,9.285714285714286
29,9000,23.75,81.25,0.0,0.0,35.53,26.64,2.25
30,9300,34.333333333333336,81.5,0.0,0.0,35.53333333333333,26.645,1.0
31,9600,20.0,80.5,0.0,0.0,35.54,26.65,1.5
32,9900,20.0,80.5,0.0,0.0,35.54,26.65,1.5
33,10200,20.0,80.5,0.0,0.0,35.54,26.65,1.5
34,10500,20.0,80.5,0.0,0.0,35.54,26.65,1.5
35,10800,20.0,80.5,0.0,0.0,35.54,26.65,1.5
36,11100,20.0,80.5,0.0,0.0,35.54,26.65,1.5
37,11400,20.0,80.5,0.0,0.0,35.54,26.65,1.5
38,11700,20.0,80.5,0.0,0.0,35.54,26.65,1.5
39,12000,20.0,80.5,0.0,0.0,35.54,26.65,1.5
40,12300,20.0,80.5,0.0,0.0,35.54,26.65,1.5
41,12600,20.0,80.5,0.0,0.0,35.54,26.65,1.5
42,12900,20.0,80.5,0.0,0.0,35.54,26.65,1.5
43,13200,20.0,80.5,0.0,0.0,35.54,26.65,1.5
44,13500,20.0,80.5,0.0,0.0,35.54,26.65,1.5
45,13800,29.0,84.75,0.0,0.0,35.6125,26.69,2.5
46,14100,28.2,85.2,0.0,0.0,35.62,26.690000000000005,2.8
47,14400,32.333333333333336,88.0,0.0,0.0,35.623333333333335,26.7,2.6666666666666665
48,14700,32.5,89.5,0.0,0.0,35.63,26.7,3.0
49,15000,33.666666666666664,88.0,0.0,0.0,35.64,26.7,6.0
50,15300,30.5,89.5,0.0,0.0,35.65,26.71,4.5
51,15600,31.333333333333332,87.5,0.0,0.0,35.65,26.710000000000004,5.166666666666667
52,15900,34.0,89.0,0.0,0.0,35.655,26.71,6.0
53,16200,25.0,89.0,0.0,0.0,35.66,26.72,3.5
54,16500,28.833333333333332,87.66666666666667,0.0,0.0,35.665,26.72,4.333333333333333
55,16800,28.5,88.0,0.0,0.0,35.67,26.73,1.0
56,17100,27.0,87.5,0.0,0.0,35.67,26.73,1.5
57,17400,42.666666666666664,90.66666666666667,0.0,0.0,35.68,26.73,1.6666666666666667
58,17700,35.4,91.0,0.0,0.0,35.68,26.73,2.6
59,18000,27.666666666666668,90.0,0.0,0.0,35.69,26.736666666666665,4.333333333333333
60,18300,23.25,89.5,0.0,0.0,35.69,26.74,3.25
61,18600,21.0,89.0,0.0,0.0,35.69,26.74,5.0
62,18900,29.0,87.0,0.0,0.0,35.7,26.74,1.0
63,19200,20.8,85.6,0.0,0.0,35.708000000000006,26.75,1.6
64,19500,13.5,84.5,0.0,0.0,35.71,26.75,1.5
65,19800,32.0,88.33333333333333,0.0,0.0,35.71333333333333,26.753333333333334,5.0
66,20100,34.0,89.0,0.0,0.0,35.72,26.76,7.0
67,20400,52.0,91.0,0.0,0.0,35.732,26.76,13.4
68,20700,46.8,91.4,0.0,0.0,35.74,26.77,14.2
69,21000,50.333333333333336,92.0,0.0,0.0,35.75,26.77,10.666666666666666
70,21300,41.333333333333336,88.66666666666667,0.0,0.0,35.75,26.78,8.0
71,21600,30.0,87.0,0.0,0.0,35.76,26.78,2.0
72,21900,47.0,90.0,0.0,0.0,35.77,26.79,10.0
73,22200,47.0,90.0,0.0,0.0,35.775000000000006,26.79,5.5
74,22500,52.333333333333336,91.0,0.0,0.0,35.78,26.790000000000003,8.0
75,22800,82.0,93.0,0.0,0.0,35.8,26.8,11.0
76,23100,74.25,94.25,0.0,0.0,35.81,26.8,5.0
77,23400,52.5,90.0,0.0,0.0,35.82,26.81,6.0
78,23700,50.333333333333336,89.33333333333333,0.0,0.0,35.83,26.81,4.333333333333333
79,24000,57.0,91.5,0.0,0.0,35.84,26.82,7.5
80,24300,52.5,93.0,0.0,0.0,35.84,26.82,4.0
81,24600,52.5,93.0,0.0,0.0,35.84,26.82,4.0
82,24900,52.5,93.0,0.0,0.0,35.84,26.82,4.0
83,25200,52.5,93.0,0.0,0.0,35.84,26.82,4.0
84,25500,52.5,93.0,0.0,0.0,35.84,26.82,4.0
85,25800,52.5,93.0,0.0,0.0,35.84,26.82,4.0
86,26100,52.5,93.0,0.0,0.0,35.84,26.82,4.0
87,26400,52.5,93.0,0.0,0.0,35.84,26.82,4.0
88,26700,52.5,93.0,0.0,0.0,35.84,26.82,4.0
89,27000,52.5,93.0,0.0,0.0,35.84,26.82,4.0
90,27300,52.5,93.0,0.0,0.0,35.84,26.82,4.0
91,27600,52.5,93.0,0.0,0.0,35.84,26.82,4.0
92,27900,52.5,93.0,0.0,0.0,35.84,26.82,4.0
93,28200,52.5,93.0,0.0,0.0,35.84,26.82,4.0
94,28500,52.5,93.0,0.0,0.0,35.84,26.82,4.0
95,28800,32.25,91.25,0.0,0.0,35.9375,26.8975,4.5
96,29100,38.0,93.0,0.0,0.0,35.94,26.9,5.0
97,29400,43.0,86.8,0.0,0.0,35.971999999999994,26.932,4.0
98,29700,36.25,82.25,0.0,0.0,35.9875,26.950000000000003,3.0
99,30000,54.333333333333336,88.66666666666667,0.0,0.0,36.00666666666666,26.96666666666667,6.666666666666667
100,30300,38.8,85.0,0.0,0.0,36.026,26.991999999999997,3.4
101,30600,43.2,85.4,0.0,0.0,36.04,27.004,8.0
102,30900,45.0,82.0,0.0,0.0,36.05,27.02,3.5
103,31200,42.0,81.5,0.0,0.0,36.055,27.0225,3.5
