,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,6300,22.0,81.625,0.0,0.0,35.48,26.610000000000007,1.25
21,6600,22.666666666666668,82.66666666666667,0.0,0.0,35.48,26.61,1.6666666666666667
22,6900,26.5,82.0,0.0,0.0,35.485,26.615000000000002,1.5
23,7200,23.2,82.4,0.0,0.0,35.49,26.619999999999997,4.8
24,7500,26.0,84.0,0.0,0.0,35.5,26.62,4.0
25,7800,37.666666666666664,84.77777777777777,0.0,0.0,35.50111111111111,26.628888888888884,3.6666666666666665
26,8100,33.25,84.75,0.0,0.0,35.51,26.63,4.0
27,8400,35.5,82.5,0.0,0.0,35.52,26.63,4.5
28,8700,31.333333333333332,83.0,0.0,0.0,35.52,26.64,4.333333333333333
29,9000,25.2,82.0,0.0,0.0,35.53,26.639999999999997,3.6
30,9300,37.0,82.0,0.0,0.0,35.53,26.65,1.0
31,9600,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
32,9900,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
33,10200,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
34,10500,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
35,10800,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
36,11100,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
37,11400,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
38,11700,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
39,12000,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
40,12300,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
41,12600,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
42,12900,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
43,13200,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
44,13500,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
45,13800,22.333333333333332,80.66666666666667,0.0,0.0,35.54,26.649999999999995,1.6666666666666667
46,14100,29.6,86.0,0.0,0.0,35.62,26.690000000000005,2.2
47,14400,32.5,88.0,0.0,0.0,35.6275,26.7,2.0
48,14700,26.0,88.0,0.0,0.0,35.63,26.7,2.0
49,15000,36.25,87.75,0.0,0.0,35.64,26.7,5.5
50,15300,30.4,88.2,0.0,0.0,35.648,26.71,4.0
51,15600,30.5,87.5,0.0,0.0,35.65,26.71,5.5
52,15900,26.0,90.0,0.0,0.0,35.66,26.72,4.5
53,16200,28.666666666666668,88.66666666666667,0.0,0.0,35.66,26.72,3.6666666666666665
54,16500,26.5,88.5,0.0,0.0,35.665,26.72,5.0
55,16800,23.25,87.25,0.0,0.0,35.67,26.73,1.5
56,17100,22.0,87.0,0.0,0.0,35.67,26.73,2.0
57,17400,39.0,90.0,0.0,0.0,35.68,26.73,2.5
58,17700,32.75,91.0,0.0,0.0,35.68,26.73,2.5
59,18000,27.333333333333332,91.33333333333333,0.0,0.0,35.69,26.74,4.666666666666667
60,18300,23.0,89.0,0.0,0.0,35.69,26.74,2.0
61,18600,20.333333333333332,88.66666666666667,0.0,0.0,35.693333333333335,26.74,4.333333333333333
62,18900,24.666666666666668,86.66666666666667,0.0,0.0,35.7,26.74333333333333,1.3333333333333333
63,19200,21.0,85.75,0.0,0.0,35.705000000000005,26.75,1.75
64,19500,15.0,84.66666666666667,0.0,0.0,35.71,26.75,1.3333333333333333
65,19800,28.0,87.0,0.0,0.0,35.71,26.75,4.0
66,20100,47.5,90.5,0.0,0.0,35.724999999999994,26.76,14.0
67,20400,49.5,90.83333333333333,0.0,0.0,35.733333333333334,26.763333333333335,17.166666666666668
68,20700,47.333333333333336,92.33333333333333,0.0,0.0,35.74,26.77,17.333333333333332
69,21000,52.0,91.6,0.0,0.0,35.748000000000005,26.77,10.0
70,21300,38.5,90.0,0.0,0.0,35.75,26.78,8.5
71,21600,32.333333333333336,88.0,0.0,0.0,35.76,26.78,3.6666666666666665
72,21900,46.0,90.0,0.0,0.0,35.77,26.79,6.0
73,22200,45.0,89.0,0.0,0.0,35.78,26.79,9.0
74,22500,44.0,91.0,0.0,0.0,35.78,26.79,9.0
75,22800,71.0,91.0,0.0,0.0,35.8,26.8,5.0
76,23100,83.0,94.0,0.0,0.0,35.81,26.8,5.0
77,23400,50.0,89.66666666666667,0.0,0.0,35.82,26.81,6.666666666666667
78,23700,42.833333333333336,88.83333333333333,0.0,0.0,35.82999999999999,26.81,5.833333333333333
79,24000,55.5,93.0,0.0,0.0,35.84,26.814999999999998,6.5
80,24300,53.0,93.0,0.0,0.0,35.85,26.82,5.0
81,24600,53.0,93.0,0.0,0.0,35.85,26.82,5.0
82,24900,53.0,93.0,0.0,0.0,35.85,26.82,5.0
83,25200,53.0,93.0,0.0,0.0,35.85,26.82,5.0
84,25500,53.0,93.0,0.0,0.0,35.85,26.82,5.0
85,25800,53.0,93.0,0.0,0.0,35.85,26.82,5.0
86,26100,53.0,93.0,0.0,0.0,35.85,26.82,5.0
87,26400,53.0,93.0,0.0,0.0,35.85,26.82,5.0
88,26700,53.0,93.0,0.0,0.0,35.85,26.82,5.0
89,27000,53.0,93.0,0.0,0.0,35.85,26.82,5.0
90,27300,53.0,93.0,0.0,0.0,35.85,26.82,5.0
91,27600,53.0,93.0,0.0,0.0,35.85,26.82,5.0
92,27900,53.0,93.0,0.0,0.0,35.85,26.82,5.0
93,28200,53.0,93.0,0.0,0.0,35.85,26.82,5.0
94,28500,53.0,93.0,0.0,0.0,35.85,26.82,5.0
95,28800,28.5,89.5,0.0,0.0,35.935,26.895,3.5
96,29100,56.0,92.5,0.0,0.0,35.945,26.904999999999998,4.75
