,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,22.0,93.25,0.0,0.0,41.94,31.64,3.5
7,2400,16.2,91.0,0.0,0.0,41.94,31.639999999999997,4.2
8,2700,18.0,92.0,0.0,0.0,41.95,31.65,17.0
9,3000,21.5,92.0,0.0,0.0,41.95,31.65,15.5
10,3300,29.0,94.5,0.0,0.0,41.96,31.65,6.0
11,3600,25.5,94.0,0.0,0.0,41.96,31.66,3.0
12,3900,27.0,96.0,0.0,0.0,41.965,31.66,3.5
13,4200,20.285714285714285,92.71428571428571,0.0,0.0,41.96999999999999,31.66142857142857,2.857142857142857
14,4500,18.0,91.5,0.0,0.0,41.97,31.67,3.0
15,4800,33.57142857142857,95.14285714285714,0.0,0.0,41.97714285714285,31.67000000000001,3.142857142857143
16,5100,31.75,85.5,0.0,0.0,41.98,31.675000000000004,4.25
17,5400,32.666666666666664,85.0,0.0,0.0,41.99,31.679999999999996,4.666666666666667
18,5700,35.666666666666664,86.33333333333333,0.0,0.0,41.99666666666667,31.686666666666667,5.0
19,6000,33.0,85.0,0.0,0.0,42.0,31.69,5.0
20,6300,26.666666666666668,83.0,0.0,0.0,42.00666666666666,31.69,3.3333333333333335
21,6600,29.75,85.0,0.0,0.0,42.01,31.6975,3.5
22,6900,30.0,85.33333333333333,0.0,0.0,42.01666666666667,31.7,3.0
23,7200,31.6,84.0,0.0,0.0,42.02,31.708000000000006,9.0
24,7500,34.75,86.75,0.0,0.0,42.025000000000006,31.71,3.75
25,7800,24.75,85.875,0.0,0.0,42.03,31.712500000000002,3.375
26,8100,31.0,86.0,0.0,0.0,42.035,31.72,4.0
27,8400,31.0,86.0,0.0,0.0,42.035,31.72,4.0
28,8700,31.0,86.0,0.0,0.0,42.035,31.72,4.0
29,9000,31.0,86.0,0.0,0.0,42.035,31.72,4.0
30,9300,31.0,86.0,0.0,0.0,42.035,31.72,4.0
31,9600,26.5,82.5,0.0,0.0,42.06,31.733333333333334,4.166666666666667
32,9900,26.333333333333332,82.66666666666667,0.0,0.0,42.07,31.74,3.6666666666666665
33,10200,22.333333333333332,81.33333333333333,0.0,0.0,42.07,31.74,3.0
34,10500,22.333333333333332,81.33333333333333,0.0,0.0,42.07,31.74,3.0
35,10800,22.333333333333332,81.33333333333333,0.0,0.0,42.07,31.74,3.0
36,11100,22.333333333333332,81.33333333333333,0.0,0.0,42.07,31.74,3.0
37,11400,22.333333333333332,81.33333333333333,0.0,0.0,42.07,31.74,3.0
38,11700,22.333333333333332,81.33333333333333,0.0,0.0,42.07,31.74,3.0
39,12000,22.333333333333332,81.33333333333333,0.0,0.0,42.07,31.74,3.0
40,12300,22.333333333333332,81.33333333333333,0.0,0.0,42.07,31.74,3.0
41,12600,22.333333333333332,81.33333333333333,0.0,0.0,42.07,31.74,3.0
42,12900,22.333333333333332,81.33333333333333,0.0,0.0,42.07,31.74,3.0
43,13200,22.333333333333332,81.33333333333333,0.0,0.0,42.07,31.74,3.0
44,13500,22.333333333333332,81.33333333333333,0.0,0.0,42.07,31.74,3.0
45,13800,28.0,85.5,0.0,0.0,42.14,31.78,2.75
46,14100,28.75,87.5,0.0,0.0,42.1475,31.78,4.25
47,14400,33.0,90.33333333333333,0.0,0.0,42.15333333333333,31.78,4.0
48,14700,35.0,88.0,0.0,0.0,42.16,31.79,6.0
49,15000,36.0,87.66666666666667,0.0,0.0,42.17,31.790000000000003,6.0
50,15300,47.0,88.0,0.0,0.0,42.17,31.79,9.0
51,15600,37.333333333333336,89.66666666666667,0.0,0.0,42.18,31.8,4.333333333333333
52,15900,30.5,90.0,0.0,0.0,42.19,31.801666666666666,4.666666666666667
53,16200,24.666666666666668,89.33333333333333,0.0,0.0,42.19,31.81,4.0
54,16500,29.333333333333332,89.0,0.0,0.0,42.2,31.81,4.333333333333333
55,16800,28.0,90.0,0.0,0.0,42.2,31.82,3.0
56,17100,26.5,89.5,0.0,0.0,42.21,31.819999999999997,3.3333333333333335
57,17400,42.666666666666664,93.0,0.0,0.0,42.21333333333333,31.820000000000004,3.3333333333333335
58,17700,42.666666666666664,93.0,0.0,0.0,42.21333333333333,31.820000000000004,3.3333333333333335
59,18000,42.666666666666664,93.0,0.0,0.0,42.21333333333333,31.820000000000004,3.3333333333333335
60,18300,42.666666666666664,93.0,0.0,0.0,42.21333333333333,31.820000000000004,3.3333333333333335
61,18600,42.666666666666664,93.0,0.0,0.0,42.21333333333333,31.820000000000004,3.3333333333333335
62,18900,42.666666666666664,93.0,0.0,0.0,42.21333333333333,31.820000000000004,3.3333333333333335
63,19200,42.666666666666664,93.0,0.0,0.0,42.21333333333333,31.820000000000004,3.3333333333333335
64,19500,42.666666666666664,93.0,0.0,0.0,42.21333333333333,31.820000000000004,3.3333333333333335
65,19800,42.666666666666664,93.0,0.0,0.0,42.21333333333333,31.820000000000004,3.3333333333333335
66,20100,42.666666666666664,93.0,0.0,0.0,42.21333333333333,31.820000000000004,3.3333333333333335
67,20400,42.666666666666664,93.0,0.0,0.0,42.21333333333333,31.820000000000004,3.3333333333333335
68,20700,62.5,95.5,0.0,0.0,42.29,31.87,15.0
69,21000,51.333333333333336,93.33333333333333,0.0,0.0,42.3,31.88,14.666666666666666
70,21300,51.333333333333336,93.33333333333333,0.0,0.0,42.3,31.88,14.666666666666666
71,21600,34.0,90.0,0.0,0.0,42.31,31.89,4.0
72,21900,47.0,89.0,0.0,0.0,42.317499999999995,31.8925,4.5
73,22200,38.0,89.0,0.0,0.0,42.33,31.9,5.0
74,22500,64.0,93.25,0.0,0.0,42.34,31.904999999999998,6.5
75,22800,78.875,96.25,0.0,0.0,42.353750000000005,31.91,8.75
76,23100,66.28571428571429,94.28571428571429,0.0,0.0,42.37571428571429,31.91571428571429,6.571428571428571
77,23400,57.666666666666664,93.66666666666667,0.0,0.0,42.38333333333333,31.92,10.0
78,23700,57.666666666666664,93.66666666666667,0.0,0.0,42.38333333333333,31.92,10.0
79,24000,70.33333333333333,95.16666666666667,0.0,0.0,42.4,31.930000000000003,13.5
80,24300,57.0,91.0,0.0,0.0,42.41,31.93,12.0
81,24600,47.0,92.0,0.0,0.0,42.42,31.94,8.5
82,24900,53.5,92.0,0.0,0.0,42.425,31.945,7.0
83,25200,48.5,90.25,0.0,0.0,42.435,31.9525,15.5
84,25500,48.5,90.25,0.0,0.0,42.435,31.9525,15.5
85,25800,55.2,89.6,0.0,0.0,42.452000000000005,31.968,16.0
86,26100,56.0,92.0,0.0,0.0,42.46,31.98,16.666666666666668
87,26400,57.75,94.0,0.0,0.0,42.47,31.98,7.75
88,26700,37.0,90.0,0.0,0.0,42.48,31.99,8.0
89,27000,47.333333333333336,95.0,0.0,0.0,42.48,31.99,7.0
90,27300,52.0,95.0,0.0,0.0,42.49,31.99,5.0
91,27600,36.0,92.0,0.0,0.0,42.49,32.0,4.0
92,27900,44.0,96.0,0.0,0.0,42.5,32.0,4.0
93,28200,44.0,96.0,0.0,0.0,42.5,32.0,4.0
