,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,20.0,96.0,0.0,0.0,41.94,31.64,4.0
6,2100,22.0,94.0,0.0,0.0,41.94,31.64,3.0
7,2400,16.0,91.0,0.0,0.0,41.94,31.64,3.0
8,2700,29.0,95.0,0.0,0.0,41.95,31.649999999999995,4.333333333333333
9,3000,27.25,92.5,0.0,0.0,41.95,31.65,14.75
10,3300,26.666666666666668,94.33333333333333,0.0,0.0,41.95666666666667,31.649999999999995,7.666666666666667
11,3600,23.0,94.0,0.0,0.0,41.96,31.66,3.0
12,3900,27.333333333333332,95.66666666666667,0.0,0.0,41.97,31.66,3.0
13,4200,23.666666666666668,93.5,0.0,0.0,41.97,31.663333333333338,3.0
14,4500,16.25,91.0,0.0,0.0,41.97,31.67,3.0
15,4800,35.5,94.0,0.0,0.0,41.974999999999994,31.67,3.0
16,5100,39.166666666666664,89.83333333333333,0.0,0.0,41.98,31.673333333333336,4.5
17,5400,35.333333333333336,86.0,0.0,0.0,41.99,31.679999999999996,4.333333333333333
18,5700,37.0,86.5,0.0,0.0,41.9925,31.682499999999997,5.0
19,6000,32.0,84.6,0.0,0.0,42.0,31.690000000000005,3.4
20,6300,27.0,84.5,0.0,0.0,42.0025,31.69,3.75
21,6600,27.75,85.25,0.0,0.0,42.01,31.6975,3.25
22,6900,27.25,84.0,0.0,0.0,42.02,31.7,3.25
23,7200,27.0,85.0,0.0,0.0,42.02,31.71,9.0
24,7500,25.0,87.0,0.0,0.0,42.025000000000006,31.71,3.5
25,7800,25.0,87.0,0.0,0.0,42.025000000000006,31.71,3.5
26,8100,37.5,86.5,0.0,0.0,42.04,31.72,4.0
27,8400,36.0,86.0,0.0,0.0,42.04,31.72,3.0
28,8700,36.0,86.0,0.0,0.0,42.04,31.72,3.0
29,9000,36.0,86.0,0.0,0.0,42.04,31.72,3.0
30,9300,36.0,86.0,0.0,0.0,42.04,31.72,3.0
31,9600,34.0,83.0,0.0,0.0,42.06,31.73,5.0
32,9900,23.5,82.5,0.0,0.0,42.07,31.74,4.0
33,10200,24.5,81.5,0.0,0.0,42.07,31.74,3.0
34,10500,24.5,81.5,0.0,0.0,42.07,31.74,3.0
35,10800,24.5,81.5,0.0,0.0,42.07,31.74,3.0
36,11100,24.5,81.5,0.0,0.0,42.07,31.74,3.0
37,11400,24.5,81.5,0.0,0.0,42.07,31.74,3.0
38,11700,24.5,81.5,0.0,0.0,42.07,31.74,3.0
39,12000,24.5,81.5,0.0,0.0,42.07,31.74,3.0
40,12300,24.5,81.5,0.0,0.0,42.07,31.74,3.0
41,12600,24.5,81.5,0.0,0.0,42.07,31.74,3.0
42,12900,24.5,81.5,0.0,0.0,42.07,31.74,3.0
43,13200,24.5,81.5,0.0,0.0,42.07,31.74,3.0
44,13500,24.5,81.5,0.0,0.0,42.07,31.74,3.0
45,13800,27.4,86.2,0.0,0.0,42.14,31.78,2.8
46,14100,28.5,88.0,0.0,0.0,42.1425,31.78,3.25
47,14400,37.0,89.5,0.0,0.0,42.155,31.785,4.5
48,14700,39.0,89.0,0.0,0.0,42.16,31.79,8.0
49,15000,42.5,88.25,0.0,0.0,42.167500000000004,31.79,6.5
50,15300,44.75,90.0,0.0,0.0,42.1775,31.7975,5.75
51,15600,32.0,89.33333333333333,0.0,0.0,42.18666666666667,31.8,6.333333333333333
52,15900,30.0,89.5,0.0,0.0,42.19,31.805,6.5
53,16200,28.25,89.0,0.0,0.0,42.192499999999995,31.81,4.0
54,16500,23.0,88.33333333333333,0.0,0.0,42.2,31.81,4.0
55,16800,27.0,90.0,0.0,0.0,42.20333333333334,31.816666666666663,3.0
56,17100,24.0,90.0,0.0,0.0,42.21,31.82,3.0
57,17400,31.0,91.0,0.0,0.0,42.215,31.82,4.0
58,17700,31.0,91.0,0.0,0.0,42.215,31.82,4.0
59,18000,31.0,91.0,0.0,0.0,42.215,31.82,4.0
60,18300,31.0,91.0,0.0,0.0,42.215,31.82,4.0
61,18600,31.0,91.0,0.0,0.0,42.215,31.82,4.0
62,18900,31.0,91.0,0.0,0.0,42.215,31.82,4.0
63,19200,31.0,91.0,0.0,0.0,42.215,31.82,4.0
64,19500,31.0,91.0,0.0,0.0,42.215,31.82,4.0
65,19800,31.0,91.0,0.0,0.0,42.215,31.82,4.0
66,20100,31.0,91.0,0.0,0.0,42.215,31.82,4.0
67,20400,31.0,91.0,0.0,0.0,42.215,31.82,4.0
68,20700,48.5,93.0,0.0,0.0,42.3,31.88,12.5
69,21000,56.75,93.75,0.0,0.0,42.3,31.88,13.25
70,21300,33.25,89.0,0.0,0.0,42.31,31.89,4.5
71,21600,35.5,91.0,0.0,0.0,42.31,31.89,4.0
72,21900,45.333333333333336,89.33333333333333,0.0,0.0,42.31666666666666,31.893333333333334,5.0
73,22200,46.4,90.0,0.0,0.0,42.326,31.9,7.8
74,22500,62.666666666666664,92.0,0.0,0.0,42.333333333333336,31.903333333333332,6.666666666666667
75,22800,78.0,96.0,0.0,0.0,42.35,31.91,9.0
76,23100,60.333333333333336,93.33333333333333,0.0,0.0,42.373333333333335,31.92,9.333333333333334
77,23400,63.5,95.5,0.0,0.0,42.385000000000005,31.92,10.5
78,23700,54.25,94.5,0.0,0.0,42.39,31.925000000000004,10.0
79,24000,65.25,93.5,0.0,0.0,42.4,31.93,9.75
80,24300,58.25,92.5,0.0,0.0,42.41,31.94,8.75
81,24600,46.5,91.75,0.0,0.0,42.417500000000004,31.94,8.0
82,24900,56.666666666666664,93.66666666666667,0.0,0.0,42.42666666666667,31.94666666666667,6.333333333333333
83,25200,41.0,88.0,0.0,0.0,42.44,31.96,11.0
84,25500,54.0,90.5,0.0,0.0,42.44,31.96,15.0
85,25800,59.666666666666664,89.66666666666667,0.0,0.0,42.45333333333334,31.97,12.0
86,26100,59.4,90.4,0.0,0.0,42.46,31.971999999999998,18.2
87,26400,48.333333333333336,93.66666666666667,0.0,0.0,42.47,31.98,9.666666666666666
88,26700,39.5,90.5,0.0,0.0,42.47,31.985,14.0
89,27000,50.666666666666664,94.33333333333333,0.0,0.0,42.48,31.99,7.333333333333333
90,27300,43.0,92.0,0.0,0.0,42.49,31.99,5.0
91,27600,41.5,92.0,0.0,0.0,42.49,32.0,3.5
92,27900,38.25,92.5,0.0,0.0,42.5,32.00749999999999,3.5
93,28200,38.25,92.5,0.0,0.0,42.5,32.00749999999999,3.5
94,28500,38.25,92.5,0.0,0.0,42.5,32.00749999999999,3.5
95,28800,38.25,92.5,0.0,0.0,42.5,32.00749999999999,3.5
96,29100,38.25,92.5,0.0,0.0,42.5,32.00749999999999,3.5
97,29400,38.25,92.5,0.0,0.0,42.5,32.00749999999999,3.5
98,29700,38.25,92.5,0.0,0.0,42.5,32.00749999999999,3.5
99,30000,38.25,92.5,0.0,0.0,42.5,32.00749999999999,3.5
100,30300,38.25,92.5,0.0,0.0,42.5,32.00749999999999,3.5
101,30600,38.25,92.5,0.0,0.0,42.5,32.00749999999999,3.5
102,30900,38.25,92.5,0.0,0.0,42.5,32.00749999999999,3.5
