,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,25.0,96.0,0.0,0.0,41.94,31.64,4.0
6,2100,18.0,92.0,0.0,0.0,41.94,31.64,4.0
7,2400,22.333333333333332,91.0,0.0,0.0,41.94,31.64,3.0
8,2700,17.0,93.0,0.0,0.0,41.95,31.65,17.0
9,3000,22.0,93.0,0.0,0.0,41.95,31.65,15.0
10,3300,26.0,94.0,0.0,0.0,41.96,31.653999999999996,4.2
11,3600,20.0,93.5,0.0,0.0,41.96,31.66,3.0
12,3900,24.833333333333332,96.0,0.0,0.0,41.96333333333333,31.66,2.6666666666666665
13,4200,20.833333333333332,93.16666666666667,0.0,0.0,41.97,31.665000000000003,2.5
14,4500,16.4,91.0,0.0,0.0,41.97,31.670000000000005,3.0
15,4800,37.333333333333336,94.33333333333333,0.0,0.0,41.97666666666666,31.67,2.6666666666666665
16,5100,36.0,86.66666666666667,0.0,0.0,41.98,31.673333333333336,4.666666666666667
17,5400,34.333333333333336,85.66666666666667,0.0,0.0,41.99,31.679999999999996,4.666666666666667
18,5700,42.333333333333336,87.0,0.0,0.0,41.99,31.679999999999996,3.6666666666666665
19,6000,32.5,85.0,0.0,0.0,42.0,31.69,3.25
20,6300,26.5,83.0,0.0,0.0,42.0,31.69,3.0
21,6600,29.0,88.0,0.0,0.0,42.01,31.7,5.0
22,6900,32.666666666666664,86.0,0.0,0.0,42.01666666666667,31.7,3.3333333333333335
23,7200,23.0,84.6,0.0,0.0,42.02,31.706,6.4
24,7500,32.0,88.0,0.0,0.0,42.0275,31.71,3.5
25,7800,14.0,84.0,0.0,0.0,42.03,31.71,3.0
26,8100,33.0,86.33333333333333,0.0,0.0,42.03666666666666,31.72,6.0
27,8400,40.0,86.75,0.0,0.0,42.04,31.72,3.5
28,8700,40.0,86.75,0.0,0.0,42.04,31.72,3.5
29,9000,40.0,86.75,0.0,0.0,42.04,31.72,3.5
30,9300,40.0,86.75,0.0,0.0,42.04,31.72,3.5
31,9600,24.5,82.5,0.0,0.0,42.06,31.73,5.0
32,9900,24.5,82.0,0.0,0.0,42.07,31.74,3.0
33,10200,17.5,81.0,0.0,0.0,42.07,31.74,3.0
34,10500,17.5,81.0,0.0,0.0,42.07,31.74,3.0
35,10800,17.5,81.0,0.0,0.0,42.07,31.74,3.0
36,11100,17.5,81.0,0.0,0.0,42.07,31.74,3.0
37,11400,17.5,81.0,0.0,0.0,42.07,31.74,3.0
38,11700,17.5,81.0,0.0,0.0,42.07,31.74,3.0
39,12000,17.5,81.0,0.0,0.0,42.07,31.74,3.0
40,12300,17.5,81.0,0.0,0.0,42.07,31.74,3.0
41,12600,17.5,81.0,0.0,0.0,42.07,31.74,3.0
42,12900,17.5,81.0,0.0,0.0,42.07,31.74,3.0
43,13200,17.5,81.0,0.0,0.0,42.07,31.74,3.0
44,13500,17.5,81.0,0.0,0.0,42.07,31.74,3.0
45,13800,28.0,84.0,0.0,0.0,42.14,31.78,3.0
46,14100,29.6,87.6,0.0,0.0,42.144,31.78,4.2
47,14400,32.5,90.0,0.0,0.0,42.155,31.784999999999997,3.75
48,14700,33.333333333333336,89.0,0.0,0.0,42.16,31.790000000000003,4.666666666666667
49,15000,29.0,87.0,0.0,0.0,42.17,31.79,6.0
50,15300,36.2,90.0,0.0,0.0,42.178000000000004,31.8,5.8
51,15600,34.0,89.33333333333333,0.0,0.0,42.18,31.8,4.0
52,15900,27.333333333333332,90.0,0.0,0.0,42.19,31.80333333333333,5.666666666666667
53,16200,23.5,89.5,0.0,0.0,42.19,31.81,4.0
54,16500,30.0,89.5,0.0,0.0,42.2,31.81,4.75
55,16800,25.0,89.5,0.0,0.0,42.205,31.82,3.0
56,17100,25.333333333333332,88.66666666666667,0.0,0.0,42.21,31.820000000000004,2.6666666666666665
57,17400,39.0,93.0,0.0,0.0,42.21,31.82,3.0
58,17700,39.0,93.0,0.0,0.0,42.21,31.82,3.0
59,18000,39.0,93.0,0.0,0.0,42.21,31.82,3.0
60,18300,39.0,93.0,0.0,0.0,42.21,31.82,3.0
61,18600,39.0,93.0,0.0,0.0,42.21,31.82,3.0
62,18900,39.0,93.0,0.0,0.0,42.21,31.82,3.0
63,19200,39.0,93.0,0.0,0.0,42.21,31.82,3.0
64,19500,39.0,93.0,0.0,0.0,42.21,31.82,3.0
65,19800,39.0,93.0,0.0,0.0,42.21,31.82,3.0
66,20100,39.0,93.0,0.0,0.0,42.21,31.82,3.0
67,20400,39.0,93.0,0.0,0.0,42.21,31.82,3.0
68,20700,61.0,97.0,0.0,0.0,42.29,31.87,19.0
69,21000,50.0,94.5,0.0,0.0,42.3,31.88,17.0
70,21300,40.5,91.75,0.0,0.0,42.307500000000005,31.8875,5.0
71,21600,33.5,88.0,0.0,0.0,42.31,31.89,3.5
72,21900,45.0,88.66666666666667,0.0,0.0,42.31666666666666,31.893333333333334,4.333333333333333
73,22200,43.666666666666664,90.66666666666667,0.0,0.0,42.33,31.899999999999995,7.0
74,22500,68.0,93.0,0.0,0.0,42.337500000000006,31.904999999999998,7.5
75,22800,75.0,97.0,0.0,0.0,42.35,31.91,6.0
76,23100,55.5,93.5,0.0,0.0,42.38,31.92,7.5
77,23400,65.16666666666667,93.5,0.0,0.0,42.38166666666667,31.920000000000005,8.0
78,23700,48.0,93.0,0.0,0.0,42.39,31.93,7.0
79,24000,64.5,94.0,0.0,0.0,42.4,31.93,5.5
80,24300,51.5,92.5,0.0,0.0,42.41,31.94,8.5
81,24600,45.0,91.0,0.0,0.0,42.415,31.94,7.25
82,24900,57.25,92.75,0.0,0.0,42.425000000000004,31.942500000000003,7.5
83,25200,50.333333333333336,90.66666666666667,0.0,0.0,42.43333333333333,31.95,17.333333333333332
84,25500,50.333333333333336,90.66666666666667,0.0,0.0,42.43333333333333,31.95,17.333333333333332
85,25800,54.0,90.0,0.0,0.0,42.45333333333334,31.96666666666667,18.0
86,26100,60.4,90.4,0.0,0.0,42.46,31.974,17.8
87,26400,51.666666666666664,93.0,0.0,0.0,42.47,31.98,10.333333333333334
88,26700,40.0,90.75,0.0,0.0,42.474999999999994,31.985,6.25
89,27000,48.0,95.0,0.0,0.0,42.48,31.99,5.0
90,27300,47.0,95.0,0.0,0.0,42.48,31.99,6.0
91,27600,42.25,93.75,0.0,0.0,42.49,32.0,3.25
92,27900,43.0,94.66666666666667,0.0,0.0,42.5,32.00333333333333,3.6666666666666665
93,28200,43.0,94.66666666666667,0.0,0.0,42.5,32.00333333333333,3.6666666666666665
94,28500,43.0,94.66666666666667,0.0,0.0,42.5,32.00333333333333,3.6666666666666665
95,28800,43.0,94.66666666666667,0.0,0.0,42.5,32.00333333333333,3.6666666666666665
96,29100,43.0,94.66666666666667,0.0,0.0,42.5,32.00333333333333,3.6666666666666665
97,29400,43.0,94.66666666666667,0.0,0.0,42.5,32.00333333333333,3.6666666666666665
98,29700,43.0,94.66666666666667,0.0,0.0,42.5,32.00333333333333,3.6666666666666665
99,30000,43.0,94.66666666666667,0.0,0.0,42.5,32.00333333333333,3.6666666666666665
