,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,9.0,82.0,0.0,0.0,33.33,24.58,1.5
1,600,21.333333333333332,87.33333333333333,0.0,0.0,33.33,24.59,1.6666666666666667
2,900,19.0,85.66666666666667,0.0,0.0,33.34,24.59,1.6666666666666667
3,1200,23.333333333333332,85.33333333333333,0.0,0.0,33.343333333333334,24.59,1.0
4,1500,20.5,87.0,0.0,0.0,33.35,24.6,1.0
5,1800,20.0,89.0,0.0,0.0,33.36,24.6,1.0
6,2100,18.5,87.75,0.0,0.0,33.36,24.607499999999998,1.5
7,2400,15.428571428571429,85.85714285714286,0.0,0.0,33.37,24.609999999999996,1.5714285714285714
8,2700,16.0,87.6,0.0,0.0,33.372,24.61,1.0
9,3000,17.4,87.6,0.0,0.0,33.38,24.612000000000002,1.0
10,3300,22.4,88.0,0.0,0.0,33.384,24.62,1.4
11,3600,16.2,88.6,0.0,0.0,33.39,24.62,1.0
12,3900,21.666666666666668,90.33333333333333,0.0,0.0,33.39,24.62,1.0
13,4200,21.666666666666668,90.33333333333333,0.0,0.0,33.39,24.62,1.0
14,4500,13.666666666666666,86.33333333333333,0.0,0.0,33.4,24.63,1.6666666666666667
15,4800,32.0,89.0,0.0,0.0,33.41,24.63,1.0
16,5100,28.25,82.0,0.0,0.0,33.42,24.64,1.0
17,5400,33.5,83.75,0.0,0.0,33.42,24.64,2.25
18,5700,37.666666666666664,83.0,0.0,0.0,33.43,24.646666666666665,1.0
19,6000,28.0,81.5,0.0,0.0,33.43,24.65,2.25
20,6300,20.571428571428573,79.14285714285714,0.0,0.0,33.44,24.650000000000002,1.8571428571428572
21,6600,28.0,80.5,0.0,0.0,33.44,24.65,2.5
22,6900,20.0,80.0,0.0,0.0,33.45,24.66,1.0
23,7200,18.5,79.5,0.0,0.0,33.45,24.66,4.0
24,7500,23.0,82.0,0.0,0.0,33.45,24.66,2.0
25,7800,27.5,80.5,0.0,0.0,33.46,24.66,2.0
26,8100,27.5,80.5,0.0,0.0,33.46,24.66,2.0
27,8400,27.5,80.5,0.0,0.0,33.46,24.66,2.0
28,8700,27.5,80.5,0.0,0.0,33.46,24.66,2.0
29,9000,27.5,80.5,0.0,0.0,33.46,24.66,2.0
30,9300,27.5,80.5,0.0,0.0,33.46,24.66,2.0
31,9600,27.5,80.5,0.0,0.0,33.46,24.66,2.0
32,9900,27.5,80.5,0.0,0.0,33.46,24.66,2.0
33,10200,27.5,80.5,0.0,0.0,33.46,24.66,2.0
34,10500,27.5,80.5,0.0,0.0,33.46,24.66,2.0
35,10800,27.5,80.5,0.0,0.0,33.46,24.66,2.0
36,11100,27.5,80.5,0.0,0.0,33.46,24.66,2.0
37,11400,27.5,80.5,0.0,0.0,33.46,24.66,2.0
38,11700,27.5,80.5,0.0,0.0,33.46,24.66,2.0
39,12000,27.5,80.5,0.0,0.0,33.46,24.66,2.0
