,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,8.666666666666666,82.0,0.0,0.0,33.33,24.58,7.666666666666667
1,600,17.666666666666668,85.33333333333333,0.0,0.0,33.333333333333336,24.59,1.5
2,900,18.4,84.8,0.0,0.0,33.34,24.59,1.2
3,1200,28.0,89.0,0.0,0.0,33.35,24.6,2.0
4,1500,23.5,88.5,0.0,0.0,33.35,24.6,1.0
5,1800,20.5,89.75,0.0,0.0,33.36,24.6,1.25
6,2100,21.333333333333332,88.16666666666667,0.0,0.0,33.36000000000001,24.60833333333333,1.3333333333333333
7,2400,16.142857142857142,85.57142857142857,0.0,0.0,33.37,24.609999999999996,1.2857142857142858
8,2700,17.0,88.66666666666667,0.0,0.0,33.373333333333335,24.61,1.3333333333333333
9,3000,20.0,87.5,0.0,0.0,33.38,24.615000000000002,1.0
10,3300,18.0,87.5,0.0,0.0,33.39,24.62,1.5
11,3600,16.0,88.5,0.0,0.0,33.39,24.62,1.0
12,3900,16.0,88.5,0.0,0.0,33.39,24.62,1.0
13,4200,17.6,88.2,0.0,0.0,33.4,24.627999999999997,1.0
14,4500,13.5,86.75,0.0,0.0,33.4,24.63,1.25
15,4800,33.0,90.66666666666667,0.0,0.0,33.41,24.63,1.3333333333333333
16,5100,33.0,90.66666666666667,0.0,0.0,33.41,24.63,1.3333333333333333
17,5400,33.25,81.75,0.0,0.0,33.42,24.64,2.0
18,5700,35.333333333333336,82.66666666666667,0.0,0.0,33.42666666666667,24.643333333333334,1.3333333333333333
19,6000,27.6,82.0,0.0,0.0,33.432,24.65,2.6
20,6300,25.0,80.0,0.0,0.0,33.44,24.649999999999995,1.3333333333333333
21,6600,25.0,80.0,0.0,0.0,33.44,24.649999999999995,1.3333333333333333
22,6900,27.0,81.0,0.0,0.0,33.44,24.66,1.0
23,7200,23.5,80.0,0.0,0.0,33.45,24.66,6.0
24,7500,25.5,81.75,0.0,0.0,33.4575,24.66,5.25
25,7800,21.4,80.6,0.0,0.0,33.46,24.668,2.0
26,8100,21.4,80.6,0.0,0.0,33.46,24.668,2.0
27,8400,21.4,80.6,0.0,0.0,33.46,24.668,2.0
28,8700,21.4,80.6,0.0,0.0,33.46,24.668,2.0
29,9000,21.4,80.6,0.0,0.0,33.46,24.668,2.0
30,9300,21.4,80.6,0.0,0.0,33.46,24.668,2.0
31,9600,21.4,80.6,0.0,0.0,33.46,24.668,2.0
32,9900,21.4,80.6,0.0,0.0,33.46,24.668,2.0
33,10200,21.4,80.6,0.0,0.0,33.46,24.668,2.0
34,10500,21.4,80.6,0.0,0.0,33.46,24.668,2.0
35,10800,21.4,80.6,0.0,0.0,33.46,24.668,2.0
36,11100,21.4,80.6,0.0,0.0,33.46,24.668,2.0
37,11400,21.4,80.6,0.0,0.0,33.46,24.668,2.0
38,11700,21.4,80.6,0.0,0.0,33.46,24.668,2.0
39,12000,21.4,80.6,0.0,0.0,33.46,24.668,2.0
