,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,29.666666666666668,81.66666666666667,0.0,0.0,38.84,31.49,3.6666666666666665
13,4200,20.0,79.0,0.0,0.0,38.84,31.5,3.0
14,4500,15.4,75.4,0.0,0.0,38.848,31.5,3.2
15,4800,24.25,77.75,0.0,0.0,38.85,31.5,3.5
16,5100,35.0,84.25,0.0,0.0,38.85,31.5,7.25
17,5400,37.125,81.0,0.0,0.0,38.86000000000001,31.50875,4.5
18,5700,39.333333333333336,82.0,0.0,0.0,38.86333333333334,31.51,4.333333333333333
19,6000,31.0,80.5,0.0,0.0,38.87,31.51,3.5
20,6300,26.333333333333332,78.0,0.0,0.0,38.87,31.52,3.6666666666666665
21,6600,26.0,80.0,0.0,0.0,38.88,31.52,4.0
22,6900,29.5,82.5,0.0,0.0,38.88,31.52,5.0
23,7200,28.5,83.5,0.0,0.0,38.88,31.52,4.0
24,7500,34.5,84.0,0.0,0.0,38.89,31.53,5.0
25,7800,28.0,85.5,0.0,0.0,38.9,31.53,3.5
26,8100,32.0,87.0,0.0,0.0,38.9,31.540000000000003,3.0
27,8400,28.333333333333332,82.0,0.0,0.0,38.906666666666666,31.540000000000003,3.6666666666666665
28,8700,30.333333333333332,82.66666666666667,0.0,0.0,38.91,31.540000000000003,16.0
29,9000,28.666666666666668,82.0,0.0,0.0,38.91,31.543333333333333,6.666666666666667
30,9300,33.166666666666664,80.83333333333333,0.0,0.0,38.92000000000001,31.55,3.5
31,9600,33.166666666666664,80.83333333333333,0.0,0.0,38.92000000000001,31.55,3.5
32,9900,33.166666666666664,80.83333333333333,0.0,0.0,38.92000000000001,31.55,3.5
33,10200,33.166666666666664,80.83333333333333,0.0,0.0,38.92000000000001,31.55,3.5
34,10500,33.166666666666664,80.83333333333333,0.0,0.0,38.92000000000001,31.55,3.5
35,10800,33.166666666666664,80.83333333333333,0.0,0.0,38.92000000000001,31.55,3.5
36,11100,33.166666666666664,80.83333333333333,0.0,0.0,38.92000000000001,31.55,3.5
37,11400,26.0,85.0,0.0,0.0,38.95,31.57,5.0
38,11700,29.25,85.0,0.0,0.0,38.96,31.57,5.25
39,12000,25.666666666666668,81.0,0.0,0.0,38.96,31.570000000000004,4.333333333333333
40,12300,24.666666666666668,81.0,0.0,0.0,38.97,31.570000000000004,4.666666666666667
41,12600,37.0,86.0,0.0,0.0,38.97,31.58,7.0
42,12900,26.5,83.5,0.0,0.0,38.98,31.58,5.75
43,13200,27.571428571428573,82.14285714285714,0.0,0.0,38.98,31.57999999999999,5.571428571428571
44,13500,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
45,13800,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
46,14100,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
47,14400,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
48,14700,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
49,15000,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
50,15300,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
51,15600,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
52,15900,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
53,16200,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
54,16500,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
55,16800,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
56,17100,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
57,17400,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
58,17700,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
59,18000,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
60,18300,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
61,18600,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
62,18900,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
63,19200,34.0,82.6,0.0,0.0,38.982,31.589999999999996,5.2
64,19500,21.0,85.66666666666667,0.0,0.0,39.08,31.649999999999995,3.3333333333333335
65,19800,41.5,88.0,0.0,0.0,39.085,31.65,7.5
66,20100,52.0,96.0,0.0,0.0,39.09,31.65,10.0
67,20400,59.0,90.0,0.0,0.0,39.1,31.66,14.333333333333334
68,20700,45.75,86.75,0.0,0.0,39.11,31.665000000000003,13.75
69,21000,55.333333333333336,87.0,0.0,0.0,39.12,31.67,15.0
70,21300,36.666666666666664,85.0,0.0,0.0,39.12,31.67,8.0
71,21600,42.0,86.5,0.0,0.0,39.13,31.68,9.5
72,21900,46.666666666666664,88.0,0.0,0.0,39.13,31.679999999999996,4.0
73,22200,46.666666666666664,88.0,0.0,0.0,39.13,31.679999999999996,4.0
74,22500,76.0,91.0,0.0,0.0,39.15,31.69,10.0
75,22800,82.0,92.0,0.0,0.0,39.17,31.7,10.5
76,23100,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
77,23400,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
78,23700,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
79,24000,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
80,24300,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
81,24600,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
82,24900,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
83,25200,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
84,25500,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
85,25800,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
86,26100,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
87,26400,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
88,26700,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
89,27000,82.66666666666667,90.66666666666667,0.0,0.0,39.17666666666667,31.7,8.333333333333334
90,27300,40.0,89.0,0.0,0.0,39.26,31.76,6.5
91,27600,45.0,90.0,0.0,0.0,39.26,31.77,4.0
92,27900,31.0,89.66666666666667,0.0,0.0,39.27,31.77,6.0
93,28200,31.5,88.0,0.0,0.0,39.275000000000006,31.775,5.25
